timestamp,open,close,high,low,volume
2018-12-20 08:15:00,4.5471,4.5446,4.5471,4.5386,157.14
2018-12-20 08:30:00,4.5454,4.5372,4.5454,4.5371,43.52
2018-12-20 08:45:00,4.5541,4.5911,4.5912,4.5541,2631.22
2018-12-20 09:00:00,4.5867,4.786,4.7887,4.5867,21437.67
2018-12-20 09:15:00,4.7887,4.7984,4.8344,4.742,32664.36
2018-12-20 09:30:00,4.7959,4.8113,4.899,4.77,38338.33
2018-12-20 09:45:00,4.8151,4.8161,4.8425,4.7971,21922.8
2018-12-20 10:00:00,4.8041,4.8327,4.922,4.804,23816.27
2018-12-20 10:15:00,4.8354,4.89,4.8993,4.8159,5167.92
2018-12-20 10:30:00,4.88,4.8,4.88,4.789,4456.97
2018-12-20 10:45:00,4.7925,4.8394,4.8665,4.7925,18621.79
2018-12-20 11:00:00,4.8341,4.83,4.8735,4.8101,6027.65
2018-12-20 11:15:00,4.8191,4.8231,4.824,4.7903,2532.24
2018-12-20 11:30:00,4.8227,4.8145,4.8344,4.7998,730.94
2018-12-20 11:45:00,4.8185,4.8317,4.8458,4.8025,7664.59
2018-12-20 12:00:00,4.841,4.8234,4.87,4.8234,10545.18
2018-12-20 12:15:00,4.8311,4.7881,4.8311,4.7873,15383.19
2018-12-20 12:30:00,4.7952,4.771,4.7991,4.7503,6384.07
2018-12-20 12:45:00,4.7745,4.785,4.8069,4.7688,5700.25
2018-12-20 13:00:00,4.7797,4.82,4.8598,4.7797,9145.36
2018-12-20 13:15:00,4.8226,4.8217,4.8419,4.8169,628.25
2018-12-20 13:30:00,4.822,4.8351,4.837,4.821,1065.16
2018-12-20 13:45:00,4.8375,4.8469,4.8839,4.8375,3500.68
2018-12-20 14:00:00,4.846,4.8126,4.8997,4.7982,11464.41
2018-12-20 14:15:00,4.807,4.783,4.8073,4.7436,11371.48
2018-12-20 14:30:00,4.7788,4.8079,4.8079,4.761,2496.91
2018-12-20 14:45:00,4.7921,4.7938,4.7938,4.7611,1050.98
2018-12-20 15:00:00,4.7938,4.789,4.8044,4.7841,2298.51
2018-12-20 15:15:00,4.7978,4.8314,4.8318,4.7943,3803.21
2018-12-20 15:30:00,4.8309,4.7994,4.8309,4.7878,2017.56
2018-12-20 15:45:00,4.8085,4.8373,4.856,4.8084,2214.24
2018-12-20 16:00:00,4.8378,4.865,4.9,4.8378,9301.89
2018-12-20 16:15:00,4.8729,4.8477,4.873,4.8133,1793.0
2018-12-20 16:30:00,4.847,4.8189,4.8909,4.7884,8776.63
2018-12-20 16:45:00,4.8092,4.8445,4.861,4.8036,1426.0
2018-12-20 17:00:00,4.8556,4.8497,4.8708,4.8198,4382.78
2018-12-20 17:15:00,4.8449,4.8974,4.9,4.832,6126.97
2018-12-20 17:30:00,4.9,4.9684,5.0599,4.9,38283.58
2018-12-20 17:45:00,4.9694,5.0257,5.0495,4.9621,19273.54
2018-12-20 18:00:00,5.0275,5.0156,5.0899,5.0156,17389.4
2018-12-20 18:15:00,5.0303,4.9067,5.0303,4.8813,22450.93
2018-12-20 18:30:00,4.9089,4.8759,4.9574,4.8759,13508.85
2018-12-20 18:45:00,4.8799,4.785,4.8808,4.74,19323.94
2018-12-20 19:00:00,4.799,4.8504,4.8571,4.7722,6139.49
2018-12-20 19:15:00,4.8592,4.8556,4.8618,4.8353,4286.21
2018-12-20 19:30:00,4.8574,4.842,4.9,4.8315,21621.07
2018-12-20 19:45:00,4.8316,4.839,4.8563,4.8273,5583.16
2018-12-20 20:00:00,4.842,4.8228,4.8493,4.8228,3450.74
2018-12-20 20:15:00,4.8299,4.8796,4.8827,4.8299,8170.59
2018-12-20 20:30:00,4.8793,4.8764,4.8907,4.8632,1985.73
2018-12-20 20:45:00,4.8764,4.8619,4.8769,4.8574,4101.36
2018-12-20 21:00:00,4.8668,4.7744,4.8904,4.7466,14628.26
2018-12-20 21:15:00,4.7697,4.7485,4.7697,4.7125,9283.25
2018-12-20 21:30:00,4.7497,4.7161,4.7696,4.7009,9141.82
2018-12-20 21:45:00,4.7253,4.7137,4.7693,4.7001,25971.62
2018-12-20 22:00:00,4.7075,4.7605,4.7619,4.6905,10216.35
2018-12-20 22:15:00,4.7608,4.7627,4.7816,4.7594,2382.39
2018-12-20 22:30:00,4.7712,4.7912,4.8003,4.7712,3168.4
2018-12-20 22:45:00,4.7853,4.8018,4.8225,4.7752,1709.32
2018-12-20 23:00:00,4.8057,4.7804,4.85,4.7801,9089.6
2018-12-20 23:15:00,4.7864,4.8254,4.8417,4.7864,1453.97
2018-12-20 23:30:00,4.8298,4.7673,4.83,4.7671,28416.65
2018-12-20 23:45:00,4.7629,4.8311,4.8459,4.7548,11415.98
2018-12-21 00:00:00,4.8176,4.84,4.88,4.8105,6276.65
2018-12-21 00:15:00,4.8409,4.8416,4.8608,4.8305,4287.59
2018-12-21 00:30:00,4.84,4.8807,4.8828,4.834,2835.95
2018-12-21 00:45:00,4.8735,4.8968,4.9148,4.87,10567.96
2018-12-21 01:00:00,4.898,4.8357,4.898,4.8304,13517.45
2018-12-21 01:15:00,4.844,4.827,4.844,4.825,1996.69
2018-12-21 01:30:00,4.816,4.8,4.829,4.784,5664.63
2018-12-21 01:45:00,4.7901,4.8223,4.8254,4.7801,2093.04
2018-12-21 02:00:00,4.816,4.821,4.8389,4.8,2702.26
2018-12-21 02:15:00,4.8166,4.87,4.87,4.8166,2830.22
2018-12-21 02:30:00,4.87,4.97,4.99,4.87,16271.42
2018-12-21 02:45:00,4.9787,4.9563,4.9921,4.9476,3310.53
2018-12-21 03:00:00,4.9773,4.9144,4.99,4.9028,5282.91
2018-12-21 03:15:00,4.919,4.8482,4.9225,4.8482,7065.35
2018-12-21 03:30:00,4.8482,4.8552,4.8722,4.8482,3402.76
2018-12-21 03:45:00,4.861,4.8682,4.8682,4.8396,1875.09
2018-12-21 04:00:00,4.8624,4.8309,4.8645,4.8132,5950.65
2018-12-21 04:15:00,4.825,4.8283,4.8283,4.7792,8330.4
2018-12-21 04:30:00,4.8361,4.8262,4.847,4.8228,1272.95
2018-12-21 04:45:00,4.8272,4.841,4.8506,4.8246,1951.03
2018-12-21 05:00:00,4.8479,4.8101,4.8527,4.8071,5834.06
2018-12-21 05:15:00,4.8101,4.8259,4.8302,4.7931,20003.59
2018-12-21 05:30:00,4.8326,4.8033,4.8441,4.793,1417.16
2018-12-21 05:45:00,4.8058,4.8034,4.81,4.8034,108.8
2018-12-21 06:00:00,4.8059,4.7925,4.815,4.7925,1504.41
2018-12-21 06:15:00,4.793,4.7921,4.793,4.7804,720.44
2018-12-21 06:30:00,4.7897,4.7576,4.7906,4.7576,7985.99
2018-12-21 06:45:00,4.7538,4.7095,4.758,4.6867,17473.14
