timestamp,ema50_dist_eth_btc_30m,ema200_dist_eth_btc_30m,lower_bb_dist_eth_btc_30m,width_bb_eth_btc_30m,rsi_eth_btc_30m,stoch_rsi_fastk_eth_btc_30m,stoch_rsi_fastd_eth_btc_30m,kijun_dist_eth_btc_30m,tenkan_dist_eth_btc_30m
2019-01-29 16:00:00,,,,,,,,0.013924996750292351,0.014964903158715792
2019-01-29 16:30:00,,,,,,,,0.012083171143116633,0.013121188529907846
2019-01-29 17:00:00,,,,,,,,0.00773553825780815,0.008769096605407034
2019-01-29 17:30:00,,,,,,,,0.011689364461737961,0.012726977950713536
2019-01-29 18:00:00,,,,,,,,0.014485449520403204,0.015525930742968708
2019-01-29 18:30:00,,,,,,,,0.014749406446157298,0.015790158389436426
2019-01-29 19:00:00,,,,,,,,0.014056812272490893,0.015096853874155158
2019-01-29 19:30:00,,,,,,,,0.013529755717255787,0.014569256756756799
2019-01-29 20:00:00,,,,,,,,0.014188662072552205,0.015228838902613617
2019-01-29 20:30:00,,,,,,,,0.013760275530428467,0.014800012996718515
2019-01-29 21:00:00,,,,,,,,0.013661468486029893,0.014701104613385585
2019-01-29 21:30:00,,,,,,,,0.013892048224092512,0.01493192083969741
2019-01-29 22:00:00,,,,,,,,0.01468340433835258,0.01572408858824703
2019-01-29 22:30:00,,,,,,,,0.014947464298493696,0.015988419374776353
2019-01-29 23:00:00,,,,,0.408094435075883,,,0.017529269803998382,0.018572872843492183
2019-01-29 23:30:00,,,,,0.41552452926860295,,,0.017297032931203216,0.018340397782849793
2019-01-30 00:00:00,,,,,0.45743659163457795,,,0.015971996092478014,0.017014001953761015
2019-01-30 00:30:00,,,,,0.3890803569344705,,,0.018991475880988817,0.020036578594990084
2019-01-30 01:00:00,,,,,0.3603998002542312,,,0.020491267089683962,0.021537908026427743
2019-01-30 01:30:00,,0.009745803833453248,-0.0013482339353613204,0.01104765105783064,0.40451994710069544,,,0.019091324797491538,0.020136529918996615
2019-01-30 02:00:00,,0.010962796869756986,-0.0010160944533821326,0.011919610911809734,0.38221091265722285,0.2247715747061394,0.22648199825923357,0.02019095575973573,0.02123728868979513
2019-01-30 02:30:00,,0.010475225899158502,-0.0018288920101063866,0.012251154124720647,0.3909795764693774,0.6931023217479816,0.4575161055085607,0.019924160700859783,0.02097021999934623
2019-01-30 03:00:00,,0.00689284182780181,-0.0032519701065439888,0.01012637751358184,0.45455230206021474,1.0,0.6392912988180403,0.01789442776980299,0.01893840532428559
2019-01-30 03:30:00,,0.006604419335814571,-0.0028937049335432397,0.00948053449141839,0.44552091195001564,0.8751559766168165,0.8560860994549325,0.01825984791619062,0.01930420025456092
2019-01-30 04:00:00,,0.006169500398826688,-0.0032655588691999915,0.009421379700137974,0.45296947231897194,0.9781199980494517,0.9510919915554227,0.018027277473244396,0.019071391281649808
2019-01-30 04:30:00,,0.006440681381959745,-0.0029902668099153207,0.009414705872707698,0.4402319941844922,0.7747413258967382,0.8760057668543353,0.018492524645818298,0.019537115623163848
2019-01-30 05:00:00,,0.005981748365115447,-0.003217207598746552,0.009186258071397526,0.44503372432897065,0.33530914182500837,0.6960568219237325,0.018359553495659098,0.01940400809452325
2019-01-30 05:30:00,,0.005803364716919113,-0.0029563896279509727,0.008747302668473601,0.43597190535590646,0.0,0.37001682257391527,0.01865878742368343,0.019703548924222325
2019-01-30 06:00:00,,0.0052352323710518345,-0.0031395217227526695,0.008365987748999987,0.44276044833218065,0.3993832170819045,0.2448974529689707,0.018492524645818298,0.019537115623163848
2019-01-30 06:30:00,,0.005574509049983023,-0.0022680758810994517,0.007829640838997128,0.41379753921136014,0.0,0.13312773902730124,0.0193909889894468,0.020436501453915845
2019-01-30 07:00:00,,0.004994178661263504,-0.002066456794840632,0.007050314775737139,0.4105837506945921,0.0,0.13312773902730124,0.019490916220102017,0.020536531172395955
2019-01-30 07:30:00,,0.004439719429935707,-0.0016911737733568133,0.006122479246422441,0.40382850665436737,0.0,-2.6053233644537007e-16,0.01969082946597811,0.02073664945421272
2019-01-30 08:00:00,,0.0021427386943024818,-0.003053045719001224,0.005198150369702161,0.4818631383014079,1.0,0.3333333333333331,0.017994061796469785,0.01903814153806005
2019-01-30 08:30:00,,0.00161783603402621,-0.0025185017434634638,0.004138201345515092,0.47529467706965917,0.915826331295333,0.638608777098444,0.01816016185876501,0.01920441195666367
2019-01-30 09:00:00,,0.0002331190119475579,-0.0041657398903522935,0.004407525465634078,0.5401063544448106,0.9999999999999999,0.9719421104317774,0.016567835266518838,0.017610452235110152
2019-01-30 09:30:00,,0.0013701728085588893,-0.0029425101107931617,0.004316076083064438,0.48987569768189454,0.6314099644414944,0.8490787652456088,0.017794813244168983,0.018838688631544587
2019-01-30 10:00:00,,0.002539859150960666,-0.001128278965363827,0.0036655510067392706,0.4304510667014307,0.0,0.5438033214804977,0.019490916220102017,0.020536531172395955
2019-01-30 10:30:00,,0.0030539094291013313,-0.0007589668026668495,0.0038085060802948434,0.41452399130385875,0.0,0.21046998814716444,0.019990846382686556,0.021036974075648196
2019-01-30 11:00:00,,0.002090349530699198,-0.0014240312657395338,0.003513210338330224,0.4537067719606553,0.3120086266637483,0.10400287555458242,0.019091324797491538,0.020136529918996615
2019-01-30 11:30:00,,0.0024866959862988036,-0.0010751158007018535,0.003559299668557303,0.4396245793365691,0.33311240367646044,0.2150403434467359,0.019490916220102017,0.020536531172395955
2019-01-30 12:00:00,,0.0034314498261227566,-0.00020996892607016981,0.003635562804125698,0.40781759827163794,0.0,0.2150403434467359,0.020424515960230316,0.021471088435374375
