timestamp,ema50_dist_zec_btc_12h,ema200_dist_zec_btc_12h,lower_bb_dist_zec_btc_12h,width_bb_zec_btc_12h,rsi_zec_btc_12h,stoch_rsi_fastk_zec_btc_12h,stoch_rsi_fastd_zec_btc_12h,kijun_dist_zec_btc_12h,tenkan_dist_zec_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.46304141406763566,-0.4936637206924257
2018-07-04 14:00:00,,,,,,,,-0.46612200435729845,-0.4965686274509804
2018-07-05 02:00:00,,,,,,,,-0.46522877718775,-0.49572634029242746
2018-07-05 14:00:00,,,,,,,,-0.4494495618962031,-0.4808470006740059
2018-07-06 02:00:00,,,,,,,,-0.4298953082590151,-0.46240791004265225
2018-07-06 14:00:00,,,,,,,,-0.4456718443673654,-0.4772847232694918
2018-07-07 02:00:00,,,,,,,,-0.4342606487360037,-0.46652429874177537
2018-07-07 14:00:00,,,,,,,,-0.4322508398656215,-0.46462910761864307
2018-07-08 02:00:00,,,,,,,,-0.43099845201238385,-0.46344814241486065
2018-07-08 14:00:00,,,,,,,,-0.43284215398858195,-0.46518669958339764
2018-07-09 02:00:00,,,,,,,,-0.4246301948814275,-0.4574430617515849
2018-07-09 14:00:00,,,,,,,,-0.4115975668320794,-0.4451536737634064
2018-07-10 02:00:00,,,,,,,,-0.41072502104124087,-0.44433088854154146
2018-07-10 14:00:00,,,,,,,,-0.4201601135781047,-0.4532279055093268
2018-07-11 02:00:00,,,,,0.2711930926216638,,,-0.41305389221556876,-0.44652694610778443
2018-07-11 14:00:00,,,,,0.25406567299261795,,,-0.405482997048239,-0.4393878128664429
2018-07-12 02:00:00,,,,,0.2436250753641992,,,-0.40061149612719116,-0.434794129637179
2018-07-12 14:00:00,,,,,0.27399617411165283,,,-0.40521844660194173,-0.4391383495145631
2018-07-13 02:00:00,,,,,0.33706326921271945,,,-0.41510860052510146,-0.4484644760919724
2018-07-13 14:00:00,,-0.008175804246302931,-0.1570006496845312,0.16222251535529203,0.6092808381734166,,,-0.47955824572581496,-0.5092386110226186
2018-07-14 02:00:00,,-0.011139918453395126,-0.17420617360499668,0.17972160359390002,0.6294415176294897,1.0,1.0,-0.4865195222462806,-0.5158028916672488
2018-07-14 14:00:00,,0.02440649894600222,-0.14561171891491353,0.18098647033509693,0.5517163844569088,0.7813302816029701,0.9271100938676569,-0.4684958247478581,-0.49880707081661424
2018-07-15 02:00:00,,0.02894393100340631,-0.14230460756687024,0.18153818426549626,0.5433815977189246,0.7056555322546049,0.8289952712858585,-0.4663351602482668,-0.4967696272367609
2018-07-15 14:00:00,,0.036667937637198555,-0.14004924570788513,0.18634972237389497,0.5351417353234453,0.0,0.4956619379525251,-0.4642740025505556,-0.494826015667699
2018-07-16 02:00:00,,0.05282333680920792,-0.12917705423336634,0.1892243836001578,0.510298659716809,0.0,0.23521851075153508,-0.4580338383279885,-0.4889417228795754
2018-07-16 14:00:00,,0.026819859792022616,-0.15900401396761088,0.19897451258383025,0.5708008010770946,1.0,0.3333333333333334,-0.4752676659528907,-0.5051927194860814
2018-07-17 02:00:00,,0.05789076143032568,-0.1360783736057033,0.20186063558013648,0.5154571402636882,0.08526112350570847,0.36175370783523625,-0.4614482985971209,-0.49216145928720556
2018-07-17 14:00:00,,0.017043576195906462,-0.18180491769326212,0.2167004198259505,0.5994052124338246,1.0,0.6950870411685696,-0.4884845532980795,-0.5176558586139716
2018-07-18 02:00:00,,0.018201552269896837,-0.193441350117732,0.2319679069480057,0.6164170150771843,1.0,0.6950870411685696,-0.4945164506480558,-0.5233437618179942
2018-07-18 14:00:00,,0.04755329639518213,-0.175486884797723,0.23828233850163674,0.5708977617688108,0.5491352045308941,0.8497117348436315,-0.48390606900909117,-0.5133384815191828
2018-07-19 02:00:00,,0.06442084650971269,-0.16263601931504856,0.23878291863301318,0.5485042411954707,0.3273290601125517,0.625488088214482,-0.47828401107089624,-0.5080370449222908
2018-07-19 14:00:00,,0.11490306120891769,-0.11488075057046099,0.22978124849619894,0.4658751774005458,0.0,0.2921547548811486,-0.4532778046331759,-0.484456921875581
2018-07-20 02:00:00,,0.14092666989561797,-0.08599660929417663,0.2208574233649375,0.43034440803722773,0.0,0.10910968670418392,-0.4396081869116133,-0.4715668712124099
2018-07-20 14:00:00,,0.2009651608479508,-0.04158402332740774,0.22464694162685866,0.3705834243501112,0.0,2.3684757858670005e-17,-0.41067778267666033,-0.4442863441420497
2018-07-21 02:00:00,,0.21789017429295598,-0.03241599436440712,0.2290634874172218,0.3574276095054326,0.0,2.3684757858670005e-17,-0.40309353686261773,-0.4371346216303995
2018-07-21 14:00:00,,0.17880896308014127,-0.05733850218353698,0.22262621103277053,0.412353260965383,0.5064719525390613,0.16882398417968714,-0.42130121620025973,-0.4543039319872476
2018-07-22 02:00:00,,0.1785156415592153,-0.049200400158141644,0.21388664044645786,0.40967692684542567,0.7165607705227203,0.40767757435392715,-0.42004575575891445,-0.4531200694225308
2018-07-22 14:00:00,,0.16161212241518186,-0.05395729137491878,0.20455855542883497,0.4317045144324709,1.0,0.7410109076872605,-0.4269400163698016,-0.4596211560197997
2018-07-23 02:00:00,,0.218639063554247,-0.014999881146347649,0.212048275929909,0.3750725166069538,0.23755576674679235,0.6513721790898376,-0.40014687283260575,-0.43435600342703284
2018-07-23 14:00:00,,0.21231516984055254,-0.030643758697810886,0.2227273340040731,0.3810998200772703,0.10642929265689245,0.44799501980122836,-0.4020740138267588,-0.43617324115494105
