timestamp,ema50_dist_omg_usd_12h,ema200_dist_omg_usd_12h,lower_bb_dist_omg_usd_12h,width_bb_omg_usd_12h,rsi_omg_usd_12h,stoch_rsi_fastk_omg_usd_12h,stoch_rsi_fastd_omg_usd_12h,kijun_dist_omg_usd_12h,tenkan_dist_omg_usd_12h
2018-07-15 14:00:00,,,,,,,,-0.8073997688943496,-0.838562464346834
2018-07-16 02:00:00,,,,,,,,-0.8079587550681095,-0.8390310066213575
2018-07-16 14:00:00,,,,,,,,-0.8154623426857639,-0.8453205146172604
2018-07-17 02:00:00,,,,,,,,-0.8207942621500606,-0.8497897301196293
2018-07-17 14:00:00,,,,,,,,-0.8218778745738867,-0.8506980141767221
2018-07-18 02:00:00,,,,,,,,-0.8335335018963337,-0.8604677623261694
2018-07-18 14:00:00,,,,,,,,-0.8364915374203723,-0.8629471880393886
2018-07-19 02:00:00,,,,,,,,-0.8333227848101266,-0.8602911392405064
2018-07-19 14:00:00,,,,,,,,-0.8357409278594863,-0.8623180270199469
2018-07-20 02:00:00,,,,,,,,-0.826522008352766,-0.8545907276392237
2018-07-20 14:00:00,,,,,,,,-0.8180706578056565,-0.8475068046478854
2018-07-21 02:00:00,,,,,,,,-0.8044914625092798,-0.8361247216035634
2018-07-21 14:00:00,,,,,,,,-0.810681216931217,-0.8413129744651484
2018-07-22 02:00:00,,,,,,,,-0.8125062296202423,-0.8428427003089891
2018-07-22 14:00:00,,,,,0.5354621413303969,,,-0.8133778363592556,-0.8435732811769208
2018-07-23 02:00:00,,,,,0.514813874504807,,,-0.8102857060527036,-0.8409814572017231
2018-07-23 14:00:00,,,,,0.5391445292579898,,,-0.814199438400429,-0.8442619481014266
2018-07-24 02:00:00,,,,,0.49692607255807286,,,-0.8079671571701498,-0.8390380492642449
2018-07-24 14:00:00,,,,,0.5341606685224567,,,-0.8138842951843842,-0.8439977950218378
2018-07-25 02:00:00,,0.12159398409146882,-0.10489282716309245,0.22461117798883173,0.5545519453679023,,,-0.817120595547284,-0.8467104623546895
2018-07-25 14:00:00,,0.1390058646147998,-0.0858722188579254,0.21905839781786382,0.5314022454511156,0.5982759342633676,0.8267421997751289,-0.8141338716052171,-0.8442069900062108
2018-07-26 02:00:00,,0.12915526723901127,-0.08825788879401897,0.21305643128287274,0.5414511601572829,0.7726579299917389,0.7903112880850354,-0.8156018933452834,-0.8454374859959668
2018-07-26 14:00:00,,0.10039318145989329,-0.11049981103801121,0.21196411388937134,0.5750353338376444,1.0,0.7903112880850354,-0.8204546074340724,-0.8495050314979956
2018-07-27 02:00:00,,0.168993934888225,-0.060514347635866494,0.21770026507410745,0.4884598823189757,0.0,0.5908859766639128,-0.8091694323270677,-0.8400457964377328
2018-07-27 14:00:00,,0.17466740396467006,-0.06144758882048851,0.2234646780169898,0.4811390491519632,0.0,0.33333333333333326,-0.8080371461060734,-0.8390967139983089
2018-07-28 02:00:00,,0.12752828796828775,-0.08600730647054045,0.20919265231569584,0.5191266549255035,0.4045698496027205,0.1348566165342401,-0.8134545093927974,-0.8436375485223699
2018-07-28 14:00:00,,0.12454091264316713,-0.06360548456591153,0.18258349548060265,0.49547532203177186,0.1526820036362403,0.18575061774632023,-0.8102118766215047,-0.8409195733640819
2018-07-29 02:00:00,,0.1096941786185206,-0.053007378404149375,0.15821714517320892,0.4886955909546018,0.19892124414700582,0.2520576991286555,-0.8092744680542882,-0.8401338373962544
2018-07-29 14:00:00,,0.08771673290939863,-0.02505375790134179,0.10934456300142777,0.47281972765628777,0.0,0.1172010825944153,-0.8071035129354546,-0.8383141425683396
2018-07-30 02:00:00,,0.07015355422353253,-0.018255302285718922,0.08617274899060727,0.4725006060396606,0.0,0.06630708138233522,-0.8070611162395417,-0.8382786056529957
2018-07-30 14:00:00,,0.06798818736647139,-0.017855288707206318,0.08374430372764327,0.4690910138953908,0.0,-5.921189464667501e-17,-0.8066361220024377,-0.8379223754350412
2018-07-31 02:00:00,,0.08929875355915917,-0.0010168956552873976,0.08649756628647963,0.44015362185299106,0.0,-5.921189464667501e-17,-0.8029643263302807,-0.8348446758843598
2018-07-31 14:00:00,,0.16652679195820386,0.03390881710246374,0.1205379283171598,0.36876321797892414,0.0,-5.921189464667501e-17,-0.791422461587201,-0.8251702835418977
2018-08-01 02:00:00,,0.2466185919429016,0.05155807472376428,0.16975241290049123,0.32126654629229295,0.0,-5.921189464667501e-17,-0.7805416666666667,-0.81605
2018-08-01 14:00:00,,0.24937827068064622,0.020462683263993364,0.201701874326333,0.3300837903685911,0.05964671626602497,0.0198822387553416,-0.7816226346252716,-0.8169560674660431
2018-08-02 02:00:00,,0.29219703255929264,0.018032115323597386,0.2373486781490415,0.30811054152507805,0.0,0.0198822387553416,-0.7759981627341238,-0.8122416344861609
2018-08-02 14:00:00,,0.34488870206094746,0.0193123252399241,0.2754219062265808,0.28224966236198623,0.0,0.0198822387553416,-0.7683735575569941,-0.8058506895581199
2018-08-03 02:00:00,,0.39628071352970684,0.012862205686717587,0.31830283274991134,0.262461325708826,0.0,-5.921189464667501e-17,-0.7616051707281747,-0.8001774269471702
2018-08-03 14:00:00,,0.4773592067433925,0.020108063769622264,0.36617188010623614,0.23320297315360322,0.0,-5.921189464667501e-17,-0.7494386512406759,-0.7899794489267773
2018-08-04 02:00:00,,0.4255070825903391,-0.03918298940249021,0.3894609900804027,0.28754519262907663,0.7254569952929778,0.24181899843099255,-0.7573079475081097,-0.7965754939545857
