timestamp,ema50_dist_zec_usd_15m,ema200_dist_zec_usd_15m,upper_bb_dist_zec_usd_15m,lower_bb_dist_zec_usd_15m,width_bb_zec_usd_15m,rsi_zec_usd_15m,stoch_rsi_fastk_zec_usd_15m,stoch_rsi_fastd_zec_usd_15m,kijun_dist_zec_usd_15m,tenkan_dist_zec_usd_15m
2018-12-17 09:00:00,,,,,,,,,-5.426644620729371,-4.778271127872635
2018-12-17 09:15:00,,,,,,,,,-4.034234438034911,-3.3763148965049283
2018-12-17 09:30:00,,,,,,,,,-4.052322074788894,-3.3945265379975886
2018-12-17 09:45:00,,,,,,,,,-4.750678267377683,-4.0976705023856415
2018-12-17 10:00:00,,,,,,,,,-5.109325777769492,-4.458776818834231
2018-12-17 10:15:00,,,,,,,,,-5.691207528993303,-5.044647819482018
2018-12-17 10:30:00,,,,,,,,,-5.449479940564639,-4.8012630014859
2018-12-17 10:45:00,,,,,,,,,-5.029663072273416,-4.378567963881952
2018-12-17 11:00:00,,,,,,,,,-4.793431708092544,-4.1407170510015305
2018-12-17 11:15:00,,,,,,,,,-4.839704645293952,-4.187307224974301
2018-12-17 11:30:00,,,,,,,,,-4.798773189706762,-4.146095152603246
2018-12-17 11:45:00,,,,,,,,,-4.552443094461323,-3.8980762740465913
2018-12-17 12:00:00,,,,,,,,,-5.294686709331753,-4.645408542937945
2018-12-17 12:15:00,,,,,,,,,-5.99423843994682,-5.349756241690063
2018-12-17 12:30:00,,,,,,54.696643055127815,,,-5.959506391783043,-5.314786078474842
2018-12-17 12:45:00,,,,,,51.390032719745435,,,-5.621268864251549,-4.974229671103869
2018-12-17 13:00:00,,,,,,73.81518718589844,,,-9.884935386794124,-9.267126925119506
2018-12-17 13:15:00,,,,,,66.47730717902056,,,-8.971264059510409,-8.347191674266409
2018-12-17 13:30:00,,,,,,70.85726457388398,,,-10.248770253354255,-9.633456161074783
2018-12-17 13:45:00,,,0.17663663791636086,-7.918360372082378,8.420960769257954,66.69553307436468,,,-9.68669055813789,-9.067522974843001
2018-12-17 14:00:00,,,0.9164910191607367,-7.765859683574772,8.99023797406131,65.1088913820854,0.0,51.68709430183469,-9.468255379690548,-8.847590254312642
2018-12-17 14:15:00,,,0.8384174529810107,-8.203125831249514,9.387213742728894,67.16840248501221,35.827720890932895,34.69306776510101,-10.001237558121034,-9.384226437777354
2018-12-17 14:30:00,,,2.1276085330666605,-6.980336942462085,9.334432811990434,60.49375684933895,0.0,11.942573630310966,-9.072072876663395,-8.448691613825144
2018-12-17 14:45:00,,,1.7598546585802621,-7.455947175297539,9.485966549252957,63.17973900775263,40.241569440903355,25.35643011061208,-9.707515209563844,-9.088490395359983
2018-12-17 15:00:00,,,1.1532769780279173,-8.374807180312228,9.885008599080642,66.98377767306502,97.23393836879603,45.82516926989979,-10.689661222126713,-10.077369778417179
2018-12-17 15:15:00,,,1.682456277780342,-8.190481988152342,10.205010623494275,66.30554955866069,87.07267810983215,74.84939530651052,-10.600259913596288,-9.987355554775046
2018-12-17 15:30:00,,,3.130200041330755,-6.799587143267116,10.115373285931208,58.465263495586896,0.0,61.43553882620939,-9.48596219839619,-8.865418466954722
2018-12-17 15:45:00,,,3.3376756081950676,-6.3483192077964485,9.834028592188364,57.866096697869615,0.0,29.024226036610713,-9.394133561156204,-8.772960273387442
2018-12-17 16:00:00,,,3.271597643296631,-5.995669972297668,9.39523410180029,58.341990644388886,5.219462578411524,1.7398208594705034,-9.48918087584233,-8.868659210924035
2018-12-17 16:15:00,,,3.6920220391652103,-5.055471657799493,8.80753686083476,55.37381918849968,0.0,1.7398208594705034,-9.068824464569602,-8.445420931354164
2018-12-17 16:30:00,,,3.2422729893364366,-4.783336565330365,8.087929623405959,57.056976243772986,54.445653490008695,19.888372022806735,-9.369937153946129,-8.748597981092775
2018-12-17 16:45:00,,,2.9260509427454062,-4.090140824788602,7.057268240301008,57.4103984502364,68.61393595359539,41.01986314786802,-9.43120963581049,-8.81029053320762
2018-12-17 17:00:00,,,2.292437714976403,-3.8178164021941186,6.157214536302038,59.650254246612114,100.0,74.35319648120135,-9.81309239082293,-9.194791389848533
2018-12-17 17:15:00,,,1.2348699573746735,-4.1931155714098,5.509477466539548,64.35767691227782,100.0,89.53797865119846,-10.691228070175441,-10.078947368421066
2018-12-17 17:30:00,,,1.5906750301618366,-2.8137448895954043,4.431520213781986,59.358909335104485,31.530303677043207,77.17676789234774,-10.104541922723742,-9.48823903369359
2018-12-17 17:45:00,,,1.1179365696114996,-1.1211277194892788,2.23910001561948,56.53670907099494,0.0,43.843434559014405,-9.750735737332905,-9.132007233273065
2018-12-17 18:00:00,,,0.2118364014915608,-2.1767425253730766,2.4122784301643243,61.696006095353084,65.96750081396395,32.49926816366905,-10.675557115283386,-10.063168977013525
2018-12-17 18:15:00,,,0.6739062945793739,-1.6222672392393278,2.307113415107639,58.494916046851245,25.037911107624485,30.335137307196145,-10.281988015509347,-9.666901656679606
2018-12-17 18:30:00,,,0.5932085229695128,-1.724274090967337,2.3306632788634443,59.007981585731365,47.89940379607958,46.301605239222674,-10.370448623142481,-9.755968730192278
2018-12-17 18:45:00,,,0.05000283012110973,-2.5054379926517933,2.587204385881642,62.7614033483053,100.0,57.64577163456803,-11.034603285564494,-10.424676686473266
2018-12-17 19:00:00,,,-0.9681610649313943,-4.484650645805277,3.6150505302038893,69.69053327140985,100.0,82.63313459869319,-12.537154442210884,-11.937528993350865
