timestamp,ema50_dist_iot_usd_15m,ema200_dist_iot_usd_15m,upper_bb_dist_iot_usd_15m,lower_bb_dist_iot_usd_15m,width_bb_iot_usd_15m,rsi_iot_usd_15m,stoch_rsi_fastk_iot_usd_15m,stoch_rsi_fastd_iot_usd_15m,kijun_dist_iot_usd_15m,tenkan_dist_iot_usd_15m
2018-12-20 22:00:00,,,,,,,,,-15.46630859375,-15.46630859375
2018-12-20 22:15:00,,,,,,,,,-15.298290676696313,-15.298290676696313
2018-12-20 22:30:00,,,,,,,,,-16.73930686224412,-16.73930686224412
2018-12-20 22:45:00,,,,,,,,,-18.291495826081817,-18.291495826081817
2018-12-20 23:00:00,,,,,,,,,-19.17836197589938,-19.17836197589938
2018-12-20 23:15:00,,,,,,,,,-18.29390596424989,-18.29390596424989
2018-12-20 23:30:00,,,,,,,,,-21.082825682702644,-21.082825682702644
2018-12-20 23:45:00,,,,,,,,,-21.551968280940237,-21.551968280940237
2018-12-21 00:00:00,,,,,,,,,-22.08869355621179,-22.08869355621179
2018-12-21 00:15:00,,,,,,,,,-21.069747131120387,-21.069747131120387
2018-12-21 00:30:00,,,,,,,,,-21.795595708639183,-21.795595708639183
2018-12-21 00:45:00,,,,,,,,,-21.660680449107716,-21.660680449107716
2018-12-21 01:00:00,,,,,,,,,-20.99258414147176,-20.99258414147176
2018-12-21 01:15:00,,,,,,,,,-20.20510456876188,-20.20510456876188
2018-12-21 01:30:00,,,,,,68.35632901171063,,,-20.110748997779236,-20.110748997779236
2018-12-21 01:45:00,,,,,,70.8545261387696,,,-21.051131505443767,-21.051131505443767
2018-12-21 02:00:00,,,,,,63.81326820924078,,,-19.82633863965266,-19.82633863965266
2018-12-21 02:15:00,,,,,,67.09796518759747,,,-20.970042796005693,-20.970042796005693
2018-12-21 02:30:00,,,,,,70.63450583651138,,,-22.334996915830185,-22.334996915830185
2018-12-21 02:45:00,,,2.0944306488786646,-7.898197774085258,10.291269068444393,70.78274502968686,,,-22.393746673017112,-22.393746673017112
2018-12-21 03:00:00,,,3.477623066287139,-5.4432796722096555,9.009450164656227,63.461097031577616,0.0,65.28527802720575,-21.127562642369014,-21.127562642369014
2018-12-21 03:15:00,,,3.214885117142341,-3.904778579197077,7.1443077523858145,62.144239234212364,0.0,32.993521376430444,-20.88200851161063,-20.88200851161063
2018-12-21 03:30:00,,,2.039533488408929,-3.6790986811526483,5.765900014403866,64.12284714295734,22.904515614048904,7.634838538016301,-21.485260770975046,-21.485260770975046
2018-12-21 03:45:00,,,1.8598407139086337,-3.140627994983247,5.0326977854574,64.1678338784114,23.425285484662727,15.443267032903876,-21.49861134727653,-21.49861134727653
2018-12-21 04:00:00,,,3.787489812848621,-1.033844148108698,4.755854273446268,55.585839499183784,0.0,15.443267032903876,-19.94219653179189,-19.94219653179189
2018-12-21 04:15:00,,,3.179200820169137,-0.6689315006765839,3.800431784300942,56.319523034908926,8.549102962604989,10.658129482422572,-20.126874279123406,-20.126874279123406
2018-12-21 04:30:00,,,1.8562620389835471,-1.942359329203247,3.8002573274769498,60.308971002224354,55.03536001459901,21.194820992401333,-21.154503017192305,-21.154503017192305
2018-12-21 04:45:00,,,0.7700010320856432,-3.102240010224766,3.9179287733037644,63.56736837018402,93.00319387669627,52.19588561796676,-22.066229637340683,-22.066229637340683
2018-12-21 05:00:00,,,1.6788902488761526,-2.077618219313848,3.7640125536210323,58.963288278378414,42.31581234349869,63.451455411598,-21.262080727686183,-21.262080727686183
2018-12-21 05:15:00,,,2.1532067029695234,-1.6285594190259434,3.7718716110149533,56.932543385640464,8.457966780113019,47.92565766676933,-20.888787342205973,-20.888787342205973
2018-12-21 05:30:00,,,2.235735859550325,-1.4783681914529834,3.7000923992425108,56.12989657268385,0.0,16.92459304120391,-20.743919885550778,-20.743919885550778
2018-12-21 05:45:00,,,2.590576190443339,-1.1285072249260453,3.692092942821866,54.20117915258358,0.0,2.81932226003768,-20.402298850574695,-20.402298850574695
2018-12-21 06:00:00,,,2.9993182318632794,-0.8610768286783643,3.819559360706718,52.44170262595003,0.0,7.105427357601002e-15,-20.090006923609504,-20.090006923609504
2018-12-21 06:15:00,,,2.7432325253519574,-1.089371982602494,3.8011714703988577,53.458604033810694,22.64389815351107,7.547966051170364,-20.2854758410314,-20.2854758410314
2018-12-21 06:30:00,,,4.55398481835152,0.19864676059584419,4.254243790831443,46.5372457771344,0.0,7.547966051170364,-19.00584795321637,-19.00584795321637
2018-12-21 06:45:00,,,3.9117736853632623,-0.6613378922197266,4.49997714370191,49.36634397595758,36.91444145229621,19.852779868602436,-19.523532829750135,-19.523532829750135
2018-12-21 07:00:00,,,2.9043149347418806,-1.526473208123147,4.400472370619676,53.35374079001779,98.4849325825353,45.13312467827717,-20.28776978417265,-20.28776978417265
2018-12-21 07:15:00,,,1.6116617498926233,-2.792459931969038,4.430278002921378,58.23714316580693,100.0,78.4664580116105,-21.317994603039324,-21.317994603039324
2018-12-21 07:30:00,,,0.4621591084915888,-3.8255553773160367,4.361054253835083,61.89150647265965,100.0,99.49497752751176,-22.17352213980669,-22.17352213980669
2018-12-21 07:45:00,,,1.106928383959671,-2.9017711156116954,4.045000195574157,57.65198855402258,66.15199268070693,88.71733089356898,-21.50750920940776,-21.50750920940776
2018-12-21 08:00:00,,,1.2592034962526144,-2.797599570122844,4.088249803609835,57.107956623997794,43.97187711080787,70.04128993050493,-21.42066891719383,-21.42066891719383
