timestamp,ema50_dist_etc_btc_15m,ema200_dist_etc_btc_15m,upper_bb_dist_etc_btc_15m,lower_bb_dist_etc_btc_15m,width_bb_etc_btc_15m,rsi_etc_btc_15m,stoch_rsi_fastk_etc_btc_15m,stoch_rsi_fastd_etc_btc_15m,kijun_dist_etc_btc_15m,tenkan_dist_etc_btc_15m
2019-02-06 16:15:00,,,,,,,,,2.9357798165137616,3.1651376146788923
2019-02-06 16:30:00,,,,,,,,,3.0303030303030276,3.2598714416896435
2019-02-06 16:45:00,,,,,,,,,2.8414298808432603,3.0705774518790196
2019-02-06 17:00:00,,,,,,,,,1.9999999999999796,2.227272727272722
2019-02-06 17:15:00,,,,,,,,,1.9073569482288777,2.134423251589479
2019-02-06 17:30:00,,,,,,,,,2.465753424657535,2.6940639269406486
2019-02-06 17:45:00,,,,,,,,,2.5594149908592323,2.7879341864716745
2019-02-06 18:00:00,,,,,,,,,2.6532479414455468,2.8819762122598513
2019-02-06 18:15:00,,,,,,,,,2.372262773722622,2.600364963503665
2019-02-06 18:30:00,,,,,,,,,2.372262773722622,2.600364963503665
2019-02-06 18:45:00,,,,,,,,,2.1857923497267784,2.4134790528233196
2019-02-06 19:00:00,,,,,,,,,2.0928116469517866,2.3202911737943754
2019-02-06 19:15:00,,,,,,,,,1.9999999999999796,2.227272727272722
2019-02-06 19:30:00,,,,,,,,,1.814882032667886,2.04174228675138
2019-02-06 19:45:00,,,,,,65.62500000000009,,,1.9999999999999796,2.227272727272722
2019-02-06 20:00:00,,,,,,66.74418604651162,,,1.9073569482288777,2.134423251589479
2019-02-06 20:15:00,,,,,,64.48323539578308,,,1.9999999999999796,2.227272727272722
2019-02-06 20:30:00,,,,,,64.48323539578308,,,1.9999999999999796,2.227272727272722
2019-02-06 20:45:00,,,,,,65.82583025830264,,,1.9073569482288777,2.134423251589479
2019-02-06 21:00:00,,,0.2388705259982027,-1.2452168541939868,1.4915926742466472,68.39877347762979,,,1.7225747960108784,1.9492293744333589
2019-02-06 21:15:00,,,0.3361534022920276,-1.053031805195792,1.3941825041223668,65.73390163397622,31.94110776221273,63.77432719365038,1.814882032667886,2.04174228675138
2019-02-06 21:30:00,,,0.3000052473763004,-0.8989163181566839,1.2025225859810196,65.73390163397623,31.941107762213093,54.62740517480861,1.814882032667886,2.04174228675138
2019-02-06 21:45:00,,,0.26976057815255583,-0.7688531371362051,1.0412120211491602,65.73390163397622,0.0,21.294071841475276,1.814882032667886,2.04174228675138
2019-02-06 22:00:00,,,0.2127314142365666,-0.8654966000933295,1.0817586863797335,67.32395447357172,59.667140968982544,30.536082910398548,1.7225747960108784,1.9492293744333589
2019-02-06 22:15:00,,,0.31450204150418326,-0.7772969598345281,1.0943312560600837,64.11972764886829,0.0,19.88904698966085,1.814882032667886,2.04174228675138
2019-02-06 22:30:00,,,0.5747560170049182,-0.45646666304680616,1.0306131272467,55.57430388918224,0.0,19.88904698966085,2.0928116469517866,2.3202911737943754
2019-02-06 22:45:00,,,0.36872336571205366,-0.5503764084005547,0.9199353193618037,59.453883131739325,33.018677574220575,11.006225858073527,1.9073569482288777,2.134423251589479
2019-02-06 23:00:00,,,0.14272980579488337,-0.596038962639911,0.740447025518918,62.93925567949358,62.6823047835684,31.900327452596326,1.7225747960108784,1.9492293744333589
2019-02-06 23:15:00,,,0.13583746779401995,-0.5256833426807384,0.6628127846242957,62.93925567949358,86.18591654934988,60.62896630237962,1.7225747960108784,1.9492293744333589
2019-02-06 23:30:00,,,0.10939793983122392,-0.43578053275965534,0.5460696106681183,62.93925567949357,99.99999999999991,82.95607377763939,1.7225747960108784,1.9492293744333589
2019-02-06 23:45:00,,,0.1849529212873513,-0.29384584324747554,0.47905959553057553,59.73271854677883,8.000160993382634,64.72869251424413,1.814882032667886,2.04174228675138
2019-02-07 00:00:00,,,0.17751741237232999,-0.2591871038424509,0.4368829166798489,59.73271854677883,0.0,36.000053664460836,1.814882032667886,2.04174228675138
2019-02-07 00:15:00,,,0.26477451239457217,-0.15578268678154705,0.4203281375207888,56.40025718978929,0.0,2.666720331127531,1.9073569482288777,2.134423251589479
2019-02-07 00:30:00,,,0.17379014350855648,-0.24638542481530967,0.4203281375207888,58.87131201036927,37.78949979068938,12.59649993022978,1.814882032667886,2.04174228675138
2019-02-07 00:45:00,,,0.2602953661957841,-0.14222088844834113,0.4022787603714247,55.484766626827806,0.0,12.59649993022978,1.9073569482288777,2.134423251589479
2019-02-07 01:00:00,,,0.2602953661957841,-0.14222088844834113,0.4022787603714247,55.48476662682782,3.345342645819272e-13,12.596499930229891,1.9073569482288777,2.134423251589479
2019-02-07 01:15:00,,,0.35144108925595496,-0.05144108925603241,0.4022787603714247,52.014618828502435,0.0,9.710750722054702e-14,1.9999999999999796,2.227272727272722
2019-02-07 01:30:00,,,0.35144108925595496,-0.05144108925603241,0.4022787603714247,52.01461882850242,0.0,9.710750722054702e-14,1.9999999999999796,2.227272727272722
2019-02-07 01:45:00,,,0.3559243074058305,-0.06501521649681097,0.4203281375207888,52.01461882850242,0.0,-1.440391430676204e-14,1.9999999999999796,2.227272727272722
2019-02-07 02:00:00,,,-0.17507666784893905,-0.7643993935784077,0.5921040636980524,68.97758767931063,100.0,33.33333333333332,1.3550135501354976,1.5808491418247694
2019-02-07 02:15:00,,,-0.08819663074312034,-0.8061123123463299,0.7211402926679785,68.97758767931063,100.0,66.66666666666664,1.3550135501354976,1.5808491418247694
