timestamp,ema50_dist_eos_usd_30m,ema200_dist_eos_usd_30m,lower_bb_dist_eos_usd_30m,width_bb_eos_usd_30m,rsi_eos_usd_30m,stoch_rsi_fastk_eos_usd_30m,stoch_rsi_fastd_eos_usd_30m,kijun_dist_eos_usd_30m,tenkan_dist_eos_usd_30m
2019-01-30 22:00:00,,,,,,,,0.02757146540428601,0.03297951096834195
2019-01-30 22:30:00,,,,,,,,0.025620709584880164,0.031018488440769598
2019-01-30 23:00:00,,,,,,,,0.02354805069046817,0.028934921269787806
2019-01-30 23:30:00,,,,,,,,0.02384979153505995,0.029238250157928247
2019-01-31 00:00:00,,,,,,,,0.02402229476433182,0.029411661261109723
2019-01-31 00:30:00,,,,,,,,0.02285902473914514,0.0282422690171662
2019-01-31 01:00:00,,,,,,,,0.018019065365771914,0.023376837234621695
2019-01-31 01:30:00,,,,,,,,0.010823387800922957,0.016143289260321936
2019-01-31 02:00:00,,,,,,,,0.012971387499999931,0.018302593750000096
2019-01-31 02:30:00,,,,,,,,0.01360489055659797,0.01893943089430916
2019-01-31 03:00:00,,,,,,,,0.019855411527812672,0.02522284797382346
2019-01-31 03:30:00,,,,,,,,0.020754641642524163,0.026126810681446067
2019-01-31 04:00:00,,,,,,,,0.017422611424984247,0.022777244193346036
2019-01-31 04:30:00,,,,,,,,0.024151710337854793,0.02954175794085434
2019-01-31 05:00:00,,,,,0.5568086429811396,,,0.023114829274000437,0.028499419835590567
2019-01-31 05:30:00,,,,,0.59010562992035,,,0.020177350706368946,0.025546481498520235
2019-01-31 06:00:00,,,,,0.614304332212335,,,0.01791109373177302,0.02326829735253888
2019-01-31 06:30:00,,,,,0.5792292129705215,,,0.020069370200981762,0.025437932698359367
2019-01-31 07:00:00,,,,,0.5472650545228924,,,0.022127950388900697,0.027507347067479593
2019-01-31 07:30:00,,0.008668788328509036,-0.00797989052871051,0.016642946212705453,0.5639992632153339,,,0.020797501679542973,0.026169896288209538
2019-01-31 08:00:00,,0.00878423629467373,-0.006637433387843283,0.015405133789517304,0.5568490070358633,0.14296025916878466,0.1308594111416808,0.021226300092413775,0.026600951440813425
2019-01-31 08:30:00,,0.0073092452864818025,-0.00728798553314669,0.01459707565451446,0.5753996134948823,0.8801908242973526,0.4242563525741317,0.019855411527812672,0.02522284797382346
2019-01-31 09:00:00,,0.018237906439954932,0.001308991441401064,0.01676506251606595,0.43091797506451957,0.0,0.34105036115537907,0.030140394067796672,0.03556195974576282
2019-01-31 09:30:00,,0.019330956295128043,0.00041498647723314797,0.018731038807712996,0.4260769331647237,0.0,0.2933969414324509,0.030577079270877494,0.036000943196269786
2019-01-31 10:00:00,,0.02960543903364088,0.005000209870252181,0.02418673041298622,0.34678172830975734,0.0,0.0,0.038900615358318014,0.044368285543352926
2019-01-31 10:30:00,,0.028741175766465288,0.0007414257138218527,0.027592993438052212,0.37533966987085293,0.12491560552216029,0.04163853517405343,0.03699014016410418,0.04244775563543102
2019-01-31 11:00:00,,0.028141862448757937,-0.0020745215290118857,0.029827620600263813,0.3879639934012273,0.4894711456705069,0.20479558373088907,0.03615536376422446,0.041608585858585956
2019-01-31 11:30:00,,0.03164241920104005,-9.581216517595692e-05,0.031245388371890545,0.3489593452628247,0.027462151804138447,0.21394963433226852,0.04045678764016092,0.04593264786441864
2019-01-31 12:00:00,,0.031345930451031956,-0.0016042040541147662,0.032467317468649504,0.3447267613491683,0.0,0.1723110991582151,0.04094683365446361,0.046425272960822106
2019-01-31 12:30:00,,0.029691165065405256,-0.00355412748943984,0.03281643041738096,0.3531756922717589,0.19540869111181294,0.07429028097198379,0.04045678764016092,0.04593264786441864
2019-01-31 13:00:00,,0.023189921933721935,-0.009800211757954869,0.03277073834731863,0.4449597220540719,1.0,0.3984695637039376,0.03465605396433591,0.04010138528322771
2019-01-31 13:30:00,,0.02230028096739667,-0.01051653543548181,0.032624596431662385,0.44689535380859424,1.0,0.731802897037271,0.034523970212765986,0.03996860638297872
2019-01-31 14:00:00,,0.019928429587067642,-0.011530911624396012,0.03132780331592535,0.4610636757815375,1.0,1.0,0.033600327367033556,0.03904010246163003
2019-01-31 14:30:00,,0.015072199982664847,-0.01591380089698946,0.030999045292084863,0.5252937825820543,1.0,1.0,0.029093857941076884,0.03450991576363038
2019-01-31 15:00:00,,0.020340155483834943,-0.010610432244458567,0.03080074635947165,0.44821813876357036,0.04056083668724092,0.6801869455624135,0.0351406497487865,0.04058853146555408
2019-01-31 15:30:00,,0.020202595104770182,-0.009824737474762202,0.029872327200152402,0.4352600006676447,0.0,0.3468536122290803,0.03628786445012788,0.041741783887468076
2019-01-31 16:00:00,,0.019738768112949057,-0.008396190208057486,0.027976296658834932,0.4182321119403838,0.0,0.01352027889574695,0.03779191069751553,0.043253745837957824
2019-01-31 16:30:00,,0.014336158656205633,-0.011605302633782788,0.02590608839123803,0.4734533573835764,0.5157891252044355,0.17192970840147848,0.0340559916728409,0.03949816490071645
2019-01-31 17:00:00,,0.013930524177254489,-0.010309287985526217,0.024196002442909943,0.45935613571427825,0.7447138043309739,0.42016764317846983,0.03517476917264828,0.04062283045784976
2019-01-31 17:30:00,,0.013192955943826634,-0.008411843314765743,0.021553274941083146,0.4417048599053747,0.42506734095915844,0.5618567568315226,0.036572431418896434,0.042027848514730515
2019-01-31 18:00:00,,0.011149918288478222,-0.007176648508141703,0.018290230785991245,0.43681868934913043,0.3365838140660385,0.5021216531187236,0.036950876519513676,0.04240828534868846
