timestamp,ema50_dist_dash_btc_15m,ema200_dist_dash_btc_15m,upper_bb_dist_dash_btc_15m,lower_bb_dist_dash_btc_15m,width_bb_dash_btc_15m,rsi_dash_btc_15m,stoch_rsi_fastk_dash_btc_15m,stoch_rsi_fastd_dash_btc_15m,kijun_dist_dash_btc_15m,tenkan_dist_dash_btc_15m
2019-02-09 22:15:00,-0.21626870931253928,-1.4748481052626161,0.4148528134179985,-1.172972009605111,1.5938665270747918,54.08734677772317,81.24330805990041,93.7477693533001,4.5103915884636026,7.310961529012916
2019-02-09 22:30:00,-0.056817621287408304,-1.3065666974892642,0.5605935059139977,-1.0152955382941253,1.5794800080569746,51.53303492676161,72.797916033344,84.68040803108143,4.674966783130752,7.479946853009212
2019-02-09 22:45:00,-0.07348716033753755,-1.3127958314396615,0.5148988033748747,-1.0275679300659646,1.5464307700025701,51.83920769425634,3.7214336346749226,52.58755257597307,4.6543665436654225,7.458794587945872
2019-02-09 23:00:00,0.16615874842564882,-1.05878314458,0.7221142351321541,-0.7813004250210365,1.5038596987816777,47.776377701269126,0.0,25.506449889339603,4.912453760789126,7.72379778051786
2019-02-09 23:15:00,0.26893936652314654,-0.9369994838702711,0.8126222785627801,-0.6773269990840491,1.488942043497316,45.990780131342376,0.0,1.2404778782249366,5.03160181710447,7.846138652972545
2019-02-09 23:30:00,0.573374909897284,-0.6070032764742606,1.144389476939045,-0.3894107788312784,1.5280320973526886,41.22895466447144,0.0,-3.759955310063864e-14,5.375012384821165,8.198751610026743
2019-02-09 23:45:00,0.6179533955319005,-0.5326679757180153,1.2224152629439766,-0.35239741642391076,1.5679917752296606,40.276330965851315,0.0,-3.759955310063864e-14,5.448145944874083,8.273844933571283
2019-02-10 00:00:00,0.49796700580193587,-0.6249090085504116,1.1227599177675351,-0.4759691095265417,1.593575477438856,42.326465078435554,27.334951166408032,9.111650388802639,5.3437004754357975,8.166600633914411
2019-02-10 00:15:00,0.5262819511819838,-0.5699414870522168,1.1659203672816032,-0.4643050665184112,1.624526470658465,41.55831095197373,22.434008055652217,16.589653074020045,5.395897334258248,8.220196214448517
2019-02-10 00:30:00,0.673432325932799,-0.39325614920531216,1.351055503291887,-0.3439576723491822,1.6865207188520839,38.89751854506519,0.0,16.589653074020045,5.57899439122449,8.40819973197
2019-02-10 00:45:00,0.4075682104387912,-0.6334775092133094,1.0657061622381336,-0.6131637054374584,1.6750796443875555,44.37647966862212,100.0,40.8113360185507,5.31762142892509,8.139822745952374
2019-02-10 01:00:00,0.2675570352970169,-0.7536551297467886,0.9079755007966428,-0.7507288014937274,1.6574011979513712,47.03602833947434,100.0,66.66666666666663,5.182218266330407,8.000791178361254
2019-02-10 01:15:00,0.562906744630931,-0.4342078412157946,1.2166784547981813,-0.477058433963673,1.6874963583034197,41.7449442248175,34.98706460620574,78.32902153540188,5.516146634257635,8.34366784066669
2019-02-10 01:30:00,0.3494972243682559,-0.6250952225216877,1.011361107652431,-0.685602406726471,1.6942040058985766,45.845241517360286,85.36849064269626,73.45185174963396,5.307193425417078,8.129115302737745
2019-02-10 01:45:00,0.5558606341056649,-0.39430530114854534,1.2398048228928094,-0.4950025602022623,1.7283709102713845,42.16936192289056,8.02137499378203,42.79231008089463,5.547561157147807,8.375924180022821
2019-02-10 02:00:00,0.2997283404258422,-0.6295718004560191,0.994541191148679,-0.7217959184032896,1.7139996829968542,47.04053471846664,100.0,64.46328854549272,5.291555291555272,8.113058113058113
2019-02-10 02:15:00,-0.17724284291423809,-1.0982533865278699,0.5323177649627642,-1.145125646736056,1.6825989612253358,55.1731218528047,100.00000000000001,69.34045833126065,4.783251231527097,7.591133004926109
2019-02-10 02:30:00,-0.2363901026885662,-1.154808365761184,0.4747720183006843,-1.1235856443712389,1.6035597196535738,56.207714501909145,99.99999999999999,99.99999999999996,4.711036723441953,7.516983361228702
2019-02-10 02:45:00,-0.31197744765786295,-1.2299550475226906,0.32913149266464714,-1.1834498086196743,1.5190701485399098,57.56382863190011,100.0,99.99999999999996,4.618335628565795,7.421798150698411
