timestamp,ema50_dist_xrp_btc_15m,ema200_dist_xrp_btc_15m,upper_bb_dist_xrp_btc_15m,lower_bb_dist_xrp_btc_15m,width_bb_xrp_btc_15m,rsi_xrp_btc_15m,stoch_rsi_fastk_xrp_btc_15m,stoch_rsi_fastd_xrp_btc_15m,kijun_dist_xrp_btc_15m,tenkan_dist_xrp_btc_15m
2019-02-06 16:15:00,,,,,,,,,-2.177975008758626,-2.0962279574915366
2019-02-06 16:30:00,,,,,,,,,-2.5308354666046085,-2.449383290667906
2019-02-06 16:45:00,,,,,,,,,-2.0979429640018754,-2.0161290322580627
2019-02-06 17:00:00,,,,,,,,,-2.2806812879141436,-2.1990200653289826
2019-02-06 17:15:00,,,,,,,,,-2.553513261982321,-2.4720800372266094
2019-02-06 17:30:00,,,,,,,,,-2.8586338861185334,-2.7774556418879826
2019-02-06 17:45:00,,,,,,,,,-2.5988372093023404,-2.5174418604651194
2019-02-06 18:00:00,,,,,,,,,-2.7232609453025303,-2.6419695738009508
2019-02-06 18:15:00,,,,,,,,,-2.6441190144119053,-2.5627615062761455
2019-02-06 18:30:00,,,,,,,,,-2.6780527477634486,-2.596723597072148
2019-02-06 18:45:00,,,,,,,,,-2.655432887855913,-2.5740848343986156
2019-02-06 19:00:00,,,,,,,,,-2.4400186349871844,-2.3584905660377298
2019-02-06 19:15:00,,,,,,,,,-2.2920797853726804,-2.2104280881838245
2019-02-06 19:30:00,,,,,,,,,-2.314868804664727,-2.2332361516035015
2019-02-06 19:45:00,,,,,,47.698744769874246,,,-2.0521515434985926,-1.9702993451824025
2019-02-06 20:00:00,,,,,,46.4431212785959,,,-1.983384039316638,-1.9014743739761308
2019-02-06 20:15:00,,,,,,47.436534412189204,,,-2.0292397660818806,-1.947368421052642
2019-02-06 20:30:00,,,,,,48.21239978985227,,,-2.063603414006787,-1.981760785689235
2019-02-06 20:45:00,,,,,,45.557094196773924,,,-1.9374853664247405,-1.8555373448841062
2019-02-06 21:00:00,,,1.0116785349909119,-0.18049145936455124,1.1872359185991737,45.557094196773924,,,-1.9374853664247405,-1.8555373448841062
2019-02-06 21:15:00,,,1.061052619730174,-0.18741402036249744,1.243036815380912,44.77706771493678,0.0,0.0,-1.9030331420541002,-1.8210563297810012
2019-02-06 21:30:00,,,0.998333158198994,-0.2784455309017164,1.2721994857544665,46.102165917805706,38.57263792763108,12.857545975877025,-1.948964064146086,-1.8670256350228231
2019-02-06 21:45:00,,,0.9296519775534584,-0.35882498024376597,1.2848099368055275,48.11338723762646,100.0,46.190879309210366,-2.017779857293256,-1.9358989355480083
2019-02-06 22:00:00,,,1.0520606891375905,-0.2849919457249328,1.3319441711542077,45.09320539917395,9.475641708990288,49.34942654554046,-1.9030331420541002,-1.8210563297810012
2019-02-06 22:15:00,,,1.100722007137378,-0.2663144130906403,1.3613567880173716,43.33549681990481,0.0,36.49188056966343,-1.8340560178132015,-1.7520215633423208
2019-02-06 22:30:00,,,1.1323301263607588,-0.17961394661180075,1.3057241503509227,40.50186012905158,0.0,3.1585472363300986,-1.7188783292268028,-1.6367476240760293
2019-02-06 22:45:00,,,1.337998441799959,-0.04919317369078691,1.3783097511489217,35.72239555599019,0.0,2.3684757858670005e-15,-1.4992944496707516,-1.416980244590782
2019-02-06 23:00:00,,,1.203100601837237,-0.1524483512789332,1.3484651135842476,37.802468257674384,22.197363264149693,7.3991210880499,-1.5571747561405669,-1.4749089199670995
2019-02-06 23:15:00,,,1.1529639328178742,-0.1690683174422225,1.3155603798127977,37.28274590296076,20.495594277282052,14.230985847143918,-1.5340307981662193,-1.4517456212530866
2019-02-06 23:30:00,,,0.7026682040798038,-0.4624807406936382,1.1637513523467722,48.05091489358449,100.0,47.56431918047725,-1.8570591681312365,-1.7750439367311133
2019-02-06 23:45:00,,,0.6850060688748716,-0.303774397320522,0.9868992798847515,45.07437831252711,75.8564958244353,65.45069670057245,-1.741935483870971,-1.6598240469208214
2019-02-07 00:00:00,,,0.6044727732626987,-0.2724690191565293,0.875488465133723,44.77567749419487,69.58408247268875,81.81352609904134,-1.7304082590333225,-1.6482871891130957
2019-02-07 00:15:00,,,0.7650424283135671,-0.08787337117730498,0.8500377033403629,39.67861082398921,22.249510786045636,55.89669636105656,-1.522454737832124,-1.4401598871384924
2019-02-07 00:30:00,,,0.8232112413972814,-0.002825177367027365,0.8226619169041289,37.14854328276568,0.0,30.611197752911462,-1.4065442561205344,-1.3241525423728806
2019-02-07 00:45:00,,,0.7705086987112475,-0.08336903522129235,0.8509541123206182,38.417191133420886,16.006488223530347,12.75199966985866,-1.4413460407106782,-1.3589834098129194
2019-02-07 01:00:00,,,0.7306396165357665,-0.14364985062573776,0.8717309813381343,39.29688216102183,28.167052246660095,14.72451349006348,-1.464533584284211,-1.3821903305493488
2019-02-07 01:15:00,,,0.6367047200754428,-0.21935226298622768,0.8542743156383776,41.54498980016714,100.0,48.05784682339681,-1.522454737832124,-1.4401598871384924
2019-02-07 01:30:00,,,0.4563854393604849,-0.34014732734908293,0.7960700982833082,46.26028439825161,100.0,76.05568408222003,-1.6496418926852274,-1.5674533286368475
2019-02-07 01:45:00,,,0.30541251130054015,-0.46371457509023495,0.76973634064726,50.55554363452516,100.0,100.0,-1.7765009380863006,-1.6944183864915585
2019-02-07 02:00:00,,,0.4040551008893445,-0.3336077602762999,0.737403120721574,46.54883708782693,64.41223003171558,88.13741001057186,-1.6496418926852274,-1.5674533286368475
