timestamp,ema50_dist_eth_btc_15m,ema200_dist_eth_btc_15m,upper_bb_dist_eth_btc_15m,lower_bb_dist_eth_btc_15m,width_bb_eth_btc_15m,rsi_eth_btc_15m,stoch_rsi_fastk_eth_btc_15m,stoch_rsi_fastd_eth_btc_15m,kijun_dist_eth_btc_15m,tenkan_dist_eth_btc_15m
2019-02-06 16:15:00,,,,,,,,,10.135023604370952,10.31659568848835
2019-02-06 16:30:00,,,,,,,,,10.145932382461709,10.327522451135774
2019-02-06 16:45:00,,,,,,,,,9.621134952190058,9.801859823218217
2019-02-06 17:00:00,,,,,,,,,8.738591916558036,8.917861799217741
2019-02-06 17:15:00,,,,,,,,,8.68191295282774,8.861089392754762
2019-02-06 17:30:00,,,,,,,,,8.69607715365568,8.875276945132281
2019-02-06 17:45:00,,,,,,,,,8.976578577728421,9.156240812726612
2019-02-06 18:00:00,,,,,,,,,9.08704466679746,9.266889019684776
2019-02-06 18:15:00,,,,,,,,,9.076344613372566,9.256171325813312
2019-02-06 18:30:00,,,,,,,,,9.126296163030334,9.30620522717609
2019-02-06 18:45:00,,,,,,,,,9.076344613372566,9.256171325813312
2019-02-06 19:00:00,,,,,,,,,9.283585023094322,9.463753398630725
2019-02-06 19:15:00,,,,,,,,,9.24064311208619,9.4207406922296
2019-02-06 19:30:00,,,,,,,,,9.272846380609234,9.452997052079915
2019-02-06 19:45:00,,,,,,69.90881458966572,,,9.190586849081939,9.370601904886588
2019-02-06 20:00:00,,,,,,67.47912435116221,,,9.269267302086416,9.449412072975004
2019-02-06 20:15:00,,,,,,68.6009285798092,,,9.194160775072024,9.374181722964137
2019-02-06 20:30:00,,,,,,69.3067684695164,,,9.147717978079516,9.32766235890725
2019-02-06 20:45:00,,,,,,68.28940984450036,,,9.176293484308019,9.356284975619333
2019-02-06 21:00:00,,,0.5767770881264234,-0.7893343150721654,1.367564832140528,69.66796000753752,,,9.094179202092878,9.274035317200791
2019-02-06 21:15:00,,,0.4635385341639875,-0.6684806796827258,1.1331803959547482,70.50839013506275,100.0,77.78311106627885,9.044257043864823,9.224030855723342
2019-02-06 21:30:00,,,0.2423233685476589,-0.5456604024404288,0.7891807096664686,72.39139353795025,100.0,100.0,8.930320642591273,9.109906615294205
2019-02-06 21:45:00,,,0.34405128148755626,-0.31135230823534643,0.6552964521170918,66.13832487773055,0.0,66.66666666666667,9.08704466679746,9.266889019684776
2019-02-06 22:00:00,,,-0.09967934918663213,-0.8270419836260978,0.7307486361898717,74.29120772279674,100.0,66.66666666666667,8.554601067291422,8.733567616816362
2019-02-06 22:15:00,,,0.08347450584222926,-0.6162426832142964,0.7015861028028154,67.09987193206217,11.793951570314901,37.2646505234383,8.774046299315309,8.953374633192057
2019-02-06 22:30:00,,,0.19464245153018034,-0.4438015802897044,0.6392403947189679,62.18566663528243,0.0,37.2646505234383,8.940992064787912,9.120595630735062
2019-02-06 22:45:00,,,0.15351834457939528,-0.4985034942253552,0.6531484714205129,63.17442007489681,8.167775669558305,6.653909079957735,8.884101961552272,9.063611736675492
2019-02-06 23:00:00,,,-0.10642853593145762,-0.9046283746377282,0.8022554683830202,69.1927057038186,57.88290682655443,22.016894165370914,8.491056910569107,8.669918699187008
2019-02-06 23:15:00,,,-0.12823965264691095,-1.1054021723247542,0.9832272711032702,71.24443175743136,100.0,55.35022749870425,8.33252151323267,8.51112193537913
2019-02-06 23:30:00,,,-0.253690445570498,-1.518440967279544,1.2760572271935715,75.19749318680408,99.99999999999999,85.96096894218482,7.981874089658536,8.159896423369496
2019-02-06 23:45:00,,,-0.0150865972619596,-1.4431117177089337,1.438513308862205,71.49300764132506,69.18853016197488,89.72951005399163,8.104342190537928,8.282566429034354
2019-02-07 00:00:00,,,0.3030519065388759,-1.1445894183171768,1.4537582855076208,63.503550352096696,0.0,56.396176720658296,8.395880040289839,8.574584917308382
2019-02-07 00:15:00,,,0.48044242252014424,-0.9490551336399422,1.4328548260835365,59.371375852968114,0.0,23.062843387324964,8.565198997689482,8.744183019297736
2019-02-07 00:30:00,,,0.5763259477681082,-0.8072630507941159,1.3851884556076433,57.03974548505128,0.0,4.736951571734001e-15,8.664212892088209,8.84336015113516
2019-02-07 00:45:00,,,0.5931009614496885,-0.7510968568141263,1.3452605464865304,56.69719012355071,0.0,4.736951571734001e-15,8.678372479395403,8.85754308238591
2019-02-07 01:00:00,,,0.49895542705236107,-0.7821032497433045,1.2828748929593037,58.636696009683156,28.49549275981788,9.498497586605964,8.575798997591622,8.754800494695058
2019-02-07 01:15:00,,,0.48125075821268126,-0.7448196766039916,1.2276883372525331,59.04540630844613,87.81051215193652,38.76866830391814,8.554601067291422,8.733567616816362
2019-02-07 01:30:00,,,0.49557260638897205,-0.6739173845971558,1.1705337839265337,58.52642017090871,77.89870707493917,64.73490399556452,8.572265434308601,8.751261105867814
2019-02-07 01:45:00,,,0.4717115719442333,-0.6194451308913274,1.091963300959007,58.83812210184529,91.1726949190553,85.62730471531033,8.55813348084995,8.73710585402363
2019-02-07 02:00:00,,,0.03682534505173862,-1.0884344883530406,1.1312077756037653,68.66566316308378,100.0,89.69046733133149,8.013339377064055,8.191413585443241
2019-02-07 02:15:00,,,0.0837867186322061,-1.0653341449839315,1.1547882608431954,68.87220641073448,100.0,97.05756497301843,7.999352541275506,8.17740369051474
2019-02-07 02:30:00,,,0.013383784669018794,-1.2150644569380975,1.2358738703237586,71.40915776250915,100.0,100.0,7.824822236586959,8.00258564964449
