timestamp,ema50_dist_xrp_usd_15m,ema200_dist_xrp_usd_15m,upper_bb_dist_xrp_usd_15m,lower_bb_dist_xrp_usd_15m,width_bb_xrp_usd_15m,rsi_xrp_usd_15m,stoch_rsi_fastk_xrp_usd_15m,stoch_rsi_fastd_xrp_usd_15m,kijun_dist_xrp_usd_15m,tenkan_dist_xrp_usd_15m
2018-12-21 04:45:00,,,,,,,,,-18.804955510643328,-18.804955510643328
2018-12-21 05:00:00,,,,,,,,,-18.255687973997837,-18.255687973997837
2018-12-21 05:15:00,,,,,,,,,-18.31828263624842,-18.31828263624842
2018-12-21 05:30:00,,,,,,,,,-18.268646463578964,-18.268646463578964
2018-12-21 05:45:00,,,,,,,,,-18.004347019376045,-18.004347019376045
2018-12-21 06:00:00,,,,,,,,,-17.88027608176268,-17.88027608176268
2018-12-21 06:15:00,,,,,,,,,-17.670463618459586,-17.670463618459586
2018-12-21 06:30:00,,,,,,,,,-16.618598382749326,-16.618598382749326
2018-12-21 06:45:00,,,,,,,,,-16.996699669967008,-16.996699669967008
2018-12-21 07:00:00,,,,,,,,,-17.218817736626622,-17.218817736626622
2018-12-21 07:15:00,,,,,,,,,-17.838835621895843,-17.838835621895843
2018-12-21 07:30:00,,,,,,,,,-18.790034652945497,-18.790034652945497
2018-12-21 07:45:00,,,,,,,,,-18.130210400952773,-18.130210400952773
2018-12-21 08:00:00,,,,,,,,,-17.424323314291822,-17.424323314291822
2018-12-21 08:15:00,,,,,,43.39364970979859,,,-17.971733135341537,-17.971733135341537
2018-12-21 08:30:00,,,,,,40.86917806525019,,,-17.604677178776907,-17.604677178776907
2018-12-21 08:45:00,,,,,,49.79913386068434,,,-18.638384050919232,-18.638384050919232
2018-12-21 09:00:00,,,,,,56.34790044187861,,,-19.56917396843556,-19.56917396843556
2018-12-21 09:15:00,,,,,,53.25334284481057,,,-19.186760364690837,-19.186760364690837
2018-12-21 09:30:00,,,0.8021022102485231,-2.7111216124509507,3.5470810554799415,50.95185377389191,,,-18.892239119035136,-18.892239119035136
2018-12-21 09:45:00,,,0.23013219502694415,-3.4846809624996977,3.776263323248305,55.11492331802608,81.17237637705394,75.43966145210304,-19.47705442902882,-19.47705442902882
2018-12-21 10:00:00,,,1.4179484494481365,-2.3627059406272077,3.7985981604154953,48.14102185154693,0.0,48.770438850416305,-18.54626362630998,-18.54626362630998
2018-12-21 10:15:00,,,1.5069315816538253,-2.289256158081332,3.8110953073453837,47.740910179012616,0.0,27.057458792351298,-18.48831387842218,-18.48831387842218
2018-12-21 10:30:00,,,2.0421549839909847,-1.7748489729172867,3.8119092256598437,44.71686449901433,0.0,-1.4210854715202004e-14,-18.04779187750021,-18.04779187750021
2018-12-21 10:45:00,,,2.2982042384141588,-1.540455440241506,3.8241708742358673,43.32603979568307,0.0,-1.4210854715202004e-14,-17.838835621895843,-17.838835621895843
2018-12-21 11:00:00,,,2.0694336098331823,-1.7514433085373815,3.81481155299496,44.97707608422678,34.28956264817262,11.429854216057526,-18.02607520470626,-18.02607520470626
2018-12-21 11:15:00,,,2.7187261535016383,-1.154459486834991,3.843127260986037,41.39787813554033,0.0,11.429854216057526,-17.508000000000003,-17.508000000000003
2018-12-21 11:30:00,,,2.0385295475753518,-1.4349761134730188,3.4630549674579036,45.533843211192185,100.0,44.763187549390864,-17.967382657120133,-17.967382657120133
2018-12-21 11:45:00,,,1.2705375494300952,-1.9208284690520494,3.20177644924014,50.431592228255,100.0,66.66666666666666,-18.556986020061615,-18.556986020061615
2018-12-21 12:00:00,,,1.470955559708087,-1.4994583704019404,2.970837316178155,48.837785623981006,82.35712811013872,94.11904270337955,-18.359240980707824,-18.359240980707824
2018-12-21 12:15:00,,,1.1983006450152267,-1.7185364220795973,2.9244440692591,50.85580353028006,100.0,94.11904270337955,-18.597705383927178,-18.597705383927178
2018-12-21 12:30:00,,,1.0274886694837893,-1.8750309020981293,2.9148719570130717,51.97683549639608,100.0,94.11904270337955,-18.728161206420946,-18.728161206420946
2018-12-21 12:45:00,,,1.0017014459321016,-1.9153030841143281,2.9303905782102615,52.51231107911216,100.00000000000001,99.99999999999999,-18.787902654170285,-18.787902654170285
2018-12-21 13:00:00,,,2.1768043864286213,-0.6474988972952844,2.802871053288275,43.970085076324864,0.0,66.66666666666664,-17.810457516339874,-17.810457516339874
2018-12-21 13:15:00,,,1.64455824069627,-1.1270343204128896,2.7644392439346173,47.917766333585746,46.21372995718878,48.73790998572957,-18.236242533171232,-18.236242533171232
2018-12-21 13:30:00,,,0.25509391881077814,-2.5141998575230473,2.800931784475013,57.400312872506895,100.0,48.73790998572957,-19.46028274623135,-19.46028274623135
2018-12-21 13:45:00,,,0.8384261506346302,-1.9935105636695427,2.848387353475591,53.66703762753205,72.20244286521972,72.80539094080281,-19.030231645072636,-19.030231645072636
2018-12-21 14:00:00,,,-0.14668064065883613,-3.113637312839146,3.016124293094092,59.46992018169163,100.0,90.7341476217399,-19.904458598726116,-19.904458598726116
2018-12-21 14:15:00,,,-0.16252315902889336,-3.4962842680816175,3.395885565699721,60.75207484799795,100.0,90.7341476217399,-20.11336931539396,-20.11336931539396
2018-12-21 14:30:00,,,1.0789675152929723,-2.330405047964179,3.430839972809982,52.54581292925104,0.0,66.66666666666664,-19.1466283324621,-19.1466283324621
2018-12-21 14:45:00,,,0.39205877039492076,-3.08468576152241,3.524191193565771,56.458353321938134,47.67749837168898,49.225832790562976,-19.746536605614086,-19.746536605614086
