timestamp,ema50_dist_omg_usd_30m,ema200_dist_omg_usd_30m,lower_bb_dist_omg_usd_30m,width_bb_omg_usd_30m,rsi_omg_usd_30m,stoch_rsi_fastk_omg_usd_30m,stoch_rsi_fastd_omg_usd_30m,kijun_dist_omg_usd_30m,tenkan_dist_omg_usd_30m
2019-01-30 13:00:00,,,,,,,,-0.05410007859575594,-0.046022181468867274
2019-01-30 13:30:00,,,,,,,,-0.06721495005167089,-0.05924905270409919
2019-01-30 14:00:00,,,,,,,,-0.06576677591857871,-0.05778851129894769
2019-01-30 14:30:00,,,,,,,,-0.06745587602238501,-0.05949203616013765
2019-01-30 15:00:00,,,,,,,,-0.06479882576411677,-0.056812294940424723
2019-01-30 15:30:00,,,,,,,,-0.0698583082868186,-0.061914984972091025
2019-01-30 16:00:00,,,,,,,,-0.06496029005524884,-0.056975138121546975
2019-01-30 16:30:00,,,,,,,,-0.06334313386371515,-0.05534417156693194
2019-01-30 17:00:00,,,,,,,,-0.05690030474532015,-0.04884632128863742
2019-01-30 17:30:00,,,,,,,,-0.058294209702660416,-0.05025213006433649
2019-01-30 18:00:00,,,,,,,,-0.05747476505395077,-0.04942568743473719
2019-01-30 18:30:00,,,,,,,,-0.06009198195071175,-0.05206525511975013
2019-01-30 19:00:00,,,,,,,,-0.061557788944723635,-0.05354357996880943
2019-01-30 19:30:00,,,,,,,,-0.06277580687029516,-0.05477199965388935
2019-01-30 20:00:00,,,,,0.5599315068493141,,,-0.05984723548303106,-0.0518184185400572
2019-01-30 20:30:00,,,,,0.5400152439024382,,,-0.058212329362664184,-0.05016955047387173
2019-01-30 21:00:00,,,,,0.48104979108635043,,,-0.052942205123721386,-0.044854419865349215
2019-01-30 21:30:00,,,,,0.5198658634498337,,,-0.05657172720146331,-0.04851493772319471
2019-01-30 22:00:00,,,,,0.48439455958475525,,,-0.053273315269644295,-0.045188357661043455
2019-01-30 22:30:00,,0.012778021571616005,-0.007796712347935442,0.020523616679018235,0.5371145980080199,,,-0.058376075806311656,-0.05033469529687917
2019-01-30 23:00:00,,0.008023425311320054,-0.011493183899188852,0.019550527015012656,0.5776230111266739,1.0,0.6644033451253416,-0.06277580687029516,-0.05477199965388935
2019-01-30 23:30:00,,0.010321863076970805,-0.008342868198054076,0.01864628082789022,0.5434765293611956,0.6337332520199058,0.8615136526526902,-0.05984723548303106,-0.0518184185400572
2019-01-31 00:00:00,,0.005896375905099616,-0.012276043954892457,0.01823057235999938,0.5785089297518698,1.0,0.8779110840066353,-0.063667012448133,-0.05567081604426005
2019-01-31 00:30:00,,0.006359940544546028,-0.010687820748822241,0.017084731629275176,0.5636431029989232,0.6408728894347874,0.7582020471515645,-0.06245131134770199,-0.054444732969791354
2019-01-31 01:00:00,,-0.006328702733251257,-0.029394096517557866,0.023484866367648474,0.6782183900032416,1.0,0.8802909631449292,-0.07785629150349072,-0.06998127021964928
2019-01-31 01:30:00,,-0.004055740992243928,-0.03080719106973473,0.02722603986658348,0.6782183900032415,0.999999999999999,0.8802909631449289,-0.07785629150349072,-0.06998127021964928
2019-01-31 02:00:00,,-0.00257537108221495,-0.033922716465596525,0.03193003804537408,0.687584250550231,1.0,0.9999999999999996,-0.0793455163620912,-0.07148321291967707
2019-01-31 02:30:00,,-0.0011412171048530428,-0.036971798337197104,0.0365266516515654,0.6980453787548221,1.0,0.9999999999999996,-0.08098591549295797,-0.07313762090615994
2019-01-31 03:00:00,,0.013416354100367567,-0.022666052947381665,0.03625005810809244,0.5446610029441973,0.0,0.6666666666666667,-0.06801755291688183,-0.060058509722939135
2019-01-31 03:30:00,,0.020456962276245827,-0.01556179679366021,0.03593081542618825,0.488295776366664,0.0,0.33333333333333337,-0.061557788944723635,-0.05354357996880943
2019-01-31 04:00:00,,0.014769879250527751,-0.02060105926775413,0.03547436722893638,0.5325750487908393,0.21110539386021326,0.07036846462007108,-0.06705426356589161,-0.05908699397071493
2019-01-31 04:30:00,,0.020325854495669926,-0.015077738101801352,0.0353109346499617,0.4902483914822887,0.009309267304408245,0.0734715537215405,-0.06196414653156679,-0.05395340781155278
2019-01-31 05:00:00,,0.02252885529907389,-0.01310340832806145,0.03546512629353538,0.47414460111100554,0.0,0.0734715537215405,-0.05992883180003472,-0.0519007116819995
2019-01-31 05:30:00,,0.015113349092587214,-0.020298980929954302,0.03550438636068064,0.5317843150374231,0.9864670940440345,0.3319254537828143,-0.06697389956068589,-0.059005943664398264
2019-01-31 06:00:00,,0.013693056235680512,-0.021543443166032406,0.03537535451207191,0.5447556527636271,0.9999999999999999,0.6621556980146782,-0.06865864144454015,-0.06070507308684436
2019-01-31 07:00:00,,0.017431815309542076,-0.017311000673711496,0.034740717389693504,0.514080641032905,0.5655777528759796,0.8506816156400048,-0.06528305143251656,-0.05730065585088018
2019-01-31 07:30:00,,0.018805718943659677,-0.01392977876902457,0.03265588364518244,0.49895211734390704,0.3513262535012886,0.6389680021257561,-0.06358606380219611,-0.055589176104435034
2019-01-31 08:00:00,,0.018851771186836563,-0.012737969734051502,0.03149346851411055,0.4967033267709371,0.0,0.30563466879242285,-0.06334313386371515,-0.05534417156693194
2019-01-31 09:00:00,,0.03071619584195817,-0.0015174554640708937,0.031769831771161376,0.40929315336484806,0.0,0.11710875116709632,-0.05252799160251942,-0.04443666899930021
2019-01-31 09:30:00,,0.032165801151626594,-0.002068628780095061,0.03372688795160434,0.40407187559463764,0.0,1.1842378929335003e-16,-0.05178149347807082,-0.0436837958504771
