timestamp,ema50_dist_neo_usd_15m,ema200_dist_neo_usd_15m,upper_bb_dist_neo_usd_15m,lower_bb_dist_neo_usd_15m,width_bb_neo_usd_15m,rsi_neo_usd_15m,stoch_rsi_fastk_neo_usd_15m,stoch_rsi_fastd_neo_usd_15m,kijun_dist_neo_usd_15m,tenkan_dist_neo_usd_15m
2018-12-20 11:45:00,,,,,,,,,7.170704164762176,7.229182910762777
2018-12-20 12:00:00,,,,,,,,,6.462253442128163,6.520345615042533
2018-12-20 12:15:00,,,,,,,,,7.1505376344085825,7.20900537634408
2018-12-20 12:30:00,,,,,,,,,7.715173625185789,7.773949466288332
2018-12-20 12:45:00,,,,,,,,,7.566925734024177,7.62562068221071
2018-12-20 13:00:00,,,,,,,,,7.312082705147538,7.370638595735524
2018-12-20 13:15:00,,,,,,,,,7.5118004045853,7.570465273095084
2018-12-20 13:30:00,,,,,,,,,7.53645475024618,7.595133071641524
2018-12-20 13:45:00,,,,,,,,,6.75165376683895,6.809903853879318
2018-12-20 14:00:00,,,,,,,,,8.011435229720743,8.070372728873965
2018-12-20 14:15:00,,,,,,,,,9.463393200417425,9.523122974680076
2018-12-20 14:30:00,,,,,,,,,8.840193869888724,8.899583589323502
2018-12-20 14:45:00,,,,,,,,,8.232866297382424,8.29192462256978
2018-12-20 15:00:00,,,,,,,,,8.549720183548693,8.608951403167175
2018-12-20 15:15:00,,,,,,45.94263728576425,,,7.843402505343455,7.902248315792315
2018-12-20 15:30:00,,,,,,42.59716609290029,,,8.455207128766752,8.514386776409765
2018-12-20 15:45:00,,,,,,47.395137237799126,,,7.74428976888768,7.803081497499664
2018-12-20 16:00:00,,,,,,48.63445450299466,,,7.5553157042633545,7.614004317323264
2018-12-20 16:15:00,,,,,,46.851437554142414,,,7.839026039905295,7.8978694622928725
2018-12-20 16:30:00,,,2.5962727977531186,-0.18642147119173336,2.749564065886646,39.77298181065196,,,9.136708375544167,9.19625989102757
2018-12-20 16:45:00,,,2.1548841142087882,-0.6442252126962256,2.7781253281227785,42.670030321554606,32.6926303503256,34.38640783349059,8.730342748809994,8.789672526902992
2018-12-20 17:00:00,,,1.5075129804607679,-0.9920280578854079,2.493115221810749,45.76753709878715,67.64739334258917,33.44667456430492,8.285791904373795,8.344879108937796
2018-12-20 17:15:00,,,0.12034096606474698,-2.46873859932758,2.6198417158170657,55.14859924092455,100.0,66.78000789763826,6.717356965007615,6.775588337661631
2018-12-20 17:30:00,,,-0.2823572042631617,-3.333202220032838,3.107012965819575,58.99604380289847,100.0,89.21579778086306,5.944423033476398,6.00223264714872
2018-12-20 17:45:00,,,-0.3691140696564288,-3.9960660604816622,3.707879807120129,61.38513084523491,100.0,100.0,5.433000052901638,5.4905306036078905
2018-12-20 18:00:00,,,0.21841459253844064,-3.7450859488688315,4.034644873957015,58.671937514112436,82.62732803035297,94.20910934345098,5.809431533121856,5.867167487357827
2018-12-20 18:15:00,,,1.461701805551474,-2.5787680961015247,4.063164019448501,50.6272267644202,0.0,60.87577601011765,7.085768016656591,7.144200416414814
2018-12-20 18:30:00,,,2.3291597175875367,-1.7531434574249105,4.070579574895321,45.772622223636596,0.0,27.542442676784315,8.021680216802164,8.08062330623307
2018-12-20 18:45:00,,,2.3690183492804495,-1.6477486340216507,4.002333174755456,45.035434729720215,0.0,-9.473903143468002e-15,8.17154015978132,8.230565021760139
2018-12-20 19:00:00,,,3.2017323583464874,-0.9700145926960779,4.125709851188479,40.971165216456505,0.0,-9.473903143468002e-15,9.036696620300066,9.096193563388177
2018-12-20 19:15:00,,,3.4943450429488987,-0.6618679373247782,4.098173073249351,39.57033373344356,0.0,-9.473903143468002e-15,9.355281207133048,9.414951989026065
2018-12-20 19:30:00,,,4.304706781084944,-0.20063920628936582,4.414753748818158,36.44921211980664,0.0,-9.473903143468002e-15,10.103421724034355,10.163500736139163
2018-12-20 19:45:00,,,3.8681299504987,-0.8203392141371224,4.618094240408035,39.86601054227092,39.793965026241885,13.264655008747285,9.601847778266603,9.66165310162781
2018-12-20 20:00:00,,,3.89604582030334,-0.9557913935780649,4.7815424570025336,39.90801313409851,76.4890953171177,38.76102011445318,9.595820731371996,9.655622766015949
2018-12-20 20:15:00,,,3.032314910305045,-1.8108276059904727,4.813742887180892,45.92774258077039,100.0,72.09435344778652,8.71106747395407,8.770386734304259
2018-12-20 20:30:00,,,3.0877038050200367,-1.7828490888885051,4.838982051154921,45.58713871189434,96.40657515129809,90.96522348947191,8.771881950034777,8.83123439440039
2018-12-20 20:45:00,,,3.082831792652496,-1.815937103220444,4.867933102890128,45.392610255047266,91.17195675552176,95.85951063560661,8.804542166536988,8.863912432270116
2018-12-20 21:00:00,,,5.889474512401938,0.16881773929533495,5.552464509527155,32.81968048357574,0.0,62.526177302273275,11.597956183943436,11.658850703436684
2018-12-20 21:15:00,,,6.952098781705818,0.3067564684563706,6.4126015800178875,30.075501559294608,0.0,30.390652251840578,12.481304850862095,12.5426813782205
2018-12-20 21:30:00,,,7.957519269044022,0.2899719894240427,7.3638796158205135,27.995029808081075,0.0,-9.473903143468002e-15,13.220945590887778,13.282725710471377
2018-12-20 21:45:00,,,8.321338271012735,-0.21111531082051993,8.199936995373218,27.560454459406746,0.0,-9.473903143468002e-15,13.378749306671601,13.440615533400656
2018-12-20 22:00:00,,,6.66589581598982,-1.988534161254174,8.45665578965483,38.74172817459219,100.0,33.33333333333332,11.67925136236918,11.740190241374005
