timestamp,ema50_dist_etc_btc_30m,ema200_dist_etc_btc_30m,lower_bb_dist_etc_btc_30m,width_bb_etc_btc_30m,rsi_etc_btc_30m,stoch_rsi_fastk_etc_btc_30m,stoch_rsi_fastd_etc_btc_30m,kijun_dist_etc_btc_30m,tenkan_dist_etc_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.019685039370078705,-0.0017497812773401566
2019-01-29 16:30:00,,,,,,,,-0.023103748910200617,-0.00523103748910192
2019-01-29 17:00:00,,,,,,,,-0.023103748910200617,-0.00523103748910192
2019-01-29 17:30:00,,,,,,,,-0.023954703832752555,-0.0060975609756096505
2019-01-29 18:00:00,,,,,,,,-0.02054195804195813,-0.002622377622377603
2019-01-29 18:30:00,,,,,,,,-0.022251308900523625,-0.004363001745200656
2019-01-29 19:00:00,,,,,,,,-0.023103748910200617,-0.00523103748910192
2019-01-29 19:30:00,,,,,,,,-0.021397379912663772,-0.00349344978165933
2019-01-29 20:00:00,,,,,,,,-0.022251308900523625,-0.004363001745200656
2019-01-29 20:30:00,,,,,,,,-0.022251308900523625,-0.004363001745200656
2019-01-29 21:00:00,,,,,,,,-0.018826619964973812,-0.0008756567425568518
2019-01-29 21:30:00,,,,,,,,-0.018826619964973812,-0.0008756567425568518
2019-01-29 22:00:00,,,,,,,,-0.017105263157894735,0.0008771929824562541
2019-01-29 22:30:00,,,,,,,,-0.018826619964973812,-0.0008756567425568518
2019-01-29 23:00:00,,,,,0.39285714285714507,,,-0.014511873350923521,0.0035180299032542273
2019-01-29 23:30:00,,,,,0.4362244897959211,,,-0.01624231782265151,0.0017559262510975504
2019-01-30 00:00:00,,,,,0.4050655976676406,,,-0.014511873350923521,0.0035180299032542273
2019-01-30 00:30:00,,,,,0.3761323406913802,,,-0.012775330396475715,0.005286343612334932
2019-01-30 01:00:00,,,,,0.42069431635628207,,,-0.014511873350923521,0.0035180299032542273
2019-01-30 01:30:00,,0.009997035967778345,-0.003939090401491985,0.013894041695128085,0.4620732937594052,,,-0.01624231782265151,0.0017559262510975504
2019-01-30 02:00:00,,0.010864088447058107,-0.0034827176210472377,0.014294051221768456,0.4449594680646105,0.8008653024682126,0.8474753314404313,-0.01537785588752194,0.002636203866432485
2019-01-30 02:30:00,,0.008558181211006488,-0.005312567175918326,0.013848275308573148,0.48596510103081364,1.0,0.933621767489404,-0.017105263157894735,0.0008771929824562541
2019-01-30 03:00:00,,0.007098310376817185,-0.006134243768578518,0.013226178686782476,0.5056314762402556,1.0,0.933621767489404,-0.01796669588080646,0.0
2019-01-30 03:30:00,,0.003846618789141054,-0.008479485922007868,0.012354723607617503,0.5600159116692903,1.0,0.9999999999999999,-0.02054195804195813,-0.002622377622377603
2019-01-30 04:00:00,,0.00983580826593422,-0.002799748459425655,0.012591260295121887,0.43873606980637403,0.0,0.6666666666666664,-0.014511873350923521,0.0035180299032542273
2019-01-30 04:30:00,,0.016336947408175373,0.0017161499369577893,0.014490002756074241,0.35576353307140757,0.0,0.33333333333333315,-0.008407079646017612,0.009734513274336498
2019-01-30 05:00:00,,0.01923548934236674,0.0024149099477845937,0.016640443273958933,0.3272036112782515,0.0,-1.8947806286936004e-16,-0.005767524401064761,0.012422360248447228
2019-01-30 05:30:00,,0.01724337498572548,-0.0005914706456012775,0.017687579688833437,0.3638673456964041,0.15748194728788406,0.05249398242929449,-0.0075287865367582585,0.010628875110717528
2019-01-30 06:00:00,,0.016631466117401628,-0.001485319084629011,0.017980616670118018,0.3638673456964041,0.3287270351788037,0.16206966082222907,-0.0075287865367582585,0.010628875110717528
2019-01-30 06:30:00,,0.017780293416560955,-0.0007439136472614516,0.018367747106218323,0.3422376598826888,0.4100522994459011,0.2987537606375294,-0.005767524401064761,0.012422360248447228
2019-01-30 07:00:00,,0.01957873855950787,-0.0004676274483965681,0.019856624925285178,0.32164695313188957,0.0,0.24625977820823475,-0.0040000000000000036,0.014222222222222358
2019-01-30 07:30:00,,0.018297421523617352,-0.0024004410618055916,0.020534643174753155,0.34293360700289016,0.5041794397925995,0.3047439130795,-0.004884547069271883,0.013321492007104752
2019-01-30 08:00:00,,0.016078021856618774,-0.004819156608391717,0.020780197741906547,0.3845315712755141,1.0,0.501393146597533,-0.0066489361702128935,0.01152482269503552
2019-01-30 08:30:00,,0.017160235709125615,-0.0037499337553066336,0.020770897461030086,0.35998811777036904,0.6097065668890712,0.7046286688938901,-0.004884547069271883,0.013321492007104752
2019-01-30 09:00:00,,0.01234403699389719,-0.008365257153048367,0.02066817708378155,0.45384097085312747,1.0000000000000002,0.8699021889630235,-0.009283819628647327,0.008841732979663952
2019-01-30 09:30:00,,0.013542129394841007,-0.006899082450642524,0.02037354065199817,0.4268756554133511,0.7568663206512716,0.788857629180114,-0.0075287865367582585,0.010628875110717528
2019-01-30 10:00:00,,0.014973738437215722,-0.0056569682508803565,0.020535046533437254,0.40120411842247705,0.4391555429408649,0.7320072878640452,-0.005767524401064761,0.012422360248447228
2019-01-30 10:30:00,,0.01291915045422698,-0.007693286858124093,0.020558718782317593,0.4376258442665597,0.8272281976098325,0.6744166870673227,-0.0075287865367582585,0.010628875110717528
2019-01-30 11:00:00,,0.009808752855061664,-0.010338788190750181,0.020152881915577486,0.48793876801997976,1.0,0.7554612468502322,-0.010159010600706675,0.007950530035335746
2019-01-30 11:30:00,,0.010766004591208134,-0.008553615210676768,0.019298272155694855,0.4584893397351583,0.660465241728845,0.8292311464462255,-0.008407079646017612,0.009734513274336498
