timestamp,ema50_dist_neo_usd_30m,ema200_dist_neo_usd_30m,lower_bb_dist_neo_usd_30m,width_bb_neo_usd_30m,rsi_neo_usd_30m,stoch_rsi_fastk_neo_usd_30m,stoch_rsi_fastd_neo_usd_30m,kijun_dist_neo_usd_30m,tenkan_dist_neo_usd_30m
2019-01-30 22:00:00,,,,,,,,-0.010122355093048152,-0.007981487383430075
2019-01-30 22:30:00,,,,,,,,-0.01038289973124984,-0.008242595517136242
2019-01-30 23:00:00,,,,,,,,-0.010574792243767228,-0.008434903047091269
2019-01-30 23:30:00,,,,,,,,-0.010889882724339883,-0.008750674992730745
2019-01-31 00:00:00,,,,,,,,-0.010106628892014635,-0.007965727170399117
2019-01-31 00:30:00,,,,,,,,-0.005575121455517307,-0.003424419171179083
2019-01-31 01:00:00,,,,,,,,-0.010917272412599544,-0.008778123918310787
2019-01-31 01:30:00,,,,,,,,-0.024278143524462448,-0.022167891386893124
2019-01-31 02:00:00,,,,,,,,-0.02100206937192506,-0.018884731872438887
2019-01-31 02:30:00,,,,,,,,-0.02381147596988209,-0.021700214542423324
2019-01-31 03:00:00,,,,,,,,-0.01652738962236877,-0.014400374464804355
2019-01-31 03:30:00,,,,,,,,-0.014886369904572705,-0.012755805615312421
2019-01-31 04:00:00,,,,,,,,-0.014791267290956922,-0.012660497317574237
2019-01-31 04:30:00,,,,,,,,-0.012148240337412686,-0.010011754131231343
2019-01-31 05:00:00,,,,,0.4900089472114519,,,-0.00920249653259364,-0.007059639389736416
2019-01-31 05:30:00,,,,,0.4853325456156688,,,-0.008790065214374865,-0.006646316081587278
2019-01-31 06:00:00,,,,,0.5506096416323645,,,-0.014587414130824539,-0.012456203271994815
2019-01-31 06:30:00,,,,,0.5458617654339905,,,-0.014220265776146324,-0.012088260863565403
2019-01-31 07:00:00,,,,,0.47897835431464775,,,-0.008666268855552994,-0.0065222519809605695
2019-01-31 07:30:00,,0.006645946083490006,-0.013378055120845445,0.020091630728737465,0.5631687875123267,,,-0.016757508189500836,-0.014630990723153436
2019-01-31 08:00:00,,0.010502287800598031,-0.009368183295148103,0.019859209886043002,0.5211151684527566,0.5004940886712351,0.500164696223745,-0.013021732823056409,-0.010887135771425305
2019-01-31 08:30:00,,0.011372257455973367,-0.008341360847984425,0.019683788539998623,0.5118353651991754,0.390270124960391,0.6302547378772086,-0.012175560379993677,-0.010039133260505761
2019-01-31 09:00:00,,0.03005117529977941,0.004629529648209507,0.024988339044793435,0.375229006745005,0.0,0.2969214045438754,0.0041678380657856895,0.006339612032611797
2019-01-31 09:30:00,,0.03788924900348478,0.005540819251559581,0.031660911968031065,0.34367299577329946,0.0,0.13009004165346366,0.009503419817986636,0.011686733367249014
2019-01-31 10:00:00,,0.043400192421471306,0.004297155808139275,0.038192203205360875,0.32585494998280856,0.0,0.0,0.012752377934403203,0.014942718200106064
2019-01-31 10:30:00,,0.050237581028642175,0.004011053108669893,0.045005776955899246,0.30325651315916397,0.0,0.0,0.017121337244069945,0.01932112651991935
2019-01-31 11:00:00,,0.06423442822642422,0.007192889706286509,0.05507462224362789,0.2579250549158022,0.0,0.0,0.027552825764876943,0.029775175846147306
2019-01-31 11:30:00,,0.06987432344118649,0.005018738022143143,0.06251462942702571,0.24110420374657507,0.0,0.0,0.03214038028087618,0.034372652141247295
2019-01-31 12:00:00,,0.06312744770138634,-0.004951317923047371,0.06615446038796087,0.30420500002543677,0.7445456126483543,0.2481818708827848,0.026224303630173473,0.02844378043699991
2019-01-31 12:30:00,,0.04593076442344146,-0.019311733020216937,0.06438555686362493,0.4270097310603657,1.0,0.5815152042161181,0.012335969163619787,0.014525408837116949
2019-01-31 13:00:00,,0.04666274242269264,-0.018360420306693936,0.06411584902348498,0.4131142995168865,0.9252554147030548,0.889933675783803,0.014766254243788746,0.016960950040484812
2019-01-31 13:30:00,,0.043529868232885516,-0.02061404946550638,0.06341728815732595,0.42351445707447494,0.9811986548415473,0.9688180231815341,0.013513705238068274,0.0157056920719596
2019-01-31 14:00:00,,0.048086246530067545,-0.01614765166925447,0.06322425132509671,0.38670020720083137,0.6717591942930177,0.8594044212792066,0.019793004996431218,0.02199857244825143
2019-01-31 14:30:00,,0.04209312178417468,-0.020875332867320795,0.06230744157980081,0.4208060906006228,0.846099882465479,0.8330192438666814,0.015834079888514374,0.018031085135730818
2019-01-31 15:00:00,,0.03941841669493118,-0.022525351296591833,0.06142494022536484,0.42906661716948996,1.0,0.839286358919499,0.014882244081182217,0.017077190736051184
2019-01-31 15:30:00,,0.04119455822750617,-0.02008612260420939,0.06064066603414767,0.4061802708108534,0.45979972398966007,0.768633202151713,0.01838282028433369,0.02058533784515948
2019-01-31 16:00:00,,0.035755697202849435,-0.02203076598441367,0.05739260838599103,0.4263370471393244,0.9355723075855417,0.7984573438584006,0.016238708300732707,0.01843658866206721
2019-01-31 16:30:00,,0.03550314588127912,-0.01863818879735679,0.053688606655069256,0.40356435299557175,0.0,0.4651240105250673,0.019552280043104275,0.02175732686464049
2019-01-31 17:00:00,,0.033932293926469015,-0.017601694915295396,0.05111660644046871,0.3951531271325707,0.0,0.31185743586184733,0.02078391586407946,0.022991626418221944
2019-01-31 17:30:00,,0.029667165603767254,-0.014500134338117587,0.04383487746337823,0.3852318865479608,0.0,9.473903143468002e-17,0.02220075838878155,0.024411533233168914
2019-01-31 18:00:00,,0.020831903160332788,-0.015014992593547438,0.035742939014060934,0.4195343934405856,0.8345060911848604,0.27816869706162023,0.019109234346690984,0.02131332296674615
