timestamp,ema50_dist_etc_usd_30m,ema200_dist_etc_usd_30m,lower_bb_dist_etc_usd_30m,width_bb_etc_usd_30m,rsi_etc_usd_30m,stoch_rsi_fastk_etc_usd_30m,stoch_rsi_fastd_etc_usd_30m,kijun_dist_etc_usd_30m,tenkan_dist_etc_usd_30m
2019-01-30 20:30:00,,,,,,,,-0.03711785009861934,-0.020142998027613546
2019-01-30 21:00:00,,,,,,,,-0.03825600866824275,-0.021301221434200435
2019-01-30 21:30:00,,,,,,,,-0.03714158921131128,-0.02016715564211935
2019-01-30 22:00:00,,,,,,,,-0.03521492094861656,-0.01820652173913062
2019-01-30 22:30:00,,,,,,,,-0.03948598130841119,-0.02255287752090518
2019-01-30 23:00:00,,,,,,,,-0.03721279952667389,-0.020239621339118608
2019-01-30 23:30:00,,,,,,,,-0.03678537956888461,-0.019804666304937713
2019-01-31 00:00:00,,,,,,,,-0.03664282190429213,-0.01965959546127305
2019-01-31 00:30:00,,,,,,,,-0.03628624305983963,-0.019296730413325247
2019-01-31 01:00:00,,,,,,,,-0.04163088022379813,-0.024735589310691863
2019-01-31 01:30:00,,,,,,,,-0.05048503561790385,-0.0337458364737061
2019-01-31 02:00:00,,,,,,,,-0.04742798604844012,-0.03063489353398874
2019-01-31 02:30:00,,,,,,,,-0.04999999999999993,-0.03325225006081256
2019-01-31 03:00:00,,,,,,,,-0.04698633479746217,-0.030185456320156234
2019-01-31 03:30:00,,,,,0.577981651376147,,,-0.043133651843684895,-0.026264853607742444
2019-01-31 04:00:00,,,,,0.6140773566234992,,,-0.04645115609053396,-0.029640842835168657
2019-01-31 04:30:00,,,,,0.5495549928176887,,,-0.042218461840298316,-0.02533352952717305
2019-01-31 05:00:00,,,,,0.5335444828506819,,,-0.04108966804164205,-0.024184835985071818
2019-01-31 05:30:00,,,,,0.5613558012831664,,,-0.04336803429271263,-0.026503368034292762
2019-01-31 06:00:00,,0.007867452072952918,-0.011639742882280757,0.019544057890211883,0.5609844583852983,,,-0.04334460121497152,-0.02647952184989233
2019-01-31 06:30:00,,0.011388067245792222,-0.007799080028486172,0.019152777737041403,0.5087901903073281,0.0,0.2286904356721229,-0.03995821042281211,-0.023033431661750314
2019-01-31 07:00:00,,0.015746010475931715,-0.003990888283880389,0.019621571772916784,0.4549721468499637,0.0,0.11357670579770301,-0.035929400148111634,-0.018933596642804362
2019-01-31 07:30:00,,0.01353788002407219,-0.006005303725330924,0.019469854666502733,0.48499523997999544,0.2822152828833589,0.09407176096111963,-0.037995418380668555,-0.021036037145602093
2019-01-31 08:00:00,,0.013779381643878041,-0.005206404142091281,0.01890475078439354,0.4797610779649859,0.2338306820784669,0.17201532165394195,-0.03761612577314499,-0.020650057908873642
2019-01-31 08:30:00,,0.015125596671123898,-0.00439307095007091,0.019414484394631604,0.4629469025864477,0.1481799638963426,0.2214086429527228,-0.03642890626927531,-0.01944190866250528
2019-01-31 09:00:00,,0.02846218902374731,0.0040742453943003465,0.023997546333214735,0.3438201605221905,0.0,0.12733688199160317,-0.025391794769415,-0.008210221601118173
2019-01-31 09:30:00,,0.030198551019114284,0.0019747107459588964,0.027777001896621023,0.34032718420074315,0.0,0.049393321298780865,-0.024978155036824212,-0.007789289726625959
2019-01-31 10:00:00,,0.037911573174538526,0.003861373200235496,0.03335356170210806,0.29761431511099984,0.0,0.0,-0.019519481823659368,-0.0022343844145412683
2019-01-31 10:30:00,,0.03747340821207157,-0.00040675491450026247,0.037190892173559524,0.32265697317591313,0.15146837321851103,0.050489457739503675,-0.021018725089614665,-0.003760058155566237
2019-01-31 11:00:00,,0.04111929526556879,-0.0009996551911708451,0.04129066710538969,0.30229699851994773,0.10134396129485763,0.0842707781711229,-0.018385864374403038,-0.0010807821846882115
2019-01-31 11:30:00,,0.04319063586327676,-0.001424640348824946,0.043702634200115935,0.283736504875704,0.0,0.0842707781711229,-0.015838016279011158,0.0015119824610032584
2019-01-31 12:00:00,,0.03857408158668041,-0.006842080883533774,0.04470684367278408,0.3420260828177108,1.0,0.36711465376495256,-0.01924863765349938,-0.0019587654755029993
2019-01-31 12:30:00,,0.03840640574501619,-0.0068555229038269605,0.044558990898168255,0.32886819689647157,0.774266920677823,0.5914223068926077,-0.01769455203984105,-0.0003772825594849927
2019-01-31 13:00:00,,0.033539052933602154,-0.010720244156172898,0.04376002131058388,0.37681645795683066,1.0000000000000002,0.924755640225941,-0.02057680250783689,-0.003310344827586298
2019-01-31 13:30:00,,0.03115998163242728,-0.012478883215910952,0.04323502596083081,0.3916191639348777,1.0,0.924755640225941,-0.021484766486269846,-0.004234315494087149
2019-01-31 14:00:00,,0.03128460098221075,-0.010698433922086581,0.04155530270246386,0.36772152459128327,0.6191669950047448,0.8730556650015815,-0.01917474509016015,-0.0018835702446130531
2019-01-31 14:30:00,,0.027178200465705293,-0.013275877564960958,0.040174816395660846,0.4047581461315582,1.0,0.8730556650015815,-0.021362167038364133,-0.0041095547147118605
2019-01-31 15:00:00,,0.024497742838887726,-0.014232344741742287,0.03853231281530364,0.41836268555343,1.0,0.8730556650015815,-0.022170756134201386,-0.00493239859789707
2019-01-31 15:30:00,,0.028312976391024813,-0.00848680180984307,0.036438559579017725,0.3537240979276152,0.0,0.6666666666666667,-0.016135533442499073,0.0012092203048241768
2019-01-31 16:00:00,,0.021267071709056617,-0.01154965967271604,0.03265805549101661,0.413835138120247,0.9299559659410818,0.6433186553136939,-0.019863976308788778,-0.002584952065452062
