timestamp,ema50_dist_omg_usd_15m,ema200_dist_omg_usd_15m,upper_bb_dist_omg_usd_15m,lower_bb_dist_omg_usd_15m,width_bb_omg_usd_15m,rsi_omg_usd_15m,stoch_rsi_fastk_omg_usd_15m,stoch_rsi_fastd_omg_usd_15m,kijun_dist_omg_usd_15m,tenkan_dist_omg_usd_15m
2018-12-14 20:00:00,,,,,,,,,3.7054776626317176,2.325176347644309
2018-12-14 20:15:00,,,,,,,,,3.8411231252180045,2.4590163934426146
2018-12-14 20:30:00,,,,,,,,,3.211128445137823,1.8374068296065138
2018-12-14 20:45:00,,,,,,,,,3.8049163179916468,2.423291492329138
2018-12-14 21:00:00,,,,,,,,,3.3544523520222524,1.9788231209859397
2018-12-14 21:15:00,,,,,,,,,4.02253668763104,2.6380153738644108
2018-12-14 21:30:00,,,,,,,,,4.277583187390577,2.889667250437822
2018-12-14 21:45:00,,,,,,,,,5.384955752212406,3.9823008849557473
2018-12-14 22:00:00,,,,,,,,,5.254551882623315,3.853632667491591
2018-12-14 22:15:00,,,,,,,,,7.090827338129513,5.6654676258992565
2018-12-14 22:30:00,,,,,,,,,8.614556731120038,7.168916453848939
2018-12-14 22:45:00,,,,,,,,,8.40691852526174,6.964041875284455
2018-12-14 23:00:00,,,,,,,,,3.7325783972125715,2.3519163763066064
2018-12-14 23:15:00,,,,,,,,,3.8049163179916468,2.423291492329138
2018-12-14 23:30:00,,,,,,49.46727549467273,,,3.8320690557154258,2.450082831981848
2018-12-14 23:45:00,,,,,,43.7325328640927,,,5.301087629321799,3.899549031744609
2018-12-15 00:00:00,,,,,,44.72455356793662,,,5.087363219202268,3.688669255206478
2018-12-15 00:15:00,,,,,,38.910656358570094,,,6.7931127253161305,5.371715541207056
2018-12-15 00:30:00,,,,,,44.49185534975598,,,5.5624501373991775,4.157432851697518
2018-12-15 00:45:00,,,3.8516694583073052,-2.1348930839967695,5.935611950485719,43.21625361363284,,,5.928660380715178,4.518768902330517
2018-12-15 01:00:00,,,3.752224105038393,-2.1646117529871556,5.870237549807792,43.045858928706785,71.12617270691752,66.01745067000762,5.9757942511346585,4.565275429385052
2018-12-15 01:15:00,,,3.738915716058666,-2.1181369581508624,5.809969300081195,42.54009241464336,65.0296837974252,70.07094872075469,6.107992515370242,4.6957141584246465
2018-12-15 01:30:00,,,2.5578370148115592,-2.957801697841822,5.526691118961393,47.43360552522516,100.0,78.7186188347809,5.14303372770617,3.7435987992230135
2018-12-15 01:45:00,,,2.3681235328804062,-2.9806025726828,5.365156334564119,47.66660353834267,100.0,88.34322793247505,5.0966375430235855,3.6978201394404664
2018-12-15 02:00:00,,,2.501462572753743,-2.5448753485135867,5.0474335367687875,45.74503725864774,62.51707577865705,87.505691926219,5.5063347213608616,4.102064321786103
2018-12-15 02:15:00,,,2.9048000772792903,-2.0084265586124084,4.891304456956923,43.02794875453386,9.516342169534976,57.34447264939732,6.107992515370242,4.6957141584246465
2018-12-15 02:30:00,,,2.4042573476653617,-2.343877308596043,4.746701626113219,45.1653411581615,46.07785022261616,39.37042272360271,5.74054342035164,4.333155744983097
2018-12-15 02:45:00,,,2.602091811708429,-2.1526836066716015,4.744115196904396,44.02513550049436,21.497326109310197,25.69717283382042,5.9757942511346585,4.565275429385052
2018-12-15 03:00:00,,,3.234754941336293,-1.591827412894209,4.787256774527538,40.74614039588656,0.0,22.52505877730876,6.678312281644727,5.258443070859076
2018-12-15 03:15:00,,,2.969355670876017,-1.7504101838340835,4.691174425237241,42.43093126041312,38.12433413093569,19.873886746748603,6.420911528150142,5.004468275245744
2018-12-15 03:30:00,,,3.312226827233733,-0.9112567383089853,4.1733827300206565,39.85458951750573,0.0,12.708111376978536,6.965777418485608,5.54208209826641
2018-12-15 03:45:00,,,2.096234342652048,-1.4121315048263638,3.4964063399815464,46.48485877485179,99.99999999999999,46.04144471031187,5.938083800373639,4.52806689796279
2018-12-15 04:00:00,,,1.8087615106834543,-1.3033784694877149,3.1042956881928334,46.382887610455576,98.46203584743965,66.15401194914652,5.956935670433339,4.546667853011832
2018-12-15 04:15:00,,,0.626651101658604,-2.056733979458103,2.702710581749745,52.19854592532539,100.0,99.48734528247985,4.9947099277023455,3.5972491624052028
2018-12-15 04:30:00,,,0.32479244713341515,-1.8834629928445867,2.2256003283697816,52.252695092736566,100.0,99.48734528247985,4.985453583708033,3.588116018689913
2018-12-15 04:45:00,,,0.37304842514700454,-1.901744537286798,2.2923142216258166,52.252695092736566,100.0,99.99999999999996,4.985453583708033,3.588116018689913
2018-12-15 05:00:00,,,0.09664038811643128,-2.3109574719988535,2.4345522128984203,54.749544165667196,100.0,99.99999999999996,4.598155467720688,3.2059727711901465
2018-12-15 05:15:00,,,0.38539307545706336,-1.980463497992413,2.3848768057204572,52.97380173598102,30.390291862833813,76.79676395427789,4.828345070422557,3.4330985915492995
2018-12-15 05:30:00,,,-0.3962721421190807,-3.277907650762446,2.9355644668677012,60.24926423034827,100.0,76.79676395427789,3.633278217735625,2.2539378644156116
2018-12-15 05:45:00,,,0.3651557571662023,-2.712174929012612,3.113872275829071,55.453355935614404,40.02542575194648,56.80523920492672,4.250196971023379,2.86264553970057
2018-12-15 06:00:00,,,0.28100750438508904,-3.006217001591893,3.3326351507953498,57.2325455488735,58.53571255696329,66.18704610296989,3.9498952513966623,2.5663407821229
2018-12-15 06:15:00,,,0.7284249900740836,-2.626305529573214,3.386869891935889,54.5316355876058,21.412162495935792,39.99110026828181,4.295848660010537,2.907689612891917
