timestamp,ema50_dist_zec_usd_4h,ema200_dist_zec_usd_4h,lower_bb_dist_zec_usd_4h,width_bb_zec_usd_4h,rsi_zec_usd_4h,stoch_rsi_fastk_zec_usd_4h,stoch_rsi_fastd_zec_usd_4h,kijun_dist_zec_usd_4h,tenkan_dist_zec_usd_4h
2019-01-14 20:00:00,,,,,,,,-0.12787148314175578,-0.12787148314175578
2019-01-15 00:00:00,,,,,,,,-0.12180556775270046,-0.12180556775270046
2019-01-15 04:00:00,,,,,,,,-0.11182165378808062,-0.11182165378808062
2019-01-15 08:00:00,,,,,,,,-0.10782791784879464,-0.10782791784879464
2019-01-15 12:00:00,,,,,,,,-0.10379810363678721,-0.10379810363678721
2019-01-15 16:00:00,,,,,,,,-0.09105782690105257,-0.09105782690105257
2019-01-15 20:00:00,,,,,,,,-0.09133863991567626,-0.09133863991567626
2019-01-16 00:00:00,,,,,,,,-0.07776302198612961,-0.07776302198612961
2019-01-16 04:00:00,,,,,,,,-0.08032446152997219,-0.08032446152997219
2019-01-16 08:00:00,,,,,,,,-0.08745802306906125,-0.08745802306906125
2019-01-16 12:00:00,,,,,,,,-0.09331592499909336,-0.09331592499909336
2019-01-16 16:00:00,,,,,,,,-0.08993283704337385,-0.08993283704337385
2019-01-16 20:00:00,,,,,,,,-0.08665789858249306,-0.08665789858249306
2019-01-17 00:00:00,,,,,,,,-0.06590943057838883,-0.06590943057838883
2019-01-17 04:00:00,,,,,0.16265888010992807,,,-0.06372301181581552,-0.06372301181581552
2019-01-17 08:00:00,,,,,0.19839362509486475,,,-0.06792931175900374,-0.06792931175900374
2019-01-17 12:00:00,,,,,0.23570628114691142,,,-0.072356215213358,-0.072356215213358
2019-01-17 16:00:00,,,,,0.3102592098101275,,,-0.08176008227429665,-0.08176008227429665
2019-01-17 20:00:00,,,,,0.3450346435988951,,,-0.08644095667903018,-0.08644095667903018
2019-01-18 00:00:00,,0.0376012275478006,-0.038401431236011585,0.0760330797592368,0.3760010741924715,,,-0.0906776270323355,-0.0906776270323355
2019-01-18 04:00:00,,0.036971793086366,-0.028535432114150994,0.06523206457864286,0.3489010777096962,0.8068353365475605,0.9356117788491868,-0.08419876549993588,-0.08419876549993588
2019-01-18 08:00:00,,0.030908541379031096,-0.024344941026917644,0.05507274466281844,0.34416271673372556,0.5157065021220086,0.7741806128898564,-0.08303990610328638,-0.08303990610328638
2019-01-18 12:00:00,,0.03773944470535451,-0.012526118297399802,0.04963977112663821,0.30418720300044866,0.0,0.44084727955652303,-0.07249387845959787,-0.07249387845959787
2019-01-18 16:00:00,,0.0340758453050336,-0.010967927895645158,0.044529283695708965,0.3010290369611669,0.0,0.17190216737400288,-0.07159833630421863,-0.07159833630421863
2019-01-18 20:00:00,,0.036066732641503396,-0.005655170048135871,0.04109699083504979,0.2825593862850194,0.0,0.0,-0.06632805497460414,-0.06632805497460414
2019-01-19 00:00:00,,0.032205826820482786,-0.00929067361195135,0.04102643688897866,0.3027162327589626,0.3272038431546609,0.1090679477182203,-0.06864114743410643,-0.06864114743410643
2019-01-19 04:00:00,,0.02122899790379318,-0.018040945255696883,0.039207445459329235,0.3721343262284973,1.0,0.4424012810515537,-0.07699691716970336,-0.07699691716970336
2019-01-19 08:00:00,,0.02156245353568642,-0.0177545829515785,0.039242321646140686,0.37049965902547966,0.9817508423220924,0.7696515618255846,-0.07665601743273442,-0.07665601743273442
2019-01-19 12:00:00,,0.0011834022554906287,-0.041391987448827994,0.04344889908451693,0.515914852152108,1.0,0.9939169474406975,-0.09781490770646506,-0.09781490770646506
2019-01-19 16:00:00,,0.006587778246593734,-0.03777084672286457,0.04506119818375171,0.4933035847517261,0.8939427118958686,0.9585645180726537,-0.09398952651892656,-0.09398952651892656
2019-01-19 20:00:00,,0.008601447799598372,-0.03546752603867376,0.04466901445690293,0.4811717677132033,0.7610766544273665,0.8850064554410783,-0.09193273037666627,-0.09193273037666627
2019-01-20 00:00:00,,0.013657736389467212,-0.03007575585516431,0.044095472406793366,0.4525048699957107,0.5639383974054245,0.739652587909553,-0.08697478224348554,-0.08697478224348554
2019-01-20 04:00:00,,0.01039691480886451,-0.03390749311378827,0.0448314141592081,0.4758972199606857,0.36890642718174904,0.5646404930048464,-0.09042949919048215,-0.09042949919048215
2019-01-20 08:00:00,,0.016113944398595814,-0.02665354564242184,0.04299406016601901,0.44618748221598475,0.0,0.31094827486239096,-0.08542162063288827,-0.08542162063288827
2019-01-20 12:00:00,,0.04739599798062977,0.0010497442951808988,0.04525016477513171,0.32925536311606757,0.0,0.12296880906058279,-0.05802562170308967,-0.05802562170308967
2019-01-20 16:00:00,,0.061134201966785096,0.006413765141483951,0.05293268905565916,0.3002617153607748,0.0,-2.1316282072803005e-16,-0.048271661336988014,-0.048271661336988014
2019-01-20 20:00:00,,0.06538881058173507,0.002709641336209323,0.06061526634517556,0.29592838603566274,0.0,-2.1316282072803005e-16,-0.04674750247845649,-0.04674750247845649
2019-01-21 00:00:00,,0.05901412282368379,-0.00749030428026054,0.06483417497064428,0.33794447883003037,0.2796242880627022,0.09320809602090051,-0.05294061937683492,-0.05294061937683492
2019-01-21 04:00:00,,0.06542043589906532,-0.006096044632821873,0.06945625549349492,0.3194496511487613,0.5598156217955526,0.27981330328608467,-0.04736501162214679,-0.04736501162214679
2019-01-21 08:00:00,,0.06348511594502204,-0.010226419423629896,0.07179955988354822,0.32396269799809874,0.667227961905921,0.5022226239213918,-0.04799984767997567,-0.04799984767997567
