timestamp,ema50_dist_xmr_btc_15m,ema200_dist_xmr_btc_15m,upper_bb_dist_xmr_btc_15m,lower_bb_dist_xmr_btc_15m,width_bb_xmr_btc_15m,rsi_xmr_btc_15m,stoch_rsi_fastk_xmr_btc_15m,stoch_rsi_fastd_xmr_btc_15m,kijun_dist_xmr_btc_15m,tenkan_dist_xmr_btc_15m
2019-02-06 16:15:00,,,,,,,,,4.585763361827921,5.236877846129273
2019-02-06 16:30:00,,,,,,,,,4.443912557842666,5.0941439285144385
2019-02-06 16:45:00,,,,,,,,,4.319069248545704,4.9685233883177915
2019-02-06 17:00:00,,,,,,,,,3.8968253968253874,4.5436507936508
2019-02-06 17:15:00,,,,,,,,,4.302446020237438,4.951796669588093
2019-02-06 17:30:00,,,,,,,,,4.062003179650242,4.7098569157392856
2019-02-06 17:45:00,,,,,,,,,4.095101781170474,4.743161577608146
2019-02-06 18:00:00,,,,,,,,,4.0702758565863695,4.718181095476592
2019-02-06 18:15:00,,,,,,,,,4.694497760716576,5.346289187460029
2019-02-06 18:30:00,,,,,,,,,4.719622430205583,5.371570274378046
2019-02-06 18:45:00,,,,,,,,,4.344014028375587,4.993623465646424
2019-02-06 19:00:00,,,,,,,,,4.269215452011155,4.918359219434487
2019-02-06 19:15:00,,,,,,,,,4.627557544757033,5.278932225063926
2019-02-06 19:30:00,,,,,,,,,4.560702875399358,5.211661341853047
2019-02-06 19:45:00,,,,,,50.985915492957766,,,4.527307569466621,5.178058128393492
2019-02-06 20:00:00,,,,,,56.28985507246382,,,4.194524036930902,4.843202801655511
2019-02-06 20:15:00,,,,,,59.03486898012057,,,4.00413124652419,4.651624692142686
2019-02-06 20:30:00,,,,,,57.02277283986136,,,4.103379721669986,4.7514910536779364
2019-02-06 20:45:00,,,,,,59.14707197287906,,,3.962833545108002,4.610069885641677
2019-02-06 21:00:00,,,0.26451297995235823,-0.7048945379809712,0.9715467743442417,57.005127494034355,,,4.062003179650242,4.7098569157392856
2019-02-06 21:15:00,,,0.06530596036460334,-0.9516930213334662,1.0215263202616696,61.1696363867131,100.0,75.0112953327249,3.7897407436771724,4.435899468802029
2019-02-06 21:30:00,,,0.10517895032697844,-0.9739170606630765,1.0838037189639917,61.534400106950514,100.0,75.0112953327249,3.765060240963858,4.41106531388713
2019-02-06 21:45:00,,,0.18084359983481235,-0.9514770732352629,1.1367005706148272,60.91812954535849,86.39360854909458,95.46453618303151,3.7897407436771724,4.435899468802029
2019-02-06 22:00:00,,,0.2842047876759013,-0.8492841527552808,1.1367005706148272,58.19812741926905,26.339768594025628,70.9111257143734,3.8968253968253874,4.5436507936508
2019-02-06 22:15:00,,,0.36271081833136876,-0.7835795549310798,1.1487076489471169,56.72930425917354,0.0,37.57779238104006,3.954577940125459,4.60176288414198
2019-02-06 22:30:00,,,0.43743376856866245,-0.7123860889755251,1.1514027618496603,54.81381516131197,0.0,8.7799228646752,4.028925619834722,4.676573426573438
2019-02-06 22:45:00,,,0.21627755338986532,-0.9811186408116068,1.2019928618390867,60.12972463012838,87.08446410803172,29.02815470267723,3.756836014900533,4.402789886660852
2019-02-06 23:00:00,,,0.29350633861764397,-0.9381816221003536,1.2356709934579972,58.77580622948615,74.53082283314957,53.87176231372709,3.806200935691062,4.452462136230273
2019-02-06 23:15:00,,,0.2874740685534505,-0.8773416654772159,1.1682613315517676,59.10634517041488,80.74874175873894,80.78800956664007,3.7897407436771724,4.435899468802029
2019-02-06 23:30:00,,,0.23001706780672038,-0.8361977334168547,1.0694562196388713,60.30597787103634,100.0,85.09318819729616,3.7321711568938376,4.377971473851039
2019-02-06 23:45:00,,,0.19205533065849156,-0.8896008571826819,1.0854419135968363,62.020066266488506,100.0,93.58291391957964,3.6500395882818726,4.2953285827395105
2019-02-07 00:00:00,,,0.38786605790384066,-0.6805605926861302,1.0699925554561707,56.0273874925177,0.0,66.66666666666664,3.839136987387959,4.4856032362972975
2019-02-07 00:15:00,,,0.09521897860618189,-0.8828820865540377,0.9819683664372917,62.478180503279624,99.99999999999999,66.66666666666664,3.527085804665875,4.171609331751691
2019-02-07 00:30:00,,,0.04783099711338501,-0.8413814239233708,0.8927546502052914,63.53927785549167,100.0,66.66666666666664,3.4698071451154,4.1139740752450304
2019-02-07 00:45:00,,,-0.009461177105574148,-0.7876002021502959,0.7812525562448581,64.6168648364502,100.0,99.99999999999999,3.4125918318982595,4.0564025594438835
2019-02-07 01:00:00,,,0.09162414898071791,-0.6640014120054882,0.7577942820717347,61.80659184660939,67.28237496515489,89.09412498838493,3.4943473792394597,4.138667088307368
2019-02-07 01:15:00,,,0.0604861349198238,-0.7335250795442172,0.7966922389826258,63.515413500367124,60.80625120531538,76.0295420568234,3.4125918318982595,4.0564025594438835
2019-02-07 01:30:00,,,-0.048323432465713356,-0.9018421565580859,0.8575930008865236,67.15528718843345,100.0,76.0295420568234,3.225043368553848,3.867686484781574
2019-02-07 01:45:00,,,-0.021379269030874504,-0.9621497718706795,0.9454197416988103,68.19526379326092,99.99999999999999,86.93541706843844,3.1680983529040807,3.8103869493261833
2019-02-07 02:00:00,,,0.13553735751774543,-0.7944184432906343,0.9330295785171422,63.26438826369797,22.81845787766021,74.2728192925534,3.2983508245877147,3.9414503274678436
2019-02-07 02:15:00,,,-0.004056048858236405,-1.0398740408913532,1.0412529685577037,67.80780995923888,92.1422913294187,71.65358306902628,3.0625098409699403,3.7041410801448515
