timestamp,ema50_dist_dsh_usd_15m,ema200_dist_dsh_usd_15m,upper_bb_dist_dsh_usd_15m,lower_bb_dist_dsh_usd_15m,width_bb_dsh_usd_15m,rsi_dsh_usd_15m,stoch_rsi_fastk_dsh_usd_15m,stoch_rsi_fastd_dsh_usd_15m,kijun_dist_dsh_usd_15m,tenkan_dist_dsh_usd_15m
2019-02-01 02:15:00,0.8530215161943078,1.1179314260640227,1.5481110432532308,-0.16241247339642273,1.6987537136916433,34.546624491771375,0.0,10.220430128156096,15.178584525119177,17.889255592225915
2019-02-01 02:30:00,0.8423160353892234,1.130308493580956,1.5985831287076424,-0.21123883081612949,1.7973542139238776,34.18728183153391,0.0,2.842170943040401e-14,15.20562214821226,17.91692953241686
2019-02-01 02:45:00,1.823363868508765,2.1670145872849877,2.8610259679457295,0.5070970213947978,2.3149438682426298,22.878773893330496,0.0,2.842170943040401e-14,16.411427215987406,19.15111262656961
2019-02-01 03:00:00,1.7634635594445447,2.1574502280111707,3.0127036719295175,0.2644851485907651,2.703912366443876,22.78679378295585,0.0,2.842170943040401e-14,16.425235376973845,19.165245755801052
2019-02-01 03:15:00,1.7799133201491513,2.224537309225605,3.216770377235756,0.08050205323926196,3.085401281091026,22.081710213714697,0.0,2.842170943040401e-14,16.527171816104236,19.26958121865079
2019-02-01 03:30:00,1.584023794147127,2.071905346090941,3.145575361151831,-0.255234039438168,3.352362047829074,25.73106825044322,30.146102571122903,10.048700857040997,16.376921138825896,19.115794465934542
2019-02-01 04:00:00,1.459744919043704,1.9869280452071925,3.0591213935241557,-0.49558089941923456,3.5097158000620974,27.53751097413562,100.0,43.38203419037433,16.30280229871437,19.039931275549506
2019-02-01 04:45:00,1.2813698688228348,1.8416892862714196,2.857273549685302,-0.7438120112239432,3.5634297027998625,31.064896779267432,100.0,76.71536752370766,16.158284023668635,18.892011834319543
2019-02-01 05:00:00,1.221044680513339,1.812924296428542,2.745334028746349,-0.8530743514941985,3.564681861496842,31.36473738897609,100.0,100.00000000000004,16.1462570443889,18.879701806026027
2019-02-01 05:15:00,1.14152422083047,1.762094627398314,2.5753457253278267,-0.9519297351463396,3.4988748138717467,32.360508856476635,100.00000000000001,100.00000000000004,16.10847417527983,18.84102973576425
2019-02-01 05:30:00,1.2608402010872322,1.9146783164609271,2.5763230180282815,-0.8413011710315166,3.3882309157522896,29.936778531390214,49.74639458249197,83.24879819416402,16.304524920388054,19.041694438272994
2019-02-01 05:45:00,1.0703811404883634,1.7493788949912936,2.2270821659924556,-0.9940352667276997,3.2013801732402403,34.47985172561133,100.0,83.24879819416402,16.135950187094195,18.869152381938402
2019-02-01 06:00:00,1.10890014519045,1.8154759817106791,2.07761350702953,-0.8957966708765364,2.955943260347111,33.156793986873225,70.87747253508785,73.54128903919332,16.23221871900764,18.96768654617582
2019-02-01 06:30:00,1.0682898577405675,1.8003958498079564,1.8784538301957587,-0.8807482569593073,2.74550605369942,33.10793188859032,69.80194290582594,80.22647181363797,16.235659832728878,18.971208644807945
2019-02-01 06:45:00,1.0048396421557415,1.7601074533446281,1.6360777277217409,-0.8635455388806834,2.4900052206856245,33.8947627703704,87.12129586674547,75.93357043588647,16.20985644516797,18.944797987272487
2019-02-01 07:00:00,0.998477956351862,1.7768988612739456,1.5392537958370145,-0.8333749263092716,2.36428423074608,33.24895096238913,10.278958725825987,55.73406583279918,16.24942632537345,18.98529912505369
2019-02-01 07:15:00,1.048472742778661,1.8517926253087902,1.473742629910535,-0.7310590706012143,2.1966446412083918,31.506266109377112,0.0,32.4667515308572,16.35622730977253,19.094613617841016
2019-02-01 07:30:00,0.9512820915016373,1.7751253829833225,1.1724840281155835,-0.7049465599562987,1.8730519781738615,33.8548000635998,98.32686779834211,36.201942174722745,16.289023162134942,19.025827853800138
2019-02-01 07:45:00,0.7633876247489013,1.6010198534712972,0.7537708312562286,-0.730112341555289,1.4837076613993754,39.83604709214549,100.0,66.10895593278075,16.10847417527983,18.84102973576425
2019-02-01 08:00:00,0.8280230947943057,1.6833523251828186,0.6449500724134971,-0.5352746583557,1.1795778773086758,37.53827456682489,72.41497069281954,90.24727949705392,16.22189660021016,18.95712150141351
2019-02-01 08:15:00,1.1726779963138423,2.0585128248091777,0.8564985550409743,-0.09766881997035348,0.9505608059884433,30.112803304465487,0.0,57.47165689760656,16.674343620451392,19.42021663868294
2019-02-01 08:30:00,1.0170450583346424,1.924055483810605,0.46852218964361647,-0.052208017151700314,0.5196485215740909,34.180082921242786,41.830480707794365,38.08181713353802,16.542737135817866,19.285512860471687
2019-02-01 08:45:00,1.1676782732953805,2.1029938551874627,0.7025368648151176,0.07625709756107213,0.6238505121924416,30.824642858571472,7.321009013555058,16.38382990711652,16.771507175254662,19.51966688973159
