timestamp,ema50_dist_omg_btc_15m,ema200_dist_omg_btc_15m,upper_bb_dist_omg_btc_15m,lower_bb_dist_omg_btc_15m,width_bb_omg_btc_15m,rsi_omg_btc_15m,stoch_rsi_fastk_omg_btc_15m,stoch_rsi_fastd_omg_btc_15m,kijun_dist_omg_btc_15m,tenkan_dist_omg_btc_15m
2019-02-06 16:15:00,,,,,,,,,5.298013245033117,5.298013245033117
2019-02-06 16:30:00,,,,,,,,,5.298013245033117,5.298013245033117
2019-02-06 16:45:00,,,,,,,,,5.298013245033117,5.298013245033117
2019-02-06 17:00:00,,,,,,,,,5.298013245033117,5.298013245033117
2019-02-06 17:15:00,,,,,,,,,6.0000000000000275,6.0000000000000275
2019-02-06 17:30:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 17:45:00,,,,,,,,,6.0000000000000275,6.0000000000000275
2019-02-06 18:00:00,,,,,,,,,6.0000000000000275,6.0000000000000275
2019-02-06 18:15:00,,,,,,,,,6.0000000000000275,6.0000000000000275
2019-02-06 18:30:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 18:45:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 19:00:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 19:15:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 19:30:00,,,,,,,,,6.354515050167242,6.354515050167242
2019-02-06 19:45:00,,,,,,14.285714285713953,,,7.070707070707072,7.070707070707072
2019-02-06 20:00:00,,,,,,14.285714285713954,,,7.070707070707072,7.070707070707072
2019-02-06 20:15:00,,,,,,14.285714285713953,,,7.070707070707072,7.070707070707072
2019-02-06 20:30:00,,,,,,14.285714285713953,,,7.070707070707072,7.070707070707072
2019-02-06 20:45:00,,,,,,14.285714285713953,,,7.070707070707072,7.070707070707072
2019-02-06 21:00:00,,,1.93780396192329,-0.45632248044178425,2.3765225714653395,14.285714285713953,,,7.070707070707072,7.070707070707072
2019-02-06 21:15:00,,,2.186525074288337,-0.22706561482882526,2.390173449242816,11.682323867113691,0.0,0.0,7.432432432432456,7.432432432432456
2019-02-06 21:30:00,,,1.6878903515663568,-0.5767792404552052,2.252157605325311,26.17156633530439,100.0,33.333333333333336,7.070707070707072,7.070707070707072
2019-02-06 21:45:00,,,1.5014854236166997,-0.558724480855699,2.050544040309322,26.17156633530439,100.0,66.66666666666667,7.070707070707072,7.070707070707072
2019-02-06 22:00:00,,,0.9318187064881522,-0.7975905185686027,1.7282493261801184,37.973306399783326,100.00000000000001,100.0,6.711409395973167,6.711409395973167
2019-02-06 22:15:00,,,0.8527889675039813,-0.7856748735442065,1.6379142054087834,37.973306399783326,100.00000000000001,100.0,6.711409395973167,6.711409395973167
2019-02-06 22:30:00,,,0.8242422426548268,-0.7906851956749006,1.6146565228057674,37.973306399783326,100.0,100.0,6.711409395973167,6.711409395973167
2019-02-06 22:45:00,,,1.0678664438771746,-0.4618058378165091,1.5250509152837206,31.65356787815718,46.45079041651328,82.15026347217109,7.070707070707072,7.070707070707072
2019-02-06 23:00:00,,,0.6238677946994287,-0.7580959826188227,1.3828918926824743,42.04136640474,100.0,82.15026347217109,6.711409395973167,6.711409395973167
2019-02-06 23:15:00,,,0.831427791199757,-0.3937173534892646,1.2224697059386516,36.12798263944572,43.073753787564506,63.174848068025916,7.070707070707072,7.070707070707072
2019-02-06 23:30:00,,,0.4431090783292957,-0.7115654541681615,1.1562265143959707,44.530311109978626,100.0,81.02458459585482,6.711409395973167,6.711409395973167
2019-02-06 23:45:00,,,0.10717894763252467,-1.0436337971308163,1.1562265143959707,51.41349490240358,100.0,81.02458459585482,6.354515050167242,6.354515050167242
2019-02-07 00:00:00,,,0.10717894763252467,-1.0436337971308163,1.1562265143959707,51.41349490240358,100.0,100.0,6.354515050167242,6.354515050167242
2019-02-07 00:15:00,,,0.10717894763252467,-1.0436337971308163,1.1562265143959707,51.41349490240358,100.0,100.0,6.354515050167242,6.354515050167242
2019-02-07 00:30:00,,,0.10717894763252467,-1.0436337971308163,1.1562265143959707,51.41349490240358,100.0,100.0,6.354515050167242,6.354515050167242
2019-02-07 00:45:00,,,0.1672240802774505,-1.0367892976687276,1.209271078286553,51.41349490240358,0.0,66.66666666666667,6.354515050167242,6.354515050167242
2019-02-07 01:00:00,,,0.21897113683064795,-1.0216467221149106,1.2456169906807277,51.41349490240358,0.0,33.333333333333336,6.354515050167242,6.354515050167242
2019-02-07 01:15:00,,,0.8938463633412885,-0.35512582462073894,1.2456169906807277,37.06430000622007,0.0,0.0,7.070707070707072,7.070707070707072
2019-02-07 01:30:00,,,0.5601813892304852,-0.6608525301700752,1.2216488433149828,45.28669021050039,57.30210136366082,19.100700454553607,6.711409395973167,6.711409395973167
2019-02-07 01:45:00,,,0.26461380067832607,-0.9669549378021003,1.235908886744916,52.035206199294606,99.99999999999999,52.43403378788693,6.354515050167242,6.354515050167242
2019-02-07 02:00:00,,,0.2980586167366184,-0.9335101217534114,1.235494221803459,52.03520619929461,100.0,85.76736712122026,6.354515050167242,6.354515050167242
2019-02-07 02:15:00,,,0.008274645010608594,-1.1749413116773355,1.1901585482192283,58.0378478161929,100.0,99.99999999999999,6.0000000000000275,6.0000000000000275
2019-02-07 02:30:00,,,0.07767675936221075,-1.1443434260289487,1.2285725724442056,58.03784781619289,99.99999999999989,99.99999999999994,6.0000000000000275,6.0000000000000275
2019-02-07 02:45:00,,,0.13039842135227353,-1.0970650880190336,1.2334250638465722,58.0378478161929,100.0,99.99999999999994,6.0000000000000275,6.0000000000000275
