timestamp,ema50_dist_zec_btc_30m,ema200_dist_zec_btc_30m,lower_bb_dist_zec_btc_30m,width_bb_zec_btc_30m,rsi_zec_btc_30m,stoch_rsi_fastk_zec_btc_30m,stoch_rsi_fastd_zec_btc_30m,kijun_dist_zec_btc_30m,tenkan_dist_zec_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.03602184415038867,-0.036511937268080996
2019-01-29 16:30:00,,,,,,,,-0.03399284361187127,-0.0344839682873781
2019-01-29 17:00:00,,,,,,,,-0.0325674536256324,-0.03305930297920179
2019-01-29 17:30:00,,,,,,,,-0.03249947298151934,-0.032991356896915236
2019-01-29 18:00:00,,,,,,,,-0.03229547371380381,-0.03278746134382904
2019-01-29 18:30:00,,,,,,,,-0.031410481885332464,-0.03190291945128387
2019-01-29 19:00:00,,,,,,,,-0.02634184286825547,-0.026836857365108657
2019-01-29 19:30:00,,,,,,,,-0.026617179215270403,-0.027112053729232977
2019-01-29 20:00:00,,,,,,,,-0.027304839279406523,-0.027799364182267694
2019-01-29 20:30:00,,,,,,,,-0.02696113074204942,-0.027455830388692593
2019-01-29 21:00:00,,,,,,,,-0.02634184286825547,-0.026836857365108657
2019-01-29 21:30:00,,,,,,,,-0.028265932669913174,-0.02875996894629118
2019-01-29 22:00:00,,,,,,,,-0.02668598897214769,-0.02718082850275705
2019-01-29 22:30:00,,,,,,,,-0.028882776132035604,-0.029376498800959272
2019-01-29 23:00:00,,,,,0.2605633802816827,,,-0.02675478900120165,-0.027249593553403617
2019-01-29 23:30:00,,,,,0.38624100719424154,,,-0.03045560171818895,-0.030948524751778117
2019-01-30 00:00:00,,,,,0.35059022981288057,,,-0.02840307670594877,-0.028897043257356536
2019-01-30 00:30:00,,,,,0.3007628305529964,,,-0.024962821329934215,-0.025458536930812348
2019-01-30 01:00:00,,,,,0.3577750877511373,,,-0.02696113074204942,-0.027455830388692593
2019-01-30 01:30:00,,0.005723003450227138,-0.006533547572020515,0.01226152027383884,0.4240431073024662,,,-0.02956723992106003,-0.030060614603890645
2019-01-30 02:00:00,,0.0024679657866291116,-0.00822042710871107,0.010719223855656277,0.47332741094064745,1.0,0.9245001672336646,-0.03175105485232066,-0.03224331926863577
2019-01-30 02:30:00,,0.0032535045807577934,-0.006436827349967311,0.009705780246350704,0.4463354740628101,0.8435835626453451,0.9478611875484484,-0.03031903655186985,-0.030812029016127895
2019-01-30 03:00:00,,0.0016634461679179147,-0.007746855690388577,0.009439012547714254,0.47692892599957637,1.0,0.9478611875484484,-0.03168295942049382,-0.032175258456994205
2019-01-30 03:30:00,,0.0015520731771876406,-0.00758667720025763,0.009166408199343735,0.4755141102683637,0.9732477294278893,0.9389437640244114,-0.03161485440990297,-0.03210718807145874
2019-01-30 04:00:00,,0.002537161620311812,-0.006107835611438572,0.008660459069726244,0.4483024161512017,0.06429291119083586,0.679180213539575,-0.03031903655186985,-0.030812029016127895
2019-01-30 04:30:00,,0.0017571776115590243,-0.006775123983577269,0.008553762756531958,0.4656349207288571,0.6308358633715829,0.5561255013301026,-0.031001477936519084,-0.03149412344288827
2019-01-30 05:00:00,,0.003423498715590778,-0.004889733031114285,0.00831933079084905,0.43201680257002323,0.0,0.23170959152080622,-0.029430424362047125,-0.029923868602848014
2019-01-30 05:30:00,,0.002323161235389559,-0.00590665884169872,0.00824459231550212,0.4645958895827383,0.7489908855659592,0.4599422496458473,-0.030660377358490587,-0.031153196282737272
2019-01-30 06:00:00,,0.002369833899145579,-0.005875394929696909,0.008259706281073727,0.46824558564667007,1.0,0.5829969618553197,-0.030796846402928346,-0.03128959594537517
2019-01-30 06:30:00,,0.0029432710703174436,-0.0051194806625430855,0.008071534408162075,0.45651597212887646,0.6762349568027701,0.8084086141229098,-0.03031903655186985,-0.030812029016127895
2019-01-30 07:00:00,,0.0018779622850555455,-0.005915666280554177,0.007809394577453593,0.4899333597346916,1.0,0.8920783189342568,-0.0314786156443444,-0.031971018570624676
2019-01-30 07:30:00,,0.001674187623997625,-0.006314558853696806,0.008007324957875274,0.5034716421585776,1.0,0.8920783189342568,-0.03195528369542289,-0.032447444280390925
2019-01-30 08:00:00,,0.0018007666850365922,-0.005899761271271009,0.007716342579537241,0.5034716421585778,1.0,1.0,-0.03195528369542289,-0.032447444280390925
2019-01-30 08:30:00,,0.0018429214982538245,-0.006025404276266966,0.007884814825628772,0.509936832177307,1.0,1.0,-0.03215942640236191,-0.03265148319977518
2019-01-30 09:00:00,,0.003263300957692117,-0.0039532474516386085,0.0072190387845802945,0.4623889881960175,0.0,0.6666666666666667,-0.030660377358490587,-0.031153196282737272
2019-01-30 09:30:00,,0.003948206101246132,-0.003278909215239323,0.007224697582688212,0.44220530600740626,0.0,0.33333333333333337,-0.029977455262787167,-0.03047062138931944
2019-01-30 10:00:00,,0.0013855830400424374,-0.005895910425177675,0.007297951540564617,0.530489490389335,1.0,0.33333333333333337,-0.032703386258254974,-0.033195166502740014
2019-01-30 10:30:00,,0.0011698424463613133,-0.0040866262529406505,0.005264145887041365,0.5172644471058866,0.8501991792070573,0.6167330597356857,-0.03229547371380381,-0.03278746134382904
2019-01-30 11:00:00,,0.0018905591482820672,-0.0018553726598944387,0.003745865906242843,0.47870800548161635,0.4134681622734906,0.7545557804935159,-0.031069669247009157,-0.031562280084447614
2019-01-30 11:30:00,,0.0026775312906595072,-0.0008815036811379295,0.0035558417767942944,0.4543911398201309,0.1380296357500136,0.46723232574352047,-0.030250739540780502,-0.030743766727708177
