timestamp,ema50_dist_xmr_usd_30m,ema200_dist_xmr_usd_30m,lower_bb_dist_xmr_usd_30m,width_bb_xmr_usd_30m,rsi_xmr_usd_30m,stoch_rsi_fastk_xmr_usd_30m,stoch_rsi_fastd_xmr_usd_30m,kijun_dist_xmr_usd_30m,tenkan_dist_xmr_usd_30m
2019-01-30 16:00:00,,,,,,,,-0.00870635730446756,-0.0009427265871079227
2019-01-30 16:30:00,,,,,,,,-0.007275029433325364,0.0004998111824421336
2019-01-30 17:00:00,,,,,,,,0.0012883133177987727,0.009130220469618422
2019-01-30 17:30:00,,,,,,,,-0.0011510694888358097,0.006671732862475244
2019-01-30 18:00:00,,,,,,,,-0.007671810813811519,9.99222826691959e-05
2019-01-30 18:30:00,,,,,,,,-0.007275029433325364,0.0004998111824421336
2019-01-30 19:00:00,,,,,,,,-0.013062874053134998,-0.005333362779090467
2019-01-30 19:30:00,,,,,,,,-0.012015563858245093,-0.004277850242079717
2019-01-30 20:00:00,,,,,,,,-0.015107438016529029,-0.007393939393939286
2019-01-30 20:30:00,,,,,,,,-0.009299696291205861,-0.0015407124963975338
2019-01-30 21:00:00,,,,,,,,-0.007054458195391855,0.0007221098940166648
2019-01-30 21:30:00,,,,,,,,-0.00676756900920128,0.0010112459439037824
2019-01-30 22:00:00,,,,,,,,-0.007848056301756223,-7.77035277400584e-05
2019-01-30 22:30:00,,,,,,,,-0.006657182866923073,0.0011224966102827416
2019-01-30 23:00:00,,,,,0.4413580246913575,,,-0.003667454407633719,0.004135640076693425
2019-01-30 23:30:00,,,,,0.4537646057417015,,,-0.004577347143334576,0.003218621227308205
2019-01-31 00:00:00,,,,,0.45008885818705674,,,-0.004266838974176235,0.003531561239722869
2019-01-31 00:30:00,,,,,0.4336073051369166,,,-0.002911646586345462,0.004897367246764928
2019-01-31 01:00:00,,,,,0.3983282911077016,,,0.00014546919410052261,0.007978425799521238
2019-01-31 01:30:00,,0.005979844651693433,-0.0104221698307837,0.016438527123952044,0.5223550033550629,,,-0.008860254163986836,-0.0010978287387166663
2019-01-31 02:00:00,,0.011777003773949746,-0.004912071374681526,0.016631986417420665,0.45581080903510646,0.46346885187733267,0.4878229506257776,-0.00295613761099478,0.004852527776538329
2019-01-31 02:30:00,,0.009886932773506052,-0.006811277442890007,0.016672570675958752,0.4770390583499963,0.6346275396328528,0.6993654638367285,-0.004710362798156176,0.003084563818177788
2019-01-31 03:00:00,,0.010577090726472171,-0.004865098217610053,0.015398211709116065,0.465165774488591,0.5388958730727892,0.5456640881943249,-0.0036452411209954017,0.004158027333734715
2019-01-31 03:30:00,,0.005492796092494201,-0.009170620453089584,0.014690430958006286,0.5255700034313947,1.0,0.724507804235214,-0.00868436813735296,-0.0009205652048535073
2019-01-31 04:00:00,,0.0013230290794268296,-0.014441835497577493,0.015868955454336107,0.5770165484072702,1.0,0.8462986243575963,-0.01367278024233598,-0.005948045642146016
2019-01-31 04:30:00,,0.0031400155756555748,-0.01332033112787212,0.016544561130015987,0.5612069924111986,0.8586549252885289,0.9528849750961763,-0.012474035444380638,-0.004739912493923026
2019-01-31 05:00:00,,0.0044351330134633216,-0.011537990535763765,0.016030053140994753,0.5394996897730585,0.6645811439669767,0.8410786897518352,-0.010834679829124338,-0.0030877177449699644
2019-01-31 05:30:00,,0.005555917361282026,-0.009967160489496307,0.015557391569104425,0.5201441739951941,0.0,0.5077453564185018,-0.00936557900336954,-0.0016071111899272905
2019-01-31 06:00:00,,0.00930808674887329,-0.004591273772624582,0.013866657306936479,0.45923456215339137,0.0,0.22152704798899223,-0.004289024553273069,0.0035092019072235914
2019-01-31 06:30:00,,0.005828926342199114,-0.007834300656530124,0.01367694069150994,0.4995693843581638,0.3955463462310122,0.13184878207700407,-0.00753958560039103,0.00023318305980590814
2019-01-31 07:00:00,,0.00930030933995507,-0.0045734256065861345,0.013841022494499929,0.45986604803275866,0.007867499848247582,0.13447128202641992,-0.004044928795881697,0.0037552093779946727
2019-01-31 07:30:00,,0.008940808461998184,-0.005039641008117379,0.013953232521820203,0.46364312632320415,0.0723787927144059,0.15859754626455524,-0.004333392745744735,0.00346448623117368
2019-01-31 08:00:00,,0.007514301064947659,-0.00638170499454449,0.013888141232399568,0.48078727881440747,0.534345150986336,0.20486381451632985,-0.005596226163191886,0.00219176253309894
2019-01-31 08:30:00,,0.002027062015322212,-0.012604942016206988,0.014709803298593784,0.5549652577237653,1.0,0.5355746479002473,-0.011665966340093425,-0.003925514740031333
2019-01-31 09:00:00,,0.019310694228767078,0.0017587355435462193,0.017368981418118004,0.39507514681033995,0.0,0.511448383662112,0.004461576498617559,0.012328336067968904
2019-01-31 09:30:00,,0.022007960849693253,0.0014390728101059125,0.02033054258147241,0.38264673944236177,0.0,0.33333333333333337,0.006180344478216693,0.01406056512439502
2019-01-31 10:00:00,,0.026136394394170814,0.0018611669118850926,0.023940095338825046,0.3618395869541928,0.0,0.0,0.009111231540441578,0.0170144063586688
2019-01-31 10:30:00,,0.023559047875503003,-0.002450013046496391,0.025737414927938178,0.3976593785203936,0.18547400469065095,0.061824668230216984,0.006135038386203329,0.014014904203345724
2019-01-31 11:00:00,,0.02832963533581112,-0.00044073891345530747,0.02837470464977036,0.3687346399925952,0.19249282971563847,0.12598894480209646,0.010000678012068498,0.017910818812574947
2019-01-31 11:30:00,,0.03154593686398832,-0.0003224229156127967,0.031378486474542625,0.3494142523468554,0.0,0.12598894480209646,0.012747297572914373,0.020678949396061297
