timestamp,ema50_dist_omg_btc_1h,ema200_dist_omg_btc_1h,upper_bb_dist_omg_btc_1h,lower_bb_dist_omg_btc_1h,width_bb_omg_btc_1h,rsi_omg_btc_1h,stoch_rsi_fastk_omg_btc_1h,stoch_rsi_fastd_omg_btc_1h,kijun_dist_omg_btc_1h,tenkan_dist_omg_btc_1h
2018-02-16 16:00:00,,,,,,,,,-81.09467455621302,-81.03550295857988
2018-02-16 17:00:00,,,,,,,,,-81.62737205290397,-81.5698677400805
2018-02-16 18:00:00,,,,,,,,,-81.78449258836945,-81.72748004561004
2018-02-16 19:00:00,,,,,,,,,-81.7948717948718,-81.73789173789174
2018-02-16 20:00:00,,,,,,,,,-82.12087297146054,-82.06491326245103
2018-02-16 21:00:00,,,,,,,,,-82.01013513513513,-81.95382882882882
2018-02-16 22:00:00,,,,,,,,,-82.23025583982202,-82.174638487208
2018-02-16 23:00:00,,,,,,,,,-81.8465909090909,-81.78977272727272
2018-02-17 00:00:00,,,,,,,,,-82.01013513513513,-81.95382882882882
2018-02-17 01:00:00,,,,,,,,,-81.96952595936796,-81.91309255079007
2018-02-17 02:00:00,,,,,,,,,-82.0,-81.94366197183098
2018-02-17 03:00:00,,,,,,,,,-81.93894855850763,-81.8824194460147
2018-02-17 04:00:00,,,,,,,,,-81.81559476380194,-81.75867956744452
2018-02-17 05:00:00,,,,,,,,,-81.2829525483304,-81.22437024018745
2018-02-17 06:00:00,,,,,,56.159420289855056,,,-81.46751740139212,-81.40951276102089
2018-02-17 07:00:00,,,,,,45.94163246694026,,,-80.83383323335333,-80.77384523095381
2018-02-17 08:00:00,,,,,,47.21185134440826,,,-80.91397849462365,-80.8542413381123
2018-02-17 09:00:00,,,,,,46.3736590794394,,,-80.85680047932894,-80.79688436189335
2018-02-17 10:00:00,,,,,,48.91322302842925,,,-81.00475624256836,-80.94530321046373
2018-02-17 11:00:00,,,8.670367855750039,-1.7055497281412535,10.02674529686857,47.97223887144907,,,-80.94812164579606,-80.88849135360763
2018-02-17 12:00:00,,,9.357444895690392,-1.4078046079206041,10.353708223504098,46.24758373321319,0.0,32.47217130396205,-80.84532374100719,-80.78537170263789
2018-02-17 13:00:00,,,10.937925134139803,-0.895423616228419,11.267575528621414,42.415796593599936,0.0,22.7779967494504,-80.60109289617486,-80.5403764420158
2018-02-17 14:00:00,,,10.30341515672195,-1.9942364127605638,11.807114447508724,44.53672371889479,32.642572356428246,10.880857452142749,-80.70652173913044,-80.64613526570048
2018-02-17 15:00:00,,,9.707486625921046,-2.828352530911993,12.118998091973811,46.19658738992165,68.04337393000397,33.561982095477404,-80.78773301262778,-80.72760072158749
2018-02-17 16:00:00,,,9.427443083655461,-2.939491276426498,11.978359271660919,45.567186987108386,82.24335743833939,60.97643457492387,-80.75301204819277,-80.69277108433735
2018-02-17 17:00:00,,,7.587403672906823,-4.244155606279754,11.637031857885795,50.63710003298447,100.0,83.42891045611445,-80.99345627602618,-80.93396787626412
2018-02-17 18:00:00,,,7.926836647138491,-3.194425342267715,10.86419284423444,46.62819107656524,34.284235102675666,72.17586418033835,-80.78773301262778,-80.72760072158749
2018-02-17 19:00:00,,,7.223876132909024,-3.540612785578423,10.56983155275877,47.62059864504318,40.50191076955569,58.262048624077124,-80.83383323335333,-80.77384523095381
2018-02-17 20:00:00,,,6.820665617942745,-3.2105573146936073,9.853364370000959,46.457729564794484,17.565243617155797,30.78379649646239,-80.77617328519855,-80.71600481347774
2018-02-17 21:00:00,,,5.26784269077698,-3.7027291901795434,8.900917152937701,49.63642176223175,76.05672245690872,44.70795894787341,-80.91397849462365,-80.8542413381123
2018-02-17 22:00:00,,,4.515868628508346,-3.0967069518616053,7.558938799071157,48.600666037821874,67.4156646798037,53.67921025128941,-80.86826347305389,-80.80838323353294
2018-02-17 23:00:00,,,2.961362138724133,-2.9315469926298854,5.892030772562647,50.54551246795822,100.0,81.15746237890414,-80.94812164579606,-80.88849135360763
2018-02-18 00:00:00,,,3.497338646714332,-0.7259620548404677,4.1655787641617845,43.46152957050165,0.0,55.80522155993457,-80.62462098241359,-80.56397816858703
2018-02-18 01:00:00,,,3.9234919352904685,-0.2116482234467365,4.059793562701711,41.02875125463256,0.0,33.333333333333336,-80.4945054945055,-80.43345543345544
2018-02-18 02:00:00,,,4.507208259425721,0.8261250739076242,3.585470635244903,37.34496757497316,0.0,4.736951571734001e-15,-80.27777777777779,-80.21604938271605
2018-02-18 03:00:00,,,4.92203303424712,0.48303808510972157,4.322186326702688,36.752685845615865,0.0,4.736951571734001e-15,-80.24118738404454,-80.17934446505876
2018-02-18 04:00:00,,,6.551422753165759,0.9438809412613214,5.404981907602616,32.995642055288904,0.0,4.736951571734001e-15,-79.99373825923607,-79.93112085159675
2018-02-18 05:00:00,,,6.817091177191981,0.3508286223067758,6.242532686666326,32.81501431018497,0.0,4.736951571734001e-15,-79.9812030075188,-79.91854636591479
2018-02-18 06:00:00,,,7.639202563301017,0.35448828843402946,7.004745427648366,30.81658083237829,0.0,4.736951571734001e-15,-79.8422712933754,-79.77917981072555
2018-02-18 07:00:00,,,6.51925163857634,-0.9567516385763364,7.27370340130392,36.49597016375914,95.67535140830145,31.891783802767154,-80.03125,-79.96875
2018-02-18 08:00:00,,,5.249322466406858,-2.1633608090166123,7.300044980882331,42.27924665465482,100.0,65.2251171361005,-80.24118738404454,-80.17934446505876
2018-02-18 09:00:00,,,6.601410059885149,-1.2851921513065467,7.682395761549985,37.90561706763722,61.84456866466533,85.8399733576556,-79.99373825923607,-79.93112085159675
