timestamp,ema50_dist_etc_btc_12h,ema200_dist_etc_btc_12h,lower_bb_dist_etc_btc_12h,width_bb_etc_btc_12h,rsi_etc_btc_12h,stoch_rsi_fastk_etc_btc_12h,stoch_rsi_fastd_etc_btc_12h,kijun_dist_etc_btc_12h,tenkan_dist_etc_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.5354775828460039,-0.5641325536062378
2018-07-04 14:00:00,,,,,,,,-0.534206411258796,-0.5629397967161844
2018-07-05 02:00:00,,,,,,,,-0.5383572258814413,-0.5668345602479659
2018-07-05 14:00:00,,,,,,,,-0.5527402402402404,-0.5803303303303303
2018-07-06 02:00:00,,,,,,,,-0.5577208611729771,-0.585003711952487
2018-07-06 14:00:00,,,,,,,,-0.570475847152127,-0.5969718817591925
2018-07-07 02:00:00,,,,,,,,-0.5604942825525636,-0.5876060494282552
2018-07-07 14:00:00,,,,,,,,-0.5682971014492755,-0.594927536231884
2018-07-08 02:00:00,,,,,,,,-0.5664119359534208,-0.5931586608442503
2018-07-08 14:00:00,,,,,,,,-0.5651459854014599,-0.5919708029197079
2018-07-09 02:00:00,,,,,,,,-0.5700108264164563,-0.596535546734031
2018-07-09 14:00:00,,,,,,,,-0.563233137829912,-0.5901759530791788
2018-07-10 02:00:00,,,,,,,,-0.5443594646271511,-0.5724665391969408
2018-07-10 14:00:00,,,,,,,,-0.5338419405320814,-0.5625978090766823
2018-07-11 02:00:00,,,,,0.5196850393700786,,,-0.53996138996139,-0.5683397683397683
2018-07-11 14:00:00,,,,,0.5051218650653482,,,-0.5369218810726779,-0.5654877574815391
2018-07-12 02:00:00,,,,,0.5129041748014229,,,-0.5385360185902401,-0.5670023237800155
2018-07-12 14:00:00,,,,,0.5405686853718848,,,-0.5441851568477429,-0.5723029839326702
2018-07-13 02:00:00,,,,,0.5769553316347696,,,-0.5518992102294096,-0.5795411808950732
2018-07-13 14:00:00,,0.07372908030505165,-0.04395079284327785,0.11595342592366344,0.5334765473241182,,,-0.544533639143731,-0.5726299694189603
2018-07-14 02:00:00,,0.07384087686765906,-0.04063506202450684,0.1126063461519236,0.5314704106591353,0.2898657381945402,0.5615312537991961,-0.5441851568477429,-0.5723029839326702
2018-07-14 14:00:00,,0.06907842600598091,-0.04037083927323193,0.10790048402735232,0.5398560484293885,0.18436082970761397,0.2896515303684008,-0.5457491422035837,-0.5737704918032787
2018-07-15 02:00:00,,0.06771224340003879,-0.038874148161943234,0.10507136258152085,0.5418185443037687,0.22750690608381635,0.23391115799532347,-0.5460952380952382,-0.5740952380952381
2018-07-15 14:00:00,,0.06897161014864883,-0.038677829149030285,0.10604321434179614,0.5368866662237485,0.5234040988079104,0.3117572781997802,-0.5454025181228539,-0.5734452499046165
2018-07-16 02:00:00,,0.07637657725108182,-0.03329965417415859,0.10736378076266004,0.5106087625081407,0.0,0.25030366829724227,-0.5417307692307693,-0.57
2018-07-16 14:00:00,,0.07341396502931907,-0.030303196986092518,0.1015286724906706,0.4993289281016924,0.0,0.17446803293597013,-0.5401389424932459,-0.568506368197607
2018-07-17 02:00:00,,0.09142539503106972,-0.017132942200880685,0.10467023305593404,0.44414876822104815,0.0,2.3684757858670005e-17,-0.5316430817610063,-0.5605345911949685
2018-07-17 14:00:00,,0.13204691491969367,0.010011067930449702,0.1139426177687941,0.358025481488634,0.0,2.3684757858670005e-17,-0.5134748877092692,-0.5434871376071866
2018-07-18 02:00:00,,0.1480317992978255,0.012100815704246815,0.12585429491647052,0.33177152162517953,0.0,2.3684757858670005e-17,-0.5062163282221303,-0.5366763365105678
2018-07-18 14:00:00,,0.1802448793849265,0.021201929125711727,0.1444894781417076,0.2914882557305546,0.0,2.3684757858670005e-17,-0.4929787234042554,-0.5242553191489361
2018-07-19 02:00:00,,0.16071318201442586,0.001755225736205901,0.14701528652024629,0.32510658560359673,0.22021627809703323,0.07340542603234443,-0.4981044650379107,-0.5290648694187026
2018-07-19 14:00:00,,0.18247470968012713,0.009134584640010601,0.15818524359186803,0.29382678929408274,0.03514624387903957,0.08512084065869095,-0.4873063683304648,-0.5189328743545611
2018-07-20 02:00:00,,0.21579629222762264,0.011812690599325881,0.1831412992143992,0.2647489009920675,0.0,0.08512084065869095,-0.47534125935711147,-0.5077058564509027
2018-07-20 14:00:00,,0.2685590397881583,0.019732531965828137,0.2174779743051742,0.2296523265343766,0.0,0.011715414626346548,-0.4571753986332574,-0.49066059225512526
2018-07-21 02:00:00,,0.25415479996067747,-0.013121092095508824,0.23852911370154803,0.27074839743399276,0.43053155825990674,0.14351051941996892,-0.46449438202247195,-0.4975280898876404
2018-07-21 14:00:00,,0.2693428679578813,-0.021749770773503374,0.25902610138467186,0.259326161587595,0.4623931978102981,0.29764158535673496,-0.4589009990917349,-0.4922797456857402
2018-07-22 02:00:00,,0.2752697651808762,-0.034238272711684115,0.2762192668265818,0.25381116207282867,0.5878624162748778,0.4935957241150276,-0.45618439068918304,-0.4897307165677772
2018-07-22 14:00:00,,0.27343713437138306,-0.046858909302764595,0.2877024845280491,0.2511961474385709,0.5242306729715979,0.524828762352258,-0.4549405306495884,-0.4885635864592863
2018-07-23 02:00:00,,0.3081127833677326,-0.03250994648830008,0.2993692258910466,0.2170055101812177,0.0,0.37069769641549194,-0.43664302600472826,-0.47139479905437354
2018-07-23 14:00:00,,0.3256420459283218,-0.034356537984171265,0.31423284672672736,0.20121943801004324,0.0,0.17474355765719932,-0.42633606162734716,-0.46172363986519016
