timestamp,ema50_dist_xrp_btc_30m,ema200_dist_xrp_btc_30m,lower_bb_dist_xrp_btc_30m,width_bb_xrp_btc_30m,rsi_xrp_btc_30m,stoch_rsi_fastk_xrp_btc_30m,stoch_rsi_fastd_xrp_btc_30m,kijun_dist_xrp_btc_30m,tenkan_dist_xrp_btc_30m
2019-01-29 16:00:00,,,,,,,,0.016971125515615748,0.018090748379493204
2019-01-29 16:30:00,,,,,,,,0.015893571933129236,0.017012008476571694
2019-01-29 17:00:00,,,,,,,,0.020458845789971702,0.021582308420056595
2019-01-29 17:30:00,,,,,,,,0.0209417889256982,0.022065783246568715
2019-01-29 18:00:00,,,,,,,,0.021667061330807424,0.02279185413213347
2019-01-29 18:30:00,,,,,,,,0.019976359338061522,0.021099290780141722
2019-01-29 19:00:00,,,,,,,,0.025187121302126636,0.02631578947368407
2019-01-29 19:30:00,,,,,,,,0.022393364928909865,0.023518957345971536
2019-01-29 20:00:00,,,,,,,,0.024335232668565965,0.0254629629629628
2019-01-29 20:30:00,,,,,,,,0.025552650344663697,0.02668172094128818
2019-01-29 21:00:00,,,,,,,,0.027017376815044125,0.028148059985717566
2019-01-29 21:30:00,,,,,,,,0.025430778371954954,0.02655971479500896
2019-01-29 22:00:00,,,,,,,,0.024213649851632102,0.025341246290801145
2019-01-29 22:30:00,,,,,,,,0.022030084093331848,0.023155276560464122
2019-01-29 23:00:00,,,,,0.3954545454545441,,,0.02251451593790743,0.023640241734802725
2019-01-29 23:30:00,,,,,0.4182368775235517,,,0.021546111045341654,0.022670770687818198
2019-01-30 00:00:00,,,,,0.3961315944302795,,,0.022878141299194077,0.024004267425320025
2019-01-30 00:30:00,,,,,0.3573054157028159,,,0.025430778371954954,0.02655971479500896
2019-01-30 01:00:00,,,,,0.3385851851631431,,,0.02677296525464068,0.027903379343169776
2019-01-30 01:30:00,,0.007853136332154342,-0.0036602393135066746,0.011489288942983312,0.38583902128783565,,,0.02494357999762431,0.02607198004513589
2019-01-30 02:00:00,,0.0062814176930043875,-0.0040022154138026345,0.010271927206856157,0.4011961893352669,1.0,0.5310852986896918,0.024335232668565965,0.0254629629629628
2019-01-30 02:30:00,,0.004572379097890433,-0.0033498271691073667,0.007917366571111535,0.4044039018602548,1.0,0.8644186320230252,0.024213649851632102,0.025341246290801145
2019-01-30 03:00:00,,0.004724210676005924,-0.0027408377543913787,0.007457652777108764,0.3930660416670413,0.827741093078603,0.9425803643595344,0.024821852731591543,0.02595011876484543
2019-01-30 03:30:00,,0.0011109583262480793,-0.006258887320331419,0.007388864321015292,0.48615239745453165,1.0,0.9425803643595344,0.021183431952662923,0.02230769230769236
2019-01-30 04:00:00,,0.0009075086785397257,-0.006680606986833371,0.007610082542699569,0.49450167684462415,1.0,0.9425803643595344,0.020821010292203956,0.021944871643203356
2019-01-30 04:30:00,,0.0010016324537984733,-0.0061850644064616045,0.007205371135748031,0.48599747892227335,0.9161616338532061,0.9720538779510689,0.021183431952662923,0.02230769230769236
2019-01-30 05:00:00,,0.004804434393957502,-0.0023929352255092073,0.007188701845205607,0.40582615878721,0.12579521090226004,0.6806522815851556,0.025065336184366904,0.026193870277975817
2019-01-30 05:30:00,,0.005637978912096608,-0.0016784069739282925,0.0073019296281997045,0.3885686741267878,0.0,0.3473189482518222,0.026040428061831156,0.027170035671819193
2019-01-30 06:00:00,,0.00552875768229022,-0.0019619998651465576,0.007477422469913394,0.39204884719080907,0.03285258583003711,0.05288259891076578,0.025918440137914667,0.027047913446676786
2019-01-30 06:30:00,,0.004096859699908029,-0.0032776741365698747,0.00737151451734167,0.43370345030574214,0.4632590564330282,0.16537054742102186,0.024456844354743046,0.025584708536150913
2019-01-30 07:00:00,,0.00556779505160776,-0.0015606606877555107,0.007114201957794909,0.4016011569240801,0.2887459272118684,0.261619189824978,0.026040428061831156,0.027170035671819193
2019-01-30 07:30:00,,0.0074337776309765236,-0.0003113383741881748,0.007717631823231208,0.3698514396358065,0.0,0.2506683278816323,0.02775131014768939,0.028882801333968366
2019-01-30 08:00:00,,0.00716373300124018,-0.001067769196025914,0.008206488967409505,0.3811419571610141,0.17682321052614364,0.15518971257933742,0.027384212406238895,0.028515299440409425
2019-01-30 08:30:00,,0.007633270083508448,-0.0009260982941354801,0.008530759742101981,0.3692666614291547,0.0,0.05894107017538129,0.027996187753157153,0.029127948534667603
2019-01-30 09:00:00,,0.005484390115257698,-0.002939800341179355,0.008413486021190058,0.43042342004371287,1.0,0.3922744035087146,0.026040428061831156,0.027170035671819193
2019-01-30 09:30:00,,0.0043353512995716326,-0.0035867771550849303,0.007919164413793457,0.4518861708354775,1.0,0.6666666666666667,0.02530893536121681,0.0264377376425855
2019-01-30 10:00:00,,0.004575859075907518,-0.003161213331732471,0.007731603667527985,0.4399830023048569,0.8559278720467729,0.9519759573489245,0.025796481217308598,0.026925820256775923
2019-01-30 10:30:00,,0.004923927329927746,-0.0028666077913381827,0.007782529546218286,0.43081715811930876,0.7449874385897004,0.866971770212158,0.026162444999405343,0.027292186942561525
2019-01-30 11:00:00,,0.0036352523289997496,-0.004003423350377844,0.007640082107794155,0.47407975401853497,1.0,0.866971770212158,0.024821852731591543,0.02595011876484543
2019-01-30 11:30:00,,0.004096381379718794,-0.00354980343295086,0.007644095765585559,0.4603764324877018,0.6832524436870817,0.809413294092261,0.02530893536121681,0.0264377376425855
2019-01-30 12:00:00,,-0.0011134278788353935,-0.010328300778621458,0.009267893259738145,0.6179530407416177,1.0,0.8944174812290275,0.01889243121974249,0.0200141693234146
