timestamp,ema50_dist_neo_btc_30m,ema200_dist_neo_btc_30m,lower_bb_dist_neo_btc_30m,width_bb_neo_btc_30m,rsi_neo_btc_30m,stoch_rsi_fastk_neo_btc_30m,stoch_rsi_fastd_neo_btc_30m,kijun_dist_neo_btc_30m,tenkan_dist_neo_btc_30m
2019-01-29 16:00:00,,,,,,,,0.005368472425573589,0.005368472425573589
2019-01-29 16:30:00,,,,,,,,0.0009718172983479434,0.0009718172983479434
2019-01-29 17:00:00,,,,,,,,-0.0019379844961239234,-0.0019379844961239234
2019-01-29 17:30:00,,,,,,,,0.004878048780487809,0.004878048780487809
2019-01-29 18:00:00,,,,,,,,0.008321096426823438,0.008321096426823438
2019-01-29 18:30:00,,,,,,,,0.008814887365328206,0.008814887365328206
2019-01-29 19:00:00,,,,,,,,0.009803921568627416,0.009803921568627416
2019-01-29 19:30:00,,,,,,,,0.00782778864970668,0.00782778864970668
2019-01-29 20:00:00,,,,,,,,0.008321096426823438,0.008321096426823438
2019-01-29 20:30:00,,,,,,,,0.011787819253438192,0.011787819253438192
2019-01-29 21:00:00,,,,,,,,0.011291114383897849,0.011291114383897849
2019-01-29 21:30:00,,,,,,,,0.010299166257969672,0.010299166257969672
2019-01-29 22:00:00,,,,,,,,0.010794896957802003,0.010794896957802003
2019-01-29 22:30:00,,,,,,,,0.00930916217540445,0.00930916217540445
2019-01-29 23:00:00,,,,,0.3906249999999973,,,0.012285012285012442,0.012285012285012442
2019-01-29 23:30:00,,,,,0.5134357005758168,,,0.004878048780487809,0.004878048780487809
2019-01-30 00:00:00,,,,,0.4724222252411341,,,0.00782778864970668,0.00782778864970668
2019-01-30 00:30:00,,,,,0.4941788816639796,,,0.006350757205666913,0.006350757205666913
2019-01-30 01:00:00,,,,,0.30471882420982643,,,0.02743142144638422,0.02743142144638422
2019-01-30 01:30:00,,0.02308154496751036,-0.001090460272117011,0.023909111590636706,0.3888308912801801,,,0.020307082714215108,0.020307082714215108
2019-01-30 02:00:00,,0.020886165045327143,-0.004178305430893703,0.02485681836040723,0.41076417309208496,0.5597240405562534,0.3209066814029604,0.018289668808699977,0.018289668808699977
2019-01-30 02:30:00,,0.01821804252910364,-0.006075890505412129,0.02414733274195599,0.4273626352644551,0.6473333361270984,0.5366844601119931,0.016781836130306038,0.016781836130306038
2019-01-30 03:00:00,,0.015014764818871429,-0.006632121820844383,0.0215565362658206,0.43871421171360814,1.0,0.735685792227784,0.015779092702169706,0.015779092702169706
2019-01-30 03:30:00,,0.014166563793390763,-0.006868733418637918,0.02095882025449262,0.43871421171360825,1.0,0.8824444453756997,0.015779092702169706,0.015779092702169706
2019-01-30 04:00:00,,0.015303472758489756,-0.005920756709107966,0.021125123947842387,0.42408926146589054,0.47674668912780793,0.8255822297092695,0.01728395061728416,0.01728395061728416
2019-01-30 04:30:00,,0.013905829967353345,-0.007245741166170272,0.02108136923793592,0.4375506402612818,0.920439288160451,0.7990619924294198,0.016280217069560843,0.016280217069560843
2019-01-30 05:00:00,,0.016157242831231766,-0.0054252942654560155,0.021467343881497687,0.4116456972614265,0.0,0.4657286590960865,0.018793273986152492,0.018793273986152492
2019-01-30 05:30:00,,0.01299231206962892,-0.008058912957641495,0.02099942575308923,0.44690996228480545,1.0,0.6401464293868172,0.016280217069560843,0.016280217069560843
2019-01-30 06:00:00,,0.01136357105477015,-0.009096444391389902,0.02043684898353708,0.4608308088153466,1.0,0.6666666666666669,0.015278462296697937,0.015278462296697937
2019-01-30 06:30:00,,0.013622525099530103,-0.007001971739847401,0.02055644930462403,0.4315851761355448,0.40539663821356287,0.801798879404521,0.01778656126482203,0.01778656126482203
2019-01-30 07:00:00,,0.019132455111944724,-0.0027390124889947742,0.021693650791175856,0.3751746257468327,0.0,0.46846554607118773,0.023348236462990668,0.023348236462990668
2019-01-30 07:30:00,,0.022178728671044645,-0.0013516235390073073,0.02328784303248404,0.3484233602740301,0.0,0.13513221273785442,0.026407573492775338,0.026407573492775338
2019-01-30 08:00:00,,0.020880425823643467,-0.0035085990441514614,0.02417900809760908,0.36468496626778607,0.14466662311776335,0.048222207705921255,0.025385764061722327,0.025385764061722327
2019-01-30 08:30:00,,0.0223875690276798,-0.002786571521445902,0.02492981591929328,0.3460816170359362,0.0,0.048222207705921255,0.02743142144638422,0.02743142144638422
2019-01-30 09:00:00,,0.023209395414343748,-0.0031894253694119135,0.0261371879241061,0.3368295628434332,0.0,0.048222207705921255,0.02845731402895657,0.02845731402895657
2019-01-30 09:30:00,,0.021187939187680138,-0.0035144494223292577,0.024486011969044787,0.33682956284343324,2.5508255074808943e-15,9.923837163123181e-16,0.02845731402895657,0.02845731402895657
2019-01-30 10:00:00,,0.018421508499624872,-0.004705797776433762,0.022969782827738625,0.356772699814916,0.715952185924806,0.238650728641603,0.02743142144638422,0.02743142144638422
2019-01-30 10:30:00,,0.01469208821733714,-0.004976094196411429,0.01957309637009703,0.37695057795749676,1.0,0.5719840619749363,0.026407573492775338,0.026407573492775338
2019-01-30 11:00:00,,0.011540817980207896,-0.007417618775042323,0.01891943246080801,0.4342849064576925,1.0,0.9053173953082688,0.023348236462990668,0.023348236462990668
2019-01-30 11:30:00,,0.012428881018547555,-0.006710333032472149,0.019084645819561527,0.42039766592558586,0.8575014974337976,0.9525004991445992,0.02436598707110882,0.02436598707110882
2019-01-30 12:00:00,,0.014159275286332429,-0.0052404910312259245,0.019313639226835693,0.3933088734781208,0.4713602572506517,0.7762872515614831,0.026407573492775338,0.026407573492775338
