timestamp,ema50_dist_iota_btc_12h,ema200_dist_iota_btc_12h,lower_bb_dist_iota_btc_12h,width_bb_iota_btc_12h,rsi_iota_btc_12h,stoch_rsi_fastk_iota_btc_12h,stoch_rsi_fastd_iota_btc_12h,kijun_dist_iota_btc_12h,tenkan_dist_iota_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.5510011647900606,-0.5875533862111043
2018-07-04 14:00:00,,,,,,,,-0.558060817819512,-0.5940383250532293
2018-07-05 02:00:00,,,,,,,,-0.5502777777777779,-0.5868888888888889
2018-07-05 14:00:00,,,,,,,,-0.54115179684843,-0.5785058383403242
2018-07-06 02:00:00,,,,,,,,-0.514280571222849,-0.5538221528861155
2018-07-06 14:00:00,,,,,,,,-0.49522978113113436,-0.5363222547858079
2018-07-07 02:00:00,,,,,,,,-0.5002777949256128,-0.5409593184764492
2018-07-07 14:00:00,,,,,,,,-0.5062217884591924,-0.5464194217396608
2018-07-08 02:00:00,,,,,,,,-0.5132583729180447,-0.5528831699837653
2018-07-08 14:00:00,,,,,,,,-0.49810899621799254,-0.5389670779341559
2018-07-09 02:00:00,,,,,,,,-0.4961095549330844,-0.537130407718643
2018-07-09 14:00:00,,,,,,,,-0.4829788592961616,-0.5250686593855783
2018-07-10 02:00:00,,,,,,,,-0.4639427852460103,-0.5075822793192504
2018-07-10 14:00:00,,,,,,,,-0.46669741089663364,-0.5101126556426643
2018-07-11 02:00:00,,,,,0.273593898951382,,,-0.48287977513734515,-0.5249776414973808
2018-07-11 14:00:00,,,,,0.28576578655168916,,,-0.4856071678210587,-0.5274830018427908
2018-07-12 02:00:00,,,,,0.26997647330060187,,,-0.476661494698733,-0.5192655805534006
2018-07-12 14:00:00,,,,,0.269499566548888,,,-0.47639068564036224,-0.5190168175937904
2018-07-13 02:00:00,,,,,0.3075369663522796,,,-0.48409916512650564,-0.5260977630488815
2018-07-13 14:00:00,,0.17700761581415891,-0.07160046233120154,0.2361615212849355,0.2912742539618593,,,-0.4764245520988294,-0.5190479270422353
2018-07-14 02:00:00,,0.15712446764063892,-0.07166569576745485,0.21941470768332821,0.2958075825096974,0.6916354981358017,0.7546967249979533,-0.47730354490863314,-0.5198553625621489
2018-07-14 14:00:00,,0.12875346658097175,-0.06283748284218327,0.18547796805988553,0.2976683519271626,0.7405549675812209,0.6682150475250269,-0.4776408337097503,-0.5201651932632122
2018-07-15 02:00:00,,0.09665111225987921,-0.054905723146068675,0.1484581145269331,0.3102306690660693,1.0,0.8107301552390076,-0.479789216631322,-0.5221386800334169
2018-07-15 14:00:00,,0.05910664604523652,-0.050481789156799683,0.10911787218624772,0.34211015309980586,1.0,0.9135183225270737,-0.4851163974049103,-0.5270321842004834
2018-07-16 02:00:00,,0.02020943866071878,-0.07725459915606703,0.1003255822885044,0.4315580463756406,1.0,1.0,-0.5012630152177933,-0.5418643336824596
2018-07-16 14:00:00,,0.020096962697051746,-0.07980185049293198,0.1029728030150028,0.4370638647086875,1.0,1.0,-0.5023055640946819,-0.5428220104518906
2018-07-17 02:00:00,,0.04351528592271148,-0.05616736938737743,0.10031726652459712,0.38907889279591423,0.6216686674994613,0.8738895558331536,-0.4896929962806531,-0.5312362100485406
2018-07-17 14:00:00,,0.06899252699984193,-0.028349669856984505,0.09540346221397812,0.34244602785406963,0.003537247239446625,0.5417353049129692,-0.4743506493506494,-0.5171428571428571
2018-07-18 02:00:00,,0.06491286927766815,-0.018868668937665145,0.08189611759258271,0.3326170470360739,0.0,0.20840197157963586,-0.47070746698051535,-0.5137962599712306
2018-07-18 14:00:00,,0.10576301197440485,0.008714691141050723,0.09179413023874769,0.28585404571936357,0.0,0.0011790824131487673,-0.4505531799361977,-0.49528269870359054
2018-07-19 02:00:00,,0.1104437631168882,0.004017271859589888,0.10066536057826404,0.2808513946085223,0.0,-1.0787667055941105e-16,-0.4480807254380583,-0.4930115224653985
2018-07-19 14:00:00,,0.1779368312357945,0.031001076090711788,0.13303746986978035,0.23384135667444686,0.0,-1.0787667055941105e-16,-0.420253527178973,-0.4674496884623648
2018-07-20 02:00:00,,0.22099382098141196,0.03206695412134808,0.1677068536701565,0.21516479392959453,0.0,-1.0787667055941105e-16,-0.405827950675279,-0.4541984732824428
2018-07-20 14:00:00,,0.28373846230958155,0.03848545238958123,0.21122253402663121,0.19119991407334377,0.0,-1.0787667055941105e-16,-0.3834729626808835,-0.4336633663366336
2018-07-21 02:00:00,,0.24383596607355784,-0.014149616493230988,0.23140975197282532,0.27118641068674887,0.8921938169444843,0.2973979389814947,-0.4039905757620381,-0.4525106758945664
2018-07-21 14:00:00,,0.2550142728810061,-0.023143774626012137,0.2492600244722965,0.2640319635208992,0.9105543126806903,0.6009160432083914,-0.39890101730155203,-0.4478354496175838
2018-07-22 02:00:00,,0.26757391787900975,-0.03168839195752304,0.2676901892937443,0.2564912150083354,0.8162790433310377,0.8730090576520706,-0.39354210368594555,-0.44291279592448307
2018-07-22 14:00:00,,0.2803687721478567,-0.03929288503277739,0.28527517432007377,0.24809123242043135,0.7112615348320313,0.8126982969479196,-0.38753120980555356,-0.4373912385564046
2018-07-23 02:00:00,,0.3558705805010791,-0.01159503845771559,0.31350036492595684,0.2079025677627264,0.0,0.5091801927210228,-0.3523481878550285,-0.4050724057924634
2018-07-23 14:00:00,,0.4125438868327669,-0.007311328693231589,0.34911818743278566,0.18704294646591005,0.0,0.23708717827734357,-0.3276578073089702,-0.38239202657807314
