timestamp,ema50_dist_trx_btc_30m,ema200_dist_trx_btc_30m,lower_bb_dist_trx_btc_30m,width_bb_trx_btc_30m,rsi_trx_btc_30m,stoch_rsi_fastk_trx_btc_30m,stoch_rsi_fastd_trx_btc_30m,kijun_dist_trx_btc_30m,tenkan_dist_trx_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 16:30:00,,,,,,,,-0.060568603213844274,-0.060568603213844274
2019-01-29 17:00:00,,,,,,,,-0.053549190535491786,-0.053549190535491786
2019-01-29 17:30:00,,,,,,,,-0.04881101376720898,-0.04881101376720898
2019-01-29 18:00:00,,,,,,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 18:30:00,,,,,,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 19:00:00,,,,,,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 19:30:00,,,,,,,,-0.04881101376720898,-0.04881101376720898
2019-01-29 20:00:00,,,,,,,,-0.04881101376720898,-0.04881101376720898
2019-01-29 20:30:00,,,,,,,,-0.04881101376720898,-0.04881101376720898
2019-01-29 21:00:00,,,,,,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 21:30:00,,,,,,,,-0.04282115869017633,-0.04282115869017633
2019-01-29 22:00:00,,,,,,,,-0.04040404040404044,-0.04040404040404044
2019-01-29 22:30:00,,,,,,,,-0.045226130653266305,-0.045226130653266305
2019-01-29 23:00:00,,,,,0.5,,,-0.046424090338770374,-0.046424090338770374
2019-01-29 23:30:00,,,,,0.5,,,-0.046424090338770374,-0.046424090338770374
2019-01-30 00:00:00,,,,,0.4456008881487653,,,-0.04161412358133676,-0.04161412358133676
2019-01-30 00:30:00,,,,,0.47628219349373796,,,-0.04402515723270439,-0.04402515723270439
2019-01-30 01:00:00,,,,,0.4040413146676815,,,-0.03675538656527255,-0.03675538656527255
2019-01-30 01:30:00,,0.020838973762969504,-0.001193853357393082,0.021818513458382333,0.4040413146676815,,,-0.03675538656527255,-0.03675538656527255
2019-01-30 02:00:00,,0.02113124625894791,-0.002500067551723606,0.02341320599814141,0.40404131466768156,9.835743242700084e-16,3.278581080900028e-16,-0.03675538656527255,-0.03675538656527255
2019-01-30 02:30:00,,0.016588030523644326,-0.002917144447695086,0.019372753617498364,0.42228184621600234,0.25249598073468776,0.08416532691156292,-0.03797468354430389,-0.03797468354430389
2019-01-30 03:00:00,,0.011129023804791416,-0.00633709442269792,0.017424370052080806,0.47426843569322125,1.0,0.4174986602448963,-0.04161412358133676,-0.04161412358133676
2019-01-30 03:30:00,,0.006833598090498549,-0.009974301608086211,0.016834335526987834,0.5207150232545291,1.0,0.7508319935782292,-0.045226130653266305,-0.045226130653266305
2019-01-30 04:00:00,,0.004474341293051465,-0.012494391418364503,0.017037051715790143,0.549302036289386,0.9999999999999999,1.0,-0.04761904761904756,-0.04761904761904756
2019-01-30 04:30:00,,0.00463544803311966,-0.012530184875224948,0.017233660515643255,0.549302036289386,1.0,1.0,-0.04761904761904756,-0.04761904761904756
2019-01-30 05:00:00,,0.002694271909916557,-0.015194271909916401,0.01800105038473755,0.5784616283414236,1.0,1.0,-0.04999999999999993,-0.04999999999999993
2019-01-30 05:30:00,,0.0019063393894938052,-0.016637924907595858,0.018681871087874252,0.5926527058299996,1.0,1.0,-0.05118601747815221,-0.05118601747815221
2019-01-30 06:00:00,,0.004414240113872925,-0.014176442867314565,0.018681871087874252,0.5525852105743684,0.07573526129524936,0.6919117537650831,-0.04881101376720898,-0.04881101376720898
2019-01-30 06:30:00,,0.0013658114794792287,-0.018198729185215035,0.019730602468512874,0.5966370337317137,1.0,0.6919117537650831,-0.052369077306733125,-0.052369077306733125
2019-01-30 07:00:00,,0.0033197768365764713,-0.017177454739198073,0.020640244505871323,0.5762693110995246,0.5376417779704775,0.537792346421909,-0.05118601747815221,-0.05118601747815221
2019-01-30 07:30:00,,0.008541171657949098,-0.012054346061964316,0.020631759204086223,0.5023907283089543,0.0,0.5125472593234925,-0.046424090338770374,-0.046424090338770374
2019-01-30 08:00:00,,0.008665839713710044,-0.011551661545579961,0.020246715466047893,0.5023907283089543,0.0,0.17921392599015917,-0.046424090338770374,-0.046424090338770374
2019-01-30 08:30:00,,0.008748023121982973,-0.01150837443942343,0.020284393587687976,0.5023907283089543,0.0,0.0,-0.046424090338770374,-0.046424090338770374
2019-01-30 09:00:00,,0.0053846545715907634,-0.015259654571590842,0.020746746202556694,0.5557418748101387,0.7221463174574335,0.24071543915247784,-0.04999999999999993,-0.04999999999999993
2019-01-30 09:30:00,,0.00367956546321091,-0.017894029303609726,0.021728020850169644,0.5874944201486808,1.0,0.5740487724858112,-0.052369077306733125,-0.052369077306733125
2019-01-30 10:00:00,,0.0034619896989163124,-0.018904081853337473,0.022540104739532895,0.6027815944319092,1.0,0.9073821058191446,-0.053549190535491786,-0.053549190535491786
2019-01-30 10:30:00,,0.005442222231056615,-0.01753698532332615,0.023119017071586163,0.5796478311195364,0.7695630667829942,0.9231876889276647,-0.052369077306733125,-0.052369077306733125
2019-01-30 11:00:00,,0.0034510983743474277,-0.018625227727581684,0.02224510112288643,0.6117416767014263,1.0,0.9231876889276647,-0.05472636815920384,-0.05472636815920384
2019-01-30 11:30:00,,-0.00027469591722351083,-0.022373818934262713,0.022352245600260015,0.6665724777001446,1.0,0.9231876889276647,-0.05940594059405946,-0.05940594059405946
2019-01-30 12:00:00,,0.0004575669731576859,-0.02075459667612889,0.02142964269645353,0.6665724777001446,1.0,1.0,-0.05940594059405946,-0.05940594059405946
