timestamp,ema50_dist_zec_usd_30m,ema200_dist_zec_usd_30m,lower_bb_dist_zec_usd_30m,width_bb_zec_usd_30m,rsi_zec_usd_30m,stoch_rsi_fastk_zec_usd_30m,stoch_rsi_fastd_zec_usd_30m,kijun_dist_zec_usd_30m,tenkan_dist_zec_usd_30m
2019-01-30 10:30:00,,,,,,,,-0.039425875740238814,-0.039425875740238814
2019-01-30 11:00:00,,,,,,,,-0.038653942742340575,-0.038653942742340575
2019-01-30 11:30:00,,,,,,,,-0.041042906671476365,-0.041042906671476365
2019-01-30 12:00:00,,,,,,,,-0.03530099592758351,-0.03530099592758351
2019-01-30 12:30:00,,,,,,,,-0.034736650999536045,-0.034736650999536045
2019-01-30 13:00:00,,,,,,,,-0.04181100943150651,-0.04181100943150651
2019-01-30 13:30:00,,,,,,,,-0.054159830799944686,-0.054159830799944686
2019-01-30 14:00:00,,,,,,,,-0.05524294655373263,-0.05524294655373263
2019-01-30 14:30:00,,,,,,,,-0.05636080380208652,-0.05636080380208652
2019-01-30 15:00:00,,,,,,,,-0.0501984914648671,-0.0501984914648671
2019-01-30 15:30:00,,,,,,,,-0.0518546405643181,-0.0518546405643181
2019-01-30 16:00:00,,,,,,,,-0.054346752040473456,-0.054346752040473456
2019-01-30 16:30:00,,,,,,,,-0.052061253194397694,-0.052061253194397694
2019-01-30 17:00:00,,,,,,,,-0.0540289419579314,-0.0540289419579314
2019-01-30 17:30:00,,,,,0.615444315095071,,,-0.050763737353699656,-0.050763737353699656
2019-01-30 18:00:00,,,,,0.6413718230660017,,,-0.05401024059466619,-0.05401024059466619
2019-01-30 18:30:00,,,,,0.5986580561601691,,,-0.05082022494197924,-0.05082022494197924
2019-01-30 19:00:00,,,,,0.5919156126225356,,,-0.05031159449053313,-0.05031159449053313
2019-01-30 19:30:00,,,,,0.6092915179055893,,,-0.05217391304347829,-0.05217391304347829
2019-01-30 20:00:00,,0.010184040537484673,-0.018457144040385565,0.028760152436804538,0.6121656925644942,,,-0.05247420843151618,-0.05247420843151618
2019-01-30 20:30:00,,0.010590503833391773,-0.016867740185503077,0.027544696303366523,0.6070559075513506,0.7476659337746137,0.5028199580883738,-0.05215513826162754,-0.05215513826162754
2019-01-30 21:00:00,,0.01263682877490968,-0.012994226916439033,0.025635636755815473,0.5708348498146845,0.0,0.38570689229241173,-0.04989675164800256,-0.04989675164800256
2019-01-30 21:30:00,,0.009823134395396504,-0.014450673898782407,0.0243301025495135,0.6003658119527642,0.7145018144643491,0.4873892494129876,-0.05249297057542279,-0.05249297057542279
2019-01-30 22:00:00,,0.008028472157937339,-0.01169999460271598,0.01976475012249842,0.6050317993100677,0.827395407889201,0.5139657407845167,-0.052905549837700905,-0.052905549837700905
2019-01-30 22:30:00,,0.006847456863833479,-0.0052870325553175945,0.012125029323901845,0.5757455649270175,0.13557624816025032,0.5591578235046001,-0.051234261921284885,-0.051234261921284885
2019-01-30 23:00:00,,0.0037370376261778304,-0.003491473621108243,0.007227623825159289,0.5903804891869439,0.5715609041355624,0.5115108533950046,-0.05238038656527255,-0.05238038656527255
2019-01-30 23:30:00,,0.003495127063579906,-0.0035505737060875786,0.007045896105308841,0.5911275020681948,0.5252275502541152,0.41078823418330934,-0.052436681914493466,-0.052436681914493466
2019-01-31 00:00:00,,0.0047596563718341756,-0.0018715124407049366,0.0066216067358848794,0.5596207836681885,0.0,0.36559615146322594,-0.05082022494197924,-0.05082022494197924
2019-01-31 00:30:00,,0.002468129103234684,-0.002767245620012737,0.005236157833893659,0.5790086706846816,0.6153572317607449,0.38019492733828675,-0.05211758646646325,-0.05211758646646325
2019-01-31 01:00:00,,-0.0006972567252787609,-0.006673096104462983,0.00599794285673756,0.6285272271652692,0.9999999999999999,0.538452410586915,-0.055746309890283396,-0.055746309890283396
2019-01-31 01:30:00,,-0.002672270912835284,-0.011469937504864691,0.008860318829798462,0.6701007150063718,1.0,0.8717857439202483,-0.05932886433780893,-0.05932886433780893
2019-01-31 02:00:00,,-0.0017739182301721446,-0.01265692415846209,0.01096210211220462,0.6745716150458608,1.0,1.0,-0.0597355131555678,-0.0597355131555678
2019-01-31 02:30:00,,-0.0003173575051509392,-0.012710652322858729,0.01247455412457533,0.6674866428485042,0.9258606749224988,0.9752868916408329,-0.059439803439803485,-0.059439803439803485
2019-01-31 03:00:00,,0.0015248250660102602,-0.01171493015515912,0.013307557928052912,0.6398928206934776,0.24683993101793902,0.7242335353134792,-0.05831070177510134,-0.05831070177510134
2019-01-31 03:30:00,,0.0055856275588961335,-0.007472494569347843,0.013070453231751347,0.5580314744936046,0.0,0.3909002019801459,-0.05457096003003181,-0.05457096003003181
2019-01-31 04:00:00,,0.003870260017123872,-0.009403467147585887,0.013310552185842171,0.5861164246425521,0.24098949954804907,0.16260981018866263,-0.05641662722826957,-0.05641662722826957
2019-01-31 04:30:00,,0.005512349656894289,-0.007499196179912793,0.01302448466284018,0.5557669212365293,0.0,0.08032983318268298,-0.05494440384729338,-0.05494440384729338
2019-01-31 05:00:00,,0.003841882236826244,-0.008858934299829646,0.01273275698901556,0.5834085419845851,0.32857444528366153,0.18985464827723683,-0.05669564531708948,-0.05669564531708948
2019-01-31 05:30:00,,0.004115828234573904,-0.008581082054189282,0.012725321183272919,0.5825779390328588,0.8834087806197478,0.4039944086344698,-0.05665845243962553,-0.05665845243962553
2019-01-31 06:00:00,,0.00401052409736069,-0.008706738353513876,0.012747194228505421,0.5882595489799136,1.0000000000000002,0.7373277419678032,-0.056993082789744465,-0.056993082789744465
