timestamp,ema50_dist_eth_usd_4h,ema200_dist_eth_usd_4h,lower_bb_dist_eth_usd_4h,width_bb_eth_usd_4h,rsi_eth_usd_4h,stoch_rsi_fastk_eth_usd_4h,stoch_rsi_fastd_eth_usd_4h,kijun_dist_eth_usd_4h,tenkan_dist_eth_usd_4h
2019-01-14 20:00:00,,,,,,,,-0.13868474884460946,-0.13868474884460946
2019-01-15 00:00:00,,,,,,,,-0.13514644351464422,-0.13514644351464422
2019-01-15 04:00:00,,,,,,,,-0.1345538976857492,-0.1345538976857492
2019-01-15 08:00:00,,,,,,,,-0.13349847560975603,-0.13349847560975603
2019-01-15 12:00:00,,,,,,,,-0.12246236974141267,-0.12246236974141267
2019-01-15 16:00:00,,,,,,,,-0.11926712116516891,-0.11926712116516891
2019-01-15 20:00:00,,,,,,,,-0.11597978227060646,-0.11597978227060646
2019-01-16 00:00:00,,,,,,,,-0.07271615008156596,-0.07271615008156596
2019-01-16 04:00:00,,,,,,,,-0.07415098949425847,-0.07415098949425847
2019-01-16 08:00:00,,,,,,,,-0.07127798829139542,-0.07127798829139542
2019-01-16 12:00:00,,,,,,,,-0.09088364654138337,-0.09088364654138337
2019-01-16 16:00:00,,,,,,,,-0.08525104602510458,-0.08525104602510458
2019-01-16 20:00:00,,,,,,,,-0.08642719382835096,-0.08642719382835096
2019-01-17 00:00:00,,,,,,,,-0.08583949823094239,-0.08583949823094239
2019-01-17 04:00:00,,,,,0.19289731437694946,,,-0.07173185269862004,-0.07173185269862004
2019-01-17 08:00:00,,,,,0.22571384560930613,,,-0.07633246668833271,-0.07633246668833271
2019-01-17 12:00:00,,,,,0.21910803196386502,,,-0.07316973748573286,-0.07316973748573286
2019-01-17 16:00:00,,,,,0.2695380296660715,,,-0.08006959054863239,-0.08006959054863239
2019-01-17 20:00:00,,,,,0.3223054729030456,,,-0.08767354144932182,-0.08767354144932182
2019-01-18 00:00:00,,0.060976980164858086,-0.048354106568051725,0.10864537829436618,0.35355390217927096,,,-0.09233532934131738,-0.09233532934131738
2019-01-18 04:00:00,,0.05822538309279768,-0.04272530356429127,0.100174331603802,0.3393364054179315,0.8942511455460808,0.9647503818486934,-0.08840509983160927,-0.08840509983160927
2019-01-18 08:00:00,,0.05155184479169672,-0.040230213418832594,0.0912654214809808,0.33717318169118266,0.8050282643257108,0.8997598032905971,-0.08781994704324791,-0.08781994704324791
2019-01-18 12:00:00,,0.05439224098358264,-0.027747042055372595,0.08105936163112776,0.3023864921467699,0.0,0.5664264699572638,-0.07790159056859214,-0.07790159056859214
2019-01-18 16:00:00,,0.038287536111415665,-0.029062057925931084,0.06704035437393473,0.3411855595451725,0.7582769456917555,0.5211017366724886,-0.08318548387096769,-0.08318548387096769
2019-01-18 20:00:00,,0.05067309742280002,-0.009766208648044006,0.05922789168214166,0.28557847913016293,0.0,0.2527589818972517,-0.06578190484016755,-0.06578190484016755
2019-01-19 00:00:00,,0.04142546356375165,-0.008656137549960086,0.04927425898532269,0.29256629185280475,0.1256640821724503,0.2946470092880685,-0.0667788540469545,-0.0667788540469545
2019-01-19 04:00:00,,0.02219501745990149,-0.012548366288597679,0.034576609503217275,0.35142444843021275,1.0,0.37522136072415,-0.0752806246949731,-0.0752806246949731
2019-01-19 08:00:00,,0.019983204666374155,-0.014090677921243522,0.03397378686375361,0.36463986559342926,1.0,0.7085546940574834,-0.07723214285714286,-0.07723214285714286
2019-01-19 12:00:00,,-0.008454630010521158,-0.05076343477235956,0.043599751207602996,0.5361193030225748,1.0000000000000002,1.0,-0.10891205518106284,-0.10891205518106284
2019-01-19 16:00:00,,0.0005469698799496214,-0.04568098850237812,0.047295271208056405,0.5126462522146626,0.9036224159365855,0.9678741386455285,-0.1040665143037276,-0.1040665143037276
2019-01-19 20:00:00,,0.0055066147306068736,-0.043467528746416906,0.049921679773731416,0.499338540573669,0.8008565938120787,0.901493003249555,-0.101304347826087,-0.101304347826087
2019-01-20 00:00:00,,0.010976437259717864,-0.03993489788189064,0.05165932236788782,0.48239498559715716,0.6867011098772917,0.7970600398753187,-0.09780969764304426,-0.09780969764304426
2019-01-20 04:00:00,,0.01408150906281791,-0.03807209130677447,0.052786793322896264,0.4735658449982692,0.0,0.49585256789645693,-0.09601622137404586,-0.09601622137404586
2019-01-20 08:00:00,,0.01864984744482001,-0.03418473706723546,0.05324818686482502,0.455951165992418,0.0,0.22890036995909735,-0.09248024267582022,-0.09248024267582022
2019-01-20 12:00:00,,0.055490504803776375,-0.0026941371511277623,0.0566881770367098,0.3385902944088253,0.0,9.473903143468002e-17,-0.06068743286788403,-0.06068743286788403
2019-01-20 16:00:00,,0.07791563394410095,0.007471488781643831,0.06755977764970728,0.29788765157258773,0.0,9.473903143468002e-17,-0.04418194047418866,-0.04418194047418866
2019-01-20 20:00:00,,0.08738929858689293,0.005425716010352133,0.07832854982867601,0.2866996079810587,0.0,9.473903143468002e-17,-0.03909221536641028,-0.03909221536641028
2019-01-21 00:00:00,,0.08178977010317978,-0.0066181128655633525,0.0852053685876069,0.3211313222484081,0.20343513922063003,0.06781171307354344,-0.045465994962216594,-0.045465994962216594
2019-01-21 04:00:00,,0.0922108075041761,-0.005148370987368978,0.09329781111295575,0.30149079990838584,0.2850452161182513,0.1628267851129605,-0.03746507493014983,-0.03746507493014983
2019-01-21 08:00:00,,0.09892710272566485,-0.006608094065922887,0.10087868661977073,0.28862523224990383,0.0559258901225012,0.1814687484871276,-0.03197377384196176,-0.03197377384196176
