timestamp,ema50_dist_etc_usd_15m,ema200_dist_etc_usd_15m,upper_bb_dist_etc_usd_15m,lower_bb_dist_etc_usd_15m,width_bb_etc_usd_15m,rsi_etc_usd_15m,stoch_rsi_fastk_etc_usd_15m,stoch_rsi_fastd_etc_usd_15m,kijun_dist_etc_usd_15m,tenkan_dist_etc_usd_15m
2018-12-20 08:15:00,,,,,,,,,-8.340668045592581,-8.562909827047482
2018-12-20 08:30:00,,,,,,,,,-8.191175174116205,-8.413779423432954
2018-12-20 08:45:00,,,,,,,,,-9.269020496177394,-9.489011348042952
2018-12-20 09:00:00,,,,,,,,,-12.963852904304218,-13.174885081487664
2018-12-20 09:15:00,,,,,,,,,-13.188771257085708,-13.399258086028675
2018-12-20 09:30:00,,,,,,,,,-13.421528485024847,-13.631450959200219
2018-12-20 09:45:00,,,,,,,,,-13.5078175287058,-13.71753078216813
2018-12-20 10:00:00,,,,,,,,,-13.804912367827516,-14.013905270345772
2018-12-20 10:15:00,,,,,,,,,-14.814928425357877,-15.021472392638024
2018-12-20 10:30:00,,,,,,,,,-13.217708333333334,-13.42812499999999
2018-12-20 10:45:00,,,,,,,,,-13.924246807455487,-14.13295036574782
2018-12-20 11:00:00,,,,,,,,,-13.75672877846792,-13.965838509316775
2018-12-20 11:15:00,,,,,,,,,-13.63334784682052,-13.842756733221373
2018-12-20 11:30:00,,,,,,,,,-13.47907363173746,-13.688856579084007
2018-12-20 11:45:00,,,,,,76.9983073161557,,,-13.787072872901874,-13.996109029948045
2018-12-20 12:00:00,,,,,,75.7252820739013,,,-13.638719575403258,-13.848115437243447
2018-12-20 12:15:00,,,,,,70.3946719139009,,,-13.00202585576743,-13.21296547691151
2018-12-20 12:30:00,,,,,,67.90111648402087,,,-12.69021169566129,-12.901907356948229
2018-12-20 12:45:00,,,,,,68.87325804727294,,,-12.945663531870444,-13.156739811912221
2018-12-20 13:00:00,,,3.0721665646385787,-4.869676938082545,8.013868562079894,71.2199486851875,,,-13.57780082987553,-13.78734439834025
2018-12-20 13:15:00,,,2.665407726293134,-3.9581053225765883,6.666602554356691,71.33299853881935,100.00000000000001,51.03462912510367,-13.608270941784028,-13.817740630897813
2018-12-20 13:30:00,,,1.668215902399428,-2.895491449957921,4.591884892586721,72.25802957704208,99.99999999999999,80.80590474490606,-13.847697048664976,-14.056586213315125
2018-12-20 13:45:00,,,0.47533064893792165,-1.6587674848536516,2.1468011516025522,73.08175536904724,100.0,100.0,-14.05743877529968,-14.265819389713009
2018-12-20 14:00:00,,,1.1763572036033398,-0.88753203633406,2.060913022195585,66.86660775838618,0.0,66.66666666666667,-13.444915430328718,-13.654781199351696
2018-12-20 14:15:00,,,1.8226717348888366,-0.3265396002453236,2.133253191875686,61.96884072664388,0.0,33.333333333333336,-12.909261969475239,-13.120426510558236
2018-12-20 14:30:00,,,1.2942984523536927,-0.8487816986774255,2.1383168710774507,64.33540573722813,21.295628435353798,7.098542811784604,-13.360302834917537,-13.57037375985357
2018-12-20 14:45:00,,,1.5923828433026532,-0.6038142755693254,2.1853950545768037,61.98329385601807,0.13005705379073665,7.141895163048183,-13.10546956485461,-13.316158371229502
2018-12-20 15:00:00,,,1.6676676531705459,-0.5688996431475579,2.2243470891941306,61.16349551137782,0.0,7.141895163048183,-13.018375443725205,-13.229275422844012
2018-12-20 15:15:00,,,0.4770700439313602,-1.2644194664589992,1.7483724104289353,65.50373561893639,100.00000000000001,33.37668568459692,-13.781719584385488,-13.990768721281622
2018-12-20 15:30:00,,,1.1471282416320339,-0.6074774519499893,1.7498840620024627,60.04929359578769,0.0,33.33333333333334,-13.206859190732189,-13.417302162770351
2018-12-20 15:45:00,,,0.3470860240847973,-1.3829944854165,1.7390881903582642,63.88500349958649,70.3226817247303,56.774227241576774,-13.886879044094858,-14.09567320612738
2018-12-20 16:00:00,,,-0.0772432629787767,-2.0195707144107344,1.9629067024823457,66.42244263191837,100.00000000000001,56.774227241576774,-14.377183967112039,-14.58478931140802
2018-12-20 16:15:00,,,0.3484043492476552,-1.6882149810936276,2.0503547659134145,63.42520647332993,52.97087606775711,74.43118593082914,-14.071621593745487,-14.279967819790818
2018-12-20 16:30:00,,,0.9532035292634689,-1.0965972498220622,2.051271476329874,58.67825917699617,0.0,50.99029202258571,-13.558073419245066,-13.767664819772152
2018-12-20 16:45:00,,,0.45656654360561877,-1.6296494210955026,2.098524681560758,61.44082369302861,35.67276694971057,29.547881005822564,-14.01486221488286,-14.22334606254515
2018-12-20 17:00:00,,,0.4176484178061157,-1.7496895749910646,2.1818696939569984,61.99660543062445,42.8495305275747,26.174099159095096,-14.107058168546526,-14.315318473307636
2018-12-20 17:15:00,,,-0.27138797270306325,-2.772472034647744,2.5397370826195336,66.73340104106173,100.0,59.50743249242843,-14.943643565973797,-15.149875444113203
2018-12-20 17:30:00,,,-1.0394818198402156,-4.42163242216923,3.477094658120402,72.27312189337243,100.0,80.94984350919158,-16.159125674261333,-16.362410433942507
2018-12-20 17:45:00,,,-1.2906505326876316,-5.909540485478926,4.791384366181091,75.77868756089764,100.0,100.0,-17.115028752213625,-17.315995781682147
2018-12-20 18:00:00,,,-0.47706462179401,-5.94489885216718,5.649229973089094,74.00263524552358,87.11332367209704,95.70444122403235,-16.94812185979744,-17.149493580030306
2018-12-20 18:15:00,,,1.8373269323985975,-3.789759320765429,5.682560327323598,58.171555367616556,0.0,62.37110789069902,-15.104856624615326,-15.310697617543356
