timestamp,ema50_dist_dsh_usd_3h,ema200_dist_dsh_usd_3h,lower_bb_dist_dsh_usd_3h,width_bb_dsh_usd_3h,rsi_dsh_usd_3h,stoch_rsi_fastk_dsh_usd_3h,stoch_rsi_fastd_dsh_usd_3h,kijun_dist_dsh_usd_3h,tenkan_dist_dsh_usd_3h
2017-05-24 20:00:00,,,,,,,,-0.5219671570304483,-0.5219671570304483
2017-05-24 23:00:00,,,,,,,,-0.5084464926475762,-0.5084464926475762
2017-05-25 02:00:00,,,,,,,,-0.5066066384180792,-0.5066066384180792
2017-05-25 05:00:00,,,,,,,,-0.4905235907532999,-0.4905235907532999
2017-05-25 08:00:00,,,,,,,,-0.48428065254299846,-0.48428065254299846
2017-05-25 11:00:00,,,,,,,,-0.47363444586755066,-0.47363444586755066
2017-05-25 14:00:00,,,,,,,,-0.4817558044655441,-0.4817558044655441
2017-05-25 17:00:00,,,,,,,,-0.44709955682177915,-0.44709955682177915
2017-05-25 20:00:00,,,,,,,,-0.45397030089878865,-0.45397030089878865
2017-05-25 23:00:00,,,,,,,,-0.40782759789794887,-0.40782759789794887
2017-05-26 02:00:00,,,,,,,,-0.44432911795116525,-0.44432911795116525
2017-05-26 05:00:00,,,,,,,,-0.4749793341850155,-0.4749793341850155
2017-05-26 08:00:00,,,,,,,,-0.4714042520995687,-0.4714042520995687
2017-05-26 11:00:00,,,,,,,,-0.4744659244772078,-0.4744659244772078
2017-05-26 14:00:00,,,,,0.3387684301821336,,,-0.45230087801818764,-0.45230087801818764
2017-05-26 17:00:00,,,,,0.3095653234164483,,,-0.4297241041547629,-0.4297241041547629
2017-05-26 20:00:00,,,,,0.26190115335631853,,,-0.3795888464612379,-0.3795888464612379
2017-05-26 23:00:00,,,,,0.24960984109696277,,,-0.3629570529771132,-0.3629570529771132
2017-05-27 02:00:00,,,,,0.2447295845121114,,,-0.35614689890332696,-0.35614689890332696
2017-05-27 05:00:00,,0.5952695301853856,0.0705838214623904,0.3936343373116791,0.1976032166489766,,,-0.2674450304599931,-0.2674450304599931
2017-05-27 08:00:00,,0.6493882215241045,0.04853781843730043,0.445416511933292,0.18829512406789867,0.0,0.0,-0.24257092986697615,-0.24257092986697615
2017-05-27 11:00:00,,0.5907449849410149,-0.02400753198586214,0.4790147244854328,0.22450708882250964,0.5905917291838102,0.19686390972793671,-0.26552742793465245,-0.26552742793465245
2017-05-27 14:00:00,,0.5593111056797,-0.06354860567969967,0.49913380088001136,0.2356900801309646,0.8398229679172242,0.47680489903367806,-0.2722447916666667,-0.2722447916666667
2017-05-27 17:00:00,,0.4394896568949487,-0.1387862274327505,0.5026948514288729,0.3160207400801606,1.0000000000000002,0.8101382323670115,-0.3193248246297741,-0.3193248246297741
2017-05-27 20:00:00,,0.4787621511038904,-0.12308285477118874,0.5109736344943266,0.2960514905050358,0.8436550928577421,0.894492686924989,-0.2920310489142002,-0.2920310489142002
2017-05-27 23:00:00,,0.4953023207829703,-0.12378329408756295,0.5221004831938438,0.28532033947350033,0.6645265467528422,0.8360605465368616,-0.27598553307909135,-0.27598553307909135
2017-05-28 02:00:00,,0.3481609479462542,-0.19671210054674926,0.506517316599557,0.3793119327704686,1.0,0.8360605465368616,-0.33449704705658234,-0.33449704705658234
2017-05-28 05:00:00,,0.32048657906058087,-0.2089478998152977,0.5014679428606172,0.38970400847708603,1.0,0.888175515584281,-0.34090094339622645,-0.34090094339622645
2017-05-28 08:00:00,,0.25652139509808114,-0.23633850155849923,0.4879359173198776,0.4290648865387955,1.0,1.0000000000000002,-0.3642902638762512,-0.3642902638762512
2017-05-28 11:00:00,,0.27179074779022017,-0.22638911906543724,0.48712180518429565,0.4154510047999427,0.9052911430951966,0.9684303810317324,-0.35346566722191386,-0.35346566722191386
2017-05-28 14:00:00,,0.3400488545872675,-0.17921741612953102,0.4806171008761494,0.36820225218405933,0.0,0.6350970476983991,-0.30929807217004457,-0.30929807217004457
2017-05-28 17:00:00,,0.336851107114984,-0.15486325857204275,0.45070312010708685,0.3522142685883017,0.0,0.3017637143650658,-0.29135603363458407,-0.29135603363458407
2017-05-28 20:00:00,,0.3032844047027561,-0.14111379555947867,0.4110667293163511,0.34788843841090467,0.0,2.3684757858670006e-16,-0.28642705396903223,-0.28642705396903223
2017-05-28 23:00:00,,0.19513633518904938,-0.15460620999343133,0.3427957674959121,0.3984972519014931,0.7490658836014797,0.24968862786716017,-0.31666177621283254,-0.31666177621283254
2017-05-29 02:00:00,,0.14171032105194925,-0.13730779309861918,0.27840527065735676,0.40549384601592,1.0,0.5830219612004935,-0.3207146329606223,-0.3207146329606223
2017-05-29 05:00:00,,0.10853247172393199,-0.11144021069272192,0.22029295962828457,0.4002337030984479,0.9086866470325251,0.8859175102113351,-0.3164612073182663,-0.3164612073182663
2017-05-29 08:00:00,,0.0669214730377854,-0.1285666927499196,0.2017052479512269,0.4336142950333063,1.0,0.9695622156775086,-0.33405299780764475,-0.33405299780764475
2017-05-29 11:00:00,,0.04150290814538504,-0.14350477730426336,0.19495033471677858,0.45872711334469396,1.0,0.9695622156775086,-0.34706074766355144,-0.34706074766355144
2017-05-29 14:00:00,,0.03422868627955977,-0.14749385962280748,0.19263178199172282,0.46592615832505097,1.0000000000000002,1.0000000000000004,-0.3506413235430803,-0.3506413235430803
2017-05-29 17:00:00,,0.005130563786268416,-0.18014884287677235,0.2030479588263547,0.5191565688905138,1.0,1.0000000000000004,-0.37704413731609465,-0.37704413731609465
