timestamp,ema50_dist_etc_btc_1h,ema200_dist_etc_btc_1h,upper_bb_dist_etc_btc_1h,lower_bb_dist_etc_btc_1h,width_bb_etc_btc_1h,rsi_etc_btc_1h,stoch_rsi_fastk_etc_btc_1h,stoch_rsi_fastd_etc_btc_1h,kijun_dist_etc_btc_1h,tenkan_dist_etc_btc_1h
2018-02-16 16:00:00,,,,,,,,,-67.24852071005918,-66.92307692307693
2018-02-16 17:00:00,,,,,,,,,-67.51760563380283,-67.19483568075117
2018-02-16 18:00:00,,,,,,,,,-67.3258559622196,-67.00118063754428
2018-02-16 19:00:00,,,,,,,,,-67.78230500582072,-67.46216530849824
2018-02-16 20:00:00,,,,,,,,,-68.37142857142857,-68.05714285714286
2018-02-16 21:00:00,,,,,,,,,-67.78230500582072,-67.46216530849824
2018-02-16 22:00:00,,,,,,,,,-67.54617414248021,-67.22368806801524
2018-02-16 23:00:00,,,,,,,,,-67.44117647058823,-67.11764705882352
2018-02-17 00:00:00,,,,,,,,,-67.54617414248021,-67.22368806801524
2018-02-17 01:00:00,,,,,,,,,-67.35476260690062,-67.03037452079033
2018-02-17 02:00:00,,,,,,,,,-66.93548387096774,-66.60692951015531
2018-02-17 03:00:00,,,,,,,,,-66.73677884615385,-66.40625
2018-02-17 04:00:00,,,,,,,,,-66.4951573849879,-66.16222760290556
2018-02-17 05:00:00,,,,,,,,,-66.3730255164034,-66.03888213851761
2018-02-17 06:00:00,,,,,,39.030612244897966,,,-66.39344262295081,-66.0595021250759
2018-02-17 07:00:00,,,,,,32.5851900393185,,,-65.64245810055867,-65.30105524518932
2018-02-17 08:00:00,,,,,,32.425010032102755,,,-65.62111801242236,-65.27950310559007
2018-02-17 09:00:00,,,,,,28.635234505976825,,,-65.0788643533123,-64.73186119873817
2018-02-17 10:00:00,,,,,,32.86061125709708,,,-65.35211267605634,-65.00782472613457
2018-02-17 11:00:00,,,9.336221241203923,-2.025662234992731,10.96122023949223,36.88499076442305,,,-65.62111801242236,-65.27950310559007
2018-02-17 12:00:00,,,8.245866514280653,-3.188925917173824,11.152797265147354,41.281793680381945,100.0,80.21556265114542,-65.92797783933518,-65.58941212680824
2018-02-17 13:00:00,,,9.62018379281593,-2.258335525566435,11.456803088553915,36.891666153895194,65.28599229289371,88.42866409763123,-65.4386512644396,-65.09522322822355
2018-02-17 14:00:00,,,8.920405900767525,-3.053407765279592,11.6325722670389,39.163622759190474,74.84710798646692,80.04436675978688,-65.5997513983841,-65.25792417650715
2018-02-17 15:00:00,,,8.195928394393203,-3.430036921524904,11.355372940574487,40.244759877226834,76.41391204070047,72.18233744002036,-65.67441860465117,-65.33333333333333
2018-02-17 16:00:00,,,7.289637622834189,-3.0753519085484182,10.15109153125962,39.702026221975146,64.01545401868938,71.75882468195225,-65.62111801242236,-65.27950310559007
2018-02-17 17:00:00,,,7.508825712812239,-2.328744284688178,9.589205666580833,36.81481548486529,0.0,46.809788686463286,-65.33041027247104,-64.98590667084247
2018-02-17 18:00:00,,,6.883198849389394,-2.385860922674665,9.065213137772778,36.81481548486529,0.0,21.33848467289646,-65.33041027247104,-64.98590667084247
2018-02-17 19:00:00,,,5.915843504337315,-2.611658619890056,8.388909583021308,38.54259431184101,50.373377213445934,16.79112573781531,-65.42785758900686,-65.08432229856341
2018-02-17 20:00:00,,,3.9706432683475734,-3.225436094568901,7.169366047864906,44.36755731124606,100.00000000000001,50.12445907114866,-65.7699443413729,-65.42980828695114
2018-02-17 21:00:00,,,3.0218273825890707,-2.8796765791279655,5.897312423220917,44.72021228627949,100.0,83.45779240448199,-65.7911001236094,-65.45117428924598
2018-02-17 22:00:00,,,2.989571181557471,-2.07256776222261,5.039034882692207,41.99660576210453,65.54750390660044,88.5158346355335,-65.58905812869133,-65.24712465029529
2018-02-17 23:00:00,,,4.210261602919019,-0.4460390997583996,4.570282894098545,35.5013996520783,0.0,55.18250130220016,-65.0126422250316,-64.66498103666245
2018-02-18 00:00:00,,,4.786105397027884,0.13741276740815156,4.537002557109605,32.81978346399375,0.0,21.849167968866823,-64.72275334608031,-64.37221159974507
2018-02-18 01:00:00,,,5.267821055123423,0.41210197245842295,4.721626701517046,30.88706281987982,0.0,9.473903143468002e-15,-64.4964720974984,-64.14368184733803
2018-02-18 02:00:00,,,6.7628292874828855,1.2098358605809656,5.340118541971416,27.03007842753305,0.0,9.473903143468002e-15,-63.976570126911824,-63.61861373250895
2018-02-18 03:00:00,,,6.903505357123474,0.4558442363725046,6.218828457352775,27.463618575750054,5.117739449672191,1.7059131498907398,-64.0,-63.64227642276423
2018-02-18 04:00:00,,,5.014654429997734,-1.4628641486677418,6.364491876699145,37.97961557285473,100.0,35.03924648322407,-64.60997442455243,-64.25831202046035
2018-02-18 05:00:00,,,6.776473592420507,-0.40841127499106067,6.963175199425963,33.36073391667011,57.816649280393584,54.31146291002193,-64.07010710808179,-63.71308016877637
2018-02-18 06:00:00,,,6.274795085575002,-1.2263454731718415,7.316456742712287,36.03442166402426,82.23492113854711,80.0171901396469,-64.24418604651163,-63.888888888888886
2018-02-18 07:00:00,,,6.017735124226564,-1.620960930678128,7.474380244055529,36.7630479342142,88.43126677408252,76.16094573100774,-64.29032258064517,-63.935483870967744
2018-02-18 08:00:00,,,5.374915473266584,-2.020139017814615,7.273057087696381,38.46157348214349,100.0,90.22206263754322,-64.39369572209715,-64.03988420714055
2018-02-18 09:00:00,,,4.062600072824973,-3.1592921847842237,7.189420954316798,44.68403044365553,100.0,96.14375559136084,-64.79007633587787,-64.44020356234097
