timestamp,ema50_dist_xrp_usd_30m,ema200_dist_xrp_usd_30m,lower_bb_dist_xrp_usd_30m,width_bb_xrp_usd_30m,rsi_xrp_usd_30m,stoch_rsi_fastk_xrp_usd_30m,stoch_rsi_fastd_xrp_usd_30m,kijun_dist_xrp_usd_30m,tenkan_dist_xrp_usd_30m
2019-01-30 22:00:00,,,,,,,,-0.07140426321814186,-0.06798564489682257
2019-01-30 22:30:00,,,,,,,,-0.07711465731943545,-0.07371706177166915
2019-01-30 23:00:00,,,,,,,,-0.07583595048956215,-0.07243364739208069
2019-01-30 23:30:00,,,,,,,,-0.07580749453459368,-0.07240508667672496
2019-01-31 00:00:00,,,,,,,,-0.0783049286043297,-0.07491171503147531
2019-01-31 00:30:00,,,,,,,,-0.0833715071003206,-0.07999694609864094
2019-01-31 01:00:00,,,,,,,,-0.10389610389610393,-0.1005971040453798
2019-01-31 01:30:00,,,,,,,,-0.11460176991150439,-0.1113421828908554
2019-01-31 02:00:00,,,,,,,,-0.11454953094577847,-0.11128975160776433
2019-01-31 02:30:00,,,,,,,,-0.11431437929711707,-0.1110537342500516
2019-01-31 03:00:00,,,,,,,,-0.10982264665757147,-0.10654546533009057
2019-01-31 03:30:00,,,,,,,,-0.11093009478672977,-0.10765699052132693
2019-01-31 04:00:00,,,,,,,,-0.10672301419600594,-0.10343442159459515
2019-01-31 04:30:00,,,,,,,,-0.0975646422128682,-0.09424233313289221
2019-01-31 05:00:00,,,,,0.6743620899149448,,,-0.09549783027965286,-0.09216791224686582
2019-01-31 05:30:00,,,,,0.696100950774866,,,-0.09994602374955008,-0.09663248170804828
2019-01-31 06:00:00,,,,,0.7038893453251354,,,-0.10156249999999989,-0.09825490900383127
2019-01-31 06:30:00,,,,,0.6190333817926524,,,-0.09347629115070966,-0.09013893083660507
2019-01-31 07:00:00,,,,,0.5696472010672994,,,-0.08799489532375193,-0.0846373552915437
2019-01-31 07:30:00,,0.033145124383586744,-0.029180752402910404,0.062202579704444046,0.605265588487181,,,-0.09374999999999989,-0.09041364734299495
2019-01-31 08:00:00,,0.036072926486606205,-0.022073896536321302,0.05774265246231308,0.5730086512666666,0.02504020043743463,0.09678986638845992,-0.09012368133866855,-0.08677397841639367
2019-01-31 08:30:00,,0.027180398005402173,-0.027207460791064952,0.05438859474990811,0.6175714996285862,0.9703989629771916,0.4202561873808571,-0.09745609814770262,-0.09413338946355532
2019-01-31 09:00:00,,0.053785410741511885,-0.0025995241795031543,0.05497788892797207,0.4576840064061392,0.0,0.3318130544715421,-0.07426826635413131,-0.0708601918391264
2019-01-31 09:30:00,,0.05362816846132645,-0.0032103841058858107,0.05544094769454972,0.45949312962959177,0.011314976468707227,0.3272379798152996,-0.07455369531033196,-0.0711466715999135
2019-01-31 10:00:00,,0.07924850733106847,0.010830158496495823,0.06546963992619159,0.37218210438980387,0.0,0.0037716588229023767,-0.05553807426054125,-0.05206104468218997
2019-01-31 10:30:00,,0.08251602987542284,0.004463612048997367,0.0747994050909405,0.3723787839297927,0.0008014997542882874,0.004038825407665139,-0.055567792077027,-0.052090871904596825
2019-01-31 11:00:00,,0.08628580380363715,-0.0007007863051349261,0.08341696874396018,0.36450836855074775,0.0,0.00026716658476273026,-0.053662073966642465,-0.050178137907115894
2019-01-31 11:30:00,,0.10708801225089681,0.0071137978781226074,0.09457395589560415,0.3040595415186763,0.0,0.00026716658476273026,-0.036683997689196945,-0.03313755696771281
2019-01-31 12:00:00,,0.10169433912025494,-0.003852543494215932,0.10062425377789135,0.32934295731810864,0.370077519994841,0.12335917333161364,-0.0403184550454021,-0.0367853945517328
2019-01-31 12:30:00,,0.10131622946974517,-0.008196654851724605,0.10464082955361513,0.3232341223217835,0.28066149632811543,0.21691300544098543,-0.038566257727665865,-0.035026746532560216
2019-01-31 13:00:00,,0.08328911035231945,-0.02396884478165917,0.10416830924961183,0.4084384410257208,1.0,0.5502463387743188,-0.05105912108757504,-0.047565602276319896
2019-01-31 13:30:00,,0.07829406014107221,-0.026016519442479513,0.10165348254802281,0.4094125784166563,1.0,0.7602204987760385,-0.05120910384068278,-0.04771613718982126
2019-01-31 14:00:00,,0.08023495247180401,-0.022724618608529368,0.10008170494775769,0.3842028995071919,0.7074712166842323,0.9024904055614108,-0.04562798092209852,-0.04211446740858493
2019-01-31 14:30:00,,0.07094621373436749,-0.029807133347295456,0.09872266721046435,0.419963349154245,1.0,0.9024904055614108,-0.0508190500284611,-0.0473246473973814
2019-01-31 15:00:00,,0.07810120337904913,-0.023232110147887064,0.09862751243934036,0.37841128609299285,0.0,0.5691570722280774,-0.04166666666666652,-0.03813856960408657
2019-01-31 15:30:00,,0.07376819855513839,-0.024316069366242643,0.09571754960697665,0.37615510052048867,0.0,0.33333333333333337,-0.04114621601763391,-0.037616202919847685
2019-01-31 16:00:00,,0.06320307572760919,-0.02789454376057865,0.08951725800524817,0.4032042412323842,0.6174440101002547,0.20581467003341825,-0.04480794322629911,-0.041291410750087354
2019-01-31 16:30:00,,0.05382945940047601,-0.031353631218513645,0.0842364486457791,0.43025150278816077,1.0,0.5391480033667515,-0.04850213980028528,-0.04499920748137565
2019-01-31 17:00:00,,0.05028832534865857,-0.03025595878141818,0.07974553820338079,0.4249809809891035,0.9025716761536476,0.8400052287513007,-0.047566161071269764,-0.044059782953607685
2019-01-31 17:30:00,,0.04887577134953802,-0.023676383867881623,0.07164939478639538,0.39662506715854756,0.37839792999120875,0.7603232020482855,-0.04246155809353658,-0.038936387417852214
