timestamp,ema50_dist_dsh_usd_30m,ema200_dist_dsh_usd_30m,lower_bb_dist_dsh_usd_30m,width_bb_dsh_usd_30m,rsi_dsh_usd_30m,stoch_rsi_fastk_dsh_usd_30m,stoch_rsi_fastd_dsh_usd_30m,kijun_dist_dsh_usd_30m,tenkan_dist_dsh_usd_30m
2019-01-30 16:30:00,,,,,,,,-0.022975399789059714,-0.016868105242153986
2019-01-30 17:00:00,,,,,,,,-0.01690831648238178,-0.010763097133187127
2019-01-30 17:30:00,,,,,,,,-0.017443777143921868,-0.011301904912064398
2019-01-30 18:00:00,,,,,,,,-0.01986016385707534,-0.013733396245299456
2019-01-30 18:30:00,,,,,,,,-0.01984614944665286,-0.013719294232034218
2019-01-30 19:00:00,,,,,,,,-0.01838645931781091,-0.012250479709024376
2019-01-30 19:30:00,,,,,,,,-0.019369420920119063,-0.013239585717555458
2019-01-30 20:00:00,,,,,,,,-0.020350415868751304,-0.014226712779032313
2019-01-30 20:30:00,,,,,,,,-0.013825149976262718,-0.0076606580253485435
2019-01-30 21:00:00,,,,,,,,-0.009149646589480254,-0.00295592847953996
2019-01-30 21:30:00,,,,,,,,-0.010522669207119084,-0.004337533740383037
2019-01-30 22:00:00,,,,,,,,-0.011849161044801937,-0.005672317361471557
2019-01-30 22:30:00,,,,,,,,-0.010622636607684144,-0.0044381260283463675
2019-01-30 23:00:00,,,,,,,,-0.010308385308385293,-0.004121910371910342
2019-01-30 23:30:00,,,,,0.4,,,-0.01625934589498168,-0.01011006988792118
2019-01-31 00:00:00,,,,,0.38762488717357935,,,-0.015255990346491943,-0.009100442452450674
2019-01-31 00:30:00,,,,,0.3737686449149384,,,-0.014137172277911225,-0.007974630750866574
2019-01-31 01:00:00,,,,,0.3966994717820406,,,-0.015241843961443013,-0.009086207639597332
2019-01-31 01:30:00,,,,,0.4898127814005153,,,-0.02032241468015772,-0.014198536557480046
2019-01-31 02:00:00,,0.0038745733996590204,-0.012273887391369476,0.016216564800842992,0.48936215574305164,,,-0.020294411890810382,-0.01417035872516792
2019-01-31 02:30:00,,0.0029863650644079698,-0.012470650778693582,0.015530664472697459,0.49683985472328906,1.0,0.9987055911911021,-0.020714285714285796,-0.014592857142857185
2019-01-31 03:00:00,,0.005238616434160237,-0.010410758728913616,0.01568995049134315,0.4616513719417935,0.6486084659558338,0.8815750798430467,-0.018681554648915744,-0.012547419654999725
2019-01-31 03:30:00,,0.005286865881273473,-0.010495780726466064,0.015823859175222464,0.4633451134678244,0.048133405937058116,0.5655806239642973,-0.018765835015244647,-0.012632226850460282
2019-01-31 04:00:00,,0.004214930246874138,-0.011540303808038166,0.01581315268019326,0.4848711727377295,0.6598693367975084,0.4522037362301334,-0.019804103810681428,-0.013676985772503092
2019-01-31 04:30:00,,0.005197501921031078,-0.010386748370870835,0.01562479073683213,0.4634966654466601,0.05244026905976777,0.25348100393144474,-0.01869560238204304,-0.01256155519926705
2019-01-31 05:00:00,,0.007013144924408854,-0.008474705452234499,0.015499176869206212,0.42847835888890723,0.0,0.23743653528575867,-0.016781411359724663,-0.010635398737808388
2019-01-31 05:30:00,,0.005552053952790681,-0.009724808572473265,0.015308802463364331,0.4576790539619783,0.5178087965490104,0.19008302186959267,-0.01804899011602934,-0.011910901017046394
2019-01-31 06:00:00,,0.005784559878935669,-0.00902391372817668,0.014832497460984403,0.4459554111878718,0.30991630149573735,0.27590836601491586,-0.017443777143921868,-0.011301904912064398
2019-01-31 07:00:00,,0.0054939268610652015,-0.009290434074429088,0.014812478776756214,0.45778229629830763,0.8368176616728091,0.554847586572519,-0.01792237933553964,-0.011783498803742187
2019-01-31 07:30:00,,0.0048178328708170515,-0.00862543375290914,0.013468908738122374,0.46961640220412787,1.0,0.7155779877228489,-0.01838645931781091,-0.012250479709024376
2019-01-31 08:00:00,,0.004269293952063213,-0.008096730113748896,0.012389734524788986,0.4807122836008887,1.0,0.9456058872242697,-0.018807969769838673,-0.012674624985686611
2019-01-31 08:30:00,,0.003390612092052603,-0.008249895926854434,0.011668859168270374,0.5045264612535244,1.0,1.0,-0.0197059832971056,-0.013578251916256723
2019-01-31 09:00:00,,0.01385479232302278,0.0016250614743447134,0.012135800638876244,0.32610796083522664,0.0,0.6666666666666667,-0.009664976379317736,-0.003474479550412468
2019-01-31 09:30:00,,0.0169947845200209,0.00310803952052896,0.013748552632302234,0.29896819603265645,0.0,0.33333333333333337,-0.007241129616220143,-0.0010354815351194535
2019-01-31 10:00:00,,0.020996333182725868,0.0032057867533850093,0.01757783598201387,0.27291600970622387,0.0,0.0,-0.004646435312908537,0.0015754319732828037
2019-01-31 10:30:00,,0.025078332836692585,0.0030858832063995756,0.02168705024605926,0.2495018962367318,0.0,0.0,-0.002038142378803287,0.004200029116319781
2019-01-31 11:00:00,,0.028667964433855442,0.0024579310155834477,0.025808378965571213,0.2317757189165987,0.0,0.0,0.00013130826804386153,0.006383040807691698
2019-01-31 11:30:00,,0.033779730091177296,0.0026219741797481877,0.03060079535985672,0.20615722579152326,0.0,0.0,0.003675017203765618,0.009948901155214518
2019-01-31 12:00:00,,0.03460327447516032,8.540186834271601e-05,0.0339293897962307,0.2035540230096496,0.0,0.0,0.0040572407833257,0.010333513980636644
2019-01-31 12:30:00,,0.029734431419542462,-0.005703977676270622,0.03501766391930794,0.30844654489154094,1.0,0.33333333333333337,-0.0001896066391494644,0.006060119889736315
