timestamp,ema50_dist_omg_btc_12h,ema200_dist_omg_btc_12h,lower_bb_dist_omg_btc_12h,width_bb_omg_btc_12h,rsi_omg_btc_12h,stoch_rsi_fastk_omg_btc_12h,stoch_rsi_fastd_omg_btc_12h,kijun_dist_omg_btc_12h,tenkan_dist_omg_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.725521669341894,-0.7487961476725522
2018-07-04 14:00:00,,,,,,,,-0.7221770917952884,-0.7457351746547523
2018-07-05 02:00:00,,,,,,,,-0.7259615384615385,-0.749198717948718
2018-07-05 14:00:00,,,,,,,,-0.7246376811594204,-0.7479871175523349
2018-07-06 02:00:00,,,,,,,,-0.7173553719008264,-0.7413223140495868
2018-07-06 14:00:00,,,,,,,,-0.7205882352941178,-0.744281045751634
2018-07-07 02:00:00,,,,,,,,-0.7128463476070529,-0.7371956339210748
2018-07-07 14:00:00,,,,,,,,-0.7123633305298571,-0.7367535744322959
2018-07-08 02:00:00,,,,,,,,-0.7099236641221374,-0.734520780322307
2018-07-08 14:00:00,,,,,,,,-0.7064377682403433,-0.7313304721030043
2018-07-09 02:00:00,,,,,,,,-0.7015706806282723,-0.7268760907504364
2018-07-09 14:00:00,,,,,,,,-0.6839186691312384,-0.710720887245841
2018-07-10 02:00:00,,,,,,,,-0.6830398517145506,-0.7099165894346617
2018-07-10 14:00:00,,,,,,,,-0.6847926267281106,-0.711520737327189
2018-07-11 02:00:00,,,,,0.1522633744855966,,,-0.6824512534818942,-0.7093779015784587
2018-07-11 14:00:00,,,,,0.1509256353937871,,,-0.6818604651162792,-0.7088372093023256
2018-07-12 02:00:00,,,,,0.23096430054871814,,,-0.6882406563354604,-0.7146763901549681
2018-07-12 14:00:00,,,,,0.21144996682262365,,,-0.6824512534818942,-0.7093779015784587
2018-07-13 02:00:00,,,,,0.3276811006667636,,,-0.6932735426008969,-0.7192825112107624
2018-07-13 14:00:00,,0.18817730461919657,-0.05502915647104767,0.22802585118279672,0.28588349251340545,,,-0.6833333333333333,-0.7101851851851853
2018-07-14 02:00:00,,0.17686856675577256,-0.059090788977994246,0.22283674728267577,0.28588349251340545,0.6403923219969049,0.8013069818768842,-0.6833333333333333,-0.7101851851851853
2018-07-14 14:00:00,,0.181207712693773,-0.05299777829827079,0.22009622942444126,0.27099320405880273,0.5122830283667674,0.63873465799914,-0.6794751640112465,-0.7066541705716963
2018-07-15 02:00:00,,0.15403302637316552,-0.06146106722738953,0.2059609875385347,0.3011469471054902,0.5319255934864399,0.5615336479500375,-0.6824512534818942,-0.7093779015784587
2018-07-15 14:00:00,,0.13944308210069756,-0.056668407985240754,0.1883175290377734,0.2971756821879546,0.8682994376059096,0.6375026864863724,-0.6815642458100559,-0.7085661080074488
2018-07-16 02:00:00,,0.10969675460467032,-0.06850409405421076,0.17460463395045198,0.3466605789990808,1.0,0.8000750103641165,-0.6862385321100918,-0.7128440366972477
2018-07-16 14:00:00,,0.0714427919620122,-0.07729864781786722,0.1491782228648439,0.40322355587235753,1.0,0.9560998125353031,-0.6918918918918919,-0.718018018018018
2018-07-17 02:00:00,,0.07397735484286949,-0.05953494168016271,0.1325550888430865,0.37523554486356514,0.7360813561233266,0.9120271187077755,-0.6873857404021938,-0.7138939670932358
2018-07-17 14:00:00,,0.07325805170286248,-0.04100596643872845,0.11245063441697971,0.35066184158686364,0.5043586216361405,0.7468133259198224,-0.6830398517145506,-0.7099165894346617
2018-07-18 02:00:00,,0.0436601754599919,-0.04530701900985368,0.08904051236657923,0.3907645119159102,0.7797314666736775,0.673390481477715,-0.6870997255260751,-0.7136322049405306
2018-07-18 14:00:00,,0.04900085089454631,-0.018375267327785272,0.06635996194235529,0.3537880884103985,0.05947764196872203,0.44785591009284675,-0.680672268907563,-0.7077497665732959
2018-07-19 02:00:00,,0.022471488851219856,-0.02191798331616346,0.04437719065705394,0.39049058126796754,0.9931692666424692,0.6107927917616229,-0.6845018450184501,-0.7112546125461254
2018-07-19 14:00:00,,0.10580530775225072,0.028153231240840126,0.07277749318227221,0.29270911756916945,0.0,0.3508823028703971,-0.6623889437314907,-0.6910167818361304
2018-07-20 02:00:00,,0.17593827833429798,0.04575593654173615,0.1171919528087043,0.24998284340384147,0.0,0.33105642221415643,-0.6466942148760331,-0.6766528925619835
2018-07-20 14:00:00,,0.2600646627719796,0.05960925027149977,0.1728306822552282,0.2140857036283303,0.0,4.736951571734001e-17,-0.6282608695652174,-0.6597826086956522
2018-07-21 02:00:00,,0.21855284423363774,0.001112427732890442,0.19592180789322752,0.2957652033829109,0.46302290983947075,0.1543409699464903,-0.6422594142259415,-0.6725941422594142
2018-07-21 14:00:00,,0.24077062923486525,-0.004503396997324605,0.2193602112452152,0.2842756518028774,0.8593337175845135,0.44078554247466145,-0.6373276776246024,-0.6680805938494168
2018-07-22 02:00:00,,0.23807634027809232,-0.022626604828355656,0.2353499074566233,0.28885271473972784,0.9153705805746517,0.7459090693328787,-0.638095238095238,-0.6687830687830687
2018-07-22 14:00:00,,0.2056017261116898,-0.056169321570925135,0.24357225389327233,0.34313788869316625,1.0,0.9249014327197217,-0.6470588235294118,-0.6769865841073271
2018-07-23 02:00:00,,0.279159472697563,-0.015273632961009032,0.2601130326366943,0.28626652100691746,0.03382252033253127,0.6497310336357277,-0.6245883644346872,-0.6564215148188803
2018-07-23 14:00:00,,0.32445440473342546,-0.00858138886040849,0.28761144614683376,0.2628120838568919,0.0,0.34460750677751045,-0.6122448979591837,-0.645124716553288
