timestamp,ema50_dist_dash_btc_30m,ema200_dist_dash_btc_30m,lower_bb_dist_dash_btc_30m,width_bb_dash_btc_30m,rsi_dash_btc_30m,stoch_rsi_fastk_dash_btc_30m,stoch_rsi_fastd_dash_btc_30m,kijun_dist_dash_btc_30m,tenkan_dist_dash_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.003972873121109277,0.002960676147578445
2019-01-29 16:30:00,,,,,,,,-0.003569439522049578,0.0033669181307276475
2019-01-29 17:00:00,,,,,,,,-0.0031151858980852376,0.0038243339074057747
2019-01-29 17:30:00,,,,,,,,-0.0033171275194976424,0.0036209865289174026
2019-01-29 18:00:00,,,,,,,,-0.002256020278833981,0.004689480354879816
2019-01-29 18:30:00,,,,,,,,-0.002711057058883193,0.004231275970406401
2019-01-29 19:00:00,,,,,,,,-0.0025088697415104333,0.004434870755195108
2019-01-29 19:30:00,,,,,,,,-0.0028121199837859434,0.004129509525739872
2019-01-29 20:00:00,,,,,,,,-0.0015980113636363535,0.005352069805194981
2019-01-29 20:30:00,,,,,,,,-0.002306600425833971,0.004638548109094698
2019-01-29 21:00:00,,,,,,,,0.0015521628498726958,0.008524173027989912
2019-01-29 21:30:00,,,,,,,,0.0015011958678947668,0.008472851254389235
2019-01-29 22:00:00,,,,,,,,0.004876180750574388,0.01187133009956609
2019-01-29 22:30:00,,,,,,,,0.002470456397718035,0.009448859005705135
2019-01-29 23:00:00,,,,,0.2571428571428534,,,0.003799857186575606,0.010787514026318723
2019-01-29 23:30:00,,,,,0.25367381353890506,,,0.0040046933986326305,0.0109937761452914
2019-01-30 00:00:00,,,,,0.3524559852078087,,,0.0018580737120750257,0.008832213398493272
2019-01-30 00:30:00,,,,,0.3311056141080584,,,0.002828025477707108,0.00980891719745225
2019-01-30 01:00:00,,,,,0.23335673420794747,,,0.009101163923499023,0.016125724247551876
2019-01-30 01:30:00,,0.011278924965897774,-0.00315357407527328,0.014374101731019925,0.3790037483907757,,,0.004465880671668421,0.011458173837595176
2019-01-30 02:00:00,,0.012705547279710405,-0.0020142700529995894,0.014641548903531922,0.35107101394782125,0.8082162233144653,0.6027387411048218,0.006263421617752396,0.01326822783515702
2019-01-30 02:30:00,,0.013731760601029874,-0.001485190869307429,0.015124340823069252,0.3315242343922108,0.6740096989632437,0.8274086407592364,0.007602908048330859,0.014617038705713847
2019-01-30 03:00:00,,0.014128308080566754,-0.001586039405497397,0.015616414850664959,0.3211552865948377,0.60281738612697,0.6950144361348931,0.008325648119684281,0.015344809919049185
2019-01-30 03:30:00,,0.017579406254854657,0.0004771490150687896,0.01694923484193281,0.27600130039618676,0.0,0.4256090283634047,0.011850899742930743,0.01889460154241651
2019-01-30 04:00:00,,0.014836011347973743,-0.0025194011089253454,0.01724918670212374,0.34060469222226053,0.8605786377703203,0.4877986746324302,0.009567046270647417,0.016594849697342706
2019-01-30 04:30:00,,0.012695592233879616,-0.004155633217485799,0.016779577001413144,0.37603563250934857,1.0,0.6201928792567736,0.008222336065573765,0.015240778688524692
2019-01-30 05:00:00,,0.016081417313141166,-0.0011616477184072105,0.017115386222069366,0.3216327386250159,0.4561577736852335,0.7722454704851845,0.012163135157374994,0.019209010491668455
2019-01-30 05:30:00,,0.012366799897182368,-0.003856489032300736,0.016154548813341465,0.38470224448649504,1.0,0.8187192578950778,0.009567046270647417,0.016594849697342706
2019-01-30 06:00:00,,0.009182094291613874,-0.005793304939169186,0.014950067915298274,0.431386481416655,1.0,0.8187192578950778,0.007448169951369321,0.014461223445098703
2019-01-30 06:30:00,,0.00967239804193154,-0.0036512676695854562,0.01328367434399259,0.40176164518985613,0.7300790344522481,0.9100263448174161,0.00935993435224125,0.016386296030362013
2019-01-30 07:00:00,,0.014736626551699938,0.000326782047124885,0.01430212512726324,0.3348344633441084,0.12028496143548505,0.6167879986292444,0.01456335704711842,0.02162594081864122
2019-01-30 07:30:00,,0.017986031527638113,0.001710938169332099,0.0161163715176022,0.30229563746366933,0.0,0.28345466529591107,0.01771124211397246,0.024795738959561442
2019-01-30 08:00:00,,0.016960275183025342,-0.0007206057615369854,0.01753847145526647,0.3280793715858876,0.1997332524342985,0.10667273795659454,0.016554752066115785,0.023631198347107585
2019-01-30 08:30:00,,0.019963116741430698,0.0006254233062330528,0.019140654370673083,0.2969255102066327,0.0,0.06657775081143286,0.019609366904983938,0.02670707698684094
2019-01-30 09:00:00,,0.012897169732876135,-0.005936708447867423,0.018768559265671465,0.4213876299624695,1.0,0.3999110841447662,0.01320531301482708,0.020258443163097217
2019-01-30 09:30:00,,0.009955383066843293,-0.008121510359183848,0.01806033324990795,0.45781883900699993,1.0,0.6666666666666667,0.010967277957569133,0.01800482868444031
2019-01-30 10:00:00,,0.009493988320049107,-0.007005684376806598,0.01647917010487911,0.44655220165152315,0.9299744903068281,0.9766581634356093,0.011798879235000781,0.018842218909053576
2019-01-30 10:30:00,,0.00625645346383763,-0.00866256879320293,0.01493699232013857,0.48174795290618083,1.0,0.9766581634356093,0.00967063410629998,0.016699158629181365
2019-01-30 11:00:00,,0.008308688030665978,-0.006575951129025537,0.014871754740576016,0.4494646196723582,0.46515638652350716,0.7983769589434451,0.011902925600287828,0.01894698956244545
2019-01-30 11:30:00,,0.006815240745349893,-0.006799823714670028,0.013614959508895708,0.4585518511756336,0.3409402867206148,0.6020322244147073,0.01138290765198624,0.01842335166246989
2019-01-30 12:00:00,,0.005907742876964495,-0.006889041685020136,0.012803066378873094,0.4633218139394745,0.47646695098551467,0.4275212080765456,0.011123099054665131,0.018161734484176018
