timestamp,ema50_dist_ltc_btc_12h,ema200_dist_ltc_btc_12h,lower_bb_dist_ltc_btc_12h,width_bb_ltc_btc_12h,rsi_ltc_btc_12h,stoch_rsi_fastk_ltc_btc_12h,stoch_rsi_fastd_ltc_btc_12h,kijun_dist_ltc_btc_12h,tenkan_dist_ltc_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.21801526717557262,-0.19591603053435125
2018-07-04 14:00:00,,,,,,,,-0.209384888477271,-0.18704175349232077
2018-07-05 02:00:00,,,,,,,,-0.19528672427337002,-0.17254516889238025
2018-07-05 14:00:00,,,,,,,,-0.19673802242609584,-0.17403748137693098
2018-07-06 02:00:00,,,,,,,,-0.18549733640772836,-0.16247912856802105
2018-07-06 14:00:00,,,,,,,,-0.1863383637807785,-0.1633439237490072
2018-07-07 02:00:00,,,,,,,,-0.17373769962897245,-0.15038715921922885
2018-07-07 14:00:00,,,,,,,,-0.18387507966857874,-0.16081102613129394
2018-07-08 02:00:00,,,,,,,,-0.17929818939272557,-0.1561047908988945
2018-07-08 14:00:00,,,,,,,,-0.16457347904093955,-0.14096395367802972
2018-07-09 02:00:00,,,,,,,,-0.16334531198954594,-0.13970107807905918
2018-07-09 14:00:00,,,,,,,,-0.1516356107660456,-0.1276604554865426
2018-07-10 02:00:00,,,,,,,,-0.13259949195596954,-0.10808636748518208
2018-07-10 14:00:00,,,,,,,,-0.14881595346904863,-0.12476111341919405
2018-07-11 02:00:00,,,,,0.37181663837011913,,,-0.18021766965428943,-0.15705025608194623
2018-07-11 14:00:00,,,,,0.33588957055214763,,,-0.16457347904093955,-0.14096395367802972
2018-07-12 02:00:00,,,,,0.33059704158925307,,,-0.16211352854572236,-0.1384344838867987
2018-07-12 14:00:00,,,,,0.35783882049889437,,,-0.16823644040272823,-0.14473043195842816
2018-07-13 02:00:00,,,,,0.3701080159079568,,,-0.1709291032696666,-0.14749919067659445
2018-07-13 14:00:00,,0.05911395606404857,-0.03908632052800032,0.09722666647180772,0.36028557396574845,,,-0.16735755506786965,-0.1438267089327806
2018-07-14 02:00:00,,0.0589070815165873,-0.02746069543077234,0.08503082093519859,0.3394194687157046,0.22329054847617738,0.644412832861005,-0.15957010419230455,-0.13581918122897696
2018-07-14 14:00:00,,0.050441694225284106,-0.02513811693614698,0.0746355381079161,0.33923387060105425,0.0,0.3248967336881268,-0.15950114867082377,-0.13574827699376435
2018-07-15 02:00:00,,0.046740560889779736,-0.023832963353845327,0.06977434296019186,0.3366566473505214,0.0,0.07443018282539242,-0.15860369609856262,-0.13482546201232037
2018-07-15 14:00:00,,0.026141378307837027,-0.035467803178303225,0.06189782418961517,0.403143718128169,0.9999999999999999,0.3333333333333332,-0.17066062176165808,-0.14722312176165808
2018-07-16 02:00:00,,0.017187765620206408,-0.04139583765751109,0.05930138943135072,0.4328863103838784,1.0,0.6666666666666665,-0.17639491879723423,-0.1531194725840167
2018-07-16 14:00:00,,0.014638014078631523,-0.04082141036569997,0.056195113912819596,0.43465024504008914,1.0,1.0,-0.17672586996704975,-0.15345977658121035
2018-07-17 02:00:00,,0.03156426570852022,-0.024277114322243554,0.05563865637479771,0.37970533226391373,0.43930099443604,0.81310033147868,-0.16218205610534064,-0.1385049480657562
2018-07-17 14:00:00,,0.03319790888276475,-0.019176375226152342,0.052009656534136084,0.3658697866891418,0.0,0.4797669981453467,-0.15805046437083925,-0.13425659570970672
2018-07-18 02:00:00,,0.023237496128899693,-0.025840090564732132,0.049141534435677064,0.40112027565335856,0.5125073285256939,0.3172694409872447,-0.16423268336460806,-0.14061352696418383
2018-07-18 14:00:00,,0.07736065387209812,0.01168313675397159,0.0628780664271702,0.29155043771537353,0.0,0.17083577617523138,-0.12384536435169347,-0.0990848443380089
2018-07-19 02:00:00,,0.06865824511282836,-0.0029969725550033077,0.06937750987518278,0.33025693263505657,0.35325866724006993,0.2885886652552547,-0.13208506311954582,-0.10755740066084896
2018-07-19 14:00:00,,0.10031016646296287,0.011278375203704227,0.08432683688365357,0.28717719942047903,0.0,0.11775288908002336,-0.110763888888889,-0.08563368055555565
2018-07-20 02:00:00,,0.12657774555157197,0.017989392257615977,0.10126831786193087,0.2612418525657756,0.0,0.11775288908002336,-0.09505300353356894,-0.06947879858657247
2018-07-20 14:00:00,,0.15245051988949188,0.017619460372486184,0.12426425022544976,0.24086142495148605,0.0,4.736951571734001e-17,-0.08092589269693162,-0.054952449309169205
2018-07-21 02:00:00,,0.1387913976029458,-0.0043789807515040025,0.13415437168946587,0.285373206573234,0.4979196692892492,0.16597322309641643,-0.09144124168514423,-0.06576496674057652
2018-07-21 14:00:00,,0.14032569396945638,-0.013228862514764739,0.14437946990801293,0.28426005395664,0.9370161570807375,0.4783119421233289,-0.09079613029200317,-0.06510162421230137
2018-07-22 02:00:00,,0.15517658597772477,-0.012295062578819849,0.15630509361143918,0.26557363952809093,0.5551836766859671,0.663373167685318,-0.0798526902003055,-0.053848917632264515
2018-07-22 14:00:00,,0.15646155836248532,-0.019815595629565363,0.16500361507395442,0.2622484666720011,0.48048046924424975,0.6575601010036515,-0.0778647943109192,-0.05180484292015497
2018-07-23 02:00:00,,0.17735033114914023,-0.013093450415194607,0.17598999754571767,0.2346906516949238,0.0,0.3452213819767389,-0.06018348623853209,-0.03362385321100925
2018-07-23 14:00:00,,0.21930577497913029,0.0021458379240961722,0.19551174177611438,0.19640579557828988,0.0,0.1601601564147499,-0.028083491461100674,-0.0006166982922202191
