timestamp,ema50_dist_eos_usd_15m,ema200_dist_eos_usd_15m,upper_bb_dist_eos_usd_15m,lower_bb_dist_eos_usd_15m,width_bb_eos_usd_15m,rsi_eos_usd_15m,stoch_rsi_fastk_eos_usd_15m,stoch_rsi_fastd_eos_usd_15m,kijun_dist_eos_usd_15m,tenkan_dist_eos_usd_15m
2018-12-21 03:45:00,,,,,,,,,1.2688701444448336,1.533142670962584
2018-12-21 04:00:00,,,,,,,,,2.0893398051165857,2.3557534396554836
2018-12-21 04:15:00,,,,,,,,,2.900496597388247,3.1690270369689078
2018-12-21 04:30:00,,,,,,,,,2.51585003847985,2.78337669952724
2018-12-21 04:45:00,,,,,,,,,2.1639092801577497,2.4305175121434264
2018-12-21 05:00:00,,,,,,,,,3.3567337890264115,3.626454830962489
2018-12-21 05:15:00,,,,,,,,,2.528821040902818,2.796381551242444
2018-12-21 05:30:00,,,,,,,,,2.467032967032967,2.734432234432216
2018-12-21 05:45:00,,,,,,,,,2.7455373539998496,3.013663409975753
2018-12-21 06:00:00,,,,,,,,,3.5940451060993084,3.864385438654949
2018-12-21 06:15:00,,,,,,,,,4.456684092606422,4.729275578790126
2018-12-21 06:30:00,,,,,,,,,5.592254265438612,5.867809149932035
2018-12-21 06:45:00,,,,,,,,,4.710836608646818,4.984091334456275
2018-12-21 07:00:00,,,,,,,,,4.300894854586135,4.573079791200585
2018-12-21 07:15:00,,,,,,37.66959297685548,,,3.5863728939085293,3.856693204962025
2018-12-21 07:30:00,,,,,,43.56309060589215,,,2.6625807398708012,2.9304903112154834
2018-12-21 07:45:00,,,,,,41.42783949512853,,,3.1281105990783376,3.397235023041456
2018-12-21 08:00:00,,,,,,37.7798575581793,,,3.990706319702597,4.262081784386607
2018-12-21 08:15:00,,,,,,45.71846225280545,,,2.6663485888354543,2.9342679928065385
2018-12-21 08:30:00,,,2.615208762542598,-1.3252217977860248,3.9151779179344213,40.57687763269542,,,3.8864336910907182,4.1575370446020665
2018-12-21 08:45:00,,,1.1204967201327687,-2.4018013758175694,3.5450092804276223,47.17463749217751,100.0,78.41104821358802,2.628682540264893,2.896503650438409
2018-12-21 09:00:00,,,0.5382309918803729,-2.9802224208686723,3.561944603713024,50.08640380468066,100.0,78.41104821358802,2.0260412867459276,2.2922897366693284
2018-12-21 09:15:00,,,0.6995135475025283,-2.953811288625807,3.6949726789466437,49.8109246754929,97.1031245489464,99.03437484964881,2.0818888442871053,2.348283034704224
2018-12-21 09:30:00,,,1.3852316740858406,-2.2582707787939027,3.659476784558201,46.26661445956239,59.83196979496996,85.64503144797213,2.809732073946125,3.078025653276484
2018-12-21 09:45:00,,,0.6887372231157096,-2.946509961217092,3.676753554027812,50.045702765061705,98.93446899968532,85.28985444786723,2.091111803685042,2.3575300624538276
2018-12-21 10:00:00,,,1.4226627021477922,-2.256652004606219,3.6947214977775547,46.57393927001182,8.045595782453141,55.604011525702816,2.7982931238894615,3.0665568519908426
2018-12-21 10:15:00,,,1.4342345095761377,-2.2108697669291577,3.659314038003504,46.35297377534921,2.2851891463121565,36.421751309483554,2.8437499999999893,3.112132352941166
2018-12-21 10:30:00,,,1.6783549522642272,-1.9126905719862308,3.595258009318841,44.77430671689782,0.0,3.4435949762551132,3.1585352361986896,3.427739056680301
2018-12-21 10:45:00,,,2.0692899536827847,-1.514620484443252,3.5739984988738795,42.555316592760484,0.0,0.7617297154373995,3.6093929404792613,3.8797733249379407
2018-12-21 11:00:00,,,1.395156797015451,-2.1735774450717393,3.582678396282249,47.10129931981767,100.0,33.33333333333335,2.885358049211062,3.153848983044605
2018-12-21 11:15:00,,,2.267096042497152,-1.2156852447235411,3.464567866896336,42.54079827567925,0.0,33.33333333333335,3.797773654916514,4.068645640074209
2018-12-21 11:30:00,,,0.925284525178216,-1.899296152658736,2.838403869699824,49.44446059345761,100.0,66.66666666666669,2.606096174302164,2.8738583428089104
2018-12-21 11:45:00,,,0.21604443493217218,-2.421806110881397,2.66726732605013,53.44730289463931,100.0,66.66666666666669,1.8292017036147135,2.09493647846819
2018-12-21 12:00:00,,,-0.003671772769964221,-2.6606911547316203,2.692893611492487,55.315729011731364,100.00000000000001,100.00000000000001,1.4525078881514553,1.7172596380517158
2018-12-21 12:15:00,,,-0.2038081418353932,-3.2019753893594016,3.0501072731198535,57.81819829130712,100.00000000000001,100.00000000000001,0.9399920614873825,1.2034063435932385
2018-12-21 12:30:00,,,-0.07287496767052204,-3.4813209617243546,3.470113307005316,58.65531927063918,100.0,100.00000000000001,0.7690922190201732,1.032060518731992
2018-12-21 12:45:00,,,0.2737894230042004,-3.397283076087554,3.7293149570857818,57.86592480235093,84.84270379935784,94.94756793311929,0.8781103498016529,1.1413631446087091
2018-12-21 13:00:00,,,1.7605098256540996,-1.7200323432288056,3.4798378934970216,48.14369643478471,0.0,61.61423459978596,2.422012302284715,2.6892940831868772
2018-12-21 13:15:00,,,1.1299518669711128,-2.3650238306075155,3.516692539379216,52.046107679421524,37.124726653299824,40.655810150885905,1.72181818181818,1.9872727272727042
2018-12-21 13:30:00,,,-0.5296861005669173,-4.420087036206233,3.989127311671728,61.67735159855658,100.0,45.70824221776663,-0.3899156073069232,-0.12997186910231884
2018-12-21 13:45:00,,,0.4913815308981606,-3.6701790973890036,4.228772689967722,56.984025337828,65.32107398973706,67.48193354767898,0.40379024442769307,0.6658052474785459
2018-12-21 14:00:00,,,-0.06907816852683712,-4.7453428972014216,4.791608841398371,60.88271940374646,94.12847316416585,86.4831823846343,-0.5598805588141298,-0.30038036330027884
