timestamp,ema50_dist_iot_usd_30m,ema200_dist_iot_usd_30m,lower_bb_dist_iot_usd_30m,width_bb_iot_usd_30m,rsi_iot_usd_30m,stoch_rsi_fastk_iot_usd_30m,stoch_rsi_fastd_iot_usd_30m,kijun_dist_iot_usd_30m,tenkan_dist_iot_usd_30m
2019-01-30 22:00:00,,,,,,,,-0.016513275006628136,0.00043555656554161715
2019-01-30 22:30:00,,,,,,,,-0.022134915933051502,-0.005282964413046876
2019-01-30 23:00:00,,,,,,,,-0.02409049909801575,-0.007272248947684967
2019-01-30 23:30:00,,,,,,,,-0.02486011491231388,-0.00805512786811391
2019-01-31 00:00:00,,,,,,,,-0.02854470632248418,-0.011803217358772988
2019-01-31 00:30:00,,,,,,,,-0.02526276276276307,-0.008464714714714994
2019-01-31 01:00:00,,,,,,,,-0.038971132494448724,-0.02240932642487059
2019-01-31 01:30:00,,,,,,,,-0.04813049853372442,-0.03172653958944294
2019-01-31 02:00:00,,,,,,,,-0.05471423370950146,-0.03842373498361862
2019-01-31 02:30:00,,,,,,,,-0.055401964350673016,-0.03912331757002552
2019-01-31 03:00:00,,,,,,,,-0.06563275880680808,-0.04953042351840531
2019-01-31 03:30:00,,,,,,,,-0.06219076167431137,-0.04602910903246804
2019-01-31 04:00:00,,,,,,,,-0.057801161103048115,-0.0415638606676344
2019-01-31 04:30:00,,,,,,,,-0.055848452896047895,-0.039577500636294394
2019-01-31 05:00:00,,,,,0.746464646464647,,,-0.05157237298659567,-0.035227729281566256
2019-01-31 05:30:00,,,,,0.7574512745032387,,,-0.05444853615764855,-0.038153458556483444
2019-01-31 06:00:00,,,,,0.7594354250734764,,,-0.0549550533173202,-0.038668704734869386
2019-01-31 06:30:00,,,,,0.684465876050774,,,-0.048618744046310725,-0.032223199237927935
2019-01-31 07:00:00,,,,,0.6828790423473271,,,-0.048479296445584574,-0.032081348479296445
2019-01-31 07:30:00,,0.021651229335965638,-0.03944601222998234,0.06164572773665672,0.7081959373860888,,,-0.053301250501294306,-0.036986401254147094
2019-01-31 08:00:00,,0.023315472496264755,-0.0321987473372386,0.05576189394830139,0.6767997554990604,0.0,0.11023202393336243,-0.05070556408569149,-0.03434598230606145
2019-01-31 08:30:00,,0.02182520864826154,-0.028893966412236516,0.0508990716645018,0.6800584039831502,0.10379123473724587,0.14482910217911107,-0.05126050420168082,-0.03491048593350399
2019-01-31 09:00:00,,0.046708347487501856,-0.003931992973703502,0.04957991642042307,0.4690287362692906,0.0,0.03459707824574863,-0.027708091511588817,-0.010952184820459121
2019-01-31 09:30:00,,0.038148219769221337,-0.00893773182330826,0.04640814925039425,0.5158449824952012,0.19574693355652772,0.09984605609792455,-0.03464245784260922,-0.018006053940909594
2019-01-31 10:00:00,,0.046026910955276,-0.0018167124534024248,0.0468089078547218,0.46962537640819557,0.002827280852822897,0.06619140480311689,-0.027453183520599445,-0.010692883895131233
2019-01-31 10:30:00,,0.03867751239675554,-0.005969139974745796,0.043928241726385875,0.5082812401717367,0.18600467094356415,0.12819296178430492,-0.03331844240935178,-0.016659221204676
2019-01-31 11:00:00,,0.0443831613235901,-0.003302590600273936,0.04672598682076053,0.479474787889594,0.2231287739280993,0.13732024190816214,-0.028835365397561707,-0.012098885481337529
2019-01-31 11:30:00,,0.04988356513465142,-0.002673608701089125,0.05134517216524305,0.45442363997671686,0.0,0.13637781495722118,-0.024750244122286658,-0.007943363629535183
2019-01-31 12:00:00,,0.04888783311939848,-0.006598440999322719,0.05433732783689531,0.4609232952445421,0.12068222951430943,0.11460366781413628,-0.02562851782363995,-0.008836772983114694
2019-01-31 12:30:00,,0.06447794647104854,0.0013624483859215886,0.061103944179092026,0.3861894689975491,0.0,0.04022740983810318,-0.012210894704808406,0.004812081558125181
2019-01-31 13:00:00,,0.06269992470503616,-0.002502401214335981,0.06329715978776297,0.38600327929120964,0.0,0.04022740983810318,-0.01217331760946494,0.004850306235020918
2019-01-31 13:30:00,,0.05888795827243132,-0.007068135270303255,0.06429033661077566,0.3988012712746523,0.17082206698159919,0.05694068899386643,-0.013711637800061016,0.003285475539349658
2019-01-31 14:00:00,,0.05815251430033941,-0.008939118863075857,0.06548037731238747,0.3927800571852897,0.09045350308389219,0.08709185668849714,-0.012661596958175148,0.004353612167300236
2019-01-31 14:30:00,,0.05693800910548097,-0.010744763548191094,0.06615481973721234,0.38804790368700204,0.1597613436887293,0.14034563791807358,-0.01187259789185302,0.005156208379313965
2019-01-31 15:00:00,,0.05728123645538785,-0.011571819397931504,0.06731460028409832,0.3764195830924681,0.0,0.08340494892420719,-0.00998894353578128,0.007072324526287366
2019-01-31 15:30:00,,0.0653475726233037,-0.0058877850780790775,0.06917868281010903,0.3246619219666006,0.0,0.053253781229576455,-0.0005773227619122467,0.01664613963513184
2019-01-31 16:00:00,,0.06748898865011888,-0.0051732239988112605,0.07046662193479929,0.30389292136186047,0.0,1.7763568394002505e-17,0.003827122313282638,0.021126488325343917
2019-01-31 16:30:00,,0.05952417586698244,-0.012655552790058255,0.07052697749456689,0.3553189416828446,0.6110870550990591,0.20369568503301974,-0.0012692307692310223,0.015942307692307534
2019-01-31 17:00:00,,0.053102934704134075,-0.016781392997517575,0.06863781212379882,0.38320085947977467,1.0,0.5370290183663531,-0.004141898370086383,0.01302013422818793
2019-01-31 17:30:00,,0.05476947197512416,-0.011342833611556968,0.06470729542767026,0.3475847996376336,0.5509143134047003,0.7206671228345864,0.0021999228097258072,0.01947124662292543
