timestamp,ema50_dist_xmr_usd_12h,ema200_dist_xmr_usd_12h,lower_bb_dist_xmr_usd_12h,width_bb_xmr_usd_12h,rsi_xmr_usd_12h,stoch_rsi_fastk_xmr_usd_12h,stoch_rsi_fastd_xmr_usd_12h,kijun_dist_xmr_usd_12h,tenkan_dist_xmr_usd_12h
2018-07-15 14:00:00,,,,,,,,-0.6070795740876209,-0.6229740713647078
2018-07-16 02:00:00,,,,,,,,-0.6092077607113986,-0.6250161681487469
2018-07-16 14:00:00,,,,,,,,-0.6194820528967255,-0.6348748425692695
2018-07-17 02:00:00,,,,,,,,-0.6362329746406803,-0.6509481526074197
2018-07-17 14:00:00,,,,,,,,-0.6489652167598576,-0.6631653474693195
2018-07-18 02:00:00,,,,,,,,-0.6622816822691071,-0.675943132597457
2018-07-18 14:00:00,,,,,,,,-0.6677366142002887,-0.681177400508626
2018-07-19 02:00:00,,,,,,,,-0.6525479767124271,-0.6666031768849278
2018-07-19 14:00:00,,,,,,,,-0.6602881236823612,-0.6740302178496136
2018-07-20 02:00:00,,,,,,,,-0.6544603288062902,-0.6684381701215154
2018-07-20 14:00:00,,,,,,,,-0.6468366452367036,-0.6611228813559322
2018-07-21 02:00:00,,,,,,,,-0.625843653250774,-0.6409791021671827
2018-07-21 14:00:00,,,,,,,,-0.6243900543900543,-0.6395843045843046
2018-07-22 02:00:00,,,,,,,,-0.6343343419062026,-0.649126323751891
2018-07-22 14:00:00,,,,,0.5900344338667204,,,-0.6335582171012735,-0.6483815949060037
2018-07-23 02:00:00,,,,,0.5540210378476438,,,-0.6250891887699705,-0.6402551574375679
2018-07-23 14:00:00,,,,,0.5977617113793204,,,-0.6388959438260999,-0.6535033988197505
2018-07-24 02:00:00,,,,,0.5961014655436804,,,-0.6385449379392851,-0.6531665918947211
2018-07-24 14:00:00,,,,,0.6656456800662061,,,-0.6614301722930382,-0.6751260680767615
2018-07-25 02:00:00,,0.0019091147837251299,-0.1885516171330337,0.21006418443523864,0.7033692543247974,,,-0.6755202040542354,-0.6886461269969123
2018-07-25 14:00:00,,0.06052560851910149,-0.12776563979353495,0.19484183381218598,0.6050682830712132,0.0835928252966029,0.6945309417655342,-0.6564005970573601,-0.67029995024522
2018-07-26 02:00:00,,0.04298477779303056,-0.12921818100756577,0.1799623413741717,0.621623898222175,0.23793193621781364,0.4405082538381388,-0.6621872816212439,-0.6758525506638714
2018-07-26 14:00:00,,0.042739182595796565,-0.1210594950957965,0.17047448516738628,0.6234578079085221,0.18707368404194102,0.16953281518545243,-0.6627999441964285,-0.6764404296875
2018-07-27 02:00:00,,0.08792772491939593,-0.07988668285856015,0.1671424082106705,0.5570326387392359,0.0,0.1416685400865848,-0.6482244214815893,-0.6624545189928686
2018-07-27 14:00:00,,0.07959316634046898,-0.08691340890471966,0.1671182483024318,0.566248948543352,0.1387472537800855,0.10860697927400878,-0.6510179035518338,-0.6651349985561652
2018-07-28 02:00:00,,0.05380552749538925,-0.10738249941580669,0.16562486631719567,0.5929472654556808,0.5406779864559401,0.22647508007867515,-0.6589459573867645,-0.6727423451389869
2018-07-28 14:00:00,,0.052069576958821306,-0.10372811009412031,0.15992852351867615,0.5887055810516835,0.4768214023170693,0.3854155475176983,-0.6581017045052691,-0.6719322441473937
2018-07-29 02:00:00,,0.06887362438044198,-0.08942403035874125,0.1599410818212004,0.5612790592288266,0.1182365202656091,0.37857863634620614,-0.6526478407702809,-0.6666990012215276
2018-07-29 14:00:00,,0.07910099143017768,-0.07827153857802394,0.1573072905178093,0.5401600820764616,0.0,0.19835264086089277,-0.6482756111757858,-0.662503637951106
2018-07-30 02:00:00,,0.09441159264101384,-0.06519287728880718,0.15730632555507335,0.5142626862307923,0.0,0.039412173421869666,-0.6426860817503142,-0.6571402173109616
2018-07-30 14:00:00,,0.12167215354866312,-0.045573668700178205,0.16111549954822796,0.476606551608342,0.0,-3.552713678800501e-17,-0.6337803030303031,-0.648594696969697
2018-07-31 02:00:00,,0.11607390589894351,-0.0448728792514006,0.1554139681080146,0.48243698185601774,0.06885859898951686,0.02295286632983892,-0.63507964067336,-0.649841473541179
2018-07-31 14:00:00,,0.1643465823550192,-0.007543058680329895,0.15939295271781587,0.4246631780788493,0.0,0.02295286632983892,-0.6197813434009753,-0.6351620261129464
2018-08-01 02:00:00,,0.2226146182162987,0.015995673491338458,0.18459572484798067,0.3780157297351494,0.0,0.02295286632983892,-0.603892166502786,-0.6199156014421501
2018-08-01 14:00:00,,0.2313338527694666,0.0012776957869642391,0.20608704378623585,0.3769664729980891,0.0,-3.552713678800501e-17,-0.6035022965879264,-0.6195415026246719
2018-08-02 02:00:00,,0.18227087440868384,-0.04177669751224067,0.2093419121053409,0.4479276818111877,0.6728061671598178,0.2242687223866059,-0.6196018256216556,-0.6349897702234812
2018-08-02 14:00:00,,0.2085160983406935,-0.033191110377284505,0.2222262972708919,0.4231815995708177,0.6512731018217637,0.4413597563271938,-0.6120927619964693,-0.6277844647729096
2018-08-03 02:00:00,,0.2323858991150407,-0.029962991626053315,0.23823661645455882,0.4032844978063181,0.37087903727157184,0.5649861020843844,-0.6056371349322891,-0.6215899820525371
2018-08-03 14:00:00,,0.2866061163578246,-0.009181267511703783,0.2597559994301387,0.35757635427254475,0.0,0.34071737969777843,-0.5883419909733458,-0.6049944647875329
2018-08-04 02:00:00,,0.24342524049702163,-0.0378724641088275,0.25508136338183773,0.3936473797189772,0.3992307188956905,0.256703252055754,-0.5969568117392029,-0.6132607970651993
