timestamp,ema50_dist_ltc_usd_15m,ema200_dist_ltc_usd_15m,upper_bb_dist_ltc_usd_15m,lower_bb_dist_ltc_usd_15m,width_bb_ltc_usd_15m,rsi_ltc_usd_15m,stoch_rsi_fastk_ltc_usd_15m,stoch_rsi_fastd_ltc_usd_15m,kijun_dist_ltc_usd_15m,tenkan_dist_ltc_usd_15m
2018-12-21 04:30:00,,,,,,,,,39.59605303731113,38.53530681467776
2018-12-21 04:45:00,,,,,,,,,39.71237231120577,38.650742215227
2018-12-21 05:00:00,,,,,,,,,39.6951275958898,38.63362853704449
2018-12-21 05:15:00,,,,,,,,,38.439191462034806,37.38723586434665
2018-12-21 05:30:00,,,,,,,,,39.49711891042429,38.4371244569069
2018-12-21 05:45:00,,,,,,,,,39.43267216952076,38.37316742638905
2018-12-21 06:00:00,,,,,,,,,40.414379206600294,39.3474147824199
2018-12-21 06:15:00,,,,,,,,,40.54515538170192,39.477197230759685
2018-12-21 06:30:00,,,,,,,,,42.031122545021034,40.95187299993726
2018-12-21 06:45:00,,,,,,,,,40.68929081981481,39.62023742929954
2018-12-21 07:00:00,,,,,,,,,40.680546923555006,39.61155997513983
2018-12-21 07:15:00,,,,,,,,,39.872087993573516,38.809244268677
2018-12-21 07:30:00,,,,,,,,,38.782955242182716,37.728387492336005
2018-12-21 07:45:00,,,,,,,,,39.85480383070745,38.79209144269387
2018-12-21 08:00:00,,,,,,45.00637484062901,,,40.61500232955429,39.54651343376301
2018-12-21 08:15:00,,,,,,44.679193846753044,,,40.6849187358215,39.615898567388655
2018-12-21 08:30:00,,,,,,42.456368419679286,,,41.15427787478174,40.08169119481166
2018-12-21 08:45:00,,,,,,50.46749744162473,,,39.74687451767247,38.68498225034727
2018-12-21 09:00:00,,,,,,56.1466738925549,,,38.553590010405834,37.500765134357586
2018-12-21 09:15:00,,,0.5159060244076308,-2.009739245245812,2.544651695847033,54.22677082721643,,,38.89366141007547,37.83825243909922
2018-12-21 09:30:00,,,1.434754812149186,-1.108967441055042,2.539585428901485,47.589309598073996,37.493255271509646,74.48981353854661,40.196958904958045,39.131646588832815
2018-12-21 09:45:00,,,1.0755277664055818,-1.4597158797179266,2.5401230715757497,50.08646997233874,29.181419515764855,50.883620043801564,39.69943837560945,38.63790656051349
2018-12-21 10:00:00,,,1.7137736639348145,-0.8614938776259518,2.5643398663940133,45.79549980557758,0.0,22.224891595758162,40.61063486147349,39.54217915268978
2018-12-21 10:15:00,,,1.7055552472347912,-0.6956930688444385,2.389184580354759,44.75341629882872,0.0,9.727139838588279,40.842485144510476,39.7722676788103
2018-12-21 10:30:00,,,1.9557855332310359,-0.5063112250539348,2.4443814179613823,42.96548526170895,0.0,-5.921189464667502e-15,41.23794964589899,40.16472717062367
2018-12-21 10:45:00,,,2.0805381484633623,-0.44366314846332466,2.5037099954328164,41.90379944329698,0.0,-5.921189464667502e-15,41.471875000000004,40.396875
2018-12-21 11:00:00,,,1.0927495283543642,-1.4102294924599357,2.506958566392658,49.88094069359252,100.0,33.33333333333333,40.08416622830089,39.01971098802488
2018-12-21 11:15:00,,,1.7770968055254466,-0.7792774908837008,2.543683613211154,45.295896117118254,42.52271042205251,47.50757014068417,41.03115264797508,39.95950155763239
2018-12-21 11:30:00,,,1.1807146052505768,-1.1131575071068212,2.2930975372805,49.21139300122645,91.60667122020351,78.04312721408535,40.2925408286591,39.22650221574886
2018-12-21 11:45:00,,,0.48625752959050583,-1.8577212442276503,2.360163164521983,54.428524302720405,100.0,78.04312721408535,39.20971709717096,38.15190651906517
2018-12-21 12:00:00,,,0.31151256480350664,-2.1512378782710506,2.485614684346148,56.33379661073676,100.0,97.20222374006784,38.78720990833564,37.732609828627496
2018-12-21 12:15:00,,,-0.023646439272106967,-2.7886820772817233,2.804471108369213,59.68878078039699,100.0,100.0,38.01292604109505,36.96420949942076
2018-12-21 12:30:00,,,-0.3388365848953634,-3.5132622179534723,3.2367673716451857,62.924172005809965,100.0,100.0,37.20563721776029,36.16305500833461
2018-12-21 12:45:00,,,-0.42225720939517153,-4.234682378208776,3.9033126242263827,65.6472670726727,100.0,100.0,36.47353189436875,35.43651272157242
2018-12-21 13:00:00,,,0.9560075514775335,-2.972308912976962,3.968323141217027,55.398299147565524,0.0,66.66666666666667,38.19830270468281,37.14817754441662
2018-12-21 13:15:00,,,0.7557096409912312,-3.2649111619037163,4.071704437734284,57.42143349358319,19.73988367220406,39.91329455740135,37.70646387832699,36.66007604562738
2018-12-21 13:30:00,,,-0.011883418312552685,-4.325701564540408,4.40944996600375,63.07879639981232,74.93922615790092,31.559703276701658,36.186150051140146,35.151314602009506
2018-12-21 13:45:00,,,1.1946401666401263,-3.2533921432852164,4.494295508736533,55.352647927981444,0.0,31.559703276701658,37.66877508818878,36.622673640676304
2018-12-21 14:00:00,,,0.43311675161363805,-4.301549688539663,4.828051405545219,60.20585159792974,62.8153042572611,45.918176805054,36.29685383110039,35.26117717898538
2018-12-21 14:15:00,,,0.7534865848042749,-4.249659208515888,5.0921611656342645,59.511302588849865,53.82571505104587,38.88033976943566,36.43240311011995,35.395696461937185
2018-12-21 14:30:00,,,2.043776871352465,-2.9636292068315306,5.03054286118192,51.637961782960694,0.0,38.88033976943566,38.118192635079474,37.06867620587606
2018-12-21 14:45:00,,,1.7564085146966946,-3.2417406320396913,5.035546441022507,53.56553851489212,22.49768348518834,25.441132845411403,37.622739018087834,36.57698738410091
