timestamp,ema50_dist_trx_usd_30m,ema200_dist_trx_usd_30m,lower_bb_dist_trx_usd_30m,width_bb_trx_usd_30m,rsi_trx_usd_30m,stoch_rsi_fastk_trx_usd_30m,stoch_rsi_fastd_trx_usd_30m,kijun_dist_trx_usd_30m,tenkan_dist_trx_usd_30m
2019-01-29 23:00:00,,,,,,,,-0.045661687583637756,-0.043600130203623966
2019-01-29 23:30:00,,,,,,,,-0.04459048446665215,-0.04252661307842709
2019-01-30 00:00:00,,,,,,,,-0.040804827510996344,-0.038732778363444575
2019-01-30 00:30:00,,,,,,,,-0.04624810236391241,-0.04418781175450004
2019-01-30 01:00:00,,,,,,,,-0.031297037336172395,-0.02920444950255141
2019-01-30 01:30:00,,,,,,,,-0.034416511142825734,-0.03233066198265444
2019-01-30 02:30:00,,,,,,,,-0.03378007250357029,-0.03169284851147969
2019-01-30 03:00:00,,,,,,,,-0.040316421167484906,-0.03824331696672112
2019-01-30 03:30:00,,,,,,,,-0.04143204853416638,-0.03936135430668064
2019-01-30 04:00:00,,,,,,,,-0.05118662351672065,-0.04913700107874863
2019-01-30 04:30:00,,,,,,,,-0.05305939350439626,-0.05101381661582627
2019-01-30 05:00:00,,,,,,,,-0.059405411185969426,-0.057373542936584365
2019-01-30 05:30:00,,,,,,,,-0.06381053751995747,-0.06178818520489626
2019-01-30 06:00:00,,,,,,,,-0.0609786476868327,-0.05895017793594304
2019-01-30 06:30:00,,,,,0.6401718582169706,,,-0.06334528415746699,-0.061321926804160265
2019-01-30 07:00:00,,,,,0.5903238095238095,,,-0.05846565566458528,-0.056431757359500456
2019-01-30 07:30:00,,,,,0.5917307681075615,,,-0.058667189896899896,-0.05663372694516777
2019-01-30 08:00:00,,,,,0.5213509262986804,,,-0.05125485401984753,-0.04920537897310506
2019-01-30 08:30:00,,,,,0.6096953917107553,,,-0.06427532891237275,-0.06225398063761112
2019-01-30 09:00:00,,0.013691228891014706,-0.02971036901385371,0.04375203287753043,0.5541907008438631,,,-0.05775960577060424,-0.055724182259677124
2019-01-30 09:30:00,,0.01000342204266591,-0.034399471495557554,0.04495120950322746,0.584287636555105,0.7124012801805059,0.6092115818999415,-0.0625799346312349,-0.06055492397328399
2019-01-30 10:00:00,,0.00975831925738424,-0.03573349656234859,0.046090419225453386,0.5949226168134121,0.832782112286979,0.6389691930197308,-0.06430851063829779,-0.0622872340425531
2019-01-30 10:30:00,,0.008497091173517601,-0.03759481426784639,0.046772390474608905,0.6121822687923697,1.0,0.8483944641558283,-0.06708739923631735,-0.06507212558336861
2019-01-30 11:00:00,,0.011402377885700643,-0.035595983380867446,0.04757385277958524,0.5987717797252422,0.7687510522385721,0.867177721508517,-0.0657331020075771,-0.06371490280777536
2019-01-30 11:30:00,,0.011285196171592071,-0.03152459837437582,0.04324744577056478,0.5967117166759904,0.4453932217212737,0.7380480913199484,-0.06553458228565368,-0.06351595424443102
2019-01-30 12:00:00,,0.003076801900631976,-0.03746978435677262,0.04125604548163448,0.6530579970022231,1.0,0.7380480913199484,-0.07415789473684209,-0.07215789473684209
2019-01-30 12:30:00,,0.008449557772101324,-0.02644708558421527,0.03521352152280117,0.5905537221169326,0.0,0.4817977405737579,-0.0681087762669963,-0.06609570898816874
2019-01-30 13:00:00,,0.008370526592600402,-0.022006408259444,0.030585464741011394,0.5834027989225963,0.0,0.33333333333333326,-0.06738415862580849,-0.06536952603117363
2019-01-30 13:30:00,,0.021133180959349795,-0.004421687324779433,0.025343107692686,0.4697897099238112,0.0,-4.736951571734001e-17,-0.05373856912318453,-0.05169445938676698
2019-01-30 14:00:00,,0.020255790040330623,-0.004305969251800157,0.024367431211679152,0.4738465516084953,0.022136081202900015,0.007378693734299957,-0.054247311827957057,-0.052204301075268744
2019-01-30 14:30:00,,0.017769368062913404,-0.005874228404102899,0.023503805939931826,0.4909058541108301,0.1748546094448298,0.06566356354924323,-0.056310575444368904,-0.054272021744572685
2019-01-30 15:00:00,,0.01883402047884397,-0.005488754683247055,0.024161553982127854,0.48370706458761775,0.12249781065239188,0.10649616710004052,-0.055432253445498514,-0.05339180239842489
2019-01-30 15:30:00,,0.012589675065863393,-0.011504343061023659,0.024080950213899985,0.531254409115198,1.0,0.4324508066990739,-0.061045477190235564,-0.05901715180414191
2019-01-30 16:00:00,,0.018409686797772995,-0.006431303002769284,0.02469309809749247,0.4851546672949857,0.19697853530189824,0.43982544865143003,-0.05566888554863647,-0.053628945673180106
2019-01-30 16:30:00,,0.016026914488047384,-0.008895026341195322,0.024833386362320787,0.5023051292694106,0.39114833576047353,0.5293756236874573,-0.057658655048034024,-0.05562301346380483
2019-01-30 17:00:00,,0.024687667694087922,-0.002331846540656657,0.02672083117335326,0.4423285673888218,0.0,0.1960422903541239,-0.050093599251206045,-0.048041615667074655
2019-01-30 17:30:00,,0.025718845676141022,-0.0031664359073921844,0.02856319712064798,0.43828494761104236,0.0,0.1303827785868245,-0.04954614220877451,-0.04749297601037383
2019-01-30 18:00:00,,0.024313006503332124,-0.004637455264167811,0.02866842820346815,0.45144846838054453,0.20561517366112533,0.06853839122037511,-0.05087946476745442,-0.048829178806517715
2019-01-30 18:30:00,,0.024762100245137253,-0.005275363751597539,0.02974762196149814,0.4462505749494,0.12442369159251566,0.11001295508454698,-0.050264550264550234,-0.048212935968037884
2019-01-30 19:00:00,,0.026733649641751178,-0.004929626280297361,0.03132180523550965,0.4328332932396792,0.0,0.11001295508454698,-0.0487237724421371,-0.046668829764222264
