timestamp,ema50_dist_ltc_btc_15m,ema200_dist_ltc_btc_15m,upper_bb_dist_ltc_btc_15m,lower_bb_dist_ltc_btc_15m,width_bb_ltc_btc_15m,rsi_ltc_btc_15m,stoch_rsi_fastk_ltc_btc_15m,stoch_rsi_fastd_ltc_btc_15m,kijun_dist_ltc_btc_15m,tenkan_dist_ltc_btc_15m
2019-02-08 01:45:00,0.12020305265774134,,0.3816004653831584,-0.07157069431230623,0.4524697642083953,45.25127172695774,7.360339815633063,7.651255653830016,25.485063135201734,24.843445231495753
2019-02-08 02:00:00,0.15500606915002102,,0.4261381317034241,-0.03690120041033307,0.4621399224874636,44.02420455598428,0.0,2.4534466052110204,25.53661291979048,24.89473143678751
2019-02-08 02:15:00,0.04034092598257377,,0.31173690416324007,-0.14554896817626783,0.45690621083891547,48.185302092326886,84.16686309619159,30.50906763727488,25.394952810832994,24.75379565038982
2019-02-08 02:30:00,0.10782990025468564,,0.3872546765612883,-0.08338443736601864,0.4699251326150613,45.84951933954622,43.866185967039385,42.677683021076994,25.485063135201734,24.843445231495753
2019-02-08 02:45:00,0.3312393453439366,,0.6493235594135616,0.07922140868701355,0.5680329629422273,39.13654715423283,0.0,42.677683021076994,25.78205392055979,25.138917472731027
2019-02-08 03:00:00,0.2885005656735773,,0.6377861961546438,-0.0020491320664950408,0.6378079374929612,40.363063910252414,13.554536114754443,19.140240693931275,25.74323629256248,25.100298323217764
2019-02-08 03:15:00,0.3863435430357498,,0.7791094515223751,0.03757437957965237,0.7385193877281536,37.387943226099814,0.0,4.518178704918147,25.885684860968073,25.242018537590116
2019-02-08 03:30:00,0.15316037317962827,,0.5334333305394567,-0.20564870250814327,0.737872716378243,45.96622744205851,100.0,37.85151203825148,25.601109741060423,24.95889847924373
2019-02-08 03:45:00,0.058248399905425075,,0.436383815644259,-0.3039538803192743,0.7398478059780493,49.0420342601941,100.0,66.66666666666667,25.485063135201734,24.843445231495753
2019-02-08 04:00:00,-0.13118272759871097,,0.23690921511911878,-0.4971551167583854,0.7350207625829162,54.881155688140495,100.0,100.0,25.24077868852459,24.600409836065573
2019-02-08 04:15:00,-0.19480729958385457,,0.17501017242884664,-0.5712423829335345,0.7477339367154519,56.84322147812214,100.0,100.0,25.15101873656189,24.511108835875905
2019-02-08 04:30:00,-0.2558437588655371,,0.1250759744096719,-0.6499378528626143,0.7770530549025549,58.77391091036858,100.00000000000001,100.0,25.061387354205046,24.421935747902612
2019-02-08 04:45:00,-0.30460368911832125,,0.0858749909463663,-0.7208443160996558,0.8092886744634088,60.408842168079765,100.0,100.0,24.9846625766871,24.345603271983627
