timestamp,ema50_dist_neo_btc_12h,ema200_dist_neo_btc_12h,lower_bb_dist_neo_btc_12h,width_bb_neo_btc_12h,rsi_neo_btc_12h,stoch_rsi_fastk_neo_btc_12h,stoch_rsi_fastd_neo_btc_12h,kijun_dist_neo_btc_12h,tenkan_dist_neo_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.6380522088353414,-0.6567101740294512
2018-07-04 14:00:00,,,,,,,,-0.6489206297678949,-0.6670183411783801
2018-07-05 02:00:00,,,,,,,,-0.660759096612296,-0.6782465495608532
2018-07-05 14:00:00,,,,,,,,-0.6492053194939993,-0.6672883554978917
2018-07-06 02:00:00,,,,,,,,-0.628158844765343,-0.6473268007564037
2018-07-06 14:00:00,,,,,,,,-0.6189889025893958,-0.6386295578650696
2018-07-07 02:00:00,,,,,,,,-0.6152614727854856,-0.6350942725008895
2018-07-07 14:00:00,,,,,,,,-0.6225130890052356,-0.6419720767888307
2018-07-08 02:00:00,,,,,,,,-0.6339482145879167,-0.6528177356574717
2018-07-08 14:00:00,,,,,,,,-0.6284781861903126,-0.6476296805221573
2018-07-09 02:00:00,,,,,,,,-0.6230393865458348,-0.6424712443360057
2018-07-09 14:00:00,,,,,,,,-0.6044980800877674,-0.6248857195099653
2018-07-10 02:00:00,,,,,,,,-0.5917327293318233,-0.6127784069460174
2018-07-10 14:00:00,,,,,,,,-0.5905735377626349,-0.6116789702820368
2018-07-11 02:00:00,,,,,0.33908045977011464,,,-0.5921945701357465,-0.6132164404223228
2018-07-11 14:00:00,,,,,0.3407804806349672,,,-0.5925786400452062,-0.6135807119984932
2018-07-12 02:00:00,,,,,0.3042082792936912,,,-0.5752160251374705,-0.5971131186174392
2018-07-12 14:00:00,,,,,0.32330976378731596,,,-0.5795918367346939,-0.6012633624878523
2018-07-13 02:00:00,,,,,0.37555893346063857,,,-0.591501416430595,-0.6125590179414542
2018-07-13 14:00:00,,0.19434345179536705,-0.07799657444397556,0.2573680422182741,0.38274460066582544,,,-0.5931151241534989,-0.614089541008277
2018-07-14 02:00:00,,0.22866911047009197,-0.0569265978290967,0.2630106530924643,0.34710363656134147,0.5461849564406789,0.8487283188135596,-0.5793465577596266,-0.6010307273434461
2018-07-14 14:00:00,,0.20383035309090225,-0.0677438999839941,0.25427271698661386,0.3618159756273796,0.6478727605288809,0.7313525723231866,-0.5825935932072559,-0.6041103820918564
2018-07-15 02:00:00,,0.14795953325403044,-0.07675771919507357,0.21699213560336084,0.4017409055128842,1.0,0.7313525723231866,-0.5912698412698413,-0.6123393801965231
2018-07-15 14:00:00,,0.12630093629057781,-0.06680103100548596,0.18752316210408673,0.3985674282671241,0.941917352264173,0.863263370931018,-0.5902633074445918,-0.61138473195681
2018-07-16 02:00:00,,0.11017259037726568,-0.07114865971964379,0.17785102702392525,0.40938899720432514,1.0,0.980639117421391,-0.5924250989259469,-0.6134350857358206
2018-07-16 14:00:00,,0.07070522839743787,-0.09964683423685383,0.17285338997461774,0.47253809368090594,1.0,0.980639117421391,-0.6052919708029196,-0.6256386861313868
2018-07-17 02:00:00,,0.08880898467897946,-0.08100201616770708,0.1691507236600502,0.43948396839558673,0.5531454921972255,0.8510484973990752,-0.596981553940749,-0.6177566610769518
2018-07-17 14:00:00,,0.08119593717093299,-0.07837982378040687,0.1593513851665566,0.43802393452774574,0.5334074803830315,0.6955176575267523,-0.5966057441253263,-0.6174002237970906
2018-07-18 02:00:00,,0.07950596626028905,-0.05348584859090211,0.1312838048263578,0.41069416007040505,0.020667957879078793,0.3690736434864453,-0.5894856709052951,-0.6106471816283925
2018-07-18 14:00:00,,0.09561125804601889,-0.016611258046018706,0.10795816843870855,0.36600394802920333,0.0,0.1846918127540368,-0.5758823529411765,-0.5977450980392157
2018-07-19 02:00:00,,0.08246436993319772,-0.005507933899292605,0.08471270971911153,0.3592775021311919,0.0,0.006889319293026262,-0.5736250739207569,-0.5956041789867929
2018-07-19 14:00:00,,0.14582063791460143,0.02927283944310588,0.107165783617794,0.30195082300177883,0.0,-2.9605947323337506e-18,-0.5506855006231823,-0.5738471125882841
2018-07-20 02:00:00,,0.19052056781685955,0.033192314045990656,0.14150051029885818,0.27746723678631036,0.0,-2.9605947323337506e-18,-0.5379192480239265,-0.5617389446699423
2018-07-20 14:00:00,,0.2486292702784605,0.03934681475254109,0.18294112153981168,0.2503467343709464,0.0,-2.9605947323337506e-18,-0.521036315323295,-0.545726306465899
2018-07-21 02:00:00,,0.2631316839883706,0.018020963986707716,0.2149007609983852,0.24688177243427012,0.0,-2.9605947323337506e-18,-0.5186915887850467,-0.5435024477080552
2018-07-21 14:00:00,,0.22994737224721984,-0.02409815214323341,0.23033806850903193,0.30437950760332305,1.0,0.33333333333333337,-0.5314124783362218,-0.5555675909878683
2018-07-22 02:00:00,,0.24265940080369663,-0.031111703794309498,0.24758326937123615,0.2973654238726968,0.878011130177499,0.6260037100591663,-0.5278323510150622,-0.5521720148439205
2018-07-22 14:00:00,,0.27682630001974706,-0.025942828760520342,0.26902248174658927,0.2758505541468991,0.5038247441826342,0.7939452914533779,-0.5162156117199732,-0.5411541042272423
2018-07-23 02:00:00,,0.3152962996067812,-0.01999351351421752,0.2921530136699598,0.2529190878326713,0.1050009253521113,0.49561226657074825,-0.5019571724614322,-0.5276306700437485
2018-07-23 14:00:00,,0.3776939222175537,-0.005384748126534111,0.3229584697710148,0.223251594757307,0.0,0.20294188984491526,-0.4791716831206356,-0.5060197447628221
