timestamp,ema50_dist_xmr_btc_1h,ema200_dist_xmr_btc_1h,upper_bb_dist_xmr_btc_1h,lower_bb_dist_xmr_btc_1h,width_bb_xmr_btc_1h,rsi_xmr_btc_1h,stoch_rsi_fastk_xmr_btc_1h,stoch_rsi_fastd_xmr_btc_1h,kijun_dist_xmr_btc_1h,tenkan_dist_xmr_btc_1h
2018-02-16 16:00:00,,,,,,,,,-53.859113404232914,-53.859113404232914
2018-02-16 17:00:00,,,,,,,,,-53.862352156670056,-53.862352156670056
2018-02-16 18:00:00,,,,,,,,,-54.07831767212772,-54.07831767212772
2018-02-16 19:00:00,,,,,,,,,-54.25568933119911,-54.25568933119911
2018-02-16 20:00:00,,,,,,,,,-53.870447048915715,-53.870447048915715
2018-02-16 21:00:00,,,,,,,,,-54.06066536203522,-54.06066536203522
2018-02-16 22:00:00,,,,,,,,,-54.37001041305103,-54.37001041305103
2018-02-16 23:00:00,,,,,,,,,-54.20150501672241,-54.20150501672241
2018-02-17 00:00:00,,,,,,,,,-54.53570810997752,-54.53570810997752
2018-02-17 01:00:00,,,,,,,,,-54.79678151433877,-54.79678151433877
2018-02-17 02:00:00,,,,,,,,,-54.775010320627494,-54.775010320627494
2018-02-17 03:00:00,,,,,,,,,-55.51720637498732,-55.51720637498732
2018-02-17 04:00:00,,,,,,,,,-55.8295813453397,-55.8295813453397
2018-02-17 05:00:00,,,,,,,,,-56.83325671504564,-56.83325671504564
2018-02-17 06:00:00,,,,,,73.6525047558656,,,-56.15515458759963,-56.15515458759963
2018-02-17 07:00:00,,,,,,62.85696444925487,,,-55.40705563093623,-55.40705563093623
2018-02-17 08:00:00,,,,,,64.22656534316963,,,-55.59083845686102,-55.59083845686102
2018-02-17 09:00:00,,,,,,69.8083890052182,,,-56.42691415313226,-56.42691415313226
2018-02-17 10:00:00,,,,,,69.25520703503737,,,-56.3878844176094,-56.3878844176094
2018-02-17 11:00:00,,,0.16957837411661902,-8.794537537788605,9.368113911543686,73.20958075117552,,,-57.05325057170859,-57.05325057170859
2018-02-17 12:00:00,,,2.5744065004885464,-6.432789934022287,9.18438074712062,61.072961595621486,0.0,53.089153496296014,-56.092184368737485,-56.092184368737485
2018-02-17 13:00:00,,,4.075825664701527,-4.660930244517781,8.762390483228696,54.6508850984981,0.0,33.33333333333333,-55.43577748398252,-55.43577748398252
2018-02-17 14:00:00,,,3.375373220804634,-4.9868321853235535,8.430129444454785,56.939746599667295,12.333094652796815,4.111031550932267,-55.746313875984654,-55.746313875984654
2018-02-17 15:00:00,,,4.007288083207139,-4.097399536847146,8.108340891976216,54.27470428199111,0.0,4.111031550932267,-55.46597106948068,-55.46597106948068
2018-02-17 16:00:00,,,2.949805232015379,-4.488060265572413,7.495515570363864,57.494188414457305,47.35749154435784,19.896862065718214,-55.885906040268466,-55.885906040268466
2018-02-17 17:00:00,,,3.5973407772689647,-3.288613221728398,6.87534096295235,54.1757128699644,0.0,15.785830514785943,-55.54728975754911,-55.54728975754911
2018-02-17 18:00:00,,,3.333900977908799,-3.0695525646744826,6.3950010007473885,54.75796818088469,17.545867164413977,21.634452902923936,-55.617825793382856,-55.617825793382856
2018-02-17 19:00:00,,,3.5700771766830064,-2.1693583376758308,5.699518400375474,52.79066336342111,0.0,5.848622388137987,-55.425200054252,-55.425200054252
2018-02-17 20:00:00,,,3.214571076935968,-2.0007373657248473,5.183846802646779,53.61784704737327,17.58646281196965,11.710776658794538,-55.514195797096555,-55.514195797096555
2018-02-17 21:00:00,,,2.7667528390052487,-2.0396272783159253,4.788969207719738,55.055272994466954,100.0,39.19548760398988,-55.664227176149204,-55.664227176149204
2018-02-17 22:00:00,,,3.139318610452646,-1.2708217455145054,4.369320051872975,52.49722626800987,0.0,39.19548760398988,-55.44483985765125,-55.44483985765125
2018-02-17 23:00:00,,,4.417765185245481,-0.3622286751323922,4.684993058388278,47.09066631745091,0.0,33.33333333333333,-54.93315049708605,-54.93315049708605
2018-02-18 00:00:00,,,5.148847485514119,-0.17332855578516826,5.192987015316567,44.609471304834095,0.0,-4.736951571734001e-15,-54.67209157989104,-54.67209157989104
2018-02-18 01:00:00,,,5.117600463493921,-0.1924233423603372,5.182402553411433,43.62231710241056,0.0,-4.736951571734001e-15,-54.567133229652676,-54.567133229652676
2018-02-18 02:00:00,,,6.962114247033879,0.6329157624428206,6.097639701973725,37.672836012878214,0.0,-4.736951571734001e-15,-53.859113404232914,-53.859113404232914
2018-02-18 03:00:00,,,7.161296238314452,0.031236833021441868,6.882544751589238,37.837345749918356,1.746790202412823,0.5822634008042696,-53.87206568651533,-53.87206568651533
2018-02-18 04:00:00,,,7.075158021132544,-0.6280983734844314,7.462694220750309,38.965038930142526,18.628670282879433,6.79182016176408,-53.95607859619629,-53.95607859619629
2018-02-18 05:00:00,,,7.326971151035511,-0.6755417758816162,7.744938373873429,37.39165241220599,0.0,6.79182016176408,-53.774745947466506,-53.774745947466506
2018-02-18 06:00:00,,,8.000972712298449,-0.4272661212282203,8.12071911413201,34.46140640406531,0.0,6.209556760959806,-53.41601700921332,-53.41601700921332
2018-02-18 07:00:00,,,6.951087616892004,-0.8081396236754634,7.5280064790989645,36.516401619816385,45.62972675617102,15.209908918723668,-53.55426794799322,-53.55426794799322
2018-02-18 08:00:00,,,6.924563876861223,-0.9372395841160786,7.633288589936978,35.64239286530331,26.222975662418655,23.950900806196554,-53.45395319194137,-53.45395319194137
