timestamp,ema50_dist_trx_btc_6h,ema200_dist_trx_btc_6h,upper_bb_dist_trx_btc_6h,lower_bb_dist_trx_btc_6h,width_bb_trx_btc_6h,rsi_trx_btc_6h,stoch_rsi_fastk_trx_btc_6h,stoch_rsi_fastd_trx_btc_6h,kijun_dist_trx_btc_6h,tenkan_dist_trx_btc_6h
2018-10-24 20:00:00,,,,,,,,,108.86,99.45
2018-10-25 02:00:00,,,,,,,,,108.86,99.45
2018-10-25 08:00:00,,,,,,,,,110.03,100.56
2018-10-25 14:00:00,,,,,,,,,108.86,99.45
2018-10-25 20:00:00,,,,,,,,,110.61,101.12
2018-10-26 02:00:00,,,,,,,,,111.2,101.68
2018-10-26 08:00:00,,,,,,,,,110.03,100.56
2018-10-26 14:00:00,,,,,,,,,109.44,100.0
2018-10-26 20:00:00,,,,,,,,,106.58,97.26
2018-10-27 02:00:00,,,,,,,,,107.71,98.35
2018-10-27 08:00:00,,,,,,,,,107.14,97.8
2018-10-27 14:00:00,,,,,,,,,108.86,99.45
2018-10-27 20:00:00,,,,,,,,,108.86,99.45
2018-10-28 02:00:00,,,,,,,,,108.29,98.9
2018-10-28 07:00:00,,,,,,50.0,,,108.86,99.45
2018-10-28 13:00:00,,,,,,54.12,,,107.71,98.35
2018-10-28 19:00:00,,,,,,54.12,,,107.71,98.35
2018-10-29 01:00:00,,,,,,51.65,,,108.29,98.9
2018-10-29 07:00:00,,,,,,43.17,,,110.61,101.12
2018-10-29 13:00:00,,,5.16,1.37,3.67,30.89,,,116.05,106.3
2018-10-29 19:00:00,,,4.75,0.32,4.32,35.3,18.97,6.32,114.81,105.13
2018-10-30 01:00:00,,,4.86,-0.07,4.82,35.3,21.22,13.4,114.81,105.13
2018-10-30 07:00:00,,,5.29,-0.18,5.34,34.04,25.62,21.94,115.43,105.71
2018-10-30 13:00:00,,,5.67,-0.32,5.84,32.78,42.88,29.91,116.05,106.3
2018-10-30 19:00:00,,,5.43,-0.89,6.19,35.35,100.0,56.17,115.43,105.71
2018-10-31 01:00:00,,,5.49,-1.14,6.49,35.35,100.0,80.96,115.43,105.71
2018-10-31 07:00:00,,,5.81,-1.16,6.81,33.85,41.6,80.53,116.05,106.3
2018-10-31 13:00:00,,,5.45,-1.68,6.99,36.75,100.0,80.53,115.43,105.71
2018-10-31 19:00:00,,,4.83,-2.04,6.78,39.59,100.0,80.53,114.81,105.13
2018-11-01 01:00:00,,,4.28,-2.38,6.6,42.39,100.0,100.0,114.2,104.55
2018-11-01 07:00:00,,,3.93,-2.37,6.26,42.39,100.0,100.0,114.2,104.55
2018-11-01 13:00:00,,,4.62,-1.67,6.2,36.51,0.0,66.67,116.05,106.3
2018-11-01 19:00:00,,,3.48,-2.51,5.96,44.76,100.0,66.67,114.2,104.55
2018-11-02 01:00:00,,,3.14,-2.46,5.58,44.76,100.0,66.67,114.2,104.55
2018-11-02 07:00:00,,,3.11,-2.14,5.22,42.62,74.05,91.35,114.81,105.13
2018-11-02 13:00:00,,,0.77,-3.87,4.71,57.82,100.0,91.35,110.61,101.12
2018-11-02 19:00:00,,,0.41,-3.65,4.12,57.82,100.0,91.35,110.61,101.12
2018-11-03 01:00:00,,,0.31,-3.14,3.49,55.39,84.01,94.67,111.2,101.68
2018-11-03 07:00:00,,,0.7,-2.5,3.23,50.79,53.75,79.25,112.39,102.82
2018-11-03 13:00:00,,,1.03,-2.13,3.18,48.62,0.0,45.92,112.99,103.39
2018-11-03 19:00:00,,,0.37,-2.98,3.39,54.86,67.81,40.52,111.2,101.68
2018-11-04 01:00:00,,,1.8,-1.58,3.37,45.04,0.0,22.6,114.2,104.55
2018-11-04 07:00:00,,,-0.51,-4.46,4.05,60.33,100.0,55.94,108.29,98.9
2018-11-04 13:00:00,,,-0.89,-5.75,5.02,64.58,100.0,66.67,106.01,96.72
2018-11-04 19:00:00,,,-0.13,-5.57,5.6,62.77,90.74,96.91,106.58,97.26
2018-11-05 01:00:00,,,0.71,-4.98,5.82,59.2,72.46,87.74,107.71,98.35
2018-11-05 07:00:00,,,0.71,-5.11,5.95,60.41,22.54,61.92,107.14,97.8
2018-11-05 13:00:00,,,0.29,-5.83,6.29,63.88,87.02,60.67,105.45,96.19
2018-11-05 19:00:00,,,-0.19,-6.9,6.97,67.92,100.0,69.85,103.23,94.07
2018-11-06 01:00:00,-3.32,,0.53,-6.61,7.37,65.93,77.25,88.09,103.78,94.59
2018-11-06 07:00:00,-3.94,,0.27,-7.35,7.9,68.87,100.0,92.42,102.14,93.03
2018-11-06 13:00:00,-4.52,,0.03,-7.93,8.28,71.52,100.0,92.42,100.53,91.49
2018-11-06 19:00:00,-5.07,,-0.07,-8.64,8.95,73.9,100.0,100.0,98.94,89.97
2018-11-07 01:00:00,-2.9,,2.25,-6.32,8.74,59.56,0.0,66.67,103.23,94.07
2018-11-07 07:00:00,-2.54,,2.55,-5.58,8.25,58.05,0.0,33.33,103.78,94.59
2018-11-07 13:00:00,-2.44,,2.68,-5.39,8.18,58.05,0.0,0.0,103.78,94.59
2018-11-07 19:00:00,-1.83,,3.29,-4.65,8.0,54.81,0.0,0.0,104.89,95.65
2018-11-08 01:00:00,-0.2,,4.96,-2.89,7.76,46.44,0.0,0.0,108.29,98.9
2018-11-08 07:00:00,-0.98,,3.99,-3.31,7.28,50.51,35.06,11.69,106.58,97.26
2018-11-08 13:00:00,-0.41,,4.38,-2.34,6.65,47.9,12.55,15.87,107.71,98.35
2018-11-08 19:00:00,1.21,,6.13,-0.7,6.65,41.04,0.0,15.87,111.2,101.68
2018-11-09 01:00:00,0.89,,5.58,-0.55,5.98,42.52,15.6,9.38,110.61,101.12
2018-11-09 07:00:00,0.32,,5.02,-1.19,6.1,45.46,46.67,20.76,109.44,100.0
2018-11-09 13:00:00,0.31,,5.05,-1.38,6.32,45.46,64.45,42.24,109.44,100.0
2018-11-09 19:00:00,0.03,,4.77,-1.78,6.45,47.03,100.0,70.38,108.86,99.45
2018-11-10 01:00:00,0.56,,5.4,-1.39,6.65,44.28,39.09,67.85,110.03,100.56
2018-11-10 07:00:00,1.08,,6.06,-1.11,6.99,41.66,0.0,46.36,111.2,101.68
2018-11-10 13:00:00,0.23,,5.15,-2.09,7.13,46.76,94.82,44.64,109.44,100.0
2018-11-10 19:00:00,0.76,,5.59,-1.76,7.22,44.0,43.48,46.1,110.61,101.12
2018-11-11 01:00:00,1.0,,5.76,-1.73,7.34,42.64,19.26,52.52,111.2,101.68
2018-11-11 07:00:00,0.69,,5.15,-2.1,7.14,44.48,55.4,39.38,110.61,101.12
2018-11-11 13:00:00,1.21,,5.18,-1.56,6.63,41.61,0.0,24.89,111.8,102.25
2018-11-11 19:00:00,0.89,,3.88,-1.45,5.27,43.57,68.3,41.23,111.2,101.68
2018-11-12 01:00:00,1.67,,4.36,-0.69,4.96,39.3,0.0,22.77,112.99,103.39
2018-11-12 07:00:00,1.88,,4.26,-0.49,4.66,37.96,0.0,22.77,113.6,103.97
2018-11-12 13:00:00,1.53,,3.42,-0.68,4.04,40.16,39.07,13.02,112.99,103.39
2018-11-12 19:00:00,2.03,,3.57,-0.14,3.65,37.32,0.0,13.02,114.2,104.55
2018-11-13 01:00:00,2.23,,3.83,-0.13,3.88,35.95,0.0,13.02,114.81,105.13
