timestamp,ema50_dist_ltc_usd_30m,ema200_dist_ltc_usd_30m,lower_bb_dist_ltc_usd_30m,width_bb_ltc_usd_30m,rsi_ltc_usd_30m,stoch_rsi_fastk_ltc_usd_30m,stoch_rsi_fastd_ltc_usd_30m,kijun_dist_ltc_usd_30m,tenkan_dist_ltc_usd_30m
2019-01-30 22:00:00,,,,,,,,0.13111752474940275,0.13904664370170372
2019-01-30 22:30:00,,,,,,,,0.13038084604887734,0.1383048008931893
2019-01-30 23:00:00,,,,,,,,0.12646804302138692,0.13436456916800577
2019-01-30 23:30:00,,,,,,,,0.12289349641085678,0.13076496503281043
2019-01-31 00:00:00,,,,,,,,0.12424429364589762,0.13212523133867982
2019-01-31 00:30:00,,,,,,,,0.12726935329230216,0.13517149661336725
2019-01-31 01:00:00,,,,,,,,0.11913534758044708,0.1269804716285925
2019-01-31 01:30:00,,,,,,,,0.10979842884111823,0.11757810121186285
2019-01-31 02:00:00,,,,,,,,0.10797665369649811,0.11574355544747084
2019-01-31 02:30:00,,,,,,,,0.10871813591287949,0.11649023544442394
2019-01-31 03:00:00,,,,,,,,0.10804402018605219,0.11581139417522945
2019-01-31 03:30:00,,,,,,,,0.11121951219512205,0.11900914634146353
2019-01-31 04:00:00,,,,,,,,0.10760628437718434,0.1153705898441062
2019-01-31 04:30:00,,,,,,,,0.11352804594891852,0.12133386288647197
2019-01-31 05:00:00,,,,,0.6193979933110362,,,0.11872314303253528,0.1265653775322284
2019-01-31 05:30:00,,,,,0.6473420738974963,,,0.11495870296726829,0.12277454879167937
2019-01-31 06:00:00,,,,,0.6731829999830058,,,0.11121951219512205,0.11900914634146353
2019-01-31 06:30:00,,,,,0.6392480246944535,,,0.11373220069669387,0.1215394487563406
2019-01-31 07:00:00,,,,,0.6097260083118119,,,0.11598285364360095,0.12380587875076543
2019-01-31 07:30:00,,0.012492707052264684,-0.014366329388782462,0.026884221880354678,0.6108988512959613,,,0.11584619152583886,0.12366825863335773
2019-01-31 08:00:00,,0.012191523075946842,-0.012075147857743218,0.024265258996284796,0.6055098430458619,0.0,0.006160828792654799,0.11622209291642438,0.12404679508774086
2019-01-31 08:30:00,,0.010767577225208269,-0.010562514941365508,0.021327905392079075,0.6122080767076221,0.1985357044883852,0.07233939695544987,0.1155388241055304,0.123358736571481
2019-01-31 09:00:00,,0.03367991895996325,0.0066305702010287515,0.026514933783492612,0.38203074883971366,0.0,0.06617856816279509,0.1385019054163803,0.14648278877990872
2019-01-31 09:30:00,,0.032297205214146585,0.001669644237498158,0.03011608668539073,0.41167197381910386,0.12877560641593827,0.1091037703014412,0.13559322033898313,0.14355371385842486
2019-01-31 10:00:00,,0.04348182959157465,0.005751549822776925,0.03682379971731733,0.3522103200634248,0.0,0.04292520213864612,0.14515520924971725,0.15318273218549705
2019-01-31 10:30:00,,0.04065431413417464,-0.00044461147376795296,0.04028892280470011,0.395047113608444,0.1647583198328927,0.09784464208294369,0.14078247261345855,0.14877934272300464
2019-01-31 11:00:00,,0.04670412239474575,0.00016311643703148526,0.04547535382341344,0.36500530517617724,0.2151804449523988,0.1266462549284305,0.1458392278914773,0.15387154578892748
2019-01-31 11:30:00,,0.04398913132907545,-0.005062956832431187,0.04811560984900904,0.39218861325730897,0.6723373917272856,0.35075871883752574,0.143072194693596,0.15108511572476946
2019-01-31 12:00:00,,0.040762260220162716,-0.00906257630941898,0.0490474423204867,0.41563028975061656,1.0,0.6291726122265615,0.14067536694520077,0.14867148624542303
2019-01-31 12:30:00,,0.037974578031948925,-0.011809625067608631,0.049141313027571284,0.4311464016518077,1.0,0.890779130575762,0.1391067912616808,0.14709191486701867
2019-01-31 13:00:00,,0.03188720158213654,-0.01630840493134511,0.047823093389914875,0.4754611441311089,1.0,1.0,0.13449746319295297,0.1424502754692314
2019-01-31 13:30:00,,0.03621062528412322,-0.012005667227281025,0.047639733634177,0.4262253082022854,0.4087385670619193,0.8029128556873064,0.1408538875672969,0.14885125829472878
2019-01-31 14:00:00,,0.033378085619964803,-0.012896233304570681,0.04580523093687463,0.4304831134106913,0.24824689224089463,0.5523284864342713,0.1404255319148937,0.1484198998748434
2019-01-31 14:30:00,,0.028965302997510323,-0.015807572518763968,0.04448024597220886,0.459973261532687,0.6854347589261701,0.447473406076328,0.13750702203358078,0.1454809312776979
2019-01-31 15:00:00,,0.032019056837082394,-0.012813717320271367,0.04440635459896535,0.4228758370133876,0.0,0.31122721705568823,0.14210509823582873,0.15011123993356934
2019-01-31 15:30:00,,0.033772656060942374,-0.010432824593203271,0.043695557183865495,0.39396316298891504,0.0,0.22847825297539004,0.14601936863287635,0.1540529493145517
2019-01-31 16:00:00,,0.02879559559995548,-0.012203202931113322,0.04066146305035831,0.41756951732962205,0.3576173170693482,0.1192057723564494,0.14386141099673622,0.15187986442380108
2019-01-31 16:30:00,,0.02296722323716205,-0.014351174163552471,0.03715831845307236,0.4513262340735751,0.8690044758321634,0.40887393096717056,0.14071106659989985,0.14870743615423132
2019-01-31 17:00:00,,0.02072710941921385,-0.013013360593658096,0.033610837234749155,0.44439186590504287,0.8791144191304185,0.70191207067731,0.1414970247416223,0.14949890385217657
2019-01-31 17:30:00,,0.01811820448531143,-0.010911307933587855,0.02892528166256352,0.43458623500972415,0.7081746366203967,0.8187645105276594,0.1425705329153606,0.15057993730407526
2019-01-31 18:00:00,,0.014134990568454686,-0.00851200941626129,0.022583506668542135,0.4301568537050766,0.3728839054736972,0.6533909870748374,0.14303634710069923,0.1510490168407188
