timestamp,ema50_dist_neo_usd_4h,ema200_dist_neo_usd_4h,lower_bb_dist_neo_usd_4h,width_bb_neo_usd_4h,rsi_neo_usd_4h,stoch_rsi_fastk_neo_usd_4h,stoch_rsi_fastd_neo_usd_4h,kijun_dist_neo_usd_4h,tenkan_dist_neo_usd_4h
2019-01-14 20:00:00,,,,,,,,-0.08038259051364716,-0.08038259051364716
2019-01-15 00:00:00,,,,,,,,-0.08440520446096667,-0.08440520446096667
2019-01-15 04:00:00,,,,,,,,-0.07247495669202386,-0.07247495669202386
2019-01-15 08:00:00,,,,,,,,-0.0713091676931199,-0.0713091676931199
2019-01-15 12:00:00,,,,,,,,-0.05624457160373986,-0.05624457160373986
2019-01-15 16:00:00,,,,,,,,-0.04595986984815614,-0.04595986984815614
2019-01-15 20:00:00,,,,,,,,-0.05552075876879026,-0.05552075876879026
2019-01-16 00:00:00,,,,,,,,-0.03184659128133238,-0.03184659128133238
2019-01-16 04:00:00,,,,,,,,-0.02877967349299404,-0.02877967349299404
2019-01-16 08:00:00,,,,,,,,-0.025191957571439882,-0.025191957571439882
2019-01-16 12:00:00,,,,,,,,-0.05125192604006168,-0.05125192604006168
2019-01-16 16:00:00,,,,,,,,-0.05890107370753894,-0.05890107370753894
2019-01-16 20:00:00,,,,,,,,-0.047828608247422744,-0.047828608247422744
2019-01-17 00:00:00,,,,,,,,-0.04431869624264373,-0.04431869624264373
2019-01-17 04:00:00,,,,,0.3381913959613695,,,-0.036165716596444186,-0.036165716596444186
2019-01-17 08:00:00,,,,,0.34439017863116317,,,-0.037421346777660514,-0.037421346777660514
2019-01-17 12:00:00,,,,,0.3194797332974315,,,-0.02762936253092596,-0.02762936253092596
2019-01-17 16:00:00,,,,,0.3697781764634299,,,-0.03765954675696803,-0.03765954675696803
2019-01-17 20:00:00,,,,,0.4198619980671026,,,-0.048306907610865646,-0.048306907610865646
2019-01-18 00:00:00,,0.021034212620170356,-0.050686111354347085,0.07279964786774654,0.4891344112213977,,,-0.06470253164556972,-0.06470253164556972
2019-01-18 04:00:00,,0.022525978804208924,-0.04403871644195578,0.06728847489944266,0.47072160293849113,0.8914689031377101,0.96382296771257,-0.05977527803934546,-0.05977527803934546
2019-01-18 08:00:00,,0.03192019850370498,-0.025951901847295455,0.05769991524538341,0.4196076011756624,0.4174848914535325,0.7696512648637476,-0.04465232344651038,-0.04465232344651038
2019-01-18 12:00:00,,0.034539788294521756,-0.018615342519387013,0.052735241070475926,0.399944954821128,0.0,0.4363179315304142,-0.03814811439878152,-0.03814811439878152
2019-01-18 16:00:00,,0.022047173571771772,-0.024269137426103038,0.04636782481324434,0.43226551661167373,0.3623809707449673,0.2599552873994999,-0.04547920784404913,-0.04547920784404913
2019-01-18 20:00:00,,0.03230710375785639,-0.013860501816108317,0.045745679404698036,0.39784502382765086,0.0,0.12079365691498908,-0.034503260202014885,-0.034503260202014885
2019-01-19 00:00:00,,0.02900145913020391,-0.01727637769697843,0.04600811239497231,0.41053952003772504,0.36880634712954036,0.2437291059581692,-0.03728338762214989,-0.03728338762214989
2019-01-19 04:00:00,,0.018940955409362914,-0.02538085826178027,0.04446498877516621,0.44786221236103513,1.0,0.45626878237651347,-0.04546687680859862,-0.04546687680859862
2019-01-19 08:00:00,,0.0160858874877714,-0.027267963202424195,0.04359760655895557,0.46191392800162423,0.9999999999999999,0.7896021157098467,-0.0485642544424415,-0.0485642544424415
2019-01-19 12:00:00,,-0.01849633057809963,-0.07752578244401254,0.062006446891679064,0.6174995796936313,1.0,1.0,-0.0922788697788699,-0.0922788697788699
2019-01-19 16:00:00,,-0.010047752653284836,-0.07933697422637409,0.0725307941874964,0.6178495715261869,1.0,1.0,-0.09240151822235321,-0.09240151822235321
2019-01-19 20:00:00,,-0.01015134118336114,-0.09362813851515506,0.08804545298193675,0.6448596415542589,1.0,1.0,-0.10176878191101402,-0.10176878191101402
2019-01-20 00:00:00,,0.007749089494808903,-0.08348830452910572,0.09482851257662632,0.5889434118263005,0.6943561636831085,0.8981187212277029,-0.09005430967598937,-0.09005430967598937
2019-01-20 04:00:00,,0.0013500130241117514,-0.09893573858094784,0.10542998226231567,0.6278020102200713,0.6949431065510724,0.7964330900780603,-0.10313163804090553,-0.10313163804090553
2019-01-20 08:00:00,,0.023138659813839668,-0.08177700102599483,0.10808461201952681,0.5574726137820999,0.0,0.463099756744727,-0.08686942705385325,-0.08686942705385325
2019-01-20 12:00:00,,0.08188533153913391,-0.02936304417094615,0.1084016250588211,0.40964498755823625,0.0,0.23164770218369082,-0.034503260202014885,-0.034503260202014885
2019-01-20 16:00:00,,0.10697244174571363,-0.012667263407885487,0.11425240828421457,0.37069055708487575,0.0,0.0,-0.013689030087834064,-0.013689030087834064
2019-01-20 20:00:00,,0.10650085871607629,-0.016312521316889206,0.1175141759577338,0.37469529812877467,0.015575895181118748,0.0051919650603729165,-0.0150169966006799,-0.0150169966006799
2019-01-21 00:00:00,,0.10008463003031465,-0.02514948494058522,0.12071135357388176,0.39481662288017977,0.12916693510026322,0.048247610093794,-0.02140917820011934,-0.02140917820011934
2019-01-21 04:00:00,,0.10491750442832237,-0.02565232298957265,0.12559227998763212,0.3873382601889197,0.4273635348212489,0.19070212170087697,-0.017858092301148543,-0.017858092301148543
2019-01-21 08:00:00,,0.10388730946299485,-0.03054868656052745,0.12968069425661435,0.3889363002433284,0.7562668241584618,0.437599098026658,-0.018314799314440577,-0.018314799314440577
