timestamp,ema50_dist_eos_btc_30m,ema200_dist_eos_btc_30m,lower_bb_dist_eos_btc_30m,width_bb_eos_btc_30m,rsi_eos_btc_30m,stoch_rsi_fastk_eos_btc_30m,stoch_rsi_fastd_eos_btc_30m,kijun_dist_eos_btc_30m,tenkan_dist_eos_btc_30m
2019-01-29 16:00:00,,,,,,,,0.05235444561456304,0.05528809989468941
2019-01-29 16:30:00,,,,,,,,0.04935493549354941,0.05228022802280208
2019-01-29 17:00:00,,,,,,,,0.04746930218628331,0.0503893381251872
2019-01-29 17:30:00,,,,,,,,0.04966986794717876,0.052596038415366086
2019-01-29 18:00:00,,,,,,,,0.05267118133935278,0.05560571858540242
2019-01-29 18:30:00,,,,,,,,0.05473462002412566,0.057674909529553675
2019-01-29 19:00:00,,,,,,,,0.05298810778262841,0.05592352852626803
2019-01-29 19:30:00,,,,,,,,0.05457560681441276,0.057515453037841
2019-01-29 20:00:00,,,,,,,,0.05298810778262841,0.05592352852626803
2019-01-29 20:30:00,,,,,,,,0.05093149038461542,0.0538611778846152
2019-01-29 21:00:00,,,,,,,,0.05156343956704745,0.05449488875526143
2019-01-29 21:30:00,,,,,,,,0.05409885473176623,0.0570373719107895
2019-01-29 22:00:00,,,,,,,,0.04888289098815424,0.05180686759634123
2019-01-29 22:30:00,,,,,,,,0.0480970931974829,0.05101887923284387
2019-01-29 23:00:00,,,,,0.5449735449735473,,,0.04966986794717876,0.052596038415366086
2019-01-29 23:30:00,,,,,0.4746543778801852,,,0.053781259415486726,0.056718891232298896
2019-01-30 00:00:00,,,,,0.4961951831803574,,,0.05251278964790851,0.05544688534456799
2019-01-30 00:30:00,,,,,0.4177894378494301,,,0.05792498487598308,0.06087416817906832
2019-01-30 01:00:00,,,,,0.36167425311056767,,,0.06290837258775261,0.06587144810819012
2019-01-30 01:30:00,,0.014796035284336817,-2.7271069022005712e-05,0.014714647771633435,0.40081548981936876,,,0.06065200909780133,0.06360879454131907
2019-01-30 02:00:00,,0.012863472947321597,-0.002648581906159242,0.015433230469650444,0.4354338894064027,0.5483134576721138,0.2797603637988104,0.05856537530266337,0.06151634382566584
2019-01-30 02:30:00,,0.011725810335805997,-0.0038322673144842723,0.015496914868185276,0.44862866261965434,1.0,0.6130936971321438,0.05776500831695164,0.06071374565250265
2019-01-30 03:00:00,,0.012379218418430149,-0.002869830168884424,0.015176887131239263,0.4291845386344844,0.7763871424698934,0.7749002000473358,0.05920654149000604,0.06215929739551784
2019-01-30 03:30:00,,0.010638276865598817,-0.004346685819016538,0.014937970882685541,0.45192370526415004,1.0,0.9254623808232979,0.05792498487598308,0.06087416817906832
2019-01-30 04:00:00,,0.006730186130900373,-0.008116354580501084,0.014856837751277368,0.5167150234645562,1.0,0.9254623808232979,0.053940033147506394,0.056878107578725245
2019-01-30 04:30:00,,0.00777966885946646,-0.007085852871532294,0.014860366551048842,0.49892985417232727,0.796811712779195,0.9322705709263984,0.05505279034690802,0.057993966817496245
2019-01-30 05:00:00,,0.0062223112784045576,-0.008586769109729109,0.01482660883381814,0.5241288334463154,1.0,0.9322705709263984,0.05346385542168686,0.0564006024096384
2019-01-30 05:30:00,,0.009206486595045416,-0.005732166353353163,0.014912747118811534,0.4729049010749925,0.29057764093859484,0.6957964512392634,0.056646525679758364,0.05959214501510557
2019-01-30 06:00:00,,0.010098217731322023,-0.0049568295565141085,0.015016444602482651,0.45610329489299917,0.0,0.43019254697953163,0.05776500831695164,0.06071374565250265
2019-01-30 06:30:00,,0.010880313635643901,-0.0040824332420024145,0.014912061671812598,0.43699465646596025,0.0,0.09685921364619836,0.05904617713853155,0.061998485995457875
2019-01-30 07:00:00,,0.013229700764270103,-0.0022248434479368306,0.015369972037592,0.39876284813799295,0.0,5.921189464667501e-17,0.061778992106861,0.06473891924711594
2019-01-30 07:30:00,,0.015546101022009928,-0.0012017140430015116,0.016628551873524265,0.3700502057798106,0.0,5.921189464667501e-17,0.06404015819896558,0.06700638880438081
2019-01-30 08:00:00,,0.009049294343465464,-0.006280342913596471,0.015308443089371118,0.47234099283432746,1.0,0.33333333333333337,0.05840520502345292,0.061355727038886254
2019-01-30 08:30:00,,0.0062048891779979964,-0.007005735355090192,0.013215916491187469,0.495046995819322,1.0,0.6666666666666667,0.05696585071018423,0.0599123602296765
2019-01-30 09:00:00,,0.006833920433319429,-0.004593193711138532,0.01141432595186991,0.4639885228721002,0.7515258356842263,0.9171752785614088,0.05904617713853155,0.061998485995457875
2019-01-30 09:30:00,,0.0073828404808120585,-0.003624125718762583,0.010986318979909449,0.4477007804696251,0.6212205502658843,0.7909154619833703,0.06016974840860878,0.06312518945134893
2019-01-30 10:00:00,,0.008725292809567797,-0.0016475285325318056,0.01033624259779092,0.41623039083531743,0.0,0.45758212865003695,0.062424058323207854,0.06538578371810444
2019-01-30 10:30:00,,0.006809887588727692,-0.003626139862832778,0.010419441015740947,0.4518009306560412,0.45130768862656045,0.3575094129641483,0.060491206791995156,0.06344754396604002
2019-01-30 11:00:00,,0.004588795674562496,-0.005209067989236704,0.009800903278280313,0.49078453844284375,1.0,0.4837692295421869,0.05824508320726185,0.06119515885022686
2019-01-30 11:30:00,,0.004335446053653769,-0.005303383137742701,0.009643496340260392,0.49629523424843325,1.0,0.8171025628755202,0.05792498487598308,0.06087416817906832
2019-01-30 12:00:00,,0.008198850243637423,-0.0018985617966961188,0.010065703622212856,0.43318840292328437,0.2118034753464461,0.7372678251154821,0.061940185213299026,0.06490056171246383
