timestamp,ema50_dist_xmr_usd_15m,ema200_dist_xmr_usd_15m,upper_bb_dist_xmr_usd_15m,lower_bb_dist_xmr_usd_15m,width_bb_xmr_usd_15m,rsi_xmr_usd_15m,stoch_rsi_fastk_xmr_usd_15m,stoch_rsi_fastd_xmr_usd_15m,kijun_dist_xmr_usd_15m,tenkan_dist_xmr_usd_15m
2018-12-18 18:45:00,,,,,,,,,8.84230828917907,7.951094065222697
2018-12-18 19:00:00,,,,,,,,,9.705711476582056,8.807427601001061
2018-12-18 19:15:00,,,,,,,,,10.124041092817727,9.222331882822665
2018-12-18 19:30:00,,,,,,,,,10.178411131059239,9.276256732495503
2018-12-18 19:45:00,,,,,,,,,9.720421937156388,8.822017610512667
2018-12-18 20:00:00,,,,,,,,,10.111691748715979,9.21008365667122
2018-12-18 20:15:00,,,,,,,,,9.566158584212992,8.669017384900357
2018-12-18 20:30:00,,,,,,,,,9.735136343316931,8.836611533303529
2018-12-18 20:45:00,,,,,,,,,9.198176156583626,8.304048042704615
2018-12-18 21:00:00,,,,,,,,,8.79165928026946,7.900859776635349
2018-12-18 21:15:00,,,,,,,,,9.312448511566828,8.41738472157283
2018-12-18 21:30:00,,,,,,,,,9.781758010777942,8.882851456810004
2018-12-18 21:45:00,,,,,,,,,10.114161395953891,9.212533082133412
2018-12-18 22:00:00,,,,,,,,,9.789122948253492,8.89015608927053
2018-12-18 22:15:00,,,,,,43.621575342465675,,,9.566158584212992,8.669017384900357
2018-12-18 22:30:00,,,,,,49.468744466088246,,,8.955836662228144,8.063692853972482
2018-12-18 22:45:00,,,,,,56.12613393994119,,,8.137485958459067,7.25204290654391
2018-12-18 23:00:00,,,,,,58.31167596211899,,,7.838205899795736,6.955213389856563
2018-12-18 23:15:00,,,,,,54.28974644024888,,,8.251934822393237,7.365554649086059
2018-12-18 23:30:00,,,-0.3037487800492844,-3.218963588245216,2.967482749110901,60.8567052943534,,,7.321951646045544,6.443186289511638
2018-12-18 23:45:00,,,-0.36730786526727455,-3.8361395100265594,3.5433020635538828,63.74020254142444,100.0,90.8738325987835,6.850134935144081,5.975232871942193
2018-12-19 00:00:00,,,-1.4554646859460174,-6.380887327691309,5.1262792868033324,73.83215043762621,100.0,100.0,4.614319198806727,3.757724270189655
2018-12-19 00:15:00,,,-3.06011259552893,-11.015983283637066,8.558200975531928,83.10441400203067,100.0,100.0,0.7541865046790441,-0.07080118207191122
2018-12-19 00:30:00,,,0.10508090918679436,-8.877697251861216,9.394865933160398,66.2804182662791,24.378748585709776,74.7929161952366,3.289362955482633,2.443616931751258
2018-12-19 00:45:00,,,0.26263797335872585,-9.536551562383789,10.275667812558476,67.95126087915268,21.74660376073177,48.70845078214719,2.6715881048977375,1.8309004977205223
2018-12-19 01:00:00,,,2.322061724409985,-7.763125554197248,10.367231109635664,58.953491653769106,0.0,15.375117448813853,4.4585106382978745,3.603191489361701
2018-12-19 01:15:00,,,2.566204347754164,-7.623731835472459,10.454300750273545,59.10321075738604,0.6199312036946213,7.455511654808801,4.411858531294532,3.5569213755556106
2018-12-19 01:30:00,,,0.6925988350831691,-9.901962884267245,11.105955663444202,66.6308505918861,85.32513721799424,28.648356140562957,1.8008584402927852,0.9673004748377512
2018-12-19 01:45:00,,,0.3031449513699158,-11.105389105512241,12.059904205393302,69.676166222084,100.0,61.98168947389629,0.5272533682787905,-0.2958761620049932
2018-12-19 02:00:00,,,0.16938762950737818,-12.237655030406325,13.203776167360296,72.1655301582749,100.0,95.10837907266473,-0.6043244118718816,-1.41818844394056
2018-12-19 02:15:00,,,2.318656285044818,-10.535514333363572,13.40490148153577,64.02165576178047,37.653688088960195,79.21789602965339,1.032020414042889,0.20475778902744324
2018-12-19 02:30:00,,,1.8202664242575217,-11.132732057721928,13.585574458245894,66.60396719516089,31.708635320947373,56.45410780330251,-0.015274015844246591,-0.8339612650958173
2018-12-19 02:45:00,,,2.5825682044871012,-10.221218511235609,13.312223828893096,64.61217180236794,7.251045532353294,25.537789647420272,0.39979550102249295,-0.42229038854805223
2018-12-19 03:00:00,,,3.399888116170424,-8.991646719826019,12.747952192760742,61.527630813337744,0.0,12.986560284433542,1.0528157418079997,0.22538284208792891
2018-12-19 03:15:00,,,2.976270606555831,-8.788091189191483,12.11645511178354,63.10626735717095,31.09794988145061,12.782998471267954,0.5087313448113528,-0.3142465248633486
2018-12-19 03:30:00,,,2.1513571529686137,-9.087978298164579,11.643156271066706,66.00239954436464,88.14957076228654,39.74917354791237,-0.5237670705515174,-1.3382907160513824
2018-12-19 03:45:00,,,2.758297284301947,-8.003024053582875,11.051121912510476,63.48311236920494,43.70017029725783,54.31589698033165,-0.04173792654124098,-0.860208486033065
2018-12-19 04:00:00,,,1.693527298233577,-8.541864719326464,10.598295537195957,67.04604458729257,100.0,77.28324701984812,-1.299706485464991,-2.1078766434803553
2018-12-19 04:15:00,,,2.3092648650848036,-6.959895572327357,9.489828885519547,63.295684553057576,4.807814879441276,49.50266172556636,-0.5942618801757504,-1.4082083054931305
2018-12-19 04:30:00,,,2.9808787156346384,-5.182803560850157,8.254561901167557,58.781657860837896,0.0,34.93593829314709,0.3197858558613875,-0.5016449048815819
2018-12-19 04:45:00,,,2.0358410835483287,-4.785932468951081,6.916883866170346,60.80839696669326,24.523768949094308,9.777194609511858,-0.29751025547296583,-1.1138865196376968
2018-12-19 05:00:00,,,2.527981811428903,-3.6347334870869275,6.197008043697972,57.721592545603364,0.0,8.174589649698099,0.3259359162988362,-0.4955452018963524
