timestamp,ema50_dist_trx_usd_4h,ema200_dist_trx_usd_4h,lower_bb_dist_trx_usd_4h,width_bb_trx_usd_4h,rsi_trx_usd_4h,stoch_rsi_fastk_trx_usd_4h,stoch_rsi_fastd_trx_usd_4h,kijun_dist_trx_usd_4h,tenkan_dist_trx_usd_4h
2019-01-14 20:00:00,,,,,,,,0.07966135458167312,0.061812749003984147
2019-01-15 00:00:00,,,,,,,,0.03749999999999987,0.020348392036753538
2019-01-15 04:00:00,,,,,,,,0.043814035898620984,0.02655804637547199
2019-01-15 08:00:00,,,,,,,,0.044779859665355914,0.027507903462101968
2019-01-15 12:00:00,,,,,,,,0.06210072506368802,0.044542426023907566
2019-01-15 16:00:00,,,,,,,,0.07966135458167312,0.061812749003984147
2019-01-15 20:00:00,,,,,,,,0.0844571611509064,0.06652927288006727
2019-01-16 00:00:00,,,,,,,,0.09497353428421351,0.07687179279970913
2019-01-16 04:00:00,,,,,,,,0.09714574898785422,0.07900809716599189
2019-01-16 08:00:00,,,,,,,,0.1115463494667761,0.0931706316652996
2019-01-16 12:00:00,,,,,,,,0.0903037618185476,0.07227921947294313
2019-01-16 16:00:00,,,,,,,,0.07820084347895273,0.06037638258932132
2019-01-16 20:00:00,,,,,,,,0.07966135458167312,0.061812749003984147
2019-01-17 00:00:00,,,,,,,,0.06560890252054574,0.047992607447603364
2019-01-17 04:00:00,,,,,0.4469214437367303,,,0.10160569105691053,0.08339430894308952
2019-01-17 08:00:00,,,,,0.446309162670842,,,0.10187444092054965,0.08365861592258272
2019-01-17 12:00:00,,,,,0.4427166946674132,,,0.10335491225927274,0.0851146125972071
2019-01-17 16:00:00,,,,,0.4965418883299585,,,0.08536927266901628,0.06742630567125918
2019-01-17 20:00:00,,,,,0.5934743854636209,,,0.04627234469711583,0.028975715223350518
2019-01-18 00:00:00,,0.022632368189206664,-0.05757556109905715,0.08163420924918238,0.5577750084558103,,,0.05803693436926549,0.04054581657751921
2019-01-18 04:00:00,,0.030760200979381258,-0.050486540774135835,0.08205607475998661,0.5360707251511394,0.6192322924998964,0.794144195168242,0.06552510517831145,0.04791019541540531
2019-01-18 08:00:00,,0.023685759796502115,-0.05104654411022713,0.07576885150864264,0.5431960267500391,0.4813054424436023,0.6212460093161094,0.06272549019607854,0.045156862745098225
2019-01-18 12:00:00,,0.027636948285547636,-0.04202034749503292,0.07016187893760402,0.5176385506974219,0.0,0.366845911647833,0.07112648221343876,0.05341897233201598
2019-01-18 16:00:00,,0.007051361764301989,-0.05923303185699813,0.06806013949407151,0.5702282903055932,1.0,0.4937684808145341,0.05106077648062679,0.03368498623123761
2019-01-18 20:00:00,,0.036781491972165625,-0.03001749197216541,0.0665738312470536,0.4790469762005792,0.0,0.33333333333333337,0.08397999999999994,0.06606000000000001
2019-01-19 00:00:00,,0.036612184923182856,-0.030248184923182486,0.06664829497176528,0.47904697620057923,7.792635396126929e-16,0.3333333333333336,0.08397999999999994,0.06606000000000001
2019-01-19 04:00:00,,0.05680115831637833,-0.014024376969565489,0.06934241267344746,0.4312461130767662,0.0,2.3684757858670006e-16,0.10465922060981558,0.08639735855209518
2019-01-19 08:00:00,,0.05419087875223094,-0.017509034699867976,0.07040855562343333,0.4397366010841782,0.06109048064078697,0.020363493546929224,0.1016952597772176,0.0834823969428411
2019-01-19 12:00:00,,0.017969768181685497,-0.05173020076661494,0.07089672093206019,0.5425779607387763,1.0,0.3536968268802623,0.06185102464636971,0.04429685357156865
2019-01-19 16:00:00,,0.0241695359509444,-0.041582785162300406,0.0663298300435928,0.5244927366313353,0.837555699584314,0.6328820600750337,0.0685922712933753,0.05092665615141967
2019-01-19 20:00:00,,0.038865664923589005,-0.02722613050496525,0.0657093821211416,0.4856227802909478,0.48841969621543085,0.7753251319332481,0.08393664253429867,0.06601735930562791
2019-01-20 00:00:00,,0.0433540484605488,-0.023646547154750674,0.06634683049103078,0.4738249867689305,0.3314657235108634,0.552480373103536,0.08881433565028707,0.07081441600707139
2019-01-20 04:00:00,,0.03762469669932389,-0.02911686421850479,0.0664588505342221,0.48991098943704775,0.2339680996951841,0.3512845064738261,0.08294037723785164,0.06503756393861893
2019-01-20 08:00:00,,0.048762499599756204,-0.019211347153333835,0.06698411781457624,0.4571346602999819,0.0,0.18847794106868246,0.09581479983825325,0.07769915082895285
2019-01-20 12:00:00,,0.0798254025348406,0.002679997033194992,0.07408903287131689,0.3939891479063497,0.0,0.07798936656506132,0.12558149194218293,0.10697374979232444
2019-01-20 16:00:00,,0.10234959128023702,0.010271767943064836,0.08716926290191851,0.362189087732032,0.0,-4.736951571734001e-17,0.14392148585901232,0.12501055297593933
2019-01-20 20:00:00,,0.10178358484509187,0.0003156116548461707,0.09653966221878894,0.37361439395653334,0.08945455769120163,0.02981818589706716,0.14002355811703326,0.12117706449034538
2019-01-21 00:00:00,,0.10141437327256453,-0.008458873692378743,0.10499339043470553,0.38084000428641074,0.19643798072870433,0.09529751280663527,0.13767842149454235,0.11887069689336704
2019-01-21 04:00:00,,0.09824993137106963,-0.012363376749220056,0.10605879583929992,0.37891869448280135,0.526087267101477,0.2706599351737943,0.1386344537815125,0.11981092436974783
2019-01-21 08:00:00,,0.09173784304671795,-0.0193529408641524,0.10721057057873114,0.39067091103489815,1.0,0.5741750826100604,0.13524779020568878,0.11648024799966494
2019-01-21 12:00:00,,0.02644119112446419,-0.07762707088177145,0.10680162969393468,0.5749873240961308,1.0,0.8420290890338258,0.06766606256402175,0.0500157591994328
