timestamp,ema50_dist_trx_btc_1h,ema200_dist_trx_btc_1h,upper_bb_dist_trx_btc_1h,lower_bb_dist_trx_btc_1h,width_bb_trx_btc_1h,rsi_trx_btc_1h,stoch_rsi_fastk_trx_btc_1h,stoch_rsi_fastd_trx_btc_1h,kijun_dist_trx_btc_1h,tenkan_dist_trx_btc_1h
2018-02-16 16:00:00,,,,,,,,,41.58316633266532,42.68537074148298
2018-02-16 17:00:00,,,,,,,,,41.58316633266532,42.68537074148298
2018-02-16 18:00:00,,,,,,,,,39.34911242603549,40.43392504930967
2018-02-16 19:00:00,,,,,,,,,41.86746987951806,42.971887550200805
2018-02-16 20:00:00,,,,,,,,,40.178571428571416,41.26984126984126
2018-02-16 21:00:00,,,,,,,,,38.80157170923377,39.882121807465595
2018-02-16 22:00:00,,,,,,,,,38.529411764705856,39.607843137254896
2018-02-16 23:00:00,,,,,,,,,36.38996138996136,37.45173745173744
2018-02-17 00:00:00,,,,,,,,,37.18446601941747,38.25242718446602
2018-02-17 01:00:00,,,,,,,,,39.90099009900989,40.99009900990098
2018-02-17 02:00:00,,,,,,,,,39.34911242603549,40.43392504930967
2018-02-17 03:00:00,,,,,,,,,41.01796407185627,42.115768463073834
2018-02-17 04:00:00,,,,,,,,,40.73705179282867,41.83266932270915
2018-02-17 05:00:00,,,,,,,,,40.73705179282867,41.83266932270915
2018-02-17 06:00:00,,,,,,49.206349206349216,,,41.86746987951806,42.971887550200805
2018-02-17 07:00:00,,,,,,43.94765539803707,,,43.89002036659877,45.01018329938902
2018-02-17 08:00:00,,,,,,44.85433688206658,,,43.59756097560974,44.71544715447153
2018-02-17 09:00:00,,,,,,42.6266794567821,,,44.478527607361954,45.60327198364007
2018-02-17 10:00:00,,,,,,49.78817009914639,,,42.15291750503016,43.25955734406439
2018-02-17 11:00:00,,,5.316211239015378,-0.9577591005224262,6.140162321532909,45.22832686689012,,,43.89002036659877,45.01018329938902
2018-02-17 12:00:00,,,5.601473874288332,-1.0096371395944215,6.46273196369586,44.49687344374084,26.11459094696679,54.14762847748147,44.18367346938774,45.3061224489796
2018-02-17 13:00:00,,,4.535538304773934,-2.0910938603294627,6.546617945766242,48.94304063470932,88.19897271892461,50.213952717123,42.727272727272705,43.838383838383834
2018-02-17 14:00:00,,,1.7128375852336175,-4.797316956549935,6.612129425856194,58.876511178586924,100.0,71.43785455529714,38.80157170923377,39.882121807465595
2018-02-17 15:00:00,,,3.1589396230465416,-3.4179037664728407,6.585370263366379,53.29342443002323,61.173662010731775,83.12421157655213,40.73705179282867,41.83266932270915
2018-02-17 16:00:00,,,4.348581667349283,-2.3526139254137823,6.634979566843953,49.003975364881505,31.34364025192815,64.17243408755331,42.43951612903225,43.54838709677418
2018-02-17 17:00:00,,,3.9489046344687972,-2.6008161032816557,6.5058683055100905,49.73019588117323,7.924272216713485,33.48052482645781,42.15291750503016,43.25955734406439
2018-02-17 18:00:00,,,2.717219711361163,-3.5339527790902547,6.276804860899313,53.31039421739442,43.62018972404823,27.629367397563296,40.73705179282867,41.83266932270915
2018-02-17 19:00:00,,,2.09973473955396,-3.235192906884643,5.365388517504122,53.31039421739442,100.0,50.514820646920576,40.73705179282867,41.83266932270915
2018-02-17 20:00:00,,,1.3871964558313854,-3.156580153644506,4.584333837260803,54.069152963922626,100.0,81.20672990801607,40.457256461232596,41.55069582504969
2018-02-17 21:00:00,,,1.6875256668391403,-2.7454098983760833,4.456507912456761,52.240604903816966,57.85742921091548,85.9524764036385,41.01796407185627,42.115768463073834
2018-02-17 22:00:00,,,2.0624726365371826,-2.1026332791074798,4.165942450273226,49.53452415788284,0.0,52.619143070305164,41.86746987951806,42.971887550200805
2018-02-17 23:00:00,,,2.2088797034187424,-1.9271895625736724,4.130252009640813,48.63024516521961,0.0,19.285809736971828,42.15291750503016,43.25955734406439
2018-02-18 00:00:00,,,1.7352518965191965,-2.3164142211684835,4.063473807107141,50.57366888794933,35.73187475605224,11.910624918684084,41.58316633266532,42.68537074148298
2018-02-18 01:00:00,,,2.8758008417565595,-1.2125148376997963,4.054595916258273,45.065467328652815,0.0,11.910624918684084,43.30628803245433,44.42190669371195
2018-02-18 02:00:00,,,3.7450897975502606,-0.6162554417220356,4.294166559960045,41.79714134162919,0.0,11.910624918684084,44.478527607361954,45.60327198364007
2018-02-18 03:00:00,,,3.1028421043640453,-1.192272998672994,4.254472781747974,45.01783397348796,36.69666180457843,12.232220601526146,43.59756097560974,44.71544715447153
2018-02-18 04:00:00,,,4.483791089031541,-0.20395569808504543,4.589534525662095,40.223783900787694,0.0,12.232220601526146,45.37037037037035,46.50205761316872
2018-02-18 05:00:00,,,4.546695582982263,-0.32858858709747807,4.774585605357695,40.223783900787694,0.0,12.232220601526146,45.37037037037035,46.50205761316872
2018-02-18 06:00:00,,,6.866550915290182,0.7854406989655782,5.857020844395424,33.93671282762406,0.0,2.3684757858670005e-15,48.11320754716979,49.26624737945491
2018-02-18 07:00:00,,,7.132897019057438,0.2255935469802628,6.662185332485711,33.936712827624056,0.0,2.3684757858670005e-15,48.11320754716979,49.26624737945491
2018-02-18 08:00:00,,,6.343345209746043,-0.8963597627606013,7.047759748584697,38.8623355052788,78.3452679369216,26.1150893123072,46.88149688149687,48.02494802494803
2018-02-18 09:00:00,,,6.868924929711362,-0.8981524871226165,7.541921919042107,37.362340800773744,54.48686571672428,44.27737788454863,47.494780793319414,48.64300626304801
