timestamp,ema50_dist_etc_usd_4h,ema200_dist_etc_usd_4h,lower_bb_dist_etc_usd_4h,width_bb_etc_usd_4h,rsi_etc_usd_4h,stoch_rsi_fastk_etc_usd_4h,stoch_rsi_fastd_etc_usd_4h,kijun_dist_etc_usd_4h,tenkan_dist_etc_usd_4h
2019-01-14 20:00:00,,,,,,,,-0.10081470928679537,-0.10081470928679537
2019-01-15 00:00:00,,,,,,,,-0.08888939011187291,-0.08888939011187291
2019-01-15 04:00:00,,,,,,,,-0.09016171899635106,-0.09016171899635106
2019-01-15 08:00:00,,,,,,,,-0.08645800352797495,-0.08645800352797495
2019-01-15 12:00:00,,,,,,,,-0.0755658283177334,-0.0755658283177334
2019-01-15 16:00:00,,,,,,,,-0.05661038324108458,-0.05661038324108458
2019-01-15 20:00:00,,,,,,,,-0.06053769942788034,-0.06053769942788034
2019-01-16 00:00:00,,,,,,,,-0.04977535226176755,-0.04977535226176755
2019-01-16 04:00:00,,,,,,,,-0.06601156069364156,-0.06601156069364156
2019-01-16 08:00:00,,,,,,,,-0.06323918185612898,-0.06323918185612898
2019-01-16 12:00:00,,,,,,,,-0.07868628121792676,-0.07868628121792676
2019-01-16 16:00:00,,,,,,,,-0.0776344331544696,-0.0776344331544696
2019-01-16 20:00:00,,,,,,,,-0.07440080656248571,-0.07440080656248571
2019-01-17 00:00:00,,,,,,,,-0.07206193145272444,-0.07206193145272444
2019-01-17 04:00:00,,,,,0.32278241091736154,,,-0.06175965067124989,-0.06175965067124989
2019-01-17 08:00:00,,,,,0.3494720035853339,,,-0.06611952375447916,-0.06611952375447916
2019-01-17 12:00:00,,,,,0.3988501398747598,,,-0.0744432224360736,-0.0744432224360736
2019-01-17 16:00:00,,,,,0.5421920991072902,,,-0.10499844906279066,-0.10499844906279066
2019-01-17 20:00:00,,,,,0.5467229598646121,,,-0.10614710568242158,-0.10614710568242158
2019-01-18 00:00:00,,-0.0005482389166566737,-0.0734375723245303,0.07568930055997769,0.5731563489637562,,,-0.11276329372487859,-0.11276329372487859
2019-01-18 04:00:00,,0.008551188115922592,-0.06644021477432283,0.07722669190341386,0.5366531868470305,0.7905802535233376,0.9301934178411124,-0.10559295013727743,-0.10559295013727743
2019-01-18 08:00:00,,0.0356623989810676,-0.04078412821883759,0.07664279903223925,0.43697044981940786,0.0,0.5968600845077792,-0.0808873720136517,-0.0808873720136517
2019-01-18 12:00:00,,0.03724149055953219,-0.03850070081570822,0.07578990909066118,0.42898295268032755,0.0,0.2635267511744458,-0.07851814677099245,-0.07851814677099245
2019-01-18 16:00:00,,0.028472405419873725,-0.04661309757097076,0.0757727884047852,0.4638232382464355,0.2416554403533359,0.08055181345111193,-0.08629269396064232,-0.08629269396064232
2019-01-18 20:00:00,,0.03653688615982165,-0.039096488657884176,0.07573029454325177,0.4379037498489303,0.0828529559505831,0.10816946543463962,-0.07929525459269726,-0.07929525459269726
2019-01-19 00:00:00,,0.02860913048991298,-0.04384259572450888,0.07300780716053892,0.471151172889681,1.0,0.441502798767973,-0.08660260033917466,-0.08660260033917466
2019-01-19 04:00:00,,0.02131231593753591,-0.04934810630822173,0.0716650149132678,0.5042587746694064,1.0,0.6942843186501944,-0.09414033592716331,-0.09414033592716331
2019-01-19 08:00:00,,0.004234825486487237,-0.06428275653613313,0.07063842774187006,0.5736907552186844,1.0,1.0,-0.11184644474737249,-0.11184644474737249
2019-01-19 12:00:00,,-0.0083935002100749,-0.0864755917160056,0.08197031623918317,0.6355810401225442,1.0,1.0,-0.1309726136436976,-0.1309726136436976
2019-01-19 16:00:00,,0.01151718312665384,-0.06882940150891026,0.08271693001400031,0.5677446369405236,0.5874447609572553,0.8624815869857518,-0.11643116496784622,-0.11643116496784622
2019-01-19 20:00:00,,0.0239617958614442,-0.05791175828906214,0.08328735544452495,0.5301475752018538,0.19713946026681828,0.5948614070746913,-0.10721389736109266,-0.10721389736109266
2019-01-20 00:00:00,,0.03994314476517391,-0.0419942196720452,0.08202148053749647,0.48049015584966204,0.0,0.2615280737413579,-0.09351016561195624,-0.09351016561195624
2019-01-20 04:00:00,,0.03236212234272262,-0.047239443445273754,0.08019813247230417,0.5061275237206724,0.16530544648840462,0.12081496891840766,-0.10061450772587599,-0.10061450772587599
2019-01-20 08:00:00,,0.03576816983724096,-0.041198994402171674,0.07717673088237112,0.49484597652951623,0.16452817666642092,0.10994454105160856,-0.09758059111319617,-0.09758059111319617
2019-01-20 12:00:00,,0.06593371150451577,-0.010314997031407258,0.074185653204142,0.4095555060990846,0.0,0.10994454105160856,-0.07037488780981738,-0.07037488780981738
2019-01-20 16:00:00,,0.09088716002684416,0.0064175678611149145,0.0805506143599766,0.3633719192051328,0.0,0.054842725555473676,-0.0507801485101983,-0.0507801485101983
2019-01-20 20:00:00,,0.09757727722087939,0.003377371091396464,0.08967343127102251,0.35699222561217314,0.0,4.736951571734001e-17,-0.04782670186686777,-0.04782670186686777
2019-01-21 00:00:00,,0.09225858061271208,-0.008307442304114732,0.09651476089640892,0.3772412862245572,0.14688799164068755,0.048962663880229226,-0.052894422170640776,-0.052894422170640776
2019-01-21 04:00:00,,0.0762520222366323,-0.024525012404359225,0.09823629962275529,0.4264279488433987,1.0,0.3822959972135626,-0.06547137073452847,-0.06547137073452847
2019-01-21 08:00:00,,0.07709708642217028,-0.023831699753027014,0.09831051244566734,0.4170346939309345,0.8647201400756775,0.6705360439054551,-0.06217351937408566,-0.06217351937408566
