timestamp,ema50_dist_REP_BTC_1h,ema200_dist_REP_BTC_1h,upper_bb_dist_REP_BTC_1h,lower_bb_dist_REP_BTC_1h,width_bb_REP_BTC_1h,rsi_REP_BTC_1h,stoch_rsi_fastk_REP_BTC_1h,stoch_rsi_fastd_REP_BTC_1h,kijun_dist_REP_BTC_1h,tenkan_dist_REP_BTC_1h
2019-01-20 16:00:00,,,,,,,,,-0.21638822593476537,-0.2401551312649165
2019-01-20 17:00:00,,,,,,,,,-0.2233392469938893,-0.24689532820816085
2019-01-20 18:00:00,,,,,,,,,-0.2469418960244648,-0.269782110091743
2019-01-20 19:00:00,,,,,,,,,-0.2218052538020936,-0.24540786095200473
2019-01-20 20:00:00,,,,,,,,,-0.22745098039215694,-0.25088235294117656
2019-01-20 21:00:00,,,,,,,,,-0.20772169716468936,-0.2317514578725115
2019-01-20 22:00:00,,,,,,,,,-0.21357285429141715,-0.2374251497005987
2019-01-20 23:00:00,,,,,,,,,-0.22425674345343571,-0.24778499704666268
2019-01-21 00:00:00,,,,,,,,,-0.2233392469938893,-0.24689532820816085
2019-01-21 01:00:00,,,,,,,,,-0.20275192229866457,-0.22693241602590042
2019-01-21 02:00:00,,,,,,,,,-0.21057904227609692,-0.2345221398517331
2019-01-21 03:00:00,,,,,,,,,-0.2094703049759229,-0.2334470304975922
2019-01-21 04:00:00,,,,,,,,,-0.18206352501556988,-0.2068714967822296
2019-01-21 05:00:00,,,,,,,,,-0.16188045096787929,-0.18730057434588387
2019-01-21 06:00:00,,,,,,0.3985024958402661,,,-0.1764214046822743,-0.20140050167224077
2019-01-21 07:00:00,,,,,,0.3939144736842103,,,-0.17417732131628594,-0.19922448124083003
2019-01-21 08:00:00,,,,,,0.3854589261566002,,,-0.1701769165964616,-0.19534540859309169
2019-01-21 09:00:00,,,,,,0.3957827055852699,,,-0.1731374606505771,-0.19821615949632743
2019-01-21 10:00:00,,,,,,0.3989807313929703,,,-0.17400419287211744,-0.19905660377358492
2019-01-21 11:00:00,,,0.12810312325297946,-0.008227881265455261,0.128621724352623,0.35061680128002126,,,-0.15250591525059165,-0.17821036782103683
2019-01-21 12:00:00,,,0.1256321324789802,-0.017796151371208713,0.1360905546121385,0.3568615641308676,0.12912025214374398,0.37637341738124797,-0.1541434091884929,-0.17979819665092311
2019-01-21 13:00:00,,,0.08968923514730331,-0.04746979417942665,0.13432349783304934,0.44388922219371435,1.0,0.37637341738124797,-0.17813934084271998,-0.20306633291614506
2019-01-21 14:00:00,,,0.08958987175006872,-0.03530897761257412,0.12159860875801282,0.4204615960598879,0.748825795403075,0.6259820158489396,-0.1691269506537325,-0.19432728806410793
2019-01-21 15:00:00,,,0.08647859200571628,-0.03526371771879511,0.11870263934862851,0.41636566682832105,0.7049121798729611,0.8179126584253453,-0.1675470103528418,-0.19279526727234308
2019-01-21 16:00:00,,,0.06374254337630414,-0.04700989074033901,0.10983353095600898,0.458058787082239,1.0,0.8179126584253453,-0.1789956240883518,-0.20389664513440298
2019-01-21 17:00:00,,,0.07784271635541629,-0.03353945502547173,0.10896834485156279,0.42033218553461105,0.09513604839679185,0.6000160760899175,-0.1656077933079203,-0.19091486658195667
2019-01-21 18:00:00,,,0.06642458595672429,-0.039239915499786227,0.10424753402727055,0.43781703394202737,0.5145061579239925,0.5365474021069279,-0.17035165297957466,-0.19551484523057483
2019-01-21 19:00:00,,,0.0547800231230553,-0.037773506410841984,0.09177315865569197,0.44317637314292957,0.6430486888802501,0.41756363173367794,-0.1717468993062855,-0.19686777380702125
2019-01-21 20:00:00,,,0.04815591629306937,-0.02851079588749328,0.07592097384432255,0.43047064280426006,0.2687349735663236,0.4754299401235218,-0.16772285593578373,-0.19296577946768068
2019-01-21 21:00:00,,,0.03574906188357185,-0.033756194251937766,0.06943606768962625,0.4546299835667863,1.0,0.6372612208155243,-0.17348437172225728,-0.19855254877281314
2019-01-21 22:00:00,,,0.04396951294640661,-0.013879884265228792,0.05699196369888016,0.40879184719413375,0.0,0.42291165785544094,-0.1591976099018353,-0.1846991037131882
2019-01-21 23:00:00,,,0.02426837197695142,-0.012775581476527464,0.036832300496849435,0.4316482053361501,0.4986319242169867,0.4995439747389954,-0.16454622561492782,-0.18988549618320605
2019-01-22 00:00:00,,,0.01973245366392362,-0.014421408382502166,0.03406340590083644,0.43942788186240905,0.6683525355222123,0.38899481991306617,-0.16631400761743553,-0.19159966144731277
2019-01-22 01:00:00,,,0.011818152498500378,-0.02157680937153328,0.03355870581762229,0.4699032351004335,1.0,0.7223281532463994,-0.1731374606505771,-0.19821615949632743
2019-01-22 02:00:00,,,0.028764456656240833,-0.005830440000251236,0.0342026940786523,0.4183991182537088,0.15720917800632445,0.6085205711761786,-0.15865897928678196,-0.18417680973734774
2019-01-22 03:00:00,,,0.03745890504434035,-0.0006881838387431394,0.03745840264288917,0.3966996185925964,0.0,0.3857363926687746,-0.15177610333692138,-0.17750269106566197
2019-01-22 04:00:00,,,0.0674272825453428,0.013613281828554147,0.051718358246398886,0.3419208648437692,0.0,0.05240305933544121,-0.1313932980599648,-0.15773809523809523
2019-01-22 05:00:00,,,0.07591420866239051,0.00970829909126425,0.06348791243381265,0.33195732889134183,0.0,-2.6645352591003756e-16,-0.12715994683207799,-0.15363314133805928
2019-01-22 06:00:00,,,0.07810574727471331,0.00316226425266386,0.07201713821282514,0.3305428420777844,0.0,-2.6645352591003756e-16,-0.12657947240079814,-0.1530702726668145
