timestamp,ema50_dist_iot_usd_12h,ema200_dist_iot_usd_12h,lower_bb_dist_iot_usd_12h,width_bb_iot_usd_12h,rsi_iot_usd_12h,stoch_rsi_fastk_iot_usd_12h,stoch_rsi_fastd_iot_usd_12h,kijun_dist_iot_usd_12h,tenkan_dist_iot_usd_12h
2018-07-15 14:00:00,,,,,,,,-0.6869990600268853,-0.7319762682056621
2018-07-16 02:00:00,,,,,,,,-0.693477184994556,-0.7375235078689497
2018-07-16 14:00:00,,,,,,,,-0.7073244494849258,-0.7493809658822417
2018-07-17 02:00:00,,,,,,,,-0.7130467012601927,-0.7542809488510007
2018-07-17 14:00:00,,,,,,,,-0.7112271540469974,-0.7527228646027602
2018-07-18 02:00:00,,,,,,,,-0.725679865355656,-0.7650987687129064
2018-07-18 14:00:00,,,,,,,,-0.7259711529953101,-0.7653481992744005
2018-07-19 02:00:00,,,,,,,,-0.7166956362638368,-0.757405543866069
2018-07-19 14:00:00,,,,,,,,-0.7120862774265526,-0.7534585347712904
2018-07-20 02:00:00,,,,,,,,-0.7049823759169287,-0.7473754406020767
2018-07-20 14:00:00,,,,,,,,-0.6943846837067009,-0.7383006019934866
2018-07-21 02:00:00,,,,,,,,-0.6780203784570596,-0.7242877937201081
2018-07-21 14:00:00,,,,,,,,-0.6867330939254463,-0.7317485205604168
2018-07-22 02:00:00,,,,,,,,-0.6940223298093073,-0.7379903171623357
2018-07-22 14:00:00,,,,,0.5062316058861165,,,-0.6885321746826786,-0.7332890793152697
2018-07-23 02:00:00,,,,,0.48891656288916574,,,-0.6844539998573481,-0.7297969248326388
2018-07-23 14:00:00,,,,,0.4659944875026503,,,-0.6788384754990926,-0.7249883329012186
2018-07-24 02:00:00,,,,,0.452210126907588,,,-0.6753504072796654,-0.7220014886412479
2018-07-24 14:00:00,,,,,0.4866823733602127,,,-0.6826171174402755,-0.7282239963924446
2018-07-25 02:00:00,,0.15663819793219824,-0.06493048789722233,0.21185434730334823,0.4944322352027296,,,-0.6842158932158626,-0.729593033334353
2018-07-25 14:00:00,,0.14834226709063225,-0.07185357527666547,0.21208479799130547,0.5059925228440684,1.0,0.8793737053263954,-0.6864888942882018,-0.7315394116098726
2018-07-26 02:00:00,,0.13758369665589232,-0.08163184108919219,0.2132496800949263,0.5212793525572643,1.0,1.0,-0.6893881644934805,-0.7340220661985958
2018-07-26 14:00:00,,0.08067507288256315,-0.12679942916713283,0.21237226915339275,0.5965283026367549,1.0,1.0,-0.7046728971962617,-0.74711043295823
2018-07-27 02:00:00,,0.10209559456811479,-0.10481895722696133,0.20719668765617583,0.5503113110963015,0.5473185921649829,0.8491061973883276,-0.6972825024437928,-0.7407820136852394
2018-07-27 14:00:00,,0.14212023244924388,-0.07068002308274024,0.20546116134055697,0.4854563186990889,0.0,0.5157728640549943,-0.684646795857476,-0.7299620166800745
2018-07-28 02:00:00,,0.08371955948439935,-0.0952931785132971,0.18005468013381598,0.5362707206586181,0.4574907205046991,0.33493643755656066,-0.6956162767839591,-0.7393552191861608
2018-07-28 14:00:00,,0.06648880025456227,-0.07800254358064518,0.14532797835565023,0.5267724832342403,0.3719764703072034,0.2764890636039675,-0.6938105596203283,-0.7378089776547361
2018-07-29 02:00:00,,0.04139729725923291,-0.07939905954629001,0.1231360502610161,0.541352935211004,0.8618706817444246,0.563779290852109,-0.6968083023301351,-0.7403759545721559
2018-07-29 14:00:00,,0.03557525168398401,-0.06717623690565888,0.10440107703591225,0.5300959996152904,0.7986115028391025,0.6774862182969101,-0.6948965517241379,-0.7387389162561575
2018-07-30 02:00:00,,0.03702948392868599,-0.05611235356302635,0.09403910548698141,0.5146106291965917,0.0,0.5534940615278424,-0.6922893481717011,-0.7365063593004769
2018-07-30 14:00:00,,0.048080303878126784,-0.044967561245118914,0.09290327313373092,0.492798019529411,0.0,0.26620383427970085,-0.6885447048174596,-0.7332998089107915
2018-07-31 02:00:00,,0.06762064342673901,-0.023901406347165755,0.08956421030188826,0.45967624354838066,0.0,4.736951571734001e-17,-0.6824446267432321,-0.7280762920426579
2018-07-31 14:00:00,,0.08528144794205095,-0.013081206386097777,0.09493547231158621,0.4353263381131939,0.0,4.736951571734001e-17,-0.6775644496272542,-0.7238973803673316
2018-08-01 02:00:00,,0.11444948771944152,0.0016385407126315865,0.10662216835128342,0.39912187084378803,0.0,4.736951571734001e-17,-0.6694878171126076,-0.7169813334471754
2018-08-01 14:00:00,,0.1129197400044386,-0.009169261219913682,0.11606794860471387,0.40572123378427905,0.07044870047591821,0.023482900158639453,-0.6705111290803081,-0.7178575988424054
2018-08-02 02:00:00,,0.13393838173532435,-0.0035418393258169756,0.1290653813262853,0.3833172835636052,0.0,0.023482900158639453,-0.6653916801728795,-0.7134737979470556
2018-08-02 14:00:00,,0.16615463586336188,0.006296046570189784,0.14716890062065802,0.3531585922674296,0.0,0.023482900158639453,-0.6577554290766425,-0.7069348510802895
2018-08-03 02:00:00,,0.19253240445576147,0.008185298893519377,0.16753362349172135,0.3333141075927205,0.0,4.736951571734001e-17,-0.6521778197093245,-0.7021587258800008
2018-08-03 14:00:00,,0.16086458761358213,-0.028316552679085505,0.17742262982458776,0.3977624567362373,0.8900829591415322,0.29669431971384413,-0.6619213973799127,-0.7105021834061136
2018-08-04 02:00:00,,0.11671783756383936,-0.06679981339148078,0.17904877052770365,0.4735814633630667,1.0,0.6300276530471774,-0.6745349448239621,-0.7213032054650552
