timestamp,ema50_dist_ltc_btc_30m,ema200_dist_ltc_btc_30m,lower_bb_dist_ltc_btc_30m,width_bb_ltc_btc_30m,rsi_ltc_btc_30m,stoch_rsi_fastk_ltc_btc_30m,stoch_rsi_fastd_ltc_btc_30m,kijun_dist_ltc_btc_30m,tenkan_dist_ltc_btc_30m
2019-01-29 16:00:00,,,,,,,,0.1628060886829914,0.16892786234281942
2019-01-29 16:30:00,,,,,,,,0.15973597359735958,0.16584158415841554
2019-01-29 17:00:00,,,,,,,,0.16165289256198334,0.16776859504132235
2019-01-29 17:30:00,,,,,,,,0.1653769621932344,0.17151227061684704
2019-01-29 18:00:00,,,,,,,,0.16460450729120635,0.17073574900574462
2019-01-29 18:30:00,,,,,,,,0.165892501658925,0.1720305242203053
2019-01-29 19:00:00,,,,,,,,0.1625496250551388,0.16867004852227607
2019-01-29 19:30:00,,,,,,,,0.16640849745518915,0.17254923655676047
2019-01-29 20:00:00,,,,,,,,0.16563467492260053,0.1717713401149934
2019-01-29 20:30:00,,,,,,,,0.16139693731409044,0.16751129227718398
2019-01-29 21:00:00,,,,,,,,0.16692495018817777,0.17306840823555447
2019-01-29 21:30:00,,,,,,,,0.16666666666666652,0.17280876494023878
2019-01-29 22:00:00,,,,,,,,0.1696438477754354,0.17580161988239196
2019-01-29 22:30:00,,,,,,,,0.16925465838509313,0.17541038154392186
2019-01-29 23:00:00,,,,,0.43396226415094685,,,0.16731258996788823,0.17345808880522617
2019-01-29 23:30:00,,,,,0.4074679749250506,,,0.16938435940099827,0.17554076539101482
2019-01-30 00:00:00,,,,,0.47249752692386615,,,0.16550580431177453,0.17164179104477606
2019-01-30 00:30:00,,,,,0.4461331153470233,,,0.16744186046511622,0.17358803986710947
2019-01-30 01:00:00,,,,,0.4130402524137846,,,0.17003329633740272,0.17619311875693655
2019-01-30 01:30:00,,0.0062136512303248015,-0.003567211190462216,0.00976793729061071,0.45846286450509266,,,0.16731258996788823,0.17345808880522617
2019-01-30 02:00:00,,0.0053567227516904126,-0.004150436784448042,0.009501428816013638,0.468999313318953,0.9411642455235656,0.6036776239548336,0.16666666666666652,0.17280876494023878
2019-01-30 02:30:00,,0.006279564755008682,-0.0020884127425899734,0.008350478435349263,0.43780936428168005,0.4426291554440246,0.7226578797408378,0.16886572790775034,0.17501940348153888
2019-01-30 03:00:00,,0.0035117960437158757,-0.003943307440042232,0.0074567123119289635,0.4794745915300791,1.0,0.79459780032253,0.16640849745518915,0.17254923655676047
2019-01-30 03:30:00,,0.00333147151853308,-0.004061640785044673,0.007395812401035789,0.4816520137256699,1.0,0.8142097184813416,0.1662794556920013,0.17241951543312295
2019-01-30 04:00:00,,0.0015179022060896052,-0.005956948142485041,0.007491477855741181,0.5185249800331582,1.0,1.0,0.1640901060070672,0.17021863957597172
2019-01-30 04:30:00,,0.0033757213839802347,-0.0040948274797874,0.0074732358885091004,0.4816286115532216,0.5428843831961863,0.8476281277320621,0.1662794556920013,0.17241951543312295
2019-01-30 05:00:00,,0.0034707491138394886,-0.0032493387296921306,0.006719343977265959,0.4689455707379202,0.0,0.5142947943987287,0.16705413483892384,0.1731982729990036
2019-01-30 05:30:00,,0.004308811823382719,-0.0024583963109172657,0.006760952848285217,0.45185966115808773,0.0,0.1809614610653954,0.16808864265927959,0.17423822714681436
2019-01-30 06:00:00,,-4.1253444614697266e-05,-0.007545029497275313,0.00753234731162184,0.5491546795702554,1.0,0.33333333333333337,0.16242143565994027,0.16854118425405207
2019-01-30 06:30:00,,0.003129553185647005,-0.0030520509712975707,0.006181364622221557,0.47310609810841364,0.218371272209645,0.40612375740321505,0.1671833480956597,0.17332816651904337
2019-01-30 07:00:00,,0.005995336960208597,-0.0006661485511930687,0.006643782526984222,0.4297966705356659,0.0,0.40612375740321505,0.1704230043299655,0.1765848784278894
2019-01-30 07:30:00,,0.006386310124729677,-0.000744373207803517,0.007110624485140762,0.42477156412424194,0.0,0.07279042406988168,0.17081297201243895,0.17697689915593062
2019-01-30 08:00:00,,0.005499034321887253,-0.0016486126618777686,0.00713391269777898,0.4434582956148397,0.15023527448714225,0.05007842482904743,0.16977363515312915,0.17593209054593872
2019-01-30 08:30:00,,0.007991090065350592,4.939036169626654e-05,0.00790990000556697,0.40779212179524704,0.0,0.05007842482904743,0.17237544483985756,0.1785475978647686
2019-01-30 09:00:00,,0.004597389342999358,-0.0033338114223607773,0.00792619308407225,0.4758856352925236,1.0,0.38341175816238077,0.1684770560851252,0.17462868543560162
2019-01-30 09:30:00,,0.006071201494075806,-0.001986397409271201,0.008041175589898855,0.4516507441105454,0.6440939828586242,0.5480313276195414,0.17016317016317006,0.17632367632367618
2019-01-30 10:00:00,,0.0060941000269274515,-0.0019861839616446275,0.008063721443140909,0.44787185993043194,0.5885984740204059,0.7442308189596768,0.1704230043299655,0.1765848784278894
2019-01-30 10:30:00,,0.005142021905954586,-0.0029789603418947097,0.008112208644490004,0.4670792414672446,0.8706720600394449,0.7011215056394917,0.16938435940099827,0.17554076539101482
2019-01-30 11:00:00,,0.0011263916550698916,-0.0073108201476155266,0.008463382394296753,0.5511563967343532,1.0,0.819756844686617,0.16421866372170046,0.17034787410270558
2019-01-30 11:30:00,,0.0023960528307891416,-0.006221370685957628,0.008633937293992394,0.5286995386191136,0.7825728922242007,0.8844149840878818,0.16550580431177453,0.17164179104477606
2019-01-30 12:00:00,,0.0021302140697045946,-0.006694254295143698,0.008844652038690686,0.5368289706563383,0.8612819835246524,0.881284958582951,0.1649906066968725,0.1711238810918334
