timestamp,ema50_dist_omg_btc_30m,ema200_dist_omg_btc_30m,lower_bb_dist_omg_btc_30m,width_bb_omg_btc_30m,rsi_omg_btc_30m,stoch_rsi_fastk_omg_btc_30m,stoch_rsi_fastd_omg_btc_30m,kijun_dist_omg_btc_30m,tenkan_dist_omg_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.044753086419753174,-0.03703703703703709
2019-01-29 16:30:00,,,,,,,,-0.0476923076923077,-0.039999999999999925
2019-01-29 17:00:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 17:30:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 18:00:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 18:30:00,,,,,,,,-0.03881987577639756,-0.03105590062111807
2019-01-29 19:00:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 19:30:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 20:00:00,,,,,,,,-0.044753086419753174,-0.03703703703703709
2019-01-29 20:30:00,,,,,,,,-0.0476923076923077,-0.039999999999999925
2019-01-29 21:00:00,,,,,,,,-0.044753086419753174,-0.03703703703703709
2019-01-29 21:30:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 22:00:00,,,,,,,,-0.044753086419753174,-0.03703703703703709
2019-01-29 22:30:00,,,,,,,,-0.04179566563467496,-0.034055727554179516
2019-01-29 23:00:00,,,,,0.5,,,-0.044753086419753174,-0.03703703703703709
2019-01-29 23:30:00,,,,,0.45882352941176374,,,-0.04179566563467496,-0.034055727554179516
2019-01-30 00:00:00,,,,,0.5029093931837074,,,-0.044753086419753174,-0.03703703703703709
2019-01-30 00:30:00,,,,,0.46234789254012026,,,-0.04179566563467496,-0.034055727554179516
2019-01-30 01:00:00,,,,,0.46234789254012026,,,-0.04179566563467496,-0.034055727554179516
2019-01-30 01:30:00,,0.0030346904241191908,-0.006121110177205624,0.009169951761450548,0.5083375983810527,,,-0.044753086419753174,-0.03703703703703709
2019-01-30 02:00:00,,0.0030346904241191908,-0.006121110177205624,0.009169951761450548,0.5083375983810527,1.0,0.6933143856617933,-0.044753086419753174,-0.03703703703703709
2019-01-30 02:30:00,,0.005345665374904884,-0.0028688851891459644,0.008204390328350044,0.46245979379345026,0.0024331804538386677,0.6674777268179461,-0.04179566563467496,-0.034055727554179516
2019-01-30 03:00:00,,0.0024318173335142745,-0.005826879061909596,0.008272739626270943,0.5100768995979582,1.0,0.6674777268179461,-0.044753086419753174,-0.03703703703703709
2019-01-30 03:30:00,,0.0025976567485985758,-0.005684076501685453,0.008294533456235117,0.5100768995979583,1.0,0.6674777268179461,-0.044753086419753174,-0.03703703703703709
2019-01-30 04:00:00,,0.0027404593088837803,-0.005518237086662214,0.008270182760491147,0.5100768995979583,1.0,1.0,-0.044753086419753174,-0.03703703703703709
2019-01-30 04:30:00,,0.005468081668788649,-0.0017529113901509907,0.007207604320264142,0.4592645775575793,0.0,0.6666666666666667,-0.04179566563467496,-0.034055727554179516
2019-01-30 05:00:00,,0.0024523219578984623,-0.004612815785059898,0.007072778089660114,0.5116542281064943,1.0,0.6666666666666667,-0.044753086419753174,-0.03703703703703709
2019-01-30 05:30:00,,0.00251096565657849,-0.004362817508431371,0.00688015367767443,0.5116542281064943,1.0,0.6666666666666667,-0.044753086419753174,-0.03703703703703709
2019-01-30 06:00:00,,-1.5415508036187298e-05,-0.007676892184272144,0.0076910576672638365,0.5609841316578326,1.0,1.0,-0.0476923076923077,-0.039999999999999925
2019-01-30 06:30:00,,-1.5415508036187298e-05,-0.007676892184272144,0.0076910576672638365,0.5609841316578328,1.0,1.0,-0.0476923076923077,-0.039999999999999925
2019-01-30 07:00:00,,0.00048143383613408197,-0.007866049220750182,0.008378418756909702,0.5609841316578328,1.0,1.0,-0.0476923076923077,-0.039999999999999925
2019-01-30 07:30:00,,-0.0013516941900327817,-0.011224992926532784,0.009935778324121097,0.6101671640564919,1.0,1.0,-0.05061349693251538,-0.042944785276073705
2019-01-30 08:00:00,,-0.0003337568588978046,-0.011629433325152094,0.011363649214623999,0.6101671640564919,1.0,1.0,-0.05061349693251538,-0.042944785276073705
2019-01-30 08:30:00,,0.00579518173933713,-0.00517789778872102,0.010969693820088946,0.484314613962613,0.0,0.6666666666666667,-0.044753086419753174,-0.03703703703703709
2019-01-30 09:00:00,,0.0029825862767254296,-0.00821335550749569,0.01122530026182909,0.5358628924944993,0.40959264228999887,0.46986421409666623,-0.0476923076923077,-0.039999999999999925
2019-01-30 09:30:00,,-0.0036585365852089824,-0.01829268292698738,0.014796547472575017,0.6491650404699155,1.0,0.46986421409666623,-0.05640243902439024,-0.04878048780487809
2019-01-30 10:00:00,,-0.001656794599278144,-0.019074912717795822,0.01760056297866236,0.6491650404699156,1.0,0.8031975474299996,-0.05640243902439024,-0.04878048780487809
2019-01-30 10:30:00,,0.0022611244384309614,-0.015716781930786627,0.018099677902506498,0.5931853632215509,0.6604213987527361,0.8868071329175787,-0.05351681957186538,-0.04587155963302747
2019-01-30 11:00:00,,0.0055577227125440665,-0.011999440503956516,0.017613895087180243,0.5427792525624023,0.06104350351242868,0.5738216340883883,-0.05061349693251538,-0.042944785276073705
2019-01-30 11:30:00,,0.0032407636618032587,-0.01486155876883788,0.01820811883980216,0.5811124380476002,0.360322428767674,0.36059577701094625,-0.05351681957186538,-0.04587155963302747
