timestamp,ema50_dist_xrp_usd_12h,ema200_dist_xrp_usd_12h,lower_bb_dist_xrp_usd_12h,width_bb_xrp_usd_12h,rsi_xrp_usd_12h,stoch_rsi_fastk_xrp_usd_12h,stoch_rsi_fastd_xrp_usd_12h,kijun_dist_xrp_usd_12h,tenkan_dist_xrp_usd_12h
2018-07-15 14:00:00,,,,,,,,-0.22289522865956635,-0.28807052306860914
2018-07-16 02:00:00,,,,,,,,-0.22854077253218885,-0.2932425786838341
2018-07-16 14:00:00,,,,,,,,-0.2493964636029492,-0.31234911590073733
2018-07-17 02:00:00,,,,,,,,-0.2747751534000169,-0.33559931075060945
2018-07-17 14:00:00,,,,,,,,-0.27269661974205517,-0.3336951024192869
2018-07-18 02:00:00,,,,,,,,-0.32371845116789466,-0.38043776453989653
2018-07-18 14:00:00,,,,,,,,-0.3258716671549957,-0.3824103916398086
2018-07-19 02:00:00,,,,,,,,-0.2855989567161399,-0.34551532840671517
2018-07-19 14:00:00,,,,,,,,-0.2924824207138318,-0.35182148055515694
2018-07-20 02:00:00,,,,,,,,-0.2783992305601438,-0.3389194388107136
2018-07-20 14:00:00,,,,,,,,-0.25238827632519556,-0.31509000714858226
2018-07-21 02:00:00,,,,,,,,-0.22200180342651044,-0.28725202885482415
2018-07-21 14:00:00,,,,,,,,-0.22993506928174579,-0.29451993663118914
2018-07-22 02:00:00,,,,,,,,-0.24079369967882447,-0.3044678604426063
2018-07-22 14:00:00,,,,,0.5312969454181272,,,-0.24000792759463574,-0.3037479905749709
2018-07-23 02:00:00,,,,,0.5173474363302202,,,-0.23325409344382486,-0.2975605962986826
2018-07-23 14:00:00,,,,,0.5289028695178325,,,-0.23911989064773576,-0.30293443273512943
2018-07-24 02:00:00,,,,,0.4961307359623161,,,-0.2239087903933077,-0.28899907800939983
2018-07-24 14:00:00,,,,,0.5448793455867278,,,-0.24803904479693217,-0.31110554296670734
2018-07-25 02:00:00,,0.09615482519419016,-0.07803985773215105,0.17263107973021638,0.5515587963606947,,,-0.2513665943600868,-0.3141540130151844
2018-07-25 14:00:00,,0.10467354861816669,-0.06671007929737449,0.16819106965902525,0.5355832242751397,0.7117782586882236,0.9039260862294078,-0.245061795909439,-0.30837799409384237
2018-07-26 02:00:00,,0.08763544774987952,-0.07720141436269568,0.16398136857527984,0.5608450474811384,1.0,0.9039260862294078,-0.2566074313408724,-0.3189553042541734
2018-07-26 14:00:00,,0.07934853679869636,-0.08359353765325084,0.1632886546912991,0.5742970986657728,1.0,0.9039260862294078,-0.2626901384378739,-0.32452785848572896
2018-07-27 02:00:00,,0.12150323410973063,-0.05026301710510572,0.16585835848942754,0.4960283167860821,0.0,0.6666666666666667,-0.23265741728922096,-0.2970139630024903
2018-07-27 14:00:00,,0.11869224963361624,-0.054529359737588434,0.1678371510495763,0.49747765267712246,0.0185174197966715,0.3395058065988905,-0.23327112769928027,-0.2975762019017152
2018-07-28 02:00:00,,0.0789968673900392,-0.06440558465668078,0.14236381669651055,0.5317579858141149,0.4564996179824792,0.15833901259305022,-0.2474979831236509,-0.3106098597998387
2018-07-28 14:00:00,,0.06415119843947648,-0.040338210739437,0.10325994527553692,0.5098818447846514,0.17699940724596838,0.21733881500837302,-0.23925406692236484,-0.3030573557289601
2018-07-29 02:00:00,,0.054142056029528485,-0.03854754417012374,0.09197246733336761,0.5116666270844145,0.43768416343467387,0.3570610628877071,-0.23994097826326333,-0.30368665624242963
2018-07-29 14:00:00,,0.04602406220646449,-0.024909231049727976,0.07019224455999402,0.4971165616865732,0.0,0.20489452356021406,-0.23478415112746953,-0.2989623289949226
2018-07-30 02:00:00,,0.03137056757515877,-0.022774642353079355,0.05391349175643847,0.5047005969919302,0.21892966286357873,0.21887127543275084,-0.2373712820966103,-0.3013324788968931
2018-07-30 14:00:00,,0.034276990973244104,-0.018630898610899838,0.05249720155202021,0.49349026110223093,0.0,0.07297655428785955,-0.2337477797513322,-0.29801287744227356
2018-07-31 02:00:00,,0.04500363578532429,-0.007065713573326415,0.051100034786274805,0.4682120998185992,0.0,0.07297655428785955,-0.2254415692259354,-0.29040330363354816
2018-07-31 14:00:00,,0.07352963049210781,0.009259325773970595,0.061715618881864755,0.4193162617650068,0.0,-1.1842378929335002e-17,-0.2072767364939362,-0.27376194413818455
2018-08-01 02:00:00,,0.08367640170014368,0.0068597665457543755,0.07348988869094164,0.4073799677256712,0.0,-1.1842378929335002e-17,-0.20240351282643865,-0.26929743471227174
2018-08-01 14:00:00,,0.040380267950826276,-0.03337296544044943,0.07349572998466393,0.5083974075679374,1.0,0.33333333333333337,-0.23396888109559855,-0.29821543515415183
2018-08-02 02:00:00,,0.05434393055429254,-0.02176335069419677,0.0748873446913753,0.4790976608877608,0.7099535810259425,0.5699845270086475,-0.22373422704064416,-0.2888391551766797
2018-08-02 14:00:00,,0.07563873108687469,-0.007857081309259994,0.08075882906216361,0.4403985773912209,0.32686048782375254,0.6789380229498984,-0.20876702278875703,-0.27512724104727415
2018-08-03 02:00:00,,0.09002248120476164,-0.002502199344857403,0.0886455392588405,0.4197330979066066,0.12228710409038517,0.3863670576466934,-0.2000370868295398,-0.2671294793936304
2018-08-03 14:00:00,,0.07060757816715846,-0.02141375390662792,0.08981222857920039,0.46024593391270585,0.4569238305790149,0.3020238074977175,-0.21293530069100786,-0.2789459280713358
2018-08-04 02:00:00,,0.060376145634470024,-0.02891358757397422,0.08790684608402728,0.476178277143285,0.9508227872341516,0.5100112406345172,-0.21803557267474805,-0.28361844341225795
