timestamp,ema50_dist_iota_btc_15m,ema200_dist_iota_btc_15m,upper_bb_dist_iota_btc_15m,lower_bb_dist_iota_btc_15m,width_bb_iota_btc_15m,rsi_iota_btc_15m,stoch_rsi_fastk_iota_btc_15m,stoch_rsi_fastd_iota_btc_15m,kijun_dist_iota_btc_15m,tenkan_dist_iota_btc_15m
2019-02-06 16:15:00,,,,,,,,,6.960227272727271,6.761363636363638
2019-02-06 16:30:00,,,,,,,,,6.73281360737068,6.534372785258702
2019-02-06 16:45:00,,,,,,,,,6.295878035008462,6.098249576510439
2019-02-06 17:00:00,,,,,,,,,6.205923836389271,6.008462623413258
2019-02-06 17:15:00,,,,,,,,,5.803006884923434,5.606294787129418
2019-02-06 17:30:00,,,,,,,,,5.817875210792578,5.621135469364824
2019-02-06 17:45:00,,,,,,,,,5.87739032620922,5.680539932508455
2019-02-06 18:00:00,,,,,,,,,5.817875210792578,5.621135469364824
2019-02-06 18:15:00,,,,,,,,,5.87739032620922,5.680539932508455
2019-02-06 18:30:00,,,,,,,,,5.951878429717183,5.754889545518527
2019-02-06 18:45:00,,,,,,,,,5.580482333146386,5.384183959618616
2019-02-06 19:00:00,,,,,,,,,5.580482333146386,5.384183959618616
2019-02-06 19:15:00,,,,,,,,,5.59528817837609,5.398962277380459
2019-02-06 19:30:00,,,,,,,,,6.041402619349379,5.844247289114213
2019-02-06 19:45:00,,,,,,63.09523809523808,,,6.295878035008462,6.098249576510439
2019-02-06 20:00:00,,,,,,58.58843537414948,,,6.476244343891402,6.278280542986425
2019-02-06 20:15:00,,,,,,58.85220330170253,,,6.461190442527931,6.263254630284187
2019-02-06 20:30:00,,,,,,59.40906086939345,,,6.431095406360421,6.233215547703197
2019-02-06 20:45:00,,,,,,53.20565745027399,,,6.672333191670199,6.474004816546253
2019-02-06 21:00:00,,,1.1558793998681427,-0.37184317003514655,1.5217570067717348,55.39985800270257,,,6.56665723181431,6.368525332578545
2019-02-06 21:15:00,,,0.8219173207421493,-0.5396706371406323,1.3596691473446185,61.02332778672059,100.0,45.12363834378322,6.265876375952595,6.068303697431565
2019-02-06 21:30:00,,,1.0607827750001464,-0.25008667992367783,1.3055773227370153,54.377970821593145,14.995686961289953,50.1222006642132,6.536502546689316,6.338426711941159
2019-02-06 21:45:00,,,0.890207781325203,-0.4255185157884367,1.3126763640361725,57.686216199299714,57.31322192158708,57.43630296095901,6.355932203389836,6.158192090395498
2019-02-06 22:00:00,,,1.09865975147323,-0.2707514582379944,1.3637658444479794,52.869411217908514,0.0,24.10296962762568,6.56665723181431,6.368525332578545
2019-02-06 22:15:00,,,1.4813931062876318,-0.021165833560321534,1.4916680678751273,45.30368629448059,0.0,19.104407307195693,6.960227272727271,6.761363636363638
2019-02-06 22:30:00,,,1.4891164644580845,-0.1096591551811632,1.5878239429197176,45.03673971998823,0.0,0.0,6.975422645262119,6.776530757209853
2019-02-06 22:45:00,,,1.0336863391249729,-0.5427412344276905,1.5725673523354928,53.57925224244462,67.53253809695498,22.510846032318327,6.536502546689316,6.338426711941159
2019-02-06 23:00:00,,,0.4979665466675609,-1.039914744865711,1.5420598743854572,61.56520738402966,100.0,55.844179365651655,5.996621621621623,5.799549549549554
2019-02-06 23:15:00,,,0.5200842522446569,-0.993257044809015,1.5169301474235897,60.62915599018227,94.3367321588811,87.28975675194535,6.041402619349379,5.844247289114213
2019-02-06 23:30:00,,,0.5729523349743637,-0.921035762257294,1.496592792974788,59.01856080889354,84.59236133137442,92.97636449675184,6.116121758737325,5.918827508455471
2019-02-06 23:45:00,,,0.33761755282002426,-1.0565258251891474,1.3991727623759114,61.651547371419426,99.99999999999999,92.97636449675184,5.936972425436116,5.740011254924027
2019-02-07 00:00:00,,,0.39953043548333067,-0.8588794561962376,1.261306791877893,57.974537053224516,0.0,61.53078711045814,6.10116950824291,5.903903057629978
2019-02-07 00:15:00,,,0.38407916845510925,-0.7042484209232924,1.0900726280707267,55.69797087612339,0.0,33.333333333333336,6.205923836389271,6.008462623413258
2019-02-07 00:30:00,,,0.3004912820872674,-0.769835890966708,1.0728448427695647,56.99694049229789,21.818307318312307,7.2727691061041115,6.131078224101483,5.933756166314308
2019-02-07 00:45:00,,,0.28059043838504216,-0.8145436646458837,1.098065681597595,57.7965162353125,35.248482334058984,19.022263217457105,6.086221470836861,5.88898281205974
2019-02-07 01:00:00,,,-0.44640546352651134,-2.00618795532449,1.5791475259456227,71.74981083726011,100.0,52.35559655079044,4.991634132738421,4.796430563301746
2019-02-07 01:15:00,,,-0.40664097176652536,-2.429844011548199,2.052309768985867,74.22969283580089,100.0,78.41616077801967,4.699666295884319,4.505005561735276
2019-02-07 01:30:00,,,0.08020971164219848,-2.1530232142226935,2.2566206950999343,66.95106265108338,57.76281095653496,85.92093698551166,5.035569814479013,4.840284558515839
2019-02-07 01:45:00,,,-0.06820298782344025,-2.5568664952225872,2.5217625165272706,70.59606682003867,77.88847461388428,78.55042852347309,4.641467481934414,4.446914952751535
2019-02-07 02:00:00,,,-0.1158214631805099,-2.9261511091978387,2.853734557277765,73.29776538583566,87.19638961844855,74.28255839628928,4.308075910790965,4.114143233134793
2019-02-07 02:15:00,,,-0.05230483322419266,-3.219291573133709,3.219653778567916,75.01743612475705,100.0,88.36162141077762,4.077401520387003,3.8838977194195046
2019-02-07 02:30:00,,,-0.017191103141789288,-3.5132748466789154,3.5589067388373823,76.91843252448245,100.0,95.73212987281619,3.8047973531844637,3.6118003859939574
