timestamp,ema50_dist_xmr_btc_12h,ema200_dist_xmr_btc_12h,lower_bb_dist_xmr_btc_12h,width_bb_xmr_btc_12h,rsi_xmr_btc_12h,stoch_rsi_fastk_xmr_btc_12h,stoch_rsi_fastd_xmr_btc_12h,kijun_dist_xmr_btc_12h,tenkan_dist_xmr_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.4143265550790797,-0.4143265550790797
2018-07-04 14:00:00,,,,,,,,-0.3970616158739201,-0.3970616158739201
2018-07-05 02:00:00,,,,,,,,-0.3939545758183033,-0.3939545758183033
2018-07-05 14:00:00,,,,,,,,-0.39806170323681345,-0.39806170323681345
2018-07-06 02:00:00,,,,,,,,-0.3799912135116664,-0.3799912135116664
2018-07-06 14:00:00,,,,,,,,-0.36977771162052187,-0.36977771162052187
2018-07-07 02:00:00,,,,,,,,-0.3694335501166658,-0.3694335501166658
2018-07-07 14:00:00,,,,,,,,-0.36019040902679833,-0.36019040902679833
2018-07-08 02:00:00,,,,,,,,-0.36590784284359235,-0.36590784284359235
2018-07-08 14:00:00,,,,,,,,-0.3792640015638745,-0.3792640015638745
2018-07-09 02:00:00,,,,,,,,-0.3760009825595677,-0.3760009825595677
2018-07-09 14:00:00,,,,,,,,-0.37486465203268027,-0.37486465203268027
2018-07-10 02:00:00,,,,,,,,-0.340455914425174,-0.340455914425174
2018-07-10 14:00:00,,,,,,,,-0.33722083072427467,-0.33722083072427467
2018-07-11 02:00:00,,,,,0.30534351145038163,,,-0.3601581784292982,-0.3601581784292982
2018-07-11 14:00:00,,,,,0.28717822845396257,,,-0.3511035046490242,-0.3511035046490242
2018-07-12 02:00:00,,,,,0.29532744296083346,,,-0.35275682837342026,-0.35275682837342026
2018-07-12 14:00:00,,,,,0.2766615471654017,,,-0.34359173126614984,-0.34359173126614984
2018-07-13 02:00:00,,,,,0.3457365256061022,,,-0.3576991150442478,-0.3576991150442478
2018-07-13 14:00:00,,0.09089674705307416,-0.042607561024297746,0.1303568939268874,0.33709028998579904,,,-0.3542376328232243,-0.3542376328232243
2018-07-14 02:00:00,,0.08404868224852402,-0.031726018996283356,0.1128230987434923,0.3251925704229655,0.7025847036525207,0.8591376527247173,-0.3494750320102432,-0.3494750320102432
2018-07-14 14:00:00,,0.07039253200945672,-0.03547586109564016,0.10405182150043989,0.3418697558991074,0.9440206889052543,0.840477882359802,-0.3526578665715304,-0.3526578665715304
2018-07-15 02:00:00,,0.06920798773992076,-0.02834506961966632,0.09559981368022376,0.33006530107635457,0.23718561542563996,0.6279303359944717,-0.3483736917709829,-0.3483736917709829
2018-07-15 14:00:00,,0.05653281348510908,-0.024023707652246262,0.07926805435328727,0.33025835895400896,0.3037556030236926,0.494987302451529,-0.3484071205047965,-0.3484071205047965
2018-07-16 02:00:00,,0.04323396775110533,-0.030439954921454904,0.07320562581462281,0.3598590348131225,0.9999999999999999,0.5136470728164442,-0.3533499643620812,-0.3533499643620812
2018-07-16 14:00:00,,0.017287333649420367,-0.054425509509605896,0.0730696804808998,0.4478696237233067,1.0,0.7679185343412308,-0.3693709349088923,-0.3693709349088923
2018-07-17 02:00:00,,0.006310803474031124,-0.06801095046080274,0.076687571140549,0.4886815582427507,1.0,1.0,-0.37768250857422825,-0.37768250857422825
2018-07-17 14:00:00,,0.043276258373015075,-0.03385504794565619,0.0767696746888296,0.4017707751146273,0.4514011614566623,0.8171337204855541,-0.35456578078154366,-0.35456578078154366
2018-07-18 02:00:00,,0.04474854709311593,-0.03186701843069606,0.07612526066024754,0.396165646371075,0.28183434535642915,0.5777451689376971,-0.35278980891719736,-0.35278980891719736
2018-07-18 14:00:00,,0.08065906684407076,1.8845482088636345e-05,0.07751341126299348,0.33050887653254846,0.0,0.24441183560436383,-0.32835386811908407,-0.32835386811908407
2018-07-19 02:00:00,,0.05999889371865552,-0.015338446540878792,0.07369178619708863,0.3737173230839479,0.2731726242750581,0.18500232321049573,-0.33801532287486313,-0.33801532287486313
2018-07-19 14:00:00,,0.08664817615163978,0.005484850143010034,0.07758906817926108,0.33088779423253006,0.005317255188551839,0.09282995982120329,-0.3197932844213569,-0.3197932844213569
2018-07-20 02:00:00,,0.11469348144454306,0.0139606588220067,0.09464461202694273,0.30422478916509577,0.0,0.09282995982120329,-0.30623224819750927,-0.30623224819750927
2018-07-20 14:00:00,,0.16857793021902379,0.030736556212339172,0.12534939851221347,0.2631243406371575,0.0,0.00177241839618393,-0.2804090419806242,-0.2804090419806242
2018-07-21 02:00:00,,0.17593293405808375,0.014233325943050268,0.1476596649926931,0.26150288232356306,0.0,-1.628327102783563e-17,-0.2792657322816773,-0.2792657322816773
2018-07-21 14:00:00,,0.1644359627266232,-0.009823726983899661,0.16175503584333192,0.2965170867562824,0.5046371533721623,0.1682123844573874,-0.28775304211293673,-0.28775304211293673
2018-07-22 02:00:00,,0.17958325377258055,-0.011589379346853779,0.17635901593132816,0.28263550564518786,0.4946554328675331,0.3330975287465651,-0.2795927627474335,-0.2795927627474335
2018-07-22 14:00:00,,0.20623033504069044,-0.008363529629660693,0.1952746764654096,0.2609474870557517,0.0,0.3330975287465651,-0.2657243611978263,-0.2657243611978263
2018-07-23 02:00:00,,0.19411469706492124,-0.028242863979973776,0.20532845725056714,0.2871296705823077,0.7360831650339137,0.41024619930048223,-0.2719534563796858,-0.2719534563796858
2018-07-23 14:00:00,,0.19695304462457708,-0.03484020639774943,0.21441364846843305,0.28161246709214627,0.5809730840486863,0.4390187496942,-0.26876799078871616,-0.26876799078871616
