timestamp,ema50_dist_xmr_btc_6h,ema200_dist_xmr_btc_6h,upper_bb_dist_xmr_btc_6h,lower_bb_dist_xmr_btc_6h,width_bb_xmr_btc_6h,rsi_xmr_btc_6h,stoch_rsi_fastk_xmr_btc_6h,stoch_rsi_fastd_xmr_btc_6h,kijun_dist_xmr_btc_6h,tenkan_dist_xmr_btc_6h
2018-10-24 20:00:00,,,,,,,,,-22.74,-21.17
2018-10-25 02:00:00,,,,,,,,,-22.43,-20.85
2018-10-25 08:00:00,,,,,,,,,-22.17,-20.58
2018-10-25 14:00:00,,,,,,,,,-22.13,-20.54
2018-10-25 20:00:00,,,,,,,,,-22.57,-20.99
2018-10-26 02:00:00,,,,,,,,,-21.67,-20.07
2018-10-26 08:00:00,,,,,,,,,-22.15,-20.56
2018-10-26 14:00:00,,,,,,,,,-22.1,-20.51
2018-10-26 20:00:00,,,,,,,,,-21.37,-19.76
2018-10-27 02:00:00,,,,,,,,,-21.02,-19.41
2018-10-27 08:00:00,,,,,,,,,-20.98,-19.37
2018-10-27 14:00:00,,,,,,,,,-21.72,-20.12
2018-10-27 20:00:00,,,,,,,,,-20.91,-19.29
2018-10-28 02:00:00,,,,,,,,,-20.17,-18.54
2018-10-28 07:00:00,,,,,,27.18,,,-19.92,-18.29
2018-10-28 13:00:00,,,,,,29.79,,,-20.15,-18.52
2018-10-28 19:00:00,,,,,,41.25,,,-21.24,-19.63
2018-10-29 01:00:00,,,,,,39.0,,,-20.88,-19.27
2018-10-29 07:00:00,,,,,,38.17,,,-20.75,-19.13
2018-10-29 13:00:00,,,3.31,-0.99,4.25,36.43,,,-20.47,-18.85
2018-10-29 19:00:00,,,2.98,-1.09,4.03,37.04,12.56,49.53,-20.53,-18.91
2018-10-30 01:00:00,,,2.78,-1.12,3.87,37.0,22.25,30.92,-20.52,-18.9
2018-10-30 07:00:00,,,1.17,-2.55,3.75,49.22,100.0,44.93,-21.7,-20.1
2018-10-30 13:00:00,,,1.66,-1.9,3.57,45.21,68.62,63.62,-21.2,-19.59
2018-10-30 19:00:00,,,0.41,-2.87,3.33,52.41,100.0,89.54,-22.05,-20.46
2018-10-31 01:00:00,,,0.21,-3.28,3.55,54.54,100.0,89.54,-22.33,-20.74
2018-10-31 07:00:00,,,-0.15,-3.91,3.84,57.66,100.0,100.0,-22.74,-21.17
2018-10-31 13:00:00,,,-0.54,-4.88,4.47,61.75,100.0,100.0,-23.34,-21.78
2018-10-31 19:00:00,,,0.5,-4.2,4.78,55.84,36.73,78.91,-22.74,-21.16
2018-11-01 01:00:00,,,1.73,-3.05,4.81,48.61,0.0,45.58,-21.84,-20.25
2018-11-01 07:00:00,,,1.54,-3.28,4.86,50.3,12.83,16.52,-22.06,-20.47
2018-11-01 13:00:00,,,2.31,-2.53,4.84,45.8,0.0,4.28,-21.44,-19.84
2018-11-01 19:00:00,,,1.74,-3.07,4.85,49.66,38.5,17.11,-21.94,-20.34
2018-11-02 01:00:00,,,1.81,-2.82,4.65,49.37,79.27,39.26,-21.9,-20.3
2018-11-02 07:00:00,,,1.43,-2.87,4.34,51.63,100.0,72.59,-22.17,-20.59
2018-11-02 13:00:00,,,0.38,-3.85,4.31,58.54,100.0,93.09,-23.12,-21.55
2018-11-02 19:00:00,,,0.48,-4.0,4.57,59.32,100.0,100.0,-23.23,-21.67
2018-11-03 01:00:00,,,1.44,-3.0,4.48,53.05,37.04,79.01,-22.55,-20.97
2018-11-03 07:00:00,,,1.01,-3.33,4.39,56.0,56.85,64.63,-22.96,-21.38
2018-11-03 13:00:00,,,0.85,-3.24,4.14,57.15,65.33,53.07,-23.11,-21.54
2018-11-03 19:00:00,,,-0.12,-4.23,4.19,63.32,100.0,74.06,-24.05,-22.5
2018-11-04 01:00:00,,,0.64,-3.1,3.79,57.63,44.52,69.95,-23.45,-21.89
2018-11-04 07:00:00,,,-0.22,-4.37,4.25,63.38,100.0,81.51,-24.41,-22.87
2018-11-04 13:00:00,,,-1.17,-6.22,5.25,69.64,100.0,81.51,-25.72,-24.21
2018-11-04 19:00:00,,,-1.59,-8.23,6.99,74.07,100.0,100.0,-26.9,-25.41
